,NSP US Equity,NSP US Equity,NSP US Equity,NSP US Equity,NSP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,77.48,78.201,77.2772,77.5521,336418.0
2020-01-02,78.2191,78.5345,77.2366,78.5255,455902.0
2020-01-03,77.1735,78.2461,77.0698,77.9577,314366.0
2020-01-04,77.1735,78.2461,77.0698,77.9577,314366.0
2020-01-05,77.1735,78.2461,77.0698,77.9577,314366.0
2020-01-06,77.9937,79.3187,77.5881,79.1745,574452.0
2020-01-07,79.0934,79.0934,78.0568,78.0748,313276.0
2020-01-08,78.0929,79.1655,77.6873,78.5526,392961.0
2020-01-09,79.4179,80.4364,79.0934,79.8866,402784.0
2020-01-10,80.0578,80.8807,79.1475,80.6527,651052.0
2020-01-11,80.0578,80.8807,79.1475,80.6527,651052.0
2020-01-12,80.0578,80.8807,79.1475,80.6527,651052.0
2020-01-13,80.5986,81.5927,80.2832,81.2025,665194.0
2020-01-14,81.2206,82.5636,81.1935,81.8515,338897.0
2020-01-15,81.8605,83.6362,81.8064,82.9151,443159.0
2020-01-16,83.4108,84.7268,83.3477,84.5285,391961.0
2020-01-17,84.7268,85.1234,83.6993,83.9877,316018.0
2020-01-18,84.7268,85.1234,83.6993,83.9877,316018.0
2020-01-19,84.7268,85.1234,83.6993,83.9877,316018.0
2020-01-20,84.7268,85.1234,83.6993,83.9877,316018.0
2020-01-21,83.5641,83.9967,82.852,83.7443,201326.0
2020-01-22,84.2761,84.853,83.51,83.528,427722.0
2020-01-23,83.2937,83.6323,82.1966,83.555,340913.0
2020-01-24,83.7894,83.8164,81.9056,82.7528,206937.0
2020-01-25,83.7894,83.8164,81.9056,82.7528,206937.0
2020-01-26,83.7894,83.8164,81.9056,82.7528,206937.0
2020-01-27,81.3107,82.3923,80.5806,81.5721,261236.0
2020-01-28,81.9506,82.7348,81.3783,82.1129,394831.0
2020-01-29,82.5455,82.5455,80.4184,80.4814,293581.0
2020-01-30,80.0488,80.6707,79.0213,80.5175,317166.0
2020-01-31,80.4364,80.5355,78.6878,78.7509,376377.0
2020-02-01,80.4364,80.5355,78.6878,78.7509,376377.0
2020-02-02,80.4364,80.5355,78.6878,78.7509,376377.0
2020-02-03,79.0393,80.5806,78.7418,80.193,445989.0
2020-02-04,81.6893,82.0768,81.2115,81.3017,320125.0
2020-02-05,82.5816,82.6447,81.0132,81.8605,296969.0
2020-02-06,82.2841,82.2841,80.2291,80.3913,508528.0
2020-02-07,80.2201,80.5085,78.2416,78.4985,387807.0
2020-02-08,80.2201,80.5085,78.2416,78.4985,387807.0
2020-02-09,80.2201,80.5085,78.2416,78.4985,387807.0
2020-02-10,78.192,78.6607,77.1194,77.9216,447880.0
