,IFF US Equity,IFF US Equity,IFF US Equity,IFF US Equity,IFF US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,112.523,113.979,112.333,113.855,831234.0
2020-01-02,114.191,114.252,111.923,112.558,881211.0
2020-01-03,111.464,112.77,110.97,111.499,1072769.0
2020-01-04,111.464,112.77,110.97,111.499,1072769.0
2020-01-05,111.464,112.77,110.97,111.499,1072769.0
2020-01-06,111.455,111.958,110.767,110.767,1170621.0
2020-01-07,109.867,111.676,109.867,110.581,1244854.0
2020-01-08,110.167,110.855,109.505,109.549,756111.0
2020-01-09,109.478,110.052,107.934,109.108,1121464.0
2020-01-10,109.69,111.826,109.364,111.181,1004850.0
2020-01-11,109.69,111.826,109.364,111.181,1004850.0
2020-01-12,109.69,111.826,109.364,111.181,1004850.0
2020-01-13,111.19,112.488,110.224,112.39,839878.0
2020-01-14,112.099,114.455,111.702,114.102,1744446.0
2020-01-15,113.847,115.17,113.494,114.667,1051765.0
2020-01-16,114.764,117.712,114.526,117.482,819377.0
2020-01-17,117.694,119.185,117.226,119.027,929362.0
2020-01-18,117.694,119.185,117.226,119.027,929362.0
2020-01-19,117.694,119.185,117.226,119.027,929362.0
2020-01-20,117.694,119.185,117.226,119.027,929362.0
2020-01-21,118.276,120.041,117.818,118.956,912543.0
2020-01-22,119.212,120.73,118.788,119.927,707008.0
2020-01-23,119.671,120.862,118.126,120.059,952141.0
2020-01-24,120.271,121.118,119.291,119.83,687790.0
2020-01-25,120.271,121.118,119.291,119.83,687790.0
2020-01-26,120.271,121.118,119.291,119.83,687790.0
2020-01-27,119.027,119.662,118.021,118.232,889950.0
2020-01-28,119.018,119.847,117.994,119.53,752056.0
2020-01-29,120.465,121.206,118.991,119.177,710348.0
2020-01-30,117.394,117.465,113.97,117.341,1869008.0
2020-01-31,116.988,117.376,114.552,115.7,1367344.0
2020-02-01,116.988,117.376,114.552,115.7,1367344.0
2020-02-02,116.988,117.376,114.552,115.7,1367344.0
2020-02-03,116.026,120.324,115.514,119.874,1096482.0
2020-02-04,121.445,124.083,121.25,123.536,1171624.0
2020-02-05,124.577,126.73,124.012,125.901,1102190.0
2020-02-06,126.201,126.96,125.38,125.495,962159.0
2020-02-07,125.23,125.941,123.227,123.545,1152836.0
2020-02-08,125.23,125.941,123.227,123.545,1152836.0
2020-02-09,125.23,125.941,123.227,123.545,1152836.0
2020-02-10,123.165,123.615,122.433,122.715,964870.0
2020-02-11,123.492,123.942,121.63,121.762,941366.0
2020-02-12,123.024,124.463,121.745,123.006,1247967.0
2020-02-13,115.567,120.88,113.423,120.668,3177645.0
2020-02-14,120.641,121.378,119.75,119.9,1028381.0
2020-02-15,120.641,121.378,119.75,119.9,1028381.0
2020-02-16,120.641,121.378,119.75,119.9,1028381.0
2020-02-17,120.641,121.378,119.75,119.9,1028381.0
2020-02-18,119.574,119.794,117.173,118.991,1072653.0
2020-02-19,119.115,120.668,118.276,118.479,887342.0
2020-02-20,117.871,119.741,116.406,117.094,1478708.0
2020-02-21,116.617,118.1,115.85,116.644,1632294.0
2020-02-22,116.617,118.1,115.85,116.644,1632294.0
2020-02-23,116.617,118.1,115.85,116.644,1632294.0
2020-02-24,114.129,114.288,110.564,112.876,1994880.0
2020-02-25,113.335,113.546,107.639,109.372,1963535.0
2020-02-26,111.049,112.337,108.393,108.931,1599044.0
2020-02-27,107.299,111.914,106.813,107.863,1533040.0
2020-02-28,105.084,106.884,101.783,105.701,2332472.0
2020-02-29,105.084,106.884,101.783,105.701,2332472.0
2020-03-01,105.084,106.884,101.783,105.701,2332472.0
2020-03-02,106.222,108.278,104.978,108.155,1295454.0
2020-03-03,107.758,110.175,105.075,107.934,1427045.0
2020-03-04,109.611,112.788,109.35,112.735,1422862.0
2020-03-05,110.334,112.823,109.178,110.158,1492512.0
2020-03-06,106.857,109.699,106.231,108.305,1635583.0
2020-03-07,106.857,109.699,106.231,108.305,1635583.0
2020-03-08,106.857,109.699,106.231,108.305,1635583.0
2020-03-09,103.036,104.625,96.947,99.471,2968217.0
2020-03-10,102.798,104.801,101.448,104.634,2707675.0
2020-03-11,102.145,102.397,96.947,98.2,2622156.0
2020-03-12,91.864,94.0,83.819,88.193,2699335.0
2020-03-13,92.588,96.206,88.485,96.206,1621114.0
2020-03-14,92.588,96.206,88.485,96.206,1621114.0
2020-03-15,92.588,96.206,88.485,96.206,1621114.0
2020-03-16,88.537,94.375,86.481,89.561,1836480.0
2020-03-17,91.776,98.492,88.502,96.612,2271512.0
2020-03-18,91.361,96.612,86.799,95.668,2104983.0
2020-03-19,94.776,98.783,91.405,94.794,1796489.0
2020-03-20,95.456,95.632,89.032,90.373,1538332.0
2020-03-21,95.456,95.632,89.032,90.373,1538332.0
2020-03-22,95.456,95.632,89.032,90.373,1538332.0
2020-03-23,90.055,90.735,81.31,83.199,2184818.0
2020-03-24,86.923,93.673,86.578,89.085,1647607.0
2020-03-25,87.858,96.553,85.19,92.97,2288415.0
2020-03-26,94.063,101.843,92.801,101.843,1104189.0
2020-03-27,97.584,100.82,96.944,97.993,1006810.0
2020-03-28,97.584,100.82,96.944,97.993,1006810.0
2020-03-29,97.584,100.82,96.944,97.993,1006810.0
2020-03-30,98.642,99.976,94.503,96.028,1099717.0
2020-03-31,94.303,96.668,90.409,90.756,1519219.0
2020-04-01,87.289,90.774,86.062,89.556,1363609.0
2020-04-02,88.098,91.201,87.409,88.178,1093972.0
2020-04-03,88.507,90.752,87.769,87.929,1234028.0
2020-04-04,88.507,90.752,87.769,87.929,1234028.0
2020-04-05,88.507,90.752,87.769,87.929,1234028.0
2020-04-06,92.774,97.7,91.325,96.908,1199204.0
2020-04-07,99.202,105.381,98.722,101.371,1629741.0
2020-04-08,101.86,108.475,101.389,107.799,1061753.0
2020-04-09,107.417,115.997,107.328,113.241,1544012.0
2020-04-10,107.417,115.997,107.328,113.241,1544012.0
2020-04-11,107.417,115.997,107.328,113.241,1544012.0
2020-04-12,107.417,115.997,107.328,113.241,1544012.0
2020-04-13,111.098,112.04,105.488,106.75,833486.0
2020-04-14,109.809,111.122,106.608,108.795,639232.0
2020-04-15,106.261,106.27,104.074,104.359,739496.0
2020-04-16,104.946,107.017,102.314,106.59,848325.0
