,SPG US Equity,SPG US Equity,SPG US Equity,SPG US Equity,SPG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,114.891,116.185,114.657,116.178,1474056.0
2020-01-02,116.529,116.802,112.972,113.159,1849421.0
2020-01-03,112.535,113.854,112.309,113.362,1308231.0
2020-01-04,112.535,113.854,112.309,113.362,1308231.0
2020-01-05,112.535,113.854,112.309,113.362,1308231.0
2020-01-06,113.159,114.55,112.691,113.955,1026851.0
2020-01-07,112.808,113.471,111.927,112.66,1622745.0
2020-01-08,113.019,113.912,112.333,113.401,1397595.0
2020-01-09,112.98,113.14,111.81,112.489,2236656.0
2020-01-10,112.504,113.05,112.044,112.925,1912849.0
2020-01-11,112.504,113.05,112.044,112.925,1912849.0
2020-01-12,112.504,113.05,112.044,112.925,1912849.0
2020-01-13,112.754,114.376,112.465,113.315,2061346.0
2020-01-14,113.487,114.836,113.206,114.75,1584823.0
2020-01-15,114.688,115.234,114.017,114.727,1357010.0
2020-01-16,114.922,116.248,114.672,115.85,1103946.0
2020-01-17,115.936,116.591,115.117,115.25,1437017.0
2020-01-18,115.936,116.591,115.117,115.25,1437017.0
2020-01-19,115.936,116.591,115.117,115.25,1437017.0
2020-01-20,115.936,116.591,115.117,115.25,1437017.0
2020-01-21,115.218,116.903,114.984,116.295,1628799.0
2020-01-22,116.443,116.716,113.822,113.877,1582572.0
2020-01-23,113.791,114.891,112.637,114.844,1561308.0
2020-01-24,114.813,115.273,112.808,112.949,1893343.0
2020-01-25,114.813,115.273,112.808,112.949,1893343.0
2020-01-26,114.813,115.273,112.808,112.949,1893343.0
2020-01-27,112.114,112.239,110.461,110.461,2061666.0
2020-01-28,110.617,111.038,109.151,109.182,1422355.0
2020-01-29,109.408,110.258,109.041,109.213,1667544.0
2020-01-30,108.433,109.143,106.148,106.421,2639777.0
2020-01-31,106.07,106.241,103.621,103.847,2920301.0
2020-02-01,106.07,106.241,103.621,103.847,2920301.0
2020-02-02,106.07,106.241,103.621,103.847,2920301.0
2020-02-03,104.026,105.914,103.364,103.574,2812879.0
2020-02-04,102.623,108.597,101.398,107.076,5061182.0
2020-02-05,107.06,109.681,107.045,109.556,2811988.0
2020-02-06,110.578,111.249,109.205,109.86,2151276.0
2020-02-07,109.439,110.001,108.636,109.985,1983625.0
2020-02-08,109.439,110.001,108.636,109.985,1983625.0
2020-02-09,109.439,110.001,108.636,109.985,1983625.0
2020-02-10,110.835,111.607,109.057,111.576,2893640.0
2020-02-11,111.919,112.543,109.088,110.812,3060379.0
2020-02-12,110.742,111.124,107.614,108.542,4957391.0
2020-02-13,108.431,110.894,108.099,109.801,2557096.0
2020-02-14,109.96,110.285,109.176,110.007,1501071.0
2020-02-15,109.96,110.285,109.176,110.007,1501071.0
2020-02-16,109.96,110.285,109.176,110.007,1501071.0
2020-02-17,109.96,110.285,109.176,110.007,1501071.0
2020-02-18,110.039,110.53,109.16,110.205,1594349.0
2020-02-19,109.968,109.968,107.236,108.495,2267773.0
2020-02-20,108.503,111.29,108.21,111.282,2202290.0
2020-02-21,110.744,113.056,110.744,112.644,3180155.0
2020-02-22,110.744,113.056,110.744,112.644,3180155.0
2020-02-23,110.744,113.056,110.744,112.644,3180155.0
2020-02-24,111.171,111.694,110.363,111.48,3097420.0
2020-02-25,111.48,111.686,106.753,107.125,4040708.0
2020-02-26,107.964,108.78,104.686,104.71,2228362.0
2020-02-27,102.975,104.955,99.0,99.618,3834703.0
2020-02-28,98.05,99.689,94.954,97.464,5790396.0
2020-02-29,98.05,99.689,94.954,97.464,5790396.0
2020-03-01,98.05,99.689,94.954,97.464,5790396.0
2020-03-02,97.757,100.829,95.302,100.742,3437933.0
2020-03-03,100.631,103.181,95.928,96.981,4913137.0
2020-03-04,97.654,98.541,95.096,97.789,3673550.0
2020-03-05,96.134,96.157,93.124,94.946,3553646.0
2020-03-06,92.618,94.779,91.105,94.281,3613082.0
2020-03-07,92.618,94.779,91.105,94.281,3613082.0
2020-03-08,92.618,94.779,91.105,94.281,3613082.0
2020-03-09,89.086,89.11,81.563,81.595,6489414.0
2020-03-10,84.731,89.078,81.389,88.246,6010189.0
2020-03-11,86.061,86.75,79.187,80.375,5926562.0
2020-03-12,73.264,75.814,65.535,66.114,7611274.0
2020-03-13,70.358,72.274,64.617,71.087,7038747.0
2020-03-14,70.358,72.274,64.617,71.087,7038747.0
2020-03-15,70.358,72.274,64.617,71.087,7038747.0
