,WAT US Equity,WAT US Equity,WAT US Equity,WAT US Equity,WAT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,185.4,188.65,185.4,188.65,374950.0
2019-01-02,186.08,186.77,182.57,183.41,641603.0
2019-01-03,182.5,182.5,174.95,176.34,830909.0
2019-01-04,178.57,181.36,178.3,179.78,754562.0
2019-01-05,178.57,181.36,178.3,179.78,754562.0
2019-01-06,178.57,181.36,178.3,179.78,754562.0
2019-01-07,180.47,188.21,180.47,187.24,634190.0
2019-01-08,189.17,192.495,188.66,192.39,689196.0
2019-01-09,193.67,197.16,192.71,194.93,494808.0
2019-01-10,193.75,197.09,192.68,196.97,503504.0
2019-01-11,195.85,198.36,195.42,198.24,300177.0
2019-01-12,195.85,198.36,195.42,198.24,300177.0
2019-01-13,195.85,198.36,195.42,198.24,300177.0
2019-01-14,196.46,197.66,195.23,195.84,484630.0
2019-01-15,196.29,198.83,195.67,197.64,441787.0
2019-01-16,198.4,201.58,197.32,198.74,776177.0
2019-01-17,198.08,202.46,198.08,202.34,539591.0
2019-01-18,203.27,207.58,202.63,206.94,723896.0
2019-01-19,203.27,207.58,202.63,206.94,723896.0
2019-01-20,203.27,207.58,202.63,206.94,723896.0
2019-01-21,203.27,207.58,202.63,206.94,723896.0
2019-01-22,205.59,205.59,202.04,203.66,771611.0
2019-01-23,224.0,229.7,220.29,229.51,2384504.0
2019-01-24,229.38,230.18,223.43,223.71,1110322.0
2019-01-25,225.0,229.99,223.85,229.16,1003015.0
2019-01-26,225.0,229.99,223.85,229.16,1003015.0
2019-01-27,225.0,229.99,223.85,229.16,1003015.0
2019-01-28,227.94,229.73,226.82,228.66,813373.0
2019-01-29,230.64,231.89,227.85,229.42,702116.0
2019-01-30,229.06,232.325,226.2,231.57,852101.0
2019-01-31,231.2,231.7,228.04,231.22,751012.0
2019-02-01,231.62,233.0,229.78,230.81,680690.0
2019-02-02,231.62,233.0,229.78,230.81,680690.0
2019-02-03,231.62,233.0,229.78,230.81,680690.0
2019-02-04,230.8,232.41,228.58,230.29,826633.0
2019-02-05,230.31,233.27,230.26,232.65,414373.0
2019-02-06,231.45,233.48,231.26,232.61,544160.0
2019-02-07,231.0,231.55,228.86,230.0,507336.0
2019-02-08,228.75,231.09,228.06,231.0,543761.0
2019-02-09,228.75,231.09,228.06,231.0,543761.0
2019-02-10,228.75,231.09,228.06,231.0,543761.0
2019-02-11,232.17,233.0,231.58,232.35,419275.0
2019-02-12,234.82,234.82,232.93,234.14,576555.0
2019-02-13,234.69,235.85,233.47,234.23,540728.0
2019-02-14,232.87,232.88,231.33,231.5,647790.0
2019-02-15,233.44,234.84,231.49,234.69,592233.0
2019-02-16,233.44,234.84,231.49,234.69,592233.0
2019-02-17,233.44,234.84,231.49,234.69,592233.0
2019-02-18,233.44,234.84,231.49,234.69,592233.0
2019-02-19,234.23,235.57,233.55,234.44,498453.0
2019-02-20,234.25,234.53,232.36,234.0,402240.0
2019-02-21,233.05,234.91,232.218,234.58,451240.0
2019-02-22,235.19,236.3,234.26,235.41,330119.0
2019-02-23,235.19,236.3,234.26,235.41,330119.0
2019-02-24,235.19,236.3,234.26,235.41,330119.0
2019-02-25,237.37,240.975,237.37,239.08,753051.0
2019-02-26,238.31,239.39,236.78,238.52,648622.0
2019-02-27,237.54,242.1,237.54,241.64,443946.0
2019-02-28,240.78,242.53,240.53,242.22,797695.0
2019-03-01,244.42,246.43,244.17,244.8,760573.0
2019-03-02,244.42,246.43,244.17,244.8,760573.0
