,OXM US Equity,OXM US Equity,OXM US Equity,OXM US Equity,OXM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,68.7881,69.5164,68.5787,68.6606,144095.0
2020-01-02,69.1158,69.8168,68.0598,69.6984,106129.0
2020-01-03,68.5241,69.6347,68.0962,69.3889,122749.0
2020-01-04,68.5241,69.6347,68.0962,69.3889,122749.0
2020-01-05,68.5241,69.6347,68.0962,69.3889,122749.0
2020-01-06,68.4603,70.0262,68.3511,69.9716,94160.0
2020-01-07,69.7531,70.3084,69.0612,69.7257,74106.0
2020-01-08,69.7986,70.4723,68.697,68.8154,140399.0
2020-01-09,68.9519,69.0066,65.8475,65.9295,194334.0
2020-01-10,65.975,66.3665,65.051,65.975,109718.0
2020-01-11,65.975,66.3665,65.051,65.975,109718.0
2020-01-12,65.975,66.3665,65.051,65.975,109718.0
2020-01-13,65.9295,66.9673,65.8612,66.94,76885.0
2020-01-14,66.7943,67.7775,66.5485,67.2404,67215.0
2020-01-15,66.9309,67.468,66.7015,67.0948,122780.0
2020-01-16,67.3418,68.3711,67.0215,67.8633,94809.0
2020-01-17,68.1561,68.1653,67.4058,67.7901,117480.0
2020-01-18,68.1561,68.1653,67.4058,67.7901,117480.0
2020-01-19,68.1561,68.1653,67.4058,67.7901,117480.0
2020-01-20,68.1561,68.1653,67.4058,67.7901,117480.0
2020-01-21,67.415,67.5431,66.5092,67.0032,81792.0
2020-01-22,67.1862,67.8267,66.7745,67.1222,74996.0
2020-01-23,66.6464,67.2228,65.5301,66.6921,122480.0
2020-01-24,66.8843,66.8843,65.585,66.134,95839.0
2020-01-25,66.8843,66.8843,65.585,66.134,95839.0
2020-01-26,66.8843,66.8843,65.585,66.134,95839.0
2020-01-27,64.8622,65.4935,64.1531,64.7982,86581.0
2020-01-28,65.0818,65.7497,64.8622,64.9354,50829.0
2020-01-29,68.4946,68.4946,65.8321,65.8321,70309.0
