,BLMN US Equity,BLMN US Equity,BLMN US Equity,BLMN US Equity,BLMN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,15.928,16.1625,15.4267,16.1354,906970.0
2019-01-02,15.928,16.4601,15.6394,16.415,2043726.0
2019-01-03,16.3609,16.6225,16.1715,16.2617,1128057.0
2019-01-04,16.5052,17.0193,16.415,17.0013,1712745.0
2019-01-05,16.5052,17.0193,16.415,17.0013,1712745.0
2019-01-06,16.5052,17.0193,16.415,17.0013,1712745.0
2019-01-07,16.9562,17.7769,16.8389,17.4342,1583643.0
2019-01-08,17.9393,18.3722,17.8581,18.1106,1493316.0
2019-01-09,18.1467,18.3181,17.5875,17.8581,1822214.0
2019-01-10,17.7408,17.9302,17.6529,17.822,1017112.0
2019-01-11,17.7228,17.9393,17.5063,17.7589,966851.0
2019-01-12,17.7228,17.9393,17.5063,17.7589,966851.0
2019-01-13,17.7228,17.9393,17.5063,17.7589,966851.0
2019-01-14,17.6867,17.7859,17.3801,17.3891,1065492.0
2019-01-15,17.4522,17.6236,17.1365,17.6055,1417617.0
2019-01-16,17.6055,17.7679,17.1726,17.4432,1629043.0
2019-01-17,17.3981,17.5605,17.2538,17.344,1235907.0
2019-01-18,17.3981,17.6777,17.353,17.4703,926696.0
2019-01-19,17.3981,17.6777,17.353,17.4703,926696.0
2019-01-20,17.3981,17.6777,17.353,17.4703,926696.0
2019-01-21,17.3981,17.6777,17.353,17.4703,926696.0
2019-01-22,17.353,17.4793,17.0283,17.1907,1070214.0
2019-01-23,17.2899,17.7138,17.1816,17.2628,868525.0
2019-01-24,17.2718,17.371,17.0373,17.0915,610012.0
2019-01-25,17.1907,17.2538,16.9291,17.1005,952488.0
2019-01-26,17.1907,17.2538,16.9291,17.1005,952488.0
2019-01-27,17.1907,17.2538,16.9291,17.1005,952488.0
2019-01-28,16.9652,17.7138,16.9652,17.5695,980932.0
2019-01-29,17.5244,17.5244,16.6134,17.1185,1090393.0
2019-01-30,17.1095,17.4161,17.0328,17.1546,1082411.0
2019-01-31,17.1546,17.2087,16.5052,16.6225,2018881.0
2019-02-01,16.6495,16.9291,16.4736,16.5232,1174568.0
2019-02-02,16.6495,16.9291,16.4736,16.5232,1174568.0
2019-02-03,16.6495,16.9291,16.4736,16.5232,1174568.0
2019-02-04,16.5774,17.0734,16.5774,16.8479,744917.0
2019-02-05,16.884,17.2718,16.5772,17.2087,904544.0
2019-02-06,17.1997,17.3981,17.0509,17.3891,1460470.0
2019-02-07,17.2899,17.4432,17.1456,17.2899,679629.0
2019-02-08,16.7758,17.1726,16.4803,17.1456,2030355.0
