,JAZZ US Equity,JAZZ US Equity,JAZZ US Equity,JAZZ US Equity,JAZZ US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,121.8,123.995,121.703,123.96,444560.0
2019-01-02,122.33,125.95,120.55,125.13,531567.0
2019-01-03,125.52,128.4,124.05,126.01,717673.0
2019-01-04,128.47,129.37,125.27,128.75,857670.0
2019-01-05,128.47,129.37,125.27,128.75,857670.0
2019-01-06,128.47,129.37,125.27,128.75,857670.0
2019-01-07,128.75,130.61,126.98,128.76,631217.0
2019-01-08,129.58,132.73,124.28,128.08,1172720.0
2019-01-09,128.65,131.81,127.42,131.31,710481.0
2019-01-10,130.96,131.1,128.537,130.48,663813.0
2019-01-11,130.59,131.27,128.0,128.85,497959.0
2019-01-12,130.59,131.27,128.0,128.85,497959.0
2019-01-13,130.59,131.27,128.0,128.85,497959.0
2019-01-14,127.98,129.11,126.11,127.25,575364.0
2019-01-15,128.18,128.42,126.695,128.0,1122772.0
2019-01-16,127.83,129.52,127.12,128.17,1044973.0
2019-01-17,128.1,129.88,126.6,127.39,819394.0
2019-01-18,128.47,129.42,127.21,129.07,625949.0
2019-01-19,128.47,129.42,127.21,129.07,625949.0
2019-01-20,128.47,129.42,127.21,129.07,625949.0
2019-01-21,128.47,129.42,127.21,129.07,625949.0
2019-01-22,128.74,129.521,127.0,128.66,478469.0
2019-01-23,129.26,130.19,127.01,128.01,433588.0
2019-01-24,127.7,128.53,125.5,125.73,490359.0
2019-01-25,127.1,128.68,126.33,126.93,729542.0
2019-01-26,127.1,128.68,126.33,126.93,729542.0
2019-01-27,127.1,128.68,126.33,126.93,729542.0
2019-01-28,126.38,127.18,124.21,124.74,678640.0
2019-01-29,125.03,125.59,124.4,124.97,461263.0
2019-01-30,125.18,126.795,124.31,125.49,486875.0
2019-01-31,125.32,127.5,124.95,125.89,949988.0
2019-02-01,126.99,128.91,125.42,128.35,601858.0
2019-02-02,126.99,128.91,125.42,128.35,601858.0
2019-02-03,126.99,128.91,125.42,128.35,601858.0
2019-02-04,128.42,129.38,127.51,128.68,384479.0
2019-02-05,128.67,131.64,128.1,128.51,586158.0
2019-02-06,128.3,129.49,127.515,127.79,375347.0
2019-02-07,127.8,127.98,124.61,125.07,355635.0
2019-02-08,124.59,126.39,124.25,125.08,548297.0
2019-02-09,124.59,126.39,124.25,125.08,548297.0
2019-02-10,124.59,126.39,124.25,125.08,548297.0
2019-02-11,125.14,126.345,123.8,124.12,771855.0
2019-02-12,120.21,122.48,119.54,121.81,1328012.0
2019-02-13,121.39,125.74,121.39,124.33,584863.0
2019-02-14,124.19,125.76,122.97,125.32,329863.0
2019-02-15,126.49,127.23,125.62,125.93,515556.0
2019-02-16,126.49,127.23,125.62,125.93,515556.0
2019-02-17,126.49,127.23,125.62,125.93,515556.0
2019-02-18,126.49,127.23,125.62,125.93,515556.0
2019-02-19,125.02,127.74,125.02,126.98,342142.0
2019-02-20,126.9,127.885,126.05,126.78,432708.0
2019-02-21,126.59,127.05,124.17,125.21,429618.0
2019-02-22,125.71,127.26,125.12,126.01,546707.0
2019-02-23,125.71,127.26,125.12,126.01,546707.0
2019-02-24,125.71,127.26,125.12,126.01,546707.0
2019-02-25,126.98,127.961,125.26,126.25,1052959.0
2019-02-26,125.93,128.19,125.415,127.76,1395187.0
2019-02-27,137.91,141.55,137.2,137.83,1542895.0
2019-02-28,138.0,141.94,137.64,140.03,1256391.0
2019-03-01,139.5,142.5,138.78,138.98,824514.0
2019-03-02,139.5,142.5,138.78,138.98,824514.0
2019-03-03,139.5,142.5,138.78,138.98,824514.0
2019-03-04,139.13,140.0,132.86,134.48,731398.0
2019-03-05,134.47,136.96,132.61,135.82,750208.0
2019-03-06,135.41,136.59,134.88,135.7,695839.0
2019-03-07,135.09,136.87,134.43,135.88,939995.0
2019-03-08,134.6,135.05,130.59,132.52,752178.0
2019-03-09,134.6,135.05,130.59,132.52,752178.0
2019-03-10,134.6,135.05,130.59,132.52,752178.0
2019-03-11,132.31,134.68,132.31,133.0,639678.0
2019-03-12,133.45,134.775,132.74,133.85,678608.0
2019-03-13,134.3,135.53,132.62,135.22,510032.0
2019-03-14,135.46,136.81,134.11,134.8,512909.0
2019-03-15,135.62,136.79,134.76,136.71,696352.0
2019-03-16,135.62,136.79,134.76,136.71,696352.0
2019-03-17,135.62,136.79,134.76,136.71,696352.0
2019-03-18,136.78,137.76,134.07,134.45,717969.0
2019-03-19,135.19,136.03,133.42,135.55,1073711.0
2019-03-20,135.64,137.73,132.72,133.57,1006806.0
2019-03-21,136.38,137.27,134.03,136.03,814279.0
2019-03-22,135.83,136.99,134.6,136.6,845053.0
2019-03-23,135.83,136.99,134.6,136.6,845053.0
2019-03-24,135.83,136.99,134.6,136.6,845053.0
2019-03-25,136.66,137.72,134.61,136.92,474407.0
2019-03-26,137.61,138.93,135.85,136.54,628759.0
2019-03-27,137.86,140.33,137.14,137.29,723086.0
2019-03-28,137.34,140.45,137.34,140.14,526174.0
2019-03-29,141.21,143.36,140.651,142.95,679255.0
2019-03-30,141.21,143.36,140.651,142.95,679255.0
2019-03-31,141.21,143.36,140.651,142.95,679255.0
2019-04-01,143.59,144.4,142.77,142.94,722486.0
2019-04-02,143.38,143.38,140.61,140.7,582117.0
2019-04-03,141.04,141.99,139.49,139.9,648720.0
2019-04-04,139.83,143.17,139.12,143.06,491876.0
2019-04-05,143.71,144.92,142.2,144.48,301384.0
2019-04-06,143.71,144.92,142.2,144.48,301384.0
2019-04-07,143.71,144.92,142.2,144.48,301384.0
2019-04-08,143.97,144.94,142.536,143.53,390255.0
2019-04-09,143.0,143.39,139.65,140.09,507999.0
2019-04-10,140.65,141.99,140.09,141.09,387859.0
2019-04-11,141.02,141.75,138.63,139.8,311410.0
2019-04-12,140.04,140.04,136.77,137.12,425584.0
2019-04-13,140.04,140.04,136.77,137.12,425584.0
2019-04-14,140.04,140.04,136.77,137.12,425584.0
2019-04-15,137.15,138.7,136.4,138.39,520402.0
2019-04-16,138.58,142.723,135.48,135.9,456780.0
2019-04-17,136.04,136.17,126.63,127.68,871138.0
2019-04-18,128.27,129.88,126.3,128.44,567817.0
