,CACC US Equity,CACC US Equity,CACC US Equity,CACC US Equity,CACC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-03-24,446.62,446.9286,429.01,431.86,86668.0
2019-03-25,434.15,439.606,430.725,434.27,83002.0
2019-03-26,437.58,442.99,434.98,440.27,51665.0
2019-03-27,439.34,446.29,438.9275,445.83,92713.0
2019-03-28,444.35,449.79,442.81,447.94,69192.0
2019-03-29,448.5,453.76,441.6675,451.93,87837.0
2019-03-30,448.5,453.76,441.6675,451.93,87837.0
2019-03-31,448.5,453.76,441.6675,451.93,87837.0
2019-04-01,454.55,456.94,447.68,456.91,105273.0
2019-04-02,456.31,458.06,452.0,455.76,52058.0
2019-04-03,457.75,461.99,452.69,455.1,63010.0
2019-04-04,454.2,454.805,445.53,448.74,78038.0
2019-04-05,447.19,450.97,445.36,448.14,84336.0
2019-04-06,447.19,450.97,445.36,448.14,84336.0
2019-04-07,447.19,450.97,445.36,448.14,84336.0
2019-04-08,447.45,456.98,444.68,454.44,102392.0
2019-04-09,454.3,456.4,444.045,445.61,99064.0
2019-04-10,445.82,454.96,443.6,453.63,47120.0
2019-04-11,454.7,458.04,442.015,445.29,90796.0
2019-04-12,449.06,460.74,447.905,458.97,122231.0
2019-04-13,449.06,460.74,447.905,458.97,122231.0
2019-04-14,449.06,460.74,447.905,458.97,122231.0
2019-04-15,459.22,462.32,455.44,456.59,60633.0
2019-04-16,459.08,466.66,457.04,464.31,73496.0
2019-04-17,466.7,472.18,459.32,471.06,95989.0
2019-04-18,472.15,474.45,465.24,470.48,80500.0
2019-04-19,472.15,474.45,465.24,470.48,80500.0
2019-04-20,472.15,474.45,465.24,470.48,80500.0
2019-04-21,472.15,474.45,465.24,470.48,80500.0
2019-04-22,469.305,472.05,466.57,471.02,62889.0
2019-04-23,474.14,489.375,474.07,488.75,166718.0
2019-04-24,489.51,490.0,483.66,486.97,101358.0
2019-04-25,487.98,497.895,484.19,493.56,135411.0
2019-04-26,493.91,504.42,493.91,501.08,95305.0
2019-04-27,493.91,504.42,493.91,501.08,95305.0
