,LEN/B US Equity,LEN/B US Equity,LEN/B US Equity,LEN/B US Equity,LEN/B US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,29.5021,29.5857,28.4621,29.0935,91990.0
2019-01-02,28.7871,29.985,28.6942,29.79,56302.0
2019-01-03,29.2978,30.0314,29.205,29.6414,65519.0
2019-01-04,29.4464,30.9229,29.4464,30.8951,96564.0
2019-01-05,29.4464,30.9229,29.4464,30.8951,96564.0
2019-01-06,29.4464,30.9229,29.4464,30.8951,96564.0
2019-01-07,31.2758,32.2601,31.1736,31.8144,89269.0
2019-01-08,32.0373,32.2364,31.2479,32.158,39263.0
2019-01-09,32.5016,35.2596,32.2832,34.7581,153440.0
2019-01-10,34.6095,34.6095,33.4209,33.7273,83441.0
2019-01-11,33.718,35.2688,33.718,34.5538,39958.0
2019-01-12,33.718,35.2688,33.718,34.5538,39958.0
2019-01-13,33.718,35.2688,33.718,34.5538,39958.0
2019-01-14,34.3216,34.4968,33.7088,33.8016,40106.0
2019-01-15,33.718,34.4702,33.718,34.2102,19084.0
2019-01-16,34.2381,34.4795,33.7273,33.8666,25446.0
2019-01-17,33.5695,33.8945,33.2166,33.5695,57003.0
2019-01-18,33.8202,33.8666,32.873,32.9287,35889.0
2019-01-19,33.8202,33.8666,32.873,32.9287,35889.0
2019-01-20,33.8202,33.8666,32.873,32.9287,35889.0
2019-01-21,33.8202,33.8666,32.873,32.9287,35889.0
2019-01-22,32.6873,33.0494,32.288,32.4644,34932.0
2019-01-23,32.548,33.0773,32.3344,32.7337,32135.0
2019-01-24,33.0033,33.7657,32.929,33.6913,46675.0
2019-01-25,34.3885,34.8069,33.0033,33.3938,237081.0
2019-01-26,34.3885,34.8069,33.0033,33.3938,237081.0
2019-01-27,34.3885,34.8069,33.0033,33.3938,237081.0
2019-01-28,33.1521,33.933,33.1521,33.2915,11979.0
2019-01-29,33.1707,34.5931,32.5478,34.5838,36188.0
2019-01-30,34.1561,34.8627,33.84,34.7604,123264.0
2019-01-31,35.0672,35.9783,35.0672,35.4391,82453.0
2019-02-01,35.8388,36.4598,35.1788,35.3182,105063.0
2019-02-02,35.8388,36.4598,35.1788,35.3182,105063.0
2019-02-03,35.8388,36.4598,35.1788,35.3182,105063.0
2019-02-04,35.3368,35.374,34.7604,35.1788,41307.0
2019-02-05,35.2717,35.4391,34.9277,35.4205,203904.0
2019-02-06,35.4112,35.4112,34.6024,34.6767,21991.0
2019-02-07,34.4164,34.9463,34.4164,34.8813,12583.0
2019-02-08,34.6581,34.7511,34.3235,34.6581,27788.0
2019-02-09,34.6581,34.7511,34.3235,34.6581,27788.0
2019-02-10,34.6581,34.7511,34.3235,34.6581,27788.0
2019-02-11,34.5895,34.6674,34.5094,34.6303,19521.0
2019-02-12,34.6581,36.6941,34.6581,36.5826,54445.0
2019-02-13,36.815,36.815,35.8574,36.1549,20790.0
2019-02-14,36.2107,36.2107,35.7552,36.0805,86751.0
2019-02-15,36.2665,36.7644,36.2665,36.5547,23331.0
2019-02-16,36.2665,36.7644,36.2665,36.5547,23331.0
2019-02-17,36.2665,36.7644,36.2665,36.5547,23331.0
2019-02-18,36.2665,36.7644,36.2665,36.5547,23331.0
2019-02-19,36.1642,37.2519,36.1642,36.8057,45880.0
