,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,229.2721,229.8509,227.352,229.6028,144299370.0
2019-01-02,225.9831,230.7879,225.9556,229.8417,126925199.0
2019-01-03,228.0502,228.3626,223.8609,224.357,144140692.0
2019-01-04,227.4622,232.5335,227.0764,231.872,142628834.0
2019-01-05,227.4622,232.5335,227.0764,231.872,142628834.0
2019-01-06,227.4622,232.5335,227.0764,231.872,142628834.0
2019-01-07,232.1476,235.1426,231.2289,233.7002,103139100.0
2019-01-08,235.9419,236.392,233.3511,235.8959,102512587.0
2019-01-09,236.6217,237.862,235.3631,236.9984,95006554.0
2019-01-10,235.4274,238.0916,234.7292,237.8344,96823923.0
2019-01-11,236.732,237.9537,236.1348,237.9263,73858110.0
2019-01-12,236.732,237.9537,236.1348,237.9263,73858110.0
2019-01-13,236.732,237.9537,236.1348,237.9263,73858110.0
2019-01-14,235.9786,237.3016,235.5652,236.4747,70908227.0
2019-01-15,236.8606,239.5065,236.8514,239.1849,85208271.0
2019-01-16,239.6259,240.6701,239.4146,239.7637,77636710.0
2019-01-17,238.8725,242.4647,238.8266,241.5827,96118435.0
2019-01-18,243.4385,245.2759,241.6176,244.7982,127900303.0
2019-01-19,243.4385,245.2759,241.6176,244.7982,127900303.0
2019-01-20,243.4385,245.2759,241.6176,244.7982,127900303.0
2019-01-21,243.4385,245.2759,241.6176,244.7982,127900303.0
2019-01-22,243.2915,243.512,239.8372,241.4909,115531183.0
2019-01-23,242.5474,243.264,239.4697,241.9961,86030287.0
2019-01-24,241.8124,242.7219,240.7743,242.1248,59204139.0
2019-01-25,244.0173,245.0187,242.2254,244.1735,96883358.0
2019-01-26,244.0173,245.0187,242.2254,244.1735,96883358.0
2019-01-27,244.0173,245.0187,242.2254,244.1735,96883358.0
2019-01-28,241.9778,242.382,240.5078,242.3177,85613655.0
2019-01-29,242.4647,243.0435,241.1417,241.9961,66136334.0
2019-01-30,243.5488,246.6907,242.7679,245.8271,92473671.0
2019-01-31,245.7628,248.4822,245.5423,247.9861,104012073.0
2019-02-01,248.1882,249.1529,247.2971,248.1055,85782524.0
2019-02-02,248.1882,249.1529,247.2971,248.1055,85782524.0
2019-02-03,248.1882,249.1529,247.2971,248.1055,85782524.0
2019-02-04,248.1515,249.9154,247.4624,249.8511,60744844.0
2019-02-05,250.2921,251.2108,249.7776,250.8984,79552774.0
2019-02-06,250.6136,251.1189,249.8143,250.5677,58347791.0
2019-02-07,248.914,249.4744,246.4794,248.179,95481961.0
2019-02-08,246.902,248.5833,246.0568,248.4822,75788861.0
2019-02-09,246.902,248.5833,246.0568,248.4822,75788861.0
2019-02-10,246.902,248.5833,246.0568,248.4822,75788861.0
2019-02-11,249.1529,249.4193,248.078,248.62,68021423.0
2019-02-12,250.2737,252.203,250.2002,251.8171,72270221.0
2019-02-13,252.6715,253.4983,252.2397,252.6348,65277204.0
2019-02-14,251.5231,253.2319,250.6871,252.0743,83234396.0
2019-02-15,253.8934,254.858,253.6821,254.8213,97088659.0
2019-02-16,253.8934,254.858,253.6821,254.8213,97088659.0
2019-02-17,253.8934,254.858,253.6821,254.8213,97088659.0
2019-02-18,253.8934,254.858,253.6821,254.8213,97088659.0
2019-02-19,254.0048,255.9329,253.9944,255.2622,59120804.0
2019-02-20,255.2255,256.2453,254.711,255.7767,76610767.0
2019-02-21,255.1244,255.4919,253.8796,254.8672,64214727.0
2019-02-22,255.5011,256.6495,254.8515,256.4474,78114616.0
2019-02-23,255.5011,256.6495,254.8515,256.4474,78114616.0
2019-02-24,255.5011,256.6495,254.8515,256.4474,78114616.0
2019-02-25,257.9081,258.441,256.7138,256.7965,69030699.0
2019-02-26,256.4382,257.5131,256.2269,256.6127,56844101.0
2019-02-27,255.8778,256.8608,254.9223,256.5025,56921570.0
2019-02-28,256.282,256.7322,255.694,256.0248,69268293.0
2019-03-01,257.6417,258.0459,256.1534,257.6233,78880548.0
2019-03-02,257.6417,258.0459,256.1534,257.6233,78880548.0
2019-03-03,257.6417,258.0459,256.1534,257.6233,78880548.0
2019-03-04,258.7074,258.9554,254.3344,256.6862,106494637.0
2019-03-05,256.8149,257.017,255.7767,256.3371,59114559.0
2019-03-06,256.4566,256.4658,254.4538,254.7845,75039771.0
2019-03-07,254.3252,254.4722,251.7895,252.6531,94885089.0
2019-03-08,250.7514,252.3224,250.2737,252.1478,85795799.0
2019-03-09,250.7514,252.3224,250.2737,252.1478,85795799.0
2019-03-10,250.7514,252.3224,250.2737,252.1478,85795799.0
2019-03-11,252.8828,255.9697,252.8552,255.8043,65098897.0
2019-03-12,256.3739,257.3018,256.181,256.7689,79667530.0
2019-03-13,257.6784,259.424,257.5131,258.4685,80639153.0
2019-03-14,258.4961,258.9279,257.8495,258.3032,67518366.0
2019-03-15,258.869,260.41,258.6752,259.5795,81308979.0
2019-03-16,258.869,260.41,258.6752,259.5795,81308979.0
2019-03-17,258.869,260.41,258.6752,259.5795,81308979.0
2019-03-18,259.8009,260.8252,259.5703,260.5207,62199806.0
2019-03-19,261.6095,262.3939,259.6718,260.5853,90268121.0
2019-03-20,260.3638,261.6003,258.666,259.8009,84609210.0
2019-03-21,258.9612,263.1505,258.9151,262.7353,79550375.0
2019-03-22,261.3419,261.8803,257.614,257.6786,122659286.0
2019-03-23,261.3419,261.8803,257.614,257.6786,122659286.0
2019-03-24,261.3419,261.8803,257.614,257.6786,122659286.0
2019-03-25,257.328,258.5417,256.193,257.4848,85575197.0
2019-03-26,259.2842,260.3823,257.9647,259.4042,68125920.0
2019-03-27,259.3949,259.9947,256.4606,258.0477,72224722.0
2019-03-28,258.6936,259.4872,257.5125,259.0258,56238545.0
2019-03-29,260.5761,260.9913,259.4226,260.6591,82186806.0
2019-03-30,260.5761,260.9913,259.4226,260.6591,82186806.0
2019-03-31,260.5761,260.9913,259.4226,260.6591,82186806.0
2019-04-01,262.7076,264.0548,262.4308,263.7503,77617945.0
2019-04-02,263.9441,264.1194,263.0675,263.8795,40070351.0
2019-04-03,265.1252,265.5312,263.6765,264.2947,68243202.0
2019-04-04,264.6269,265.2535,263.9164,264.996,48997505.0
2019-04-05,265.6789,266.334,265.3836,266.2787,58621729.0
2019-04-06,265.6789,266.334,265.3836,266.2787,58621729.0
2019-04-07,265.6789,266.334,265.3836,266.2787,58621729.0
