,VMW US Equity,VMW US Equity,VMW US Equity,VMW US Equity,VMW US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,124.7875,125.7062,124.2133,124.5086,689312.0
2020-01-02,126.1082,127.7241,125.1895,127.6667,1095724.0
2020-01-03,125.5176,127.7241,125.4109,126.3378,1058208.0
2020-01-04,125.5176,127.7241,125.4109,126.3378,1058208.0
2020-01-05,125.5176,127.7241,125.4109,126.3378,1058208.0
2020-01-06,125.5012,126.4363,124.3036,126.3706,779752.0
2020-01-07,126.0671,127.3304,122.9337,123.3192,1265900.0
2020-01-08,124.1477,124.6235,121.0758,124.3118,1598756.0
2020-01-09,125.5012,126.305,123.1634,124.5168,1200466.0
2020-01-10,125.1074,125.2469,122.6548,122.9337,1050288.0
2020-01-11,125.1074,125.2469,122.6548,122.9337,1050288.0
2020-01-12,125.1074,125.2469,122.6548,122.9337,1050288.0
2020-01-13,123.7048,124.8917,122.6466,124.6809,1188509.0
2020-01-14,125.0418,127.2893,124.4324,124.7547,1179409.0
2020-01-15,125.2879,125.4027,122.5646,122.7451,988632.0
2020-01-16,123.8606,126.1328,123.8606,124.8449,1088752.0
2020-01-17,125.8703,126.1656,123.6063,124.1559,792628.0
2020-01-18,125.8703,126.1656,123.6063,124.1559,792628.0
2020-01-19,125.8703,126.1656,123.6063,124.1559,792628.0
2020-01-20,125.8703,126.1656,123.6063,124.1559,792628.0
2020-01-21,123.8606,124.1477,121.6377,121.9576,1158494.0
2020-01-22,123.6473,125.0336,122.9091,123.0075,1125615.0
2020-01-23,123.1306,126.1656,122.5482,125.5668,1085570.0
2020-01-24,126.141,129.0693,123.2454,123.5571,1070682.0
2020-01-25,126.141,129.0693,123.2454,123.5571,1070682.0
2020-01-26,126.141,129.0693,123.2454,123.5571,1070682.0
2020-01-27,121.1947,121.1947,119.1359,119.1359,1092729.0
2020-01-28,119.8741,122.5236,119.8741,122.0642,819140.0
2020-01-29,122.8681,123.4505,121.3506,121.7279,694110.0
2020-01-30,120.9815,124.3774,120.1202,124.0493,990300.0
2020-01-31,123.5243,123.5243,120.1207,121.449,1151703.0
2020-02-01,123.5243,123.5243,120.1207,121.449,1151703.0
2020-02-02,123.5243,123.5243,120.1207,121.449,1151703.0
2020-02-03,121.8099,122.9911,121.6295,122.4826,658083.0
2020-02-04,124.2708,126.5429,123.5489,125.9933,946427.0
2020-02-05,127.2237,128.692,124.0657,124.32,1159135.0
2020-02-06,128.3557,130.2013,127.3263,129.1924,1539387.0
2020-02-07,128.5115,128.5279,126.8382,128.1834,847346.0
2020-02-08,128.5115,128.5279,126.8382,128.1834,847346.0
2020-02-09,128.5115,128.5279,126.8382,128.1834,847346.0
2020-02-10,126.6003,129.9142,125.9195,129.4959,829501.0
2020-02-11,130.4228,131.0626,127.9127,128.1178,1339799.0
2020-02-12,128.9381,130.7263,128.7822,130.3161,1004240.0
2020-02-13,129.7419,130.5212,128.3311,130.431,1031281.0
2020-02-14,130.4802,132.859,130.4228,132.7359,1389010.0
2020-02-15,130.4802,132.859,130.4228,132.7359,1389010.0
2020-02-16,130.4802,132.859,130.4228,132.7359,1389010.0
2020-02-17,130.4802,132.859,130.4228,132.7359,1389010.0
2020-02-18,131.645,132.2274,130.6032,131.5383,678341.0
2020-02-19,132.4734,133.8433,132.2684,133.1543,711981.0
2020-02-20,133.1625,133.8023,129.6682,133.0476,1136410.0
2020-02-21,130.6114,131.727,129.7337,131.1364,1381543.0
2020-02-22,130.6114,131.727,129.7337,131.1364,1381543.0
2020-02-23,130.6114,131.727,129.7337,131.1364,1381543.0
2020-02-24,125.2223,125.8539,122.4826,124.4266,1457462.0
2020-02-25,125.5422,125.7308,119.4958,120.6124,1368136.0
2020-02-26,121.974,123.2617,117.5199,118.3402,1479140.0
2020-02-27,114.8951,117.3313,111.1054,111.2531,3042452.0
2020-02-28,100.5896,105.421,95.1512,98.8588,5873255.0
2020-02-29,100.5896,105.421,95.1512,98.8588,5873255.0
2020-03-01,100.5896,105.421,95.1512,98.8588,5873255.0
2020-03-02,99.1213,100.7044,95.7008,99.8595,3551200.0
2020-03-03,100.04,103.682,95.6598,98.9162,2415496.0
2020-03-04,100.4747,105.1585,99.8678,103.0012,2274206.0
2020-03-05,100.2533,101.8774,98.662,99.9744,1937431.0
2020-03-06,96.5949,98.0468,93.97,96.0781,1952930.0
2020-03-07,96.5949,98.0468,93.97,96.0781,1952930.0
2020-03-08,96.5949,98.0468,93.97,96.0781,1952930.0
2020-03-09,87.9821,92.2967,86.6614,89.7784,2654013.0
2020-03-10,93.4532,93.9126,87.1126,93.3794,2155908.0
2020-03-11,90.7792,92.0424,85.5294,86.9567,1827429.0
2020-03-12,79.351,83.1138,79.0575,80.2633,2690766.0
2020-03-13,84.9142,88.6547,79.6153,88.4906,2184363.0
2020-03-14,84.9142,88.6547,79.6153,88.4906,2184363.0
2020-03-15,84.9142,88.6547,79.6153,88.4906,2184363.0
2020-03-16,79.2052,84.906,78.1224,78.6966,1812536.0
2020-03-17,79.9024,81.4691,70.5431,78.6146,2296543.0
2020-03-18,73.8242,76.7444,72.036,76.2932,1676616.0
2020-03-19,75.2679,86.686,71.2076,82.1828,2388203.0
2020-03-20,85.1849,92.8462,83.8479,86.7188,2554359.0
2020-03-21,85.1849,92.8462,83.8479,86.7188,2554359.0
2020-03-22,85.1849,92.8462,83.8479,86.7188,2554359.0
2020-03-23,85.8576,89.7046,81.4281,86.7352,1675829.0
2020-03-24,93.1662,94.9789,87.0141,92.3049,1678993.0
2020-03-25,93.5107,101.1228,91.9275,95.3153,1924569.0
2020-03-26,95.7582,104.8837,95.6434,102.3039,1982957.0
2020-03-27,97.9975,98.6045,92.3377,94.9379,2095578.0
2020-03-28,97.9975,98.6045,92.3377,94.9379,2095578.0
2020-03-29,97.9975,98.6045,92.3377,94.9379,2095578.0
2020-03-30,95.5285,100.8931,95.2332,98.8588,1403638.0
2020-03-31,98.6948,102.3286,98.4405,99.3346,1581803.0
2020-04-01,95.873,99.0639,93.6747,95.1512,1454552.0
2020-04-02,93.9782,97.612,92.0768,96.9558,1273632.0
2020-04-03,96.6769,98.2682,94.1095,95.9469,1330916.0
2020-04-04,96.6769,98.2682,94.1095,95.9469,1330916.0
2020-04-05,96.6769,98.2682,94.1095,95.9469,1330916.0
2020-04-06,100.5322,101.295,97.6776,100.8439,1823640.0
2020-04-07,103.5918,104.7237,100.5978,101.3442,1827504.0
2020-04-08,102.4516,107.8654,101.7954,107.0123,1664776.0
2020-04-09,108.2755,110.4492,106.5037,107.808,1051038.0
2020-04-10,108.2755,110.4492,106.5037,107.808,1051038.0
2020-04-11,108.2755,110.4492,106.5037,107.808,1051038.0
2020-04-12,108.2755,110.4492,106.5037,107.808,1051038.0
2020-04-13,106.8728,108.1853,104.8058,106.5776,2224839.0
2020-04-14,109.1778,112.3769,107.9802,111.6058,1954890.0
2020-04-15,108.1361,111.0562,108.1361,109.5387,1561212.0
2020-04-16,110.9332,114.124,109.9899,110.9824,1710458.0
2020-04-17,112.9264,113.6073,110.2688,111.9503,1436506.0
2020-04-18,112.9264,113.6073,110.2688,111.9503,1436506.0
2020-04-19,112.9264,113.6073,110.2688,111.9503,1436506.0
2020-04-20,109.5715,111.9749,108.3288,108.7841,1719880.0
2020-04-21,106.5611,107.1189,99.8924,102.509,2040408.0
2020-04-22,104.6581,105.76,103.5179,104.9944,842344.0
2020-04-23,104.5761,105.6096,103.3539,103.6984,1026961.0
2020-04-24,104.6827,106.3151,103.6685,105.1339,759116.0
