,GD US Equity,GD US Equity,GD US Equity,GD US Equity,GD US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,136.838,137.538,135.945,137.538,1223431.0
2019-01-02,135.884,137.76,134.572,137.582,1276344.0
2019-01-03,136.479,137.118,133.365,134.178,1436004.0
2019-01-04,135.911,138.08,134.835,138.028,1839965.0
2019-01-05,135.911,138.08,134.835,138.028,1839965.0
2019-01-06,135.911,138.08,134.835,138.028,1839965.0
2019-01-07,137.905,139.69,136.418,138.798,1047431.0
2019-01-08,139.358,139.909,137.135,138.806,1350339.0
2019-01-09,139.331,141.3,139.244,140.766,1483825.0
2019-01-10,140.215,142.21,139.428,142.105,1131560.0
2019-01-11,141.099,143.347,140.766,143.312,1239323.0
2019-01-12,141.099,143.347,140.766,143.312,1239323.0
2019-01-13,141.099,143.347,140.766,143.312,1239323.0
2019-01-14,141.991,144.301,141.939,143.942,1367952.0
2019-01-15,144.222,144.694,142.07,142.726,1906833.0
2019-01-16,142.42,144.073,142.332,143.128,1090766.0
2019-01-17,142.539,146.789,142.319,145.812,976433.0
2019-01-18,146.938,149.692,146.27,148.328,1665849.0
2019-01-19,146.938,149.692,146.27,148.328,1665849.0
2019-01-20,146.938,149.692,146.27,148.328,1665849.0
2019-01-21,146.938,149.692,146.27,148.328,1665849.0
2019-01-22,147.51,148.513,145.675,147.132,1298110.0
2019-01-23,148.24,149.499,146.182,148.531,1199772.0
2019-01-24,148.865,151.778,148.865,150.299,1329668.0
2019-01-25,151.909,152.129,150.282,150.651,1192090.0
2019-01-26,151.909,152.129,150.282,150.651,1192090.0
2019-01-27,151.909,152.129,150.282,150.651,1192090.0
2019-01-28,149.296,151.566,148.892,151.505,1285015.0
2019-01-29,151.98,154.998,151.98,154.857,1573800.0
2019-01-30,149.437,150.766,145.196,150.379,4073435.0
2019-01-31,148.856,152.481,148.768,150.607,2162600.0
2019-02-01,150.792,151.338,148.038,148.724,1716653.0
2019-02-02,150.792,151.338,148.038,148.724,1716653.0
2019-02-03,150.792,151.338,148.038,148.724,1716653.0
2019-02-04,149.032,153.634,148.892,153.634,1664657.0
2019-02-05,153.634,153.933,151.329,151.531,1583308.0
2019-02-06,151.32,153.564,151.32,152.006,1180302.0
2019-02-07,151.443,152.781,149.974,152.737,1538450.0
2019-02-08,152.094,152.451,150.722,151.443,2255589.0
2019-02-09,152.094,152.451,150.722,151.443,2255589.0
2019-02-10,152.094,152.451,150.722,151.443,2255589.0
2019-02-11,151.751,152.129,150.176,150.396,1159739.0
2019-02-12,151.012,152.385,150.792,152.006,1303432.0
2019-02-13,152.605,153.432,152.226,152.64,1053570.0
2019-02-14,152.235,152.288,150.889,151.426,843005.0
2019-02-15,151.813,154.329,151.065,154.188,1222893.0
2019-02-16,151.813,154.329,151.065,154.188,1222893.0
2019-02-17,151.813,154.329,151.065,154.188,1222893.0
2019-02-18,151.813,154.329,151.065,154.188,1222893.0
2019-02-19,153.977,154.391,152.851,153.784,902428.0
2019-02-20,153.872,154.249,152.613,153.493,1038486.0
2019-02-21,153.256,153.373,150.361,151.012,979825.0
2019-02-22,151.487,151.971,151.012,151.813,1388412.0
2019-02-23,151.487,151.971,151.012,151.813,1388412.0
2019-02-24,151.487,151.971,151.012,151.813,1388412.0
2019-02-25,153.133,153.414,152.2,152.341,951883.0
2019-02-26,152.05,152.253,149.49,149.578,1424101.0
2019-02-27,149.05,149.569,148.018,148.997,1514879.0
2019-02-28,148.874,150.44,148.601,149.771,1739728.0
2019-03-01,150.458,150.484,148.32,148.944,1109092.0
2019-03-02,150.458,150.484,148.32,148.944,1109092.0
2019-03-03,150.458,150.484,148.32,148.944,1109092.0
2019-03-04,149.93,149.93,146.463,146.718,1706529.0
2019-03-05,146.718,148.152,146.718,147.845,1837263.0
2019-03-06,147.713,148.55,146.402,146.472,1080739.0
2019-03-07,146.217,146.529,144.239,146.358,1218271.0
2019-03-08,145.337,146.34,144.404,146.182,1324098.0
2019-03-09,145.337,146.34,144.404,146.182,1324098.0
2019-03-10,145.337,146.34,144.404,146.182,1324098.0
2019-03-11,145.284,149.455,144.897,149.147,1443774.0
2019-03-12,149.191,150.044,148.258,148.496,1452510.0
2019-03-13,149.076,152.305,148.724,151.091,1244743.0
2019-03-14,150.783,151.082,149.164,149.217,1261396.0
2019-03-15,149.261,150.423,148.396,149.393,3972139.0
2019-03-16,149.261,150.423,148.396,149.393,3972139.0
2019-03-17,149.261,150.423,148.396,149.393,3972139.0
2019-03-18,149.375,151.329,149.287,151.047,1718762.0
2019-03-19,151.778,152.641,149.898,150.211,1314776.0
2019-03-20,150.185,150.431,148.135,148.249,871287.0
2019-03-21,148.126,149.896,147.976,149.428,702536.0
2019-03-22,149.05,149.173,145.803,145.926,816523.0
2019-03-23,149.05,149.173,145.803,145.926,816523.0
2019-03-24,149.05,149.173,145.803,145.926,816523.0
2019-03-25,146.305,147.123,145.557,146.604,853981.0
2019-03-26,147.748,148.258,145.988,146.85,905911.0
2019-03-27,147.193,148.328,145.75,146.551,712115.0
2019-03-28,147.105,147.994,146.111,147.607,859052.0
