,NXST US Equity,NXST US Equity,NXST US Equity,NXST US Equity,NXST US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,66.79,68.6722,65.7792,68.524,563627.0
2019-01-02,67.034,70.0751,66.7464,69.6307,496054.0
2019-01-03,69.256,70.5369,67.6875,68.6634,366982.0
2019-01-04,69.6307,70.9551,68.6591,69.6655,1695680.0
2019-01-05,69.6307,70.9551,68.6591,69.6655,1695680.0
2019-01-06,69.6307,70.9551,68.6591,69.6655,1695680.0
2019-01-07,69.7875,71.0597,69.3083,70.0663,660405.0
2019-01-08,70.9726,72.8286,70.9726,72.3929,1136610.0
2019-01-09,72.4974,72.9593,71.4257,72.236,486216.0
2019-01-10,71.9398,74.1618,71.3124,73.3252,483491.0
2019-01-11,72.602,73.6738,72.3232,73.3601,493999.0
2019-01-12,72.602,73.6738,72.3232,73.3601,493999.0
2019-01-13,72.602,73.6738,72.3232,73.3601,493999.0
2019-01-14,73.0725,74.0571,72.3319,72.5584,635159.0
2019-01-15,72.8721,73.3252,72.0182,72.1315,335746.0
2019-01-16,71.9833,73.1945,71.6871,72.1053,397083.0
2019-01-17,71.6087,72.7589,71.4605,72.3319,260635.0
2019-01-18,72.541,73.4734,72.2535,72.7153,404731.0
2019-01-19,72.541,73.4734,72.2535,72.7153,404731.0
2019-01-20,72.541,73.4734,72.2535,72.7153,404731.0
2019-01-21,72.541,73.4734,72.2535,72.7153,404731.0
2019-01-22,72.0705,72.8896,69.5261,70.3365,476235.0
2019-01-23,70.7112,71.6174,70.2493,71.2165,290084.0
2019-01-24,71.4344,72.5149,70.9987,72.419,221961.0
2019-01-25,73.151,73.5518,72.5584,72.8634,486997.0
2019-01-26,73.151,73.5518,72.5584,72.8634,486997.0
2019-01-27,73.151,73.5518,72.5584,72.8634,486997.0
2019-01-28,72.5584,73.6128,72.0879,72.7676,241757.0
2019-01-29,72.9854,73.4559,72.6107,72.6543,252809.0
2019-01-30,72.907,73.2817,69.9705,73.1161,529580.0
2019-01-31,72.8896,73.6302,72.0008,72.7327,505626.0
2019-02-01,72.9593,73.9701,72.2099,73.2555,330559.0
2019-02-02,72.9593,73.9701,72.2099,73.2555,330559.0
2019-02-03,72.9593,73.9701,72.2099,73.2555,330559.0
2019-02-04,73.3165,73.9352,72.3101,72.6282,248782.0
2019-02-05,72.541,74.0398,72.541,73.4037,340363.0
2019-02-06,73.5431,73.774,73.2033,73.6389,264208.0
2019-02-07,73.5951,73.5951,71.8869,73.0958,250315.0
2019-02-08,72.7892,73.7704,72.4826,73.5776,326580.0
2019-02-09,72.7892,73.7704,72.4826,73.5776,326580.0
2019-02-10,72.7892,73.7704,72.4826,73.5776,326580.0
2019-02-11,73.674,75.3297,72.7892,74.8741,498160.0
2019-02-12,75.3735,76.2495,74.5763,75.4436,324762.0
2019-02-13,75.8115,76.3021,75.5137,76.1093,556699.0
2019-02-14,75.8553,77.1912,75.5137,76.5211,579726.0
2019-02-15,76.5211,77.9841,75.629,77.9753,454698.0
2019-02-16,76.5211,77.9841,75.629,77.9753,454698.0
2019-02-17,76.5211,77.9841,75.629,77.9753,454698.0
2019-02-18,76.5211,77.9841,75.629,77.9753,454698.0
2019-02-19,77.9753,78.7374,77.476,77.8702,379876.0
2019-02-20,77.8176,79.5872,77.2044,79.5434,620906.0
2019-02-21,79.7186,80.5771,79.0878,79.5784,351489.0
2019-02-22,79.8325,80.4369,79.5171,80.4194,361320.0
2019-02-23,79.8325,80.4369,79.5171,80.4194,361320.0
2019-02-24,79.8325,80.4369,79.5171,80.4194,361320.0
2019-02-25,81.0764,81.4706,79.412,79.5959,714042.0
2019-02-26,79.7186,83.3541,79.7186,83.0825,1113969.0
