,PBH US Equity,PBH US Equity,PBH US Equity,PBH US Equity,PBH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,41.06,41.37,40.5,40.5,330011.0
2020-01-02,40.65,40.65,39.82,40.49,327526.0
2020-01-03,39.94,41.01,39.9,40.23,397917.0
2020-01-04,39.94,41.01,39.9,40.23,397917.0
2020-01-05,39.94,41.01,39.9,40.23,397917.0
2020-01-06,39.89,41.09,39.845,40.92,254785.0
2020-01-07,41.08,41.17,39.79,39.81,384387.0
2020-01-08,39.82,40.18,39.28,39.35,322908.0
2020-01-09,39.5,39.75,38.66,38.77,289397.0
2020-01-10,38.72,38.95,38.05,38.41,431067.0
2020-01-11,38.72,38.95,38.05,38.41,431067.0
2020-01-12,38.72,38.95,38.05,38.41,431067.0
2020-01-13,38.7,39.6497,38.395,39.16,586839.0
2020-01-14,38.95,39.66,38.7,39.5,487513.0
2020-01-15,39.64,41.24,39.64,41.15,479855.0
2020-01-16,41.41,41.9,41.06,41.89,438187.0
2020-01-17,42.04,42.5,41.86,42.2,260800.0
2020-01-18,42.04,42.5,41.86,42.2,260800.0
2020-01-19,42.04,42.5,41.86,42.2,260800.0
2020-01-20,42.04,42.5,41.86,42.2,260800.0
2020-01-21,42.02,42.28,41.5148,41.74,271413.0
2020-01-22,41.75,41.98,41.2,41.45,218481.0
2020-01-23,41.3,41.88,41.005,41.62,237257.0
2020-01-24,41.68,41.68,40.65,40.88,233350.0
2020-01-25,41.68,41.68,40.65,40.88,233350.0
2020-01-26,41.68,41.68,40.65,40.88,233350.0
2020-01-27,40.31,41.29,40.03,41.01,386749.0
2020-01-28,41.26,42.43,41.26,42.36,241410.0
2020-01-29,42.6,42.73,41.89,41.91,359602.0
2020-01-30,41.52,41.97,41.22,41.53,147011.0
2020-01-31,41.26,41.86,40.46,40.56,273523.0
2020-02-01,41.26,41.86,40.46,40.56,273523.0
2020-02-02,41.26,41.86,40.46,40.56,273523.0
2020-02-03,40.7,41.28,40.13,40.21,368094.0
2020-02-04,40.65,41.69,40.65,41.28,666342.0
2020-02-05,41.63,42.08,41.21,41.5,738226.0
2020-02-06,41.5,45.29,41.5,44.99,2045371.0
2020-02-07,45.15,46.115,44.3,45.96,599669.0
2020-02-08,45.15,46.115,44.3,45.96,599669.0
2020-02-09,45.15,46.115,44.3,45.96,599669.0
2020-02-10,45.48,45.81,43.02,43.58,625207.0
2020-02-11,43.83,44.32,43.62,43.86,373760.0
2020-02-12,44.03,44.42,43.23,43.87,299386.0
2020-02-13,43.69,44.01,43.205,43.43,388037.0
2020-02-14,43.42,43.68,42.44,42.47,271325.0
2020-02-15,43.42,43.68,42.44,42.47,271325.0
2020-02-16,43.42,43.68,42.44,42.47,271325.0
2020-02-17,43.42,43.68,42.44,42.47,271325.0
2020-02-18,42.42,42.9599,41.745,42.15,325217.0
2020-02-19,42.24,42.66,41.93,42.39,279460.0
2020-02-20,42.17,42.57,41.66,42.51,228521.0
2020-02-21,42.46,42.54,41.74,42.4,268156.0
2020-02-22,42.46,42.54,41.74,42.4,268156.0
2020-02-23,42.46,42.54,41.74,42.4,268156.0
2020-02-24,41.37,41.73,40.24,40.76,326932.0
2020-02-25,40.84,41.0228,39.57,39.61,191588.0
2020-02-26,39.83,40.3,38.74,38.85,341613.0
2020-02-27,38.24,39.45,37.455,37.65,499938.0
2020-02-28,36.31,37.36,35.701,37.36,621316.0
2020-02-29,36.31,37.36,35.701,37.36,621316.0
2020-03-01,36.31,37.36,35.701,37.36,621316.0
2020-03-02,38.47,39.16,36.8,39.13,366369.0
2020-03-03,39.21,39.96,37.28,38.47,666856.0
2020-03-04,39.39,39.58,38.41,39.26,372472.0
2020-03-05,38.42,38.9,37.85,38.84,383934.0
2020-03-06,37.76,38.89,36.93,38.07,397517.0
2020-03-07,37.76,38.89,36.93,38.07,397517.0
2020-03-08,37.76,38.89,36.93,38.07,397517.0
2020-03-09,35.24,37.64,34.45,34.54,675704.0
2020-03-10,35.38,37.53,34.71,37.37,949868.0
2020-03-11,36.29,36.93,35.14,35.91,726091.0
2020-03-12,33.35,34.45,32.025,33.22,838053.0
2020-03-13,34.78,35.87,32.56,34.15,1187703.0
2020-03-14,34.78,35.87,32.56,34.15,1187703.0
2020-03-15,34.78,35.87,32.56,34.15,1187703.0
2020-03-16,30.87,32.02,29.93,30.28,933628.0
2020-03-17,30.77,31.1,27.4,29.52,1467140.0
2020-03-18,28.14,30.14,28.01,30.0,1942754.0
2020-03-19,30.6,33.26,28.79,31.31,1632111.0
2020-03-20,31.37,31.87,29.54,30.18,2091638.0
2020-03-21,31.37,31.87,29.54,30.18,2091638.0
2020-03-22,31.37,31.87,29.54,30.18,2091638.0
2020-03-23,30.14,31.1,28.075,29.5,791763.0
2020-03-24,30.98,32.89,30.4201,32.35,913424.0
2020-03-25,32.46,32.62,30.52,30.74,520476.0
2020-03-26,33.0,35.76,31.99,35.15,734522.0
2020-03-27,33.93,37.22,33.86,36.4,480554.0
2020-03-28,33.93,37.22,33.86,36.4,480554.0
2020-03-29,33.93,37.22,33.86,36.4,480554.0
2020-03-30,36.37,38.01,35.84,37.16,514564.0
2020-03-31,37.07,37.52,35.16,36.68,615143.0
2020-04-01,35.33,37.42,34.99,37.14,497856.0
2020-04-02,36.77,38.6,36.26,38.08,674401.0
2020-04-03,37.63,38.53,35.54,37.55,567428.0
2020-04-04,37.63,38.53,35.54,37.55,567428.0
2020-04-05,37.63,38.53,35.54,37.55,567428.0
2020-04-06,38.99,40.0,38.1,39.17,460862.0
2020-04-07,40.0,41.5,38.27,38.43,493377.0
2020-04-08,38.49,40.75,37.95,40.27,455289.0
2020-04-09,40.99,43.47,39.87,40.43,617595.0
2020-04-10,40.99,43.47,39.87,40.43,617595.0
2020-04-11,40.99,43.47,39.87,40.43,617595.0
2020-04-12,40.99,43.47,39.87,40.43,617595.0
2020-04-13,40.25,40.69,39.575,40.45,311609.0
2020-04-14,39.69,40.71,38.04,38.28,566528.0
2020-04-15,37.57,38.68,36.46,37.46,580329.0
2020-04-16,37.83,38.43,36.72,38.43,456629.0
2020-04-17,39.25,39.75,38.585,39.37,280365.0
2020-04-18,39.25,39.75,38.585,39.37,280365.0
2020-04-19,39.25,39.75,38.585,39.37,280365.0
2020-04-20,38.94,39.65,38.695,38.91,314175.0
2020-04-21,38.12,39.51,37.86,37.93,336453.0
2020-04-22,38.46,39.28,37.89,38.98,295557.0
2020-04-23,38.97,39.98,38.92,39.83,338419.0
2020-04-24,40.0,40.625,39.76,39.99,341917.0
2020-04-25,40.0,40.625,39.76,39.99,341917.0
2020-04-26,40.0,40.625,39.76,39.99,341917.0
2020-04-27,39.97,41.76,39.97,41.24,412657.0
2020-04-28,41.92,41.92,40.15,40.25,458940.0
2020-04-29,40.55,40.8,39.66,40.12,613185.0
2020-04-30,39.68,41.0,39.21,40.69,587212.0
2020-05-01,40.11,40.35,39.06,40.05,442854.0
2020-05-02,40.11,40.35,39.06,40.05,442854.0
2020-05-03,40.11,40.35,39.06,40.05,442854.0
2020-05-04,39.86,40.34,39.55,39.98,320939.0
2020-05-05,40.37,40.985,39.24,39.37,447459.0
2020-05-06,39.41,40.06,39.18,39.55,425428.0
2020-05-07,39.98,41.5,39.2,39.55,368471.0
2020-05-08,39.91,40.66,39.59,40.24,307218.0
2020-05-09,39.91,40.66,39.59,40.24,307218.0
2020-05-10,39.91,40.66,39.59,40.24,307218.0
2020-05-11,39.92,41.49,39.82,41.14,508511.0
2020-05-12,41.02,41.48,39.17,39.6,501661.0
2020-05-13,39.33,40.155,38.8,39.23,451205.0
2020-05-14,38.71,39.79,38.5,39.41,635163.0
2020-05-15,39.7,40.82,39.63,40.02,1205809.0
2020-05-16,39.7,40.82,39.63,40.02,1205809.0
2020-05-17,39.7,40.82,39.63,40.02,1205809.0
2020-05-18,40.75,42.36,40.52,42.09,511085.0
2020-05-19,42.0,42.305,41.405,41.66,385785.0
2020-05-20,42.07,42.35,41.22,41.47,327471.0
2020-05-21,41.34,42.25,41.26,41.42,397256.0
2020-05-22,41.68,42.22,41.1122,42.18,208739.0
2020-05-23,41.68,42.22,41.1122,42.18,208739.0
2020-05-24,41.68,42.22,41.1122,42.18,208739.0
2020-05-25,41.68,42.22,41.1122,42.18,208739.0
2020-05-26,42.83,43.14,42.11,42.18,406032.0
2020-05-27,42.83,44.08,41.8,44.07,464347.0
2020-05-28,44.51,44.64,42.69,43.19,516949.0
2020-05-29,42.92,43.34,41.67,42.2,728865.0
2020-05-30,42.92,43.34,41.67,42.2,728865.0
2020-05-31,42.92,43.34,41.67,42.2,728865.0
2020-06-01,41.98,42.46,41.26,41.29,523906.0
2020-06-02,41.37,41.42,40.07,40.45,532396.0
2020-06-03,40.74,41.26,40.38,40.59,437722.0
2020-06-04,40.13,41.17,40.13,41.02,339124.0
2020-06-05,41.76,41.91,40.83,40.93,493729.0
2020-06-06,41.76,41.91,40.83,40.93,493729.0
2020-06-07,41.76,41.91,40.83,40.93,493729.0
2020-06-08,41.01,42.18,40.83,42.12,429479.0
2020-06-09,41.97,43.53,41.78,42.57,514919.0
2020-06-10,42.71,42.85,42.02,42.27,366690.0
2020-06-11,41.41,41.73,40.23,40.24,375155.0
2020-06-12,41.36,41.605,39.395,40.3,440040.0
2020-06-13,41.36,41.605,39.395,40.3,440040.0
2020-06-14,41.36,41.605,39.395,40.3,440040.0
2020-06-15,39.45,40.47,39.31,40.23,388064.0
2020-06-16,41.49,41.49,40.07,40.91,313407.0
2020-06-17,41.01,41.19,40.2,40.75,373430.0
2020-06-18,40.38,40.765,39.99,40.13,245320.0
2020-06-19,40.52,40.55,39.38,39.85,603316.0
2020-06-20,40.52,40.55,39.38,39.85,603316.0
2020-06-21,40.52,40.55,39.38,39.85,603316.0
2020-06-22,39.62,39.81,39.1,39.53,269255.0
2020-06-23,39.88,39.9,39.23,39.23,726366.0
2020-06-24,39.0,39.02,37.04,37.24,573690.0
2020-06-25,37.01,37.39,36.39,37.31,443374.0
2020-06-26,37.08,37.3,36.65,36.88,851748.0
