,LAZ US Equity,LAZ US Equity,LAZ US Equity,LAZ US Equity,LAZ US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,27.5719,27.6902,26.8325,27.2909,956363.0
2019-01-02,26.7882,28.0229,26.6735,27.8529,569007.0
2019-01-03,27.7272,27.7272,26.7882,26.8473,1114428.0
2019-01-04,27.3131,28.5331,27.3131,28.4296,778071.0
2019-01-05,27.3131,28.5331,27.3131,28.4296,778071.0
2019-01-06,27.3131,28.5331,27.3131,28.4296,778071.0
2019-01-07,28.156,28.6884,27.8529,28.2078,1360339.0
2019-01-08,27.8529,28.3557,27.5867,27.7863,1109541.0
2019-01-09,27.8307,28.2374,27.6163,27.668,1043278.0
2019-01-10,27.3797,27.7863,27.1652,27.4166,1215749.0
2019-01-11,27.2244,27.5941,26.9508,27.254,1010045.0
2019-01-12,27.2244,27.5941,26.9508,27.254,1010045.0
2019-01-13,27.2244,27.5941,26.9508,27.254,1010045.0
2019-01-14,26.9508,27.7346,26.9508,27.4758,1005596.0
2019-01-15,27.3797,27.8972,27.2318,27.8159,957371.0
2019-01-16,28.23,29.1025,28.1265,28.7401,1089420.0
2019-01-17,28.3852,29.1986,28.3778,28.9398,576790.0
2019-01-18,29.2577,29.4426,29.0877,29.1246,731597.0
2019-01-19,29.2577,29.4426,29.0877,29.1246,731597.0
2019-01-20,29.2577,29.4426,29.0877,29.1246,731597.0
2019-01-21,29.2577,29.4426,29.0877,29.1246,731597.0
2019-01-22,28.644,28.9546,28.0525,28.2152,545057.0
2019-01-23,28.4296,28.5331,27.912,28.193,616208.0
2019-01-24,28.1043,28.8954,28.1043,28.3261,449599.0
2019-01-25,28.5331,28.9435,28.4444,28.7845,1262693.0
2019-01-26,28.5331,28.9435,28.4444,28.7845,1262693.0
2019-01-27,28.5331,28.9435,28.4444,28.7845,1262693.0
2019-01-28,28.4666,28.6588,28.2743,28.6514,345165.0
2019-01-29,28.6958,28.8585,28.5331,28.7697,736555.0
2019-01-30,28.9989,29.4943,28.7291,29.4204,663986.0
2019-01-31,29.1912,29.4869,28.8067,29.4204,911657.0
2019-02-01,29.4721,30.0415,29.4721,29.8714,504179.0
2019-02-02,29.4721,30.0415,29.4721,29.8714,504179.0
2019-02-03,29.4721,30.0415,29.4721,29.8714,504179.0
2019-02-04,29.8197,30.4555,29.694,30.4334,959407.0
2019-02-05,30.6847,30.877,28.3409,29.3243,1769911.0
2019-02-06,29.3612,29.4943,28.4296,28.718,894082.0
2019-02-07,28.5405,28.8585,28.2226,28.7106,864446.0
2019-02-08,28.4666,28.6958,27.9231,28.5775,441809.0
2019-02-09,28.4666,28.6958,27.9231,28.5775,441809.0
2019-02-10,28.4666,28.6958,27.9231,28.5775,441809.0
2019-02-11,28.5331,28.8141,28.4666,28.6958,403412.0
2019-02-12,28.9028,29.0803,28.6588,28.8437,664603.0
2019-02-13,29.0507,29.4204,28.2595,28.5109,1600946.0
2019-02-14,28.5716,28.5943,27.7304,27.7758,1791628.0
2019-02-15,28.0487,28.2457,27.5106,27.8365,2258597.0
2019-02-16,28.0487,28.2457,27.5106,27.8365,2258597.0
2019-02-17,28.0487,28.2457,27.5106,27.8365,2258597.0
2019-02-18,28.0487,28.2457,27.5106,27.8365,2258597.0
2019-02-19,27.6621,28.0335,27.4727,28.0335,1348701.0
2019-02-20,27.9426,28.0411,27.7986,27.9274,771746.0
2019-02-21,27.9274,27.9653,27.6394,27.647,709918.0
2019-02-22,27.6925,27.8744,27.5939,27.6621,1497815.0
2019-02-23,27.6925,27.8744,27.5939,27.6621,1497815.0
2019-02-24,27.6925,27.8744,27.5939,27.6621,1497815.0
2019-02-25,27.8137,28.2078,27.7986,28.0714,1855219.0
2019-02-26,27.9805,28.7762,27.9805,28.2457,770201.0
2019-02-27,28.2988,28.511,27.8592,28.2305,784854.0
2019-02-28,28.3139,28.4844,27.9729,28.367,1112521.0
2019-03-01,28.5943,29.0945,28.5943,28.9808,1004697.0
2019-03-02,28.5943,29.0945,28.5943,28.9808,1004697.0
2019-03-03,28.5943,29.0945,28.5943,28.9808,1004697.0
2019-03-04,29.1097,29.3522,28.3139,28.5867,1162792.0
2019-03-05,28.6171,28.7989,28.0335,28.3897,634187.0
2019-03-06,28.3063,28.42,27.6318,27.6546,646378.0
2019-03-07,27.4272,27.4304,26.7224,26.7679,1180851.0
2019-03-08,26.5253,27.1316,26.3586,27.1089,802939.0
2019-03-09,26.5253,27.1316,26.3586,27.1089,802939.0
2019-03-10,26.5253,27.1316,26.3586,27.1089,802939.0
2019-03-11,27.3135,27.5712,26.927,27.4727,926713.0
2019-03-12,27.6243,27.7682,27.2377,27.6394,1081719.0
2019-03-13,27.7758,27.9426,27.5636,27.7,1315179.0
2019-03-14,27.5106,27.7304,26.8891,27.3211,2028086.0
2019-03-15,27.2453,27.5257,27.143,27.3666,3441538.0
2019-03-16,27.2453,27.5257,27.143,27.3666,3441538.0
2019-03-17,27.2453,27.5257,27.143,27.3666,3441538.0
2019-03-18,27.556,28.4655,27.4424,28.3821,1386472.0
2019-03-19,28.6019,28.852,28.3518,28.4049,1078641.0
2019-03-20,28.3063,28.3821,27.7152,27.9122,756074.0
2019-03-21,27.7986,28.5185,27.6243,28.2836,822296.0
2019-03-22,28.0032,28.0032,26.9194,27.215,2180199.0
2019-03-23,28.0032,28.0032,26.9194,27.215,2180199.0
2019-03-24,28.0032,28.0032,26.9194,27.215,2180199.0
2019-03-25,27.2756,27.8592,27.1165,27.5712,988265.0
2019-03-26,27.8061,27.8895,27.2832,27.4121,963685.0
2019-03-27,27.4121,27.7304,27.1089,27.1923,902028.0
2019-03-28,27.0937,27.4196,27.0028,27.2529,657116.0
2019-03-29,27.4575,27.6697,27.2377,27.3893,1062374.0
2019-03-30,27.4575,27.6697,27.2377,27.3893,1062374.0
2019-03-31,27.4575,27.6697,27.2377,27.3893,1062374.0
2019-04-01,27.7,28.5337,27.6797,28.2381,1098853.0
2019-04-02,28.1623,28.5489,28.0411,28.3215,814976.0
2019-04-03,28.2988,28.6398,28.2002,28.367,1034248.0
2019-04-04,28.276,28.9808,28.2457,28.9505,822685.0
2019-04-05,29.0112,29.1087,28.583,28.8141,1132838.0
2019-04-06,29.0112,29.1087,28.583,28.8141,1132838.0
2019-04-07,29.0112,29.1087,28.583,28.8141,1132838.0
2019-04-08,28.6625,28.7497,28.4806,28.6095,899294.0
2019-04-09,28.42,28.5867,28.0411,28.1093,800048.0
2019-04-10,28.2381,28.6398,28.0941,28.4806,745055.0
2019-04-11,28.1851,28.6928,28.1851,28.6625,1248847.0
2019-04-12,28.9733,29.4507,28.8975,29.284,776718.0
2019-04-13,28.9733,29.4507,28.8975,29.284,776718.0
2019-04-14,28.9733,29.4507,28.8975,29.284,776718.0
2019-04-15,29.3295,29.4885,28.7307,28.8899,862801.0
2019-04-16,28.9126,29.1021,28.7914,28.9581,521904.0
2019-04-17,28.9884,29.1021,28.7156,28.8293,561517.0
2019-04-18,28.8747,29.0187,28.5716,28.6322,604236.0
2019-04-19,28.8747,29.0187,28.5716,28.6322,604236.0
2019-04-20,28.8747,29.0187,28.5716,28.6322,604236.0
2019-04-21,28.8747,29.0187,28.5716,28.6322,604236.0
2019-04-22,28.4806,28.5337,27.7531,28.0032,635736.0
2019-04-23,28.0032,28.2381,27.5333,28.223,1322655.0
2019-04-24,28.2002,28.5905,27.8494,28.4882,1330915.0
2019-04-25,29.5568,30.9968,29.2385,30.6936,1950290.0
2019-04-26,30.4359,30.5269,29.6099,29.8751,983974.0
2019-04-27,30.4359,30.5269,29.6099,29.8751,983974.0
2019-04-28,30.4359,30.5269,29.6099,29.8751,983974.0
2019-04-29,29.7539,29.913,29.1855,29.2688,1079158.0
2019-04-30,29.1097,29.6402,28.7914,29.4659,1439905.0
2019-05-01,29.5417,29.6326,29.1173,29.2537,727974.0
2019-05-02,29.2537,29.4507,28.8634,28.9354,996266.0
2019-05-03,29.0044,29.695,28.9277,29.6797,903398.0
2019-05-04,29.0044,29.695,28.9277,29.6797,903398.0
2019-05-05,29.0044,29.695,28.9277,29.6797,903398.0
2019-05-06,29.0505,29.5722,29.0121,29.3113,488707.0
2019-05-07,28.8663,29.4802,28.7972,29.0581,900677.0
2019-05-08,28.943,29.2116,28.9354,29.1579,433082.0
2019-05-09,28.8433,29.131,28.6208,29.0888,692355.0
2019-05-10,28.7282,28.8519,28.2218,28.4289,1116875.0
2019-05-11,28.7282,28.8519,28.2218,28.4289,1116875.0
2019-05-12,28.7282,28.8519,28.2218,28.4289,1116875.0
2019-05-13,27.9225,27.9225,26.4301,26.8099,941152.0
2019-05-14,26.925,27.3777,26.8943,27.1859,941926.0
