,ASIX US Equity,ASIX US Equity,ASIX US Equity,ASIX US Equity,ASIX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,23.3834,23.7652,23.0589,23.2307,238578.0
2019-01-02,22.6867,24.4332,22.6867,24.0801,230023.0
2019-01-03,23.832,24.7768,23.6602,23.9751,318133.0
2019-01-04,24.4714,25.359,24.3378,25.3018,167167.0
2019-01-05,24.4714,25.359,24.3378,25.3018,167167.0
2019-01-06,24.4714,25.359,24.3378,25.3018,167167.0
2019-01-07,25.1872,25.7217,24.9964,25.5881,147759.0
2019-01-08,25.8649,26.4089,25.4927,26.2371,207497.0
2019-01-09,26.3898,26.9482,26.1417,26.7048,168747.0
2019-01-10,26.428,26.762,26.1608,26.5425,152539.0
2019-01-11,26.2944,26.5807,26.0367,26.428,209733.0
2019-01-12,26.2944,26.5807,26.0367,26.428,209733.0
2019-01-13,26.2944,26.5807,26.0367,26.428,209733.0
2019-01-14,26.1703,26.5712,25.9269,26.2371,116660.0
2019-01-15,26.113,26.3421,25.7885,26.3135,195323.0
2019-01-16,26.3707,27.349,26.3363,26.9434,123886.0
2019-01-17,26.8098,27.5542,26.8098,27.3538,148244.0
2019-01-18,27.6783,28.4514,27.5256,27.9073,184816.0
2019-01-19,27.6783,28.4514,27.5256,27.9073,184816.0
2019-01-20,27.6783,28.4514,27.5256,27.9073,184816.0
2019-01-21,27.6783,28.4514,27.5256,27.9073,184816.0
2019-01-22,27.8692,28.2331,27.4206,27.5924,94035.0
2019-01-23,27.5924,28.0314,27.1486,27.6401,146257.0
2019-01-24,27.5733,28.0696,27.5447,27.7737,79574.0
2019-01-25,28.0887,28.6232,27.8787,28.5659,171244.0
2019-01-26,28.0887,28.6232,27.8787,28.5659,171244.0
2019-01-27,28.0887,28.6232,27.8787,28.5659,171244.0
2019-01-28,28.5564,29.3293,28.375,28.8236,183499.0
2019-01-29,28.9381,29.4917,28.5754,29.0145,173792.0
2019-01-30,29.0145,30.1884,28.9095,30.1502,174140.0
2019-01-31,29.9689,30.3507,29.673,30.198,134090.0
2019-02-01,30.2266,31.2478,30.2266,30.847,231806.0
2019-02-02,30.2266,31.2478,30.2266,30.847,231806.0
2019-02-03,30.2266,31.2478,30.2266,30.847,231806.0
2019-02-04,30.8183,31.2478,30.6275,31.0569,154119.0
2019-02-05,31.2574,31.3385,30.7993,31.0665,139608.0
2019-02-06,29.5394,30.322,28.8236,29.8067,145272.0
2019-02-07,29.4821,29.9116,29.0336,29.6635,111445.0
2019-02-08,29.6253,30.0548,29.4153,29.8544,90138.0
2019-02-09,29.6253,30.0548,29.4153,29.8544,90138.0
2019-02-10,29.6253,30.0548,29.4153,29.8544,90138.0
2019-02-11,29.8639,30.0357,29.5012,29.7876,110941.0
2019-02-12,30.1312,30.7038,29.8544,30.6943,83888.0
2019-02-13,30.7802,31.1333,30.5797,30.8183,61272.0
2019-02-14,30.7324,31.4005,30.7134,30.7993,160997.0
2019-02-15,31.1428,31.496,30.3411,30.8661,235110.0
2019-02-16,31.1428,31.496,30.3411,30.8661,235110.0
