,UMBF US Equity,UMBF US Equity,UMBF US Equity,UMBF US Equity,UMBF US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,63.687,63.9644,63.4281,63.4743,186396.0
2020-01-02,63.8165,63.8304,62.9565,63.7518,183561.0
2020-01-03,63.0027,63.6713,62.5265,63.4928,142039.0
2020-01-04,63.0027,63.6713,62.5265,63.4928,142039.0
2020-01-05,63.0027,63.6713,62.5265,63.4928,142039.0
2020-01-06,62.3461,62.7808,57.5646,62.6513,243635.0
2020-01-07,62.2167,62.5958,61.685,61.7543,138367.0
2020-01-08,61.8375,62.2999,61.6064,62.0872,206400.0
2020-01-09,62.5681,62.6328,62.1427,62.5866,109657.0
2020-01-10,62.4756,62.5773,61.8283,62.004,127976.0
2020-01-11,62.4756,62.5773,61.8283,62.004,127976.0
2020-01-12,62.4756,62.5773,61.8283,62.004,127976.0
2020-01-13,62.0502,62.5958,61.7497,62.5773,125173.0
2020-01-14,62.5034,62.6236,62.0687,62.2629,150885.0
2020-01-15,61.9855,62.3461,61.5324,61.9762,174596.0
2020-01-16,62.3276,63.2339,62.2444,63.2339,160991.0
2020-01-17,63.6038,63.6685,62.5403,62.7438,172958.0
2020-01-18,63.6038,63.6685,62.5403,62.7438,172958.0
2020-01-19,63.6038,63.6685,62.5403,62.7438,172958.0
2020-01-20,63.6038,63.6685,62.5403,62.7438,172958.0
2020-01-21,62.4109,62.5958,61.0792,61.3104,212373.0
2020-01-22,61.5971,61.5971,60.7001,61.4491,92133.0
2020-01-23,61.033,61.5971,60.6261,61.4214,112222.0
2020-01-24,61.4122,61.4122,59.7384,60.2192,132724.0
2020-01-25,61.4122,61.4122,59.7384,60.2192,132724.0
2020-01-26,61.4122,61.4122,59.7384,60.2192,132724.0
2020-01-27,59.1373,60.2655,58.7396,59.9418,180698.0
2020-01-28,60.247,60.6446,60.1638,60.4319,137818.0
2020-01-29,62.8732,63.3495,61.8468,62.2074,387108.0
2020-01-30,62.1427,64.0477,62.1427,63.9552,358493.0
2020-01-31,63.3911,63.3911,61.033,61.4584,414629.0
2020-02-01,63.3911,63.3911,61.033,61.4584,414629.0
2020-02-02,63.3911,63.3911,61.033,61.4584,414629.0
2020-02-03,61.8653,62.5126,61.6064,62.2444,192242.0
2020-02-04,63.2524,63.3449,62.2726,62.9565,181057.0
2020-02-05,63.798,64.8152,63.3819,64.5378,217842.0
2020-02-06,64.9724,64.9724,63.9182,64.0292,136712.0
2020-02-07,63.5113,63.798,62.6328,62.8455,138409.0
2020-02-08,63.5113,63.798,62.6328,62.8455,138409.0
2020-02-09,63.5113,63.798,62.6328,62.8455,138409.0
2020-02-10,62.6421,63.0397,62.4016,62.9565,87272.0
2020-02-11,63.1137,63.8442,63.0767,63.1322,138204.0
2020-02-12,63.6038,63.6038,62.901,63.0305,106782.0
2020-02-13,62.5958,63.5853,62.5958,63.4743,89954.0
2020-02-14,63.3634,63.5761,62.7808,63.2339,113919.0
2020-02-15,63.3634,63.5761,62.7808,63.2339,113919.0
2020-02-16,63.3634,63.5761,62.7808,63.2339,113919.0
2020-02-17,63.3634,63.5761,62.7808,63.2339,113919.0
2020-02-18,63.2894,63.4188,62.2999,62.4941,101560.0
2020-02-19,62.6421,62.8917,62.2814,62.4664,155775.0
2020-02-20,62.2629,63.2894,61.9578,62.8455,102349.0
2020-02-21,62.6698,62.6698,61.9578,62.6236,173071.0
2020-02-22,62.6698,62.6698,61.9578,62.6236,173071.0
2020-02-23,62.6698,62.6698,61.9578,62.6236,173071.0
2020-02-24,60.7278,61.1625,59.8401,60.5521,228138.0
2020-02-25,60.3949,61.0651,58.1663,58.2773,230448.0
2020-02-26,58.3975,58.9893,57.8981,58.2125,201022.0
2020-02-27,56.9734,58.6518,56.3631,56.4648,287590.0
2020-02-28,54.8187,55.577,53.0432,53.7738,393613.0
2020-02-29,54.8187,55.577,53.0432,53.7738,393613.0
2020-03-01,54.8187,55.577,53.0432,53.7738,393613.0
2020-03-02,53.8755,56.548,53.3576,56.5203,249180.0
2020-03-03,56.2521,57.3572,54.3101,54.9205,224491.0
2020-03-04,55.7065,56.6405,54.3471,56.511,180943.0
2020-03-05,54.7263,55.2996,54.3379,55.1794,270528.0
2020-03-06,52.9785,55.1424,52.3497,53.2282,307864.0
2020-03-07,52.9785,55.1424,52.3497,53.2282,307864.0
2020-03-08,52.9785,55.1424,52.3497,53.2282,307864.0
2020-03-09,48.5702,50.3832,44.1166,44.1352,488039.0
2020-03-10,46.1249,48.003,44.377,48.003,317479.0
2020-03-11,46.1342,46.9059,43.2892,43.5774,426443.0
2020-03-12,40.3233,45.0185,38.4266,42.4152,586397.0
2020-03-13,44.3491,46.5898,42.7499,46.5433,455731.0
2020-03-14,44.3491,46.5898,42.7499,46.5433,455731.0
2020-03-15,44.3491,46.5898,42.7499,46.5433,455731.0
2020-03-16,40.6859,45.0929,40.6859,43.3635,429889.0
2020-03-17,44.1817,47.7287,43.6797,47.566,566771.0
2020-03-18,45.0278,46.9012,42.6848,43.3914,412208.0
2020-03-19,42.7964,45.6972,40.8647,43.6983,459239.0
2020-03-20,43.0567,44.6048,40.3698,40.6952,562615.0
2020-03-21,43.0567,44.6048,40.3698,40.6952,562615.0
2020-03-22,43.0567,44.6048,40.3698,40.6952,562615.0
2020-03-23,41.0764,42.3362,36.6972,39.5144,361923.0
2020-03-24,41.7737,43.7169,40.2396,43.1683,293656.0
2020-03-25,43.2892,44.377,40.7602,41.7458,271622.0
2020-03-26,41.8759,45.5857,41.3181,45.2974,225393.0
2020-03-27,42.6848,44.033,41.8481,42.4338,274454.0
2020-03-28,42.6848,44.033,41.8481,42.4338,274454.0
2020-03-29,42.6848,44.033,41.8481,42.4338,274454.0
2020-03-30,42.6848,43.5123,41.8109,43.2241,264342.0
2020-03-31,42.7313,43.6611,42.3315,43.1218,284450.0
2020-04-01,41.2437,41.7551,40.2675,40.3326,472384.0
2020-04-02,40.128,41.5598,39.3935,40.7974,444547.0
2020-04-03,40.2303,42.1642,38.4219,39.5051,283269.0
2020-04-04,40.2303,42.1642,38.4219,39.5051,283269.0
2020-04-05,40.2303,42.1642,38.4219,39.5051,283269.0
2020-04-06,41.3088,42.0526,39.691,40.3883,516777.0
2020-04-07,41.9317,43.6797,40.8067,41.0485,440215.0
2020-04-08,41.9224,43.7912,41.253,43.5309,467196.0
2020-04-09,44.377,46.9603,44.377,46.5433,280496.0
2020-04-10,44.377,46.9603,44.377,46.5433,280496.0
2020-04-11,44.377,46.9603,44.377,46.5433,280496.0
2020-04-12,44.377,46.9603,44.377,46.5433,280496.0
2020-04-13,46.4131,46.6921,42.908,43.3171,261778.0
2020-04-14,45.0557,45.0882,42.629,43.7819,384447.0
2020-04-15,42.034,43.0009,40.6859,40.9369,493963.0
2020-04-16,40.8346,40.8346,39.1053,40.472,359435.0
2020-04-17,42.2571,43.0195,41.8388,42.0805,383722.0
2020-04-18,42.2571,43.0195,41.8388,42.0805,383722.0
2020-04-19,42.2571,43.0195,41.8388,42.0805,383722.0
2020-04-20,41.1507,43.1822,40.6859,42.2386,230214.0
2020-04-21,40.9648,42.1177,40.5185,41.4111,223315.0
2020-04-22,42.1642,42.1828,40.4813,40.5371,312485.0
2020-04-23,40.8718,41.8945,40.4906,40.8718,377455.0
2020-04-24,41.4948,42.4059,40.8997,42.0154,324821.0
2020-04-25,41.4948,42.4059,40.8997,42.0154,324821.0
2020-04-26,41.4948,42.4059,40.8997,42.0154,324821.0
2020-04-27,42.6662,44.9627,42.3827,44.4235,324566.0
2020-04-28,46.4689,47.129,45.0557,46.0133,316958.0
2020-04-29,47.91,48.9328,45.6786,48.0309,420313.0
2020-04-30,46.7292,47.7055,45.5764,47.2685,400531.0
2020-05-01,46.1528,46.9431,44.6559,45.3858,352274.0
2020-05-02,46.1528,46.9431,44.6559,45.3858,352274.0
2020-05-03,46.1528,46.9431,44.6559,45.3858,352274.0
