,JLL US Equity,JLL US Equity,JLL US Equity,JLL US Equity,JLL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,173.33,175.99,173.33,174.09,226589.0
2020-01-02,175.21,175.45,172.91,175.32,205386.0
2020-01-03,172.68,174.42,171.22,173.84,191077.0
2020-01-04,172.68,174.42,171.22,173.84,191077.0
2020-01-05,172.68,174.42,171.22,173.84,191077.0
2020-01-06,172.36,174.52,172.36,173.74,207727.0
2020-01-07,173.28,174.04,172.41,172.71,221155.0
2020-01-08,172.8,173.29,169.99,170.42,263776.0
2020-01-09,171.45,172.83,170.22,172.05,174536.0
2020-01-10,172.17,172.17,170.13,170.54,199393.0
2020-01-11,172.17,172.17,170.13,170.54,199393.0
2020-01-12,172.17,172.17,170.13,170.54,199393.0
2020-01-13,170.2,171.53,169.48,171.27,196507.0
2020-01-14,171.01,171.01,168.14,168.64,238958.0
2020-01-15,168.21,171.715,168.21,171.21,380482.0
2020-01-16,172.28,173.09,170.67,171.08,398443.0
2020-01-17,171.85,172.465,170.9,171.94,194814.0
2020-01-18,171.85,172.465,170.9,171.94,194814.0
2020-01-19,171.85,172.465,170.9,171.94,194814.0
2020-01-20,171.85,172.465,170.9,171.94,194814.0
2020-01-21,171.19,172.015,170.3,170.4,204613.0
2020-01-22,171.23,171.76,169.22,169.31,202896.0
2020-01-23,169.0,170.545,168.0,169.92,268981.0
2020-01-24,169.66,170.16,168.355,169.46,192898.0
2020-01-25,169.66,170.16,168.355,169.46,192898.0
2020-01-26,169.66,170.16,168.355,169.46,192898.0
2020-01-27,166.09,169.19,165.565,168.46,301060.0
2020-01-28,169.28,171.485,168.83,171.1,186971.0
2020-01-29,171.67,172.0,170.38,170.87,177480.0
2020-01-30,169.28,171.78,169.2311,171.53,261025.0
2020-01-31,170.72,170.72,168.02,169.82,260080.0
2020-02-01,170.72,170.72,168.02,169.82,260080.0
2020-02-02,170.72,170.72,168.02,169.82,260080.0
2020-02-03,170.8,174.73,170.1005,173.46,414760.0
2020-02-04,175.24,177.22,174.25,175.1,212172.0
2020-02-05,176.7,178.23,176.0526,177.16,239329.0
2020-02-06,177.85,178.55,172.97,173.01,252205.0
2020-02-07,172.12,173.0,170.71,172.73,163022.0
2020-02-08,172.12,173.0,170.71,172.73,163022.0
2020-02-09,172.12,173.0,170.71,172.73,163022.0
2020-02-10,172.42,173.17,171.4,172.5,207294.0
2020-02-11,177.5,177.5,160.377,165.17,514758.0
2020-02-12,167.33,170.49,162.54,170.3,526116.0
2020-02-13,170.0,170.75,167.43,170.11,292042.0
2020-02-14,169.74,171.62,168.475,171.34,300849.0
2020-02-15,169.74,171.62,168.475,171.34,300849.0
2020-02-16,169.74,171.62,168.475,171.34,300849.0
2020-02-17,169.74,171.62,168.475,171.34,300849.0
2020-02-18,170.88,171.35,169.18,170.04,289938.0
2020-02-19,170.0,170.48,165.52,165.91,300079.0
2020-02-20,165.52,167.44,165.0,165.85,198976.0
2020-02-21,165.34,165.34,161.07,161.2,192715.0
2020-02-22,165.34,165.34,161.07,161.2,192715.0
2020-02-23,165.34,165.34,161.07,161.2,192715.0
2020-02-24,156.49,157.11,151.365,154.3,389447.0
2020-02-25,154.51,154.99,145.65,146.45,308935.0
2020-02-26,147.74,148.95,143.69,143.75,329298.0
2020-02-27,140.2,146.47,136.97,144.98,628094.0
2020-02-28,141.6,151.45,139.39,147.77,1037140.0
2020-02-29,141.6,151.45,139.39,147.77,1037140.0
2020-03-01,141.6,151.45,139.39,147.77,1037140.0
2020-03-02,148.75,149.72,145.04,149.65,593404.0
2020-03-03,149.94,153.2,146.92,151.79,724654.0
2020-03-04,153.75,154.51,151.45,152.92,599764.0
2020-03-05,149.61,153.34,147.04,148.59,487434.0
2020-03-06,144.33,146.82,141.84,145.1,658769.0
2020-03-07,144.33,146.82,141.84,145.1,658769.0
2020-03-08,144.33,146.82,141.84,145.1,658769.0
2020-03-09,139.96,139.96,130.5543,136.72,924510.0
2020-03-10,140.96,145.18,137.0,144.97,815058.0
2020-03-11,141.43,144.505,138.76,139.4,1150609.0
2020-03-12,131.45,139.28,121.4,122.26,1200112.0
2020-03-13,127.93,134.13,121.18,134.13,884370.0
2020-03-14,127.93,134.13,121.18,134.13,884370.0
2020-03-15,127.93,134.13,121.18,134.13,884370.0
2020-03-16,119.0,119.35,107.37,112.47,1083855.0
2020-03-17,115.66,117.08,104.59,105.6,858199.0
2020-03-18,99.57,101.98,86.183,92.7,832867.0
2020-03-19,91.8,103.035,90.16,99.8,1104087.0
2020-03-20,100.27,102.4,88.85,89.46,759941.0
2020-03-21,100.27,102.4,88.85,89.46,759941.0
2020-03-22,100.27,102.4,88.85,89.46,759941.0
2020-03-23,89.15,89.38,78.29,81.48,664437.0
2020-03-24,85.74,88.16,83.6,87.24,943264.0
2020-03-25,86.82,100.6894,85.08,91.21,1049516.0
2020-03-26,93.35,102.68,91.675,102.17,678564.0
2020-03-27,97.82,102.42,96.02,99.73,466395.0
2020-03-28,97.82,102.42,96.02,99.73,466395.0
2020-03-29,97.82,102.42,96.02,99.73,466395.0
2020-03-30,99.39,107.8,96.61,107.44,799099.0
2020-03-31,106.8,108.16,99.71,100.98,829518.0
2020-04-01,95.83,95.96,90.905,94.36,607023.0
2020-04-02,93.77,97.505,89.48,92.12,464448.0
2020-04-03,91.36,91.84,83.245,86.45,564684.0
2020-04-04,91.36,91.84,83.245,86.45,564684.0
2020-04-05,91.36,91.84,83.245,86.45,564684.0
2020-04-06,90.97,94.77,90.0,93.55,771416.0
2020-04-07,100.54,108.97,99.3194,102.11,635561.0
2020-04-08,103.02,112.53,102.06,111.25,322569.0
2020-04-09,114.39,119.0,112.08,115.37,470529.0
2020-04-10,114.39,119.0,112.08,115.37,470529.0
2020-04-11,114.39,119.0,112.08,115.37,470529.0
2020-04-12,114.39,119.0,112.08,115.37,470529.0
2020-04-13,114.19,114.23,107.7709,107.97,302390.0
2020-04-14,110.84,112.1,108.52,109.8,495488.0
2020-04-15,105.76,107.38,104.59,106.93,296912.0
2020-04-16,106.68,107.42,104.34,106.9,441707.0
2020-04-17,111.13,113.13,106.46,107.0,624758.0
2020-04-18,111.13,113.13,106.46,107.0,624758.0
2020-04-19,111.13,113.13,106.46,107.0,624758.0
2020-04-20,104.33,105.61,99.47,99.65,402199.0
2020-04-21,97.35,100.38,96.91,98.98,309181.0
2020-04-22,101.82,101.82,97.85,98.37,399129.0
2020-04-23,99.61,102.91,98.24,101.55,293972.0
2020-04-24,102.08,103.255,100.315,102.48,225970.0
2020-04-25,102.08,103.255,100.315,102.48,225970.0
2020-04-26,102.08,103.255,100.315,102.48,225970.0
2020-04-27,102.87,107.27,102.87,106.79,418907.0
2020-04-28,110.0,111.54,106.13,106.31,534310.0
2020-04-29,111.48,112.3,108.92,110.23,490267.0
2020-04-30,108.77,108.77,103.49,105.58,642902.0
2020-05-01,103.38,103.38,99.4,101.08,322213.0
2020-05-02,103.38,103.38,99.4,101.08,322213.0
2020-05-03,103.38,103.38,99.4,101.08,322213.0
2020-05-04,98.92,101.785,98.23,101.05,289371.0
2020-05-05,103.1,107.33,101.07,102.41,378363.0
2020-05-06,103.45,103.45,96.31,96.48,348838.0
2020-05-07,98.04,105.01,98.01,102.95,400647.0
2020-05-08,104.84,106.0684,103.14,104.18,481006.0
2020-05-09,104.84,106.0684,103.14,104.18,481006.0
2020-05-10,104.84,106.0684,103.14,104.18,481006.0
2020-05-11,102.55,103.2,99.93,100.01,362896.0
2020-05-12,100.56,100.73,92.16,92.17,396986.0
2020-05-13,90.79,90.85,83.1,85.0,800900.0
2020-05-14,83.35,86.22,79.05,85.76,686727.0
2020-05-15,85.0,86.48,83.72,86.08,491892.0
2020-05-16,85.0,86.48,83.72,86.08,491892.0
2020-05-17,85.0,86.48,83.72,86.08,491892.0
2020-05-18,90.5,94.72,89.955,94.16,423755.0
2020-05-19,93.8,95.58,91.53,93.85,399441.0
2020-05-20,95.27,98.0,94.92,96.7,290924.0
2020-05-21,96.3,99.09,95.87,98.22,352790.0
2020-05-22,98.44,98.44,92.885,93.57,297994.0
2020-05-23,98.44,98.44,92.885,93.57,297994.0
2020-05-24,98.44,98.44,92.885,93.57,297994.0
2020-05-25,98.44,98.44,92.885,93.57,297994.0
2020-05-26,98.95,102.09,98.05,100.31,517143.0
2020-05-27,103.71,106.35,101.98,106.22,463096.0
2020-05-28,107.01,107.06,102.99,104.2,340678.0
2020-05-29,102.58,104.06,100.22,102.4,842482.0
2020-05-30,102.58,104.06,100.22,102.4,842482.0
2020-05-31,102.58,104.06,100.22,102.4,842482.0
2020-06-01,102.41,103.84,102.005,102.48,264318.0
2020-06-02,102.66,105.88,102.51,105.59,425740.0
2020-06-03,107.99,116.72,107.99,114.47,424882.0
2020-06-04,113.75,117.525,111.8,116.58,529856.0
2020-06-05,123.92,127.885,121.9,122.68,494363.0
2020-06-06,123.92,127.885,121.9,122.68,494363.0
2020-06-07,123.92,127.885,121.9,122.68,494363.0
2020-06-08,125.52,127.56,124.34,125.53,382127.0
2020-06-09,120.97,122.48,118.98,120.32,331628.0
2020-06-10,118.88,119.445,114.3,115.36,276471.0
2020-06-11,108.11,109.76,105.24,105.53,362468.0
2020-06-12,110.49,110.51,105.135,109.17,338230.0
2020-06-13,110.49,110.51,105.135,109.17,338230.0
2020-06-14,110.49,110.51,105.135,109.17,338230.0
2020-06-15,104.47,108.06,101.25,107.74,546102.0
2020-06-16,112.86,113.46,108.0,110.58,488508.0
2020-06-17,111.18,111.18,105.65,106.4,293659.0
2020-06-18,105.13,107.19,104.59,105.38,259173.0
2020-06-19,105.98,107.24,102.31,104.39,588934.0
2020-06-20,105.98,107.24,102.31,104.39,588934.0
2020-06-21,105.98,107.24,102.31,104.39,588934.0
2020-06-22,102.65,104.4,101.17,102.59,278474.0
2020-06-23,104.33,105.0,101.86,103.56,361002.0
2020-06-24,102.87,102.87,98.18,100.76,453916.0
2020-06-25,99.59,101.21,97.05,101.03,256851.0
2020-06-26,100.52,102.22,98.0,98.12,592572.0
2020-06-27,100.52,102.22,98.0,98.12,592572.0
2020-06-28,100.52,102.22,98.0,98.12,592572.0
2020-06-29,99.27,102.5,98.24,101.2,226687.0
2020-06-30,101.23,104.38,100.97,103.46,293923.0
2020-07-01,103.44,104.93,101.68,102.66,449084.0
2020-07-02,105.4,107.75,104.01,105.12,356829.0
2020-07-03,105.4,107.75,104.01,105.12,356829.0
2020-07-04,105.4,107.75,104.01,105.12,356829.0
2020-07-05,105.4,107.75,104.01,105.12,356829.0
2020-07-06,107.78,109.07,105.96,108.01,320599.0
2020-07-07,106.49,106.81,103.78,103.85,253215.0
2020-07-08,103.4,105.47,101.71,104.12,184779.0
2020-07-09,103.76,103.76,98.95,102.77,250798.0
2020-07-10,102.06,105.4,102.06,104.37,372108.0
2020-07-11,102.06,105.4,102.06,104.37,372108.0
2020-07-12,102.06,105.4,102.06,104.37,372108.0
2020-07-13,105.21,105.21,102.12,102.39,169631.0
2020-07-14,102.04,102.64,100.13,102.52,235641.0
2020-07-15,106.04,108.19,105.455,107.51,195874.0
2020-07-16,106.06,107.05,104.295,104.87,214948.0
