,STC US Equity,STC US Equity,STC US Equity,STC US Equity,STC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,35.6163,36.1481,35.5291,35.5639,143473.0
2020-01-02,35.6163,35.8604,35.0844,35.5378,138465.0
2020-01-03,35.1106,35.8386,35.1106,35.7383,135228.0
2020-01-04,35.1106,35.8386,35.1106,35.7383,135228.0
2020-01-05,35.1106,35.8386,35.1106,35.7383,135228.0
2020-01-06,35.407,36.0609,35.3242,36.026,111067.0
2020-01-07,35.7906,35.9563,35.1106,35.4593,115995.0
2020-01-08,35.3024,35.747,35.3024,35.5291,147178.0
2020-01-09,35.5465,35.7034,35.3896,35.5029,105742.0
2020-01-10,35.3634,35.625,35.2849,35.4942,82105.0
2020-01-11,35.3634,35.625,35.2849,35.4942,82105.0
2020-01-12,35.3634,35.625,35.2849,35.4942,82105.0
2020-01-13,35.4157,35.6424,35.2152,35.625,104426.0
2020-01-14,35.4593,35.9127,35.4244,35.7383,172169.0
2020-01-15,35.7296,35.8778,35.2326,35.3983,117644.0
2020-01-16,35.3896,35.747,35.1236,35.6424,88424.0
2020-01-17,35.8081,35.8342,35.4419,35.5465,74235.0
2020-01-18,35.8081,35.8342,35.4419,35.5465,74235.0
2020-01-19,35.8081,35.8342,35.4419,35.5465,74235.0
2020-01-20,35.8081,35.8342,35.4419,35.5465,74235.0
2020-01-21,35.3634,35.6337,35.2893,35.5029,136785.0
2020-01-22,35.4768,35.6598,35.1803,35.5029,62269.0
2020-01-23,35.3024,35.9999,35.1018,35.9127,134156.0
2020-01-24,35.9214,36.4533,35.9127,36.2527,96804.0
2020-01-25,35.9214,36.4533,35.9127,36.2527,96804.0
2020-01-26,35.9214,36.4533,35.9127,36.2527,96804.0
2020-01-27,35.9999,36.741,35.9999,36.4794,107183.0
2020-01-28,36.6974,36.9851,36.4445,36.7235,71537.0
2020-01-29,36.8282,37.081,36.462,36.5317,145823.0
2020-01-30,36.3399,37.2031,36.3399,36.9241,121635.0
2020-01-31,36.8282,37.1333,36.3312,36.4009,104360.0
2020-02-01,36.8282,37.1333,36.3312,36.4009,104360.0
2020-02-02,36.8282,37.1333,36.3312,36.4009,104360.0
2020-02-03,36.4533,37.0897,36.4271,36.9677,153235.0
2020-02-04,37.2292,37.4472,36.7235,36.802,121910.0
2020-02-05,37.0549,37.8657,36.8456,37.639,172966.0
2020-02-06,36.7061,37.0883,35.0234,35.5727,459390.0
2020-02-07,35.5639,35.8081,34.509,34.6659,267982.0
2020-02-08,35.5639,35.8081,34.509,34.6659,267982.0
2020-02-09,35.5639,35.8081,34.509,34.6659,267982.0
2020-02-10,34.788,34.9536,34.2648,34.3607,129890.0
2020-02-11,34.4218,34.7792,34.3172,34.6659,140193.0
2020-02-12,35.1977,35.8429,35.1977,35.5291,214908.0
2020-02-13,35.4419,35.7034,34.849,35.2849,107396.0
2020-02-14,35.2413,35.3896,35.0757,35.3372,82222.0
2020-02-15,35.2413,35.3896,35.0757,35.3372,82222.0
2020-02-16,35.2413,35.3896,35.0757,35.3372,82222.0
2020-02-17,35.2413,35.3896,35.0757,35.3372,82222.0
2020-02-18,35.3547,35.3983,34.8752,34.91,139200.0
2020-02-19,35.0059,35.1149,34.8454,34.9885,82965.0
2020-02-20,34.7444,35.1018,34.7444,34.9623,71429.0
2020-02-21,34.9449,35.1367,34.7444,35.1367,149030.0
2020-02-22,34.9449,35.1367,34.7444,35.1367,149030.0
2020-02-23,34.9449,35.1367,34.7444,35.1367,149030.0
2020-02-24,34.6572,35.0844,34.5264,34.8577,84405.0
