,LUV US Equity,LUV US Equity,LUV US Equity,LUV US Equity,LUV US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,44.6367,44.8269,43.7951,44.1993,3805140.0
2019-01-02,43.7904,44.8839,43.2388,44.8269,4081331.0
2019-01-03,44.1993,44.2848,42.421,43.372,4404922.0
2019-01-04,43.7333,45.7018,43.7333,45.5115,4762085.0
2019-01-05,43.7333,45.7018,43.7333,45.5115,4762085.0
2019-01-06,43.7333,45.7018,43.7333,45.5115,4762085.0
2019-01-07,45.4925,45.8919,44.855,45.5211,5194720.0
2019-01-08,46.1201,46.2057,44.8934,45.2073,4462644.0
2019-01-09,45.2928,46.8476,45.2358,46.6717,3489555.0
2019-01-10,45.1597,46.6241,44.5987,46.5861,5424768.0
2019-01-11,46.2628,46.4625,45.502,46.1392,3568926.0
2019-01-12,46.2628,46.4625,45.502,46.1392,3568926.0
2019-01-13,46.2628,46.4625,45.502,46.1392,3568926.0
2019-01-14,45.8158,46.8714,45.3594,46.3674,3908801.0
2019-01-15,46.6051,47.5656,46.4625,47.1757,4408949.0
2019-01-16,47.8889,48.2407,47.3088,47.3373,4640262.0
2019-01-17,47.2993,48.4336,47.1852,48.1076,3483143.0
2019-01-18,48.4119,49.049,48.1171,49.0395,3236424.0
2019-01-19,48.4119,49.049,48.1171,49.0395,3236424.0
2019-01-20,48.4119,49.049,48.1171,49.0395,3236424.0
2019-01-21,48.4119,49.049,48.1171,49.0395,3236424.0
2019-01-22,48.7352,49.0062,47.7748,48.06,4153889.0
2019-01-23,48.3834,48.7923,47.6036,48.5165,4721327.0
2019-01-24,51.1125,52.1776,50.1331,51.55,11000849.0
2019-01-25,52.3012,52.9573,51.3978,52.2822,7351874.0
2019-01-26,52.3012,52.9573,51.3978,52.2822,7351874.0
2019-01-27,52.3012,52.9573,51.3978,52.2822,7351874.0
2019-01-28,52.1966,53.2093,52.1966,52.7957,5073222.0
2019-01-29,52.9193,53.7656,52.6625,53.604,5231860.0
2019-01-30,53.8797,54.9781,53.8037,54.669,6768683.0
2019-01-31,54.669,54.8117,53.6373,53.9748,4658957.0
2019-02-01,54.1935,55.154,54.1175,54.3267,3610393.0
2019-02-02,54.1935,55.154,54.1175,54.3267,3610393.0
2019-02-03,54.1935,55.154,54.1175,54.3267,3610393.0
2019-02-04,54.3932,55.4488,54.3409,55.4298,4426939.0
2019-02-05,55.6295,55.8862,54.7071,55.0399,5130914.0
2019-02-06,54.7261,54.8877,53.8607,54.7831,5305631.0
2019-02-07,54.3647,54.8402,54.3172,54.6595,3130502.0
2019-02-08,54.1745,54.8212,54.0224,54.8212,3151414.0
2019-02-09,54.1745,54.8212,54.0224,54.8212,3151414.0
2019-02-10,54.1745,54.8212,54.0224,54.8212,3151414.0
2019-02-11,55.2206,55.5724,54.7736,55.4202,4081730.0
2019-02-12,55.4202,55.8577,54.688,54.8687,3612984.0
2019-02-13,55.1255,55.696,54.9686,55.154,3969159.0
2019-02-14,54.7831,55.6199,54.3457,55.154,5013540.0
2019-02-15,55.6295,55.7245,54.8117,54.8687,4992007.0
2019-02-16,55.6295,55.7245,54.8117,54.8687,4992007.0
2019-02-17,55.6295,55.7245,54.8117,54.8687,4992007.0
2019-02-18,55.6295,55.7245,54.8117,54.8687,4992007.0
2019-02-19,54.5359,55.3061,53.8797,54.8402,5656311.0
2019-02-20,52.3392,52.6721,51.5214,51.7401,11873119.0
2019-02-21,51.5405,52.0635,51.3978,51.6451,4916620.0
2019-02-22,51.4739,51.7211,50.8463,50.9889,4569626.0
2019-02-23,51.4739,51.7211,50.8463,50.9889,4569626.0
2019-02-24,51.4739,51.7211,50.8463,50.9889,4569626.0
2019-02-25,51.2647,51.5405,50.9699,51.3122,5650644.0
2019-02-26,51.3122,51.9494,51.0317,51.0555,5806588.0
2019-02-27,50.8653,51.5405,50.6941,51.2076,5569212.0
2019-02-28,51.2457,54.165,51.046,53.2902,15308190.0
2019-03-01,53.5184,53.8037,51.3978,51.6736,9041394.0
2019-03-02,53.5184,53.8037,51.3978,51.6736,9041394.0
2019-03-03,53.5184,53.8037,51.3978,51.6736,9041394.0
2019-03-04,51.5595,51.8828,50.6466,51.1886,4526463.0
2019-03-05,51.5033,51.8801,50.8548,50.9215,5211595.0
2019-03-06,51.0264,51.2935,50.3207,50.6068,5114949.0
2019-03-07,50.3874,50.7212,49.5574,50.0059,5552183.0
2019-03-08,49.6053,49.6053,48.9472,49.3764,4648089.0
2019-03-09,49.6053,49.6053,48.9472,49.3764,4648089.0
2019-03-10,49.6053,49.6053,48.9472,49.3764,4648089.0
2019-03-11,47.5929,49.2524,47.5166,49.2238,6185725.0
