,GOLF US Equity,GOLF US Equity,GOLF US Equity,GOLF US Equity,GOLF US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,30.3251,30.615,30.3251,30.3906,158437.0
2020-01-02,30.5402,30.6056,30.1474,30.2035,280307.0
2020-01-03,29.9604,30.615,29.7369,30.5308,170975.0
2020-01-04,29.9604,30.615,29.7369,30.5308,170975.0
2020-01-05,29.9604,30.615,29.7369,30.5308,170975.0
2020-01-06,30.2597,30.8581,30.1755,30.8394,176341.0
2020-01-07,29.4648,30.7178,29.4648,29.9511,196411.0
2020-01-08,29.9417,30.1755,29.7547,29.9043,219519.0
2020-01-09,30.0633,30.2035,29.6799,29.923,209507.0
2020-01-10,29.923,30.0913,29.4648,29.5864,161475.0
2020-01-11,29.923,30.0913,29.4648,29.5864,161475.0
2020-01-12,29.923,30.0913,29.4648,29.5864,161475.0
2020-01-13,29.6331,30.2971,29.5864,30.2877,165422.0
2020-01-14,30.2877,30.5308,30.1848,30.4467,150832.0
2020-01-15,30.3812,30.7553,30.2129,30.7272,132311.0
2020-01-16,30.8581,31.3257,30.6056,30.7178,183388.0
2020-01-17,30.9329,30.9329,30.1661,30.2409,294936.0
2020-01-18,30.9329,30.9329,30.1661,30.2409,294936.0
2020-01-19,30.9329,30.9329,30.1661,30.2409,294936.0
2020-01-20,30.9329,30.9329,30.1661,30.2409,294936.0
2020-01-21,30.0352,30.2971,29.6705,30.11,381237.0
2020-01-22,30.2784,30.3812,29.6799,29.7547,186141.0
2020-01-23,29.6612,30.1287,29.3059,30.0072,264744.0
2020-01-24,30.0633,30.1007,29.4274,29.5677,123033.0
2020-01-25,30.0633,30.1007,29.4274,29.5677,123033.0
2020-01-26,30.0633,30.1007,29.4274,29.5677,123033.0
2020-01-27,29.1188,29.9978,28.9412,29.6238,182805.0
2020-01-28,29.9043,30.0072,29.4461,29.5864,237456.0
2020-01-29,29.5957,29.8482,29.4461,29.577,294204.0
2020-01-30,29.3807,29.9885,29.3807,29.8482,157748.0
2020-01-31,29.7547,29.7828,28.9131,28.9599,164266.0
2020-02-01,29.7547,29.7828,28.9131,28.9599,164266.0
2020-02-02,29.7547,29.7828,28.9131,28.9599,164266.0
2020-02-03,29.0721,29.3807,28.9599,29.0066,257168.0
2020-02-04,29.3339,29.6051,29.203,29.203,127576.0
2020-02-05,29.4555,29.7687,29.3059,29.5209,115449.0
2020-02-06,29.5209,29.8482,29.1606,29.3059,137834.0
2020-02-07,29.1562,29.1562,28.6326,28.7916,254327.0
2020-02-08,29.1562,29.1562,28.6326,28.7916,254327.0
2020-02-09,29.1562,29.1562,28.6326,28.7916,254327.0
2020-02-10,28.5765,28.8617,28.483,28.7074,244965.0
2020-02-11,28.6887,29.0066,28.0996,28.2773,573423.0
2020-02-12,28.4362,29.1469,28.2819,29.0066,315472.0
2020-02-13,28.9038,29.0066,28.6139,28.857,169118.0
2020-02-14,28.8383,28.905,28.3988,28.6793,155282.0
2020-02-15,28.8383,28.905,28.3988,28.6793,155282.0
2020-02-16,28.8383,28.905,28.3988,28.6793,155282.0
2020-02-17,28.8383,28.905,28.3988,28.6793,155282.0
2020-02-18,28.5765,28.9318,28.1276,28.1463,123684.0
2020-02-19,28.2398,28.6606,28.0248,28.0341,811384.0
2020-02-20,28.1276,28.5812,28.0528,28.3427,436681.0
2020-02-21,28.3427,28.4269,27.8658,27.8939,187674.0
2020-02-22,28.3427,28.4269,27.8658,27.8939,187674.0
2020-02-23,28.3427,28.4269,27.8658,27.8939,187674.0
2020-02-24,27.2393,27.2393,26.4164,26.4912,235582.0
2020-02-25,26.4725,26.6549,25.4907,25.5468,271456.0
2020-02-26,25.5935,25.8647,25.126,25.154,297903.0
2020-02-27,24.0226,24.7426,23.1997,23.9104,610608.0
2020-02-28,23.0407,23.7981,22.8257,23.7981,625582.0
2020-02-29,23.0407,23.7981,22.8257,23.7981,625582.0
2020-03-01,23.0407,23.7981,22.8257,23.7981,625582.0
2020-03-02,24.0319,24.8361,23.9104,24.8361,388448.0
2020-03-03,24.9483,25.5748,24.5369,24.8081,389204.0
2020-03-04,25.2008,25.2475,24.7613,25.2288,248668.0
2020-03-05,24.5556,24.8829,23.9945,24.434,1025326.0
2020-03-06,23.5831,24.3873,23.5831,24.2376,273327.0
2020-03-07,23.5831,24.3873,23.5831,24.2376,273327.0
2020-03-08,23.5831,24.3873,23.5831,24.2376,273327.0
2020-03-09,22.7602,23.2558,22.3254,22.6854,392872.0
2020-03-10,23.2932,23.5457,22.5648,23.4989,443642.0
2020-03-11,22.9005,23.3587,22.4516,22.9846,588813.0
2020-03-12,22.133,22.9235,21.4084,21.9448,894421.0
2020-03-13,22.9517,24.6926,22.3212,24.6173,537481.0
2020-03-14,22.9517,24.6926,22.3212,24.6173,537481.0
2020-03-15,22.9517,24.6926,22.3212,24.6173,537481.0
2020-03-16,22.1142,22.7164,20.7873,21.8413,552014.0
2020-03-17,22.293,23.6716,22.133,23.3657,573770.0
2020-03-18,22.0953,23.281,21.5401,22.3024,506394.0
2020-03-19,22.18,22.7635,20.8814,21.5966,894104.0
2020-03-20,21.8695,21.973,20.6179,20.6179,743345.0
2020-03-21,21.8695,21.973,20.6179,20.6179,743345.0
2020-03-22,21.8695,21.973,20.6179,20.6179,743345.0
2020-03-23,20.4674,20.8908,19.4322,19.9028,593359.0
2020-03-24,20.712,22.2553,20.712,22.1894,396154.0
2020-03-25,22.1612,23.7798,21.8224,22.5941,590926.0
2020-03-26,22.7823,24.6832,22.6694,24.5232,441573.0
2020-03-27,23.6857,24.749,22.9987,24.015,485032.0
2020-03-28,23.6857,24.749,22.9987,24.015,485032.0
2020-03-29,23.6857,24.749,22.9987,24.015,485032.0
2020-03-30,24.0997,24.8055,23.5446,24.128,228431.0
2020-03-31,23.9115,24.4761,23.6622,24.2033,257907.0
2020-04-01,23.3281,23.5728,22.7258,23.1022,375645.0
2020-04-02,22.867,23.7469,22.7352,23.5634,274005.0
2020-04-03,23.2905,23.4269,22.0012,22.5565,408620.0
2020-04-04,23.2905,23.4269,22.0012,22.5565,408620.0
2020-04-05,23.2905,23.4269,22.0012,22.5565,408620.0
2020-04-06,23.4598,24.1562,23.3377,24.0339,451912.0
2020-04-07,24.7585,25.229,23.5916,24.382,695395.0
2020-04-08,24.495,24.495,22.914,23.1493,898201.0
2020-04-09,23.1493,23.7798,22.5282,23.2058,802077.0
2020-04-10,23.1493,23.7798,22.5282,23.2058,802077.0
2020-04-11,23.1493,23.7798,22.5282,23.2058,802077.0
2020-04-12,23.1493,23.7798,22.5282,23.2058,802077.0
2020-04-13,22.9893,23.1211,22.3965,22.7541,780128.0
2020-04-14,22.1142,22.2271,21.3943,22.0953,965963.0
2020-04-15,21.606,22.1894,21.2296,21.9824,525199.0
2020-04-16,22.0671,22.3306,21.7048,22.18,602638.0
2020-04-17,22.6317,23.3469,22.4435,22.8105,509300.0
2020-04-18,22.6317,23.3469,22.4435,22.8105,509300.0
2020-04-19,22.6317,23.3469,22.4435,22.8105,509300.0
2020-04-20,22.5847,23.2434,22.4812,22.9423,242161.0
2020-04-21,22.0577,22.5565,21.6154,22.2177,471143.0
2020-04-22,22.5659,22.7023,22.0765,22.4247,281113.0
2020-04-23,22.4341,23.281,22.3306,22.4153,810038.0
2020-04-24,22.5094,22.8576,22.1424,22.6694,404062.0
2020-04-25,22.5094,22.8576,22.1424,22.6694,404062.0
2020-04-26,22.5094,22.8576,22.1424,22.6694,404062.0
2020-04-27,22.9046,24.5703,22.6694,24.1938,822020.0
2020-04-28,24.6926,25.7089,24.4761,25.596,639092.0
2020-04-29,26.1135,26.5746,25.6807,26.2076,695751.0
2020-04-30,25.803,26.1324,25.4266,25.7842,376489.0
2020-05-01,25.1725,25.6054,24.4291,24.9561,706502.0
2020-05-02,25.1725,25.6054,24.4291,24.9561,706502.0
2020-05-03,25.1725,25.6054,24.4291,24.9561,706502.0
2020-05-04,24.6361,25.3984,24.4103,25.2854,591541.0
2020-05-05,25.6995,25.8406,25.1349,25.2478,497227.0
2020-05-06,25.3419,25.7183,25.1631,25.6242,549464.0
2020-05-07,26.1135,27.1957,25.6054,25.803,832390.0
2020-05-08,26.1135,26.537,25.85,26.4617,437343.0
2020-05-09,26.1135,26.537,25.85,26.4617,437343.0
2020-05-10,26.1135,26.537,25.85,26.4617,437343.0
2020-05-11,26.0759,26.9511,26.0759,26.7252,593067.0
2020-05-12,26.744,26.8475,25.8783,25.8971,421470.0
2020-05-13,25.7089,25.8877,24.8064,25.3419,487596.0
2020-05-14,24.9467,25.5583,24.5891,25.5207,571378.0
2020-05-15,25.4548,26.6593,25.1655,26.5652,527233.0
2020-05-16,25.4548,26.6593,25.1655,26.5652,527233.0
2020-05-17,25.4548,26.6593,25.1655,26.5652,527233.0
2020-05-18,27.5721,28.2026,27.3369,28.1273,810516.0
2020-05-19,27.9862,28.5132,27.7792,28.1744,549557.0
2020-05-20,28.579,29.2754,28.3908,28.9178,501139.0
2020-05-21,28.8143,29.4165,28.6496,29.266,486405.0
