,MDU US Equity,MDU US Equity,MDU US Equity,MDU US Equity,MDU US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,17.8162,17.961,17.8041,17.9248,1087495.0
2020-01-02,17.9368,17.9405,17.5236,17.605,1106990.0
2020-01-03,17.5387,17.6714,17.4723,17.6292,1166260.0
2020-01-04,17.5387,17.6714,17.4723,17.6292,1166260.0
2020-01-05,17.5387,17.6714,17.4723,17.6292,1166260.0
2020-01-06,17.6111,17.6955,17.5025,17.6533,2712780.0
2020-01-07,17.5809,17.7016,17.5507,17.5809,1040630.0
2020-01-08,17.5749,17.5899,17.3939,17.418,843845.0
2020-01-09,17.4361,17.5447,17.3513,17.4783,1049476.0
2020-01-10,17.4904,17.5387,17.3848,17.412,941376.0
2020-01-11,17.4904,17.5387,17.3848,17.412,941376.0
2020-01-12,17.4904,17.5387,17.3848,17.412,941376.0
2020-01-13,17.412,17.5085,17.4059,17.4542,1262977.0
2020-01-14,17.4482,17.4783,17.3577,17.4482,1528223.0
2020-01-15,17.4602,17.6623,17.4602,17.6292,966246.0
2020-01-16,17.6654,17.78,17.6533,17.7559,1072395.0
2020-01-17,17.7981,17.8675,17.6955,17.8584,952860.0
2020-01-18,17.7981,17.8675,17.6955,17.8584,952860.0
2020-01-19,17.7981,17.8675,17.6955,17.8584,952860.0
2020-01-20,17.7981,17.8675,17.6955,17.8584,952860.0
2020-01-21,17.8886,17.8886,17.6835,17.8343,1295283.0
2020-01-22,17.8825,17.9851,17.8645,17.8946,1668522.0
2020-01-23,17.9187,18.1661,17.8343,18.148,1009220.0
2020-01-24,18.154,18.2264,17.8765,17.9791,1373101.0
2020-01-25,18.154,18.2264,17.8765,17.9791,1373101.0
2020-01-26,18.154,18.2264,17.8765,17.9791,1373101.0
2020-01-27,17.9067,17.973,17.6654,17.6774,1292013.0
2020-01-28,17.7438,17.9429,17.626,17.9006,1893102.0
2020-01-29,17.8825,17.9549,17.8162,17.9067,1008349.0
2020-01-30,17.8524,18.0997,17.8283,18.0816,1475037.0
2020-01-31,18.0153,18.0816,17.7981,17.8645,2854871.0
2020-02-01,18.0153,18.0816,17.7981,17.8645,2854871.0
2020-02-02,18.0153,18.0816,17.7981,17.8645,2854871.0
2020-02-03,17.9429,18.0756,17.9368,18.0213,1407072.0
2020-02-04,18.0937,18.1118,17.967,18.0575,1442844.0
2020-02-05,18.2868,18.9927,18.1118,18.866,2333848.0
2020-02-06,19.0108,19.2461,18.9142,19.0108,1672455.0
2020-02-07,18.9806,18.9806,18.5734,18.697,1361997.0
2020-02-08,18.9806,18.9806,18.5734,18.697,1361997.0
2020-02-09,18.9806,18.9806,18.5734,18.697,1361997.0
2020-02-10,18.7031,18.7755,18.5945,18.6729,997838.0
2020-02-11,18.7393,18.7996,18.6246,18.6789,1152640.0
2020-02-12,18.7272,18.9746,18.6488,18.9685,1331958.0
2020-02-13,18.9444,19.1194,18.7393,19.0832,1016007.0
2020-02-14,19.1495,19.2581,19.0801,19.2581,878005.0
2020-02-15,19.1495,19.2581,19.0801,19.2581,878005.0
2020-02-16,19.1495,19.2581,19.0801,19.2581,878005.0
2020-02-17,19.1495,19.2581,19.0801,19.2581,878005.0
2020-02-18,19.2159,19.2461,19.1254,19.1676,854666.0
2020-02-19,19.1254,19.2581,19.1254,19.1978,2068539.0
2020-02-20,19.1857,19.4331,19.1254,19.4271,1338162.0
2020-02-21,19.3788,19.4391,19.1737,19.2219,1102486.0
