,MED US Equity,MED US Equity,MED US Equity,MED US Equity,MED US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,91.6516,93.3202,91.2705,92.812,214459.0
2020-01-02,92.5325,95.7086,92.1501,94.633,317929.0
2020-01-03,93.7013,94.8278,92.812,93.7352,202946.0
2020-01-04,93.7013,94.8278,92.812,93.7352,202946.0
2020-01-05,93.7013,94.8278,92.812,93.7352,202946.0
2020-01-06,92.812,95.5138,92.7484,93.7521,279585.0
2020-01-07,93.7606,95.6663,92.8374,94.489,204316.0
2020-01-08,93.7352,95.192,93.6081,94.218,169050.0
2020-01-09,94.5229,95.4715,92.812,92.8882,233188.0
2020-01-10,92.9814,94.5398,92.0836,92.8035,168081.0
2020-01-11,92.9814,94.5398,92.0836,92.8035,168081.0
2020-01-12,92.9814,94.5398,92.0836,92.8035,168081.0
2020-01-13,92.6934,96.2084,92.1513,95.3953,257204.0
2020-01-14,96.4963,99.7911,96.4963,98.6731,323191.0
2020-01-15,98.4867,99.8504,97.3221,97.6906,240151.0
2020-01-16,98.2411,99.0796,97.1824,99.0034,194728.0
2020-01-17,99.5031,99.7657,96.6911,97.8938,179707.0
2020-01-18,99.5031,99.7657,96.6911,97.8938,179707.0
2020-01-19,99.5031,99.7657,96.6911,97.8938,179707.0
2020-01-20,99.5031,99.7657,96.6911,97.8938,179707.0
2020-01-21,97.8515,98.5799,96.8775,98.0632,274365.0
2020-01-22,98.3258,101.629,98.3089,98.7662,319237.0
2020-01-23,98.6138,98.6138,91.677,92.2953,470352.0
2020-01-24,92.7612,94.0147,86.8408,87.6623,564704.0
2020-01-25,92.7612,94.0147,86.8408,87.6623,564704.0
2020-01-26,92.7612,94.0147,86.8408,87.6623,564704.0
2020-01-27,85.6889,88.9413,84.9097,84.9774,253617.0
2020-01-28,85.4263,88.7719,85.4178,86.4596,296909.0
2020-01-29,86.917,87.5438,84.0796,84.1643,175792.0
2020-01-30,83.2072,85.2484,81.9706,83.2242,227967.0
2020-01-31,83.0378,84.4565,80.9119,81.8436,312856.0
2020-02-01,83.0378,84.4565,80.9119,81.8436,312856.0
2020-02-02,83.0378,84.4565,80.9119,81.8436,312856.0
2020-02-03,82.6567,85.7736,82.3264,83.5968,248990.0
2020-02-04,85.7651,88.2637,84.9859,86.1632,294392.0
2020-02-05,87.8233,88.8058,86.485,86.7307,247054.0
2020-02-06,87.1965,87.2473,85.799,86.2479,165733.0
2020-02-07,86.1801,86.6968,84.2914,85.1976,184402.0
2020-02-08,86.1801,86.6968,84.2914,85.1976,184402.0
2020-02-09,86.1801,86.6968,84.2914,85.1976,184402.0
2020-02-10,84.7148,86.0277,84.7064,85.4602,175258.0
2020-02-11,86.3156,88.2722,85.6126,86.9848,177856.0
2020-02-12,87.4675,88.2044,86.2648,87.9418,139127.0
2020-02-13,87.0102,89.6443,86.485,89.2038,145293.0
2020-02-14,89.2801,90.9317,86.7772,87.8148,154139.0
2020-02-15,89.2801,90.9317,86.7772,87.8148,154139.0
2020-02-16,89.2801,90.9317,86.7772,87.8148,154139.0
2020-02-17,89.2801,90.9317,86.7772,87.8148,154139.0
2020-02-18,87.6454,89.0768,86.1801,86.773,184889.0
2020-02-19,87.6623,88.3145,85.0028,85.4771,188706.0
2020-02-20,85.1214,86.7984,84.3591,85.926,246221.0
2020-02-21,86.0954,86.0954,80.8018,81.2931,366774.0
2020-02-22,86.0954,86.0954,80.8018,81.2931,366774.0
2020-02-23,86.0954,86.0954,80.8018,81.2931,366774.0
2020-02-24,78.6081,81.8859,77.4139,80.4545,480416.0
2020-02-25,81.3862,81.436,78.8278,80.5138,326656.0
2020-02-26,81.7081,83.1268,79.5906,80.0226,777634.0
2020-02-27,68.6985,77.0751,68.6053,72.6877,954661.0
2020-02-28,71.9848,77.7019,69.1431,70.3924,494135.0
2020-02-29,71.9848,77.7019,69.1431,70.3924,494135.0
2020-03-01,71.9848,77.7019,69.1431,70.3924,494135.0
2020-03-02,70.6465,71.3749,68.3258,69.7233,357921.0
2020-03-03,69.537,72.6454,67.9701,68.6731,312827.0
2020-03-04,69.4523,70.0198,67.1316,69.8927,248513.0
2020-03-05,68.0124,69.6132,66.2422,67.4534,325746.0
2020-03-06,65.6324,67.5635,65.2343,67.301,205071.0
2020-03-07,65.6324,67.5635,65.2343,67.301,205071.0
2020-03-08,65.6324,67.5635,65.2343,67.301,205071.0
2020-03-09,63.6928,64.6499,61.1265,62.5748,360860.0
2020-03-10,63.9385,65.0987,59.0937,61.1265,391597.0
2020-03-11,59.9577,60.9147,58.1578,59.6612,257564.0
2020-03-12,55.8413,60.1609,52.5042,56.4342,385248.0
2020-03-13,58.2891,60.9232,56.1717,58.0265,355437.0
2020-03-14,58.2891,60.9232,56.1717,58.0265,355437.0
2020-03-15,58.2891,60.9232,56.1717,58.0265,355437.0
2020-03-16,54.2067,56.2564,48.3286,48.3964,526501.0
2020-03-17,48.7013,49.0147,42.7047,45.1694,706014.0
2020-03-18,43.1366,50.1793,41.6587,44.026,455146.0
2020-03-19,43.882,47.1725,41.5274,45.3134,418842.0
2020-03-20,45.5675,49.7092,44.8899,46.3721,400091.0
2020-03-21,45.5675,49.7092,44.8899,46.3721,400091.0
2020-03-22,45.5675,49.7092,44.8899,46.3721,400091.0
2020-03-23,46.2196,50.8103,43.9243,47.2699,435348.0
2020-03-24,49.3789,56.1293,47.7495,55.5618,378937.0
2020-03-25,55.8583,57.1626,52.3221,55.2061,433154.0
2020-03-26,55.5957,60.5632,55.5195,58.9243,273097.0
2020-03-27,57.4167,58.3103,54.8842,55.1299,231264.0
2020-03-28,57.4167,58.3103,54.8842,55.1299,231264.0
2020-03-29,57.4167,58.3103,54.8842,55.1299,231264.0
2020-03-30,55.8022,56.201,53.5353,55.104,201719.0
2020-03-31,54.9661,55.5953,52.1993,53.8715,316096.0
2020-04-01,52.6647,53.7379,48.3292,49.5273,296577.0
2020-04-02,49.1394,55.1083,49.1394,50.1306,265974.0
2020-04-03,49.7858,52.139,47.1914,49.2945,217863.0
2020-04-04,49.7858,52.139,47.1914,49.2945,217863.0
2020-04-05,49.7858,52.139,47.1914,49.2945,217863.0
2020-04-06,51.3718,55.423,51.0443,54.8282,249540.0
2020-04-07,56.578,59.681,53.8206,54.311,266605.0
2020-04-08,55.9315,58.4441,54.9618,57.7071,177355.0
2020-04-09,59.8275,60.5558,58.8793,59.3017,262433.0
2020-04-10,59.8275,60.5558,58.8793,59.3017,262433.0
2020-04-11,59.8275,60.5558,58.8793,59.3017,262433.0
2020-04-12,59.8275,60.5558,58.8793,59.3017,262433.0
2020-04-13,58.6121,62.4004,57.8623,62.2064,207126.0
2020-04-14,63.8872,64.3872,60.3619,60.4222,479207.0
2020-04-15,58.6983,60.586,57.2675,57.7416,230738.0
2020-04-16,57.7416,58.8449,54.9403,56.1384,274740.0
2020-04-17,57.5175,58.0605,55.41,55.8194,263977.0
2020-04-18,57.5175,58.0605,55.41,55.8194,263977.0
2020-04-19,57.5175,58.0605,55.41,55.8194,263977.0
2020-04-20,55.1644,57.7157,54.4921,55.4143,249626.0
2020-04-21,54.5007,56.3021,54.4387,55.5091,174747.0
2020-04-22,56.8883,57.3709,55.3799,56.6211,212327.0
2020-04-23,56.9055,59.6551,56.9055,58.0605,211093.0
2020-04-24,59.3276,60.4567,58.1122,59.5775,170531.0
2020-04-25,59.3276,60.4567,58.1122,59.5775,170531.0
2020-04-26,59.3276,60.4567,58.1122,59.5775,170531.0
2020-04-27,59.9051,63.1718,59.9051,62.8098,147477.0
2020-04-28,64.12,65.0164,61.6504,63.1029,212836.0
2020-04-29,64.6285,69.7915,63.7838,68.0935,361272.0
2020-04-30,67.3781,68.9296,65.3181,65.4043,276456.0
2020-05-01,64.1372,64.8095,62.284,63.1804,190086.0
