,DGX US Equity,DGX US Equity,DGX US Equity,DGX US Equity,DGX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,96.7808,97.4835,96.5709,97.4561,466811.0
2020-01-02,97.4288,97.4789,95.7952,96.4888,976998.0
2020-01-03,95.1564,96.4614,94.9944,95.923,679132.0
2020-01-04,95.1564,96.4614,94.9944,95.923,679132.0
2020-01-05,95.1564,96.4614,94.9944,95.923,679132.0
2020-01-06,95.6857,96.4979,95.5671,96.4431,505731.0
2020-01-07,95.275,95.6492,94.9009,95.3389,629369.0
2020-01-08,94.91,96.1967,94.3305,95.7313,700894.0
2020-01-09,96.2971,97.0637,95.7404,96.9086,652883.0
2020-01-10,96.9542,97.5839,96.4797,97.5109,671700.0
2020-01-11,96.9542,97.5839,96.4797,97.5109,671700.0
2020-01-12,96.9542,97.5839,96.4797,97.5109,671700.0
2020-01-13,97.52,98.1437,97.41,97.731,512524.0
2020-01-14,97.6576,97.9236,96.4011,97.6759,733519.0
2020-01-15,97.6026,98.7307,97.3641,97.8869,666363.0
2020-01-16,98.373,98.8728,98.0336,98.2354,495624.0
2020-01-17,98.0703,98.2262,96.9606,98.1896,1328961.0
2020-01-18,98.0703,98.2262,96.9606,98.1896,1328961.0
2020-01-19,98.0703,98.2262,96.9606,98.1896,1328961.0
2020-01-20,98.0703,98.2262,96.9606,98.1896,1328961.0
2020-01-21,97.9786,98.749,97.8044,98.4464,958419.0
2020-01-22,98.8499,99.6937,98.4647,99.5469,684502.0
2020-01-23,99.4277,99.446,98.2446,99.0425,650034.0
2020-01-24,99.281,99.2901,97.6851,98.8591,764688.0
2020-01-25,99.281,99.2901,97.6851,98.8591,764688.0
2020-01-26,99.281,99.2901,97.6851,98.8591,764688.0
2020-01-27,98.0978,100.565,97.9052,100.3999,1517022.0
2020-01-28,100.5466,101.7939,99.9138,101.638,999875.0
2020-01-29,101.528,102.3626,101.1244,101.5004,1505489.0
2020-01-30,103.3898,103.5365,100.4824,102.7202,1454816.0
2020-01-31,102.2708,102.9862,100.7942,101.5004,1060333.0
2020-02-01,102.2708,102.9862,100.7942,101.5004,1060333.0
2020-02-02,102.2708,102.9862,100.7942,101.5004,1060333.0
2020-02-03,101.9774,102.656,100.9318,102.5643,731673.0
2020-02-04,103.0871,103.6374,101.959,102.0416,1006667.0
2020-02-05,102.4726,103.6374,102.2617,102.7019,1064699.0
2020-02-06,103.2614,103.6374,101.8948,102.4359,660675.0
2020-02-07,102.5735,102.9312,102.0691,102.2158,471500.0
2020-02-08,102.5735,102.9312,102.0691,102.2158,471500.0
2020-02-09,102.5735,102.9312,102.0691,102.2158,471500.0
2020-02-10,102.0782,102.3992,101.5876,102.3717,677570.0
2020-02-11,102.8028,103.6145,102.3075,103.0412,840634.0
2020-02-12,103.1972,103.564,101.7389,101.9407,1466485.0
2020-02-13,101.6472,103.3989,101.4546,102.867,953509.0
2020-02-14,102.977,103.4998,102.4543,103.4998,670765.0
2020-02-15,102.977,103.4998,102.4543,103.4998,670765.0
2020-02-16,102.977,103.4998,102.4543,103.4998,670765.0
2020-02-17,102.977,103.4998,102.4543,103.4998,670765.0
2020-02-18,103.3531,103.4998,102.2525,103.2614,903505.0
2020-02-19,103.6374,104.527,103.3744,104.0776,840463.0
2020-02-20,103.7016,103.9309,102.9312,103.4906,520549.0
2020-02-21,103.4906,104.1693,102.9128,103.775,970588.0
2020-02-22,103.4906,104.1693,102.9128,103.775,970588.0
2020-02-23,103.4906,104.1693,102.9128,103.775,970588.0
2020-02-24,102.546,103.7383,102.2141,103.0321,956709.0
2020-02-25,103.3898,103.5365,100.8539,101.2528,913794.0
2020-02-26,101.8856,102.546,100.8218,100.8218,1092921.0
2020-02-27,99.9872,103.8667,99.7487,101.7756,2098326.0
2020-02-28,100.2256,100.244,95.0346,97.2724,2707525.0
2020-02-29,100.2256,100.244,95.0346,97.2724,2707525.0
2020-03-01,100.2256,100.244,95.0346,97.2724,2707525.0
2020-03-02,98.1162,102.9128,97.6661,102.8211,1841302.0
2020-03-03,102.9862,103.5961,98.5197,99.6478,1605030.0
2020-03-04,101.2345,105.9211,101.2345,105.9119,2082523.0
2020-03-05,108.4983,108.7551,104.6554,106.0953,3935965.0
2020-03-06,107.1592,107.1592,99.712,102.7386,3035100.0
2020-03-07,107.1592,107.1592,99.712,102.7386,3035100.0
2020-03-08,107.1592,107.1592,99.712,102.7386,3035100.0
2020-03-09,100.0055,102.7202,98.4188,100.7392,3186640.0
2020-03-10,103.6374,103.8392,94.2367,97.5292,3290750.0
2020-03-11,95.9242,95.9242,88.9814,91.4669,3170014.0
2020-03-12,85.8906,86.2116,80.7639,82.9191,2801757.0
2020-03-13,88.7796,94.0486,82.8182,88.7521,3270147.0
2020-03-14,88.7796,94.0486,82.8182,88.7521,3270147.0
2020-03-15,88.7796,94.0486,82.8182,88.7521,3270147.0
2020-03-16,81.3508,83.5253,76.3615,79.2322,3671797.0
2020-03-17,81.2774,82.2129,73.4817,79.0671,3264426.0
2020-03-18,75.0225,76.1047,68.4832,71.0421,2452481.0
2020-03-19,70.4643,77.407,67.3826,72.7388,2658985.0
2020-03-20,74.3254,75.0032,67.3781,69.006,2637376.0
2020-03-21,74.3254,75.0032,67.3781,69.006,2637376.0
2020-03-22,74.3254,75.0032,67.3781,69.006,2637376.0
2020-03-23,67.9238,74.1512,67.1442,68.9143,2662269.0
2020-03-24,71.7299,72.9405,68.5841,72.7113,2675451.0
2020-03-25,71.7483,74.353,70.5468,72.4728,2430417.0
2020-03-26,73.8485,83.9096,73.6728,81.5984,3311023.0
2020-03-27,78.3242,80.2135,75.5452,76.1964,1889056.0
2020-03-28,78.3242,80.2135,75.5452,76.1964,1889056.0
2020-03-29,78.3242,80.2135,75.5452,76.1964,1889056.0
2020-03-30,76.2881,77.242,74.0778,76.1781,1692777.0
2020-03-31,74.6923,75.0133,72.5187,73.6467,2475158.0
2020-04-01,69.969,72.4545,67.965,72.2435,3038229.0
2020-04-02,70.9962,72.8442,69.648,71.0329,2238971.0
2020-04-03,70.5468,71.0145,66.9699,67.2634,1595769.0
2020-04-04,70.5468,71.0145,66.9699,67.2634,1595769.0
2020-04-05,70.5468,71.0145,66.9699,67.2634,1595769.0
2020-04-06,70.0453,73.8807,68.9359,72.7255,1995763.0
2020-04-07,77.0045,78.1043,74.9743,77.0877,1748906.0
2020-04-08,77.633,82.254,77.633,81.1819,1785557.0
2020-04-09,82.254,86.0802,82.1339,82.9656,1953321.0
2020-04-10,82.254,86.0802,82.1339,82.9656,1953321.0
2020-04-11,82.254,86.0802,82.1339,82.9656,1953321.0
2020-04-12,82.254,86.0802,82.1339,82.9656,1953321.0
2020-04-13,82.9656,83.1597,78.9315,79.8788,1167673.0
2020-04-14,80.8677,83.6588,80.498,83.2706,1342155.0
2020-04-15,79.9343,82.7346,79.7309,82.3002,1404218.0
2020-04-16,82.3834,84.5645,81.413,83.8714,1619490.0
2020-04-17,85.9508,88.6033,85.7013,88.1689,2369911.0
2020-04-18,85.9508,88.6033,85.7013,88.1689,2369911.0
2020-04-19,85.9508,88.6033,85.7013,88.1689,2369911.0
2020-04-20,87.0599,88.9982,86.4129,87.8269,1585813.0
2020-04-21,85.9508,88.1781,85.5349,87.3001,2615394.0
2020-04-22,92.4572,95.7474,88.2772,92.0321,3771777.0
2020-04-23,92.4202,94.9618,91.399,93.0302,3135683.0
2020-04-24,94.0745,100.8674,92.9008,98.5384,3875620.0
2020-04-25,94.0745,100.8674,92.9008,98.5384,3875620.0
2020-04-26,94.0745,100.8674,92.9008,98.5384,3875620.0
2020-04-27,101.1355,107.9191,100.5347,107.2259,4460947.0
2020-04-28,112.919,115.5253,103.3535,103.4275,4820452.0
2020-04-29,104.6105,106.25,100.9783,104.9432,2191811.0
2020-04-30,102.9561,104.1946,100.8397,101.7639,2395516.0
2020-05-01,100.4146,101.0569,97.4248,100.5624,2181577.0
2020-05-02,100.4146,101.0569,97.4248,100.5624,2181577.0
2020-05-03,100.4146,101.0569,97.4248,100.5624,2181577.0
2020-05-04,99.7029,100.641,98.788,99.1484,1426905.0
2020-05-05,99.9802,101.7454,99.5366,100.1003,1580834.0
2020-05-06,100.5994,101.1909,98.3721,99.2686,1066409.0
2020-05-07,100.1928,100.4885,98.3351,99.2224,1121788.0
2020-05-08,100.6179,104.4025,99.1484,103.714,1674045.0
2020-05-09,100.6179,104.4025,99.1484,103.714,1674045.0
2020-05-10,100.6179,104.4025,99.1484,103.714,1674045.0
2020-05-11,102.5587,103.0023,100.6271,102.5218,1504860.0
2020-05-12,103.2981,104.1021,99.4811,99.6475,1215887.0
2020-05-13,100.3499,101.1631,97.3833,99.0375,1418245.0
2020-05-14,98.3628,102.3739,96.8379,102.0966,1774280.0
2020-05-15,101.7454,103.7232,101.5144,102.6604,2406324.0
2020-05-16,101.7454,103.7232,101.5144,102.6604,2406324.0
2020-05-17,101.7454,103.7232,101.5144,102.6604,2406324.0
2020-05-18,104.6012,105.7195,100.6734,100.775,1761472.0
2020-05-19,100.3961,102.9746,99.8323,101.8656,1404526.0
2020-05-20,103.8803,108.9912,103.6955,105.3221,1788185.0
2020-05-21,105.2389,105.2389,103.5291,104.4256,898906.0
2020-05-22,104.6567,104.6567,103.0083,104.2777,770394.0
2020-05-23,104.6567,104.6567,103.0083,104.2777,770394.0
2020-05-24,104.6567,104.6567,103.0083,104.2777,770394.0
2020-05-25,104.6567,104.6567,103.0083,104.2777,770394.0
2020-05-26,106.5605,106.7269,103.7833,104.2038,1176082.0
2020-05-27,103.6493,107.3461,101.8101,106.7823,1681398.0
2020-05-28,107.9746,110.7564,106.6668,109.1206,1521911.0
