,RGP US Equity,RGP US Equity,RGP US Equity,RGP US Equity,RGP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,13.8699,14.0062,13.8529,13.9125,117274.0
2020-01-02,14.2959,14.3044,13.7166,13.9125,384699.0
2020-01-03,14.1937,15.1819,13.7421,14.8241,821485.0
2020-01-04,14.1937,15.1819,13.7421,14.8241,821485.0
2020-01-05,14.1937,15.1819,13.7421,14.8241,821485.0
2020-01-06,14.5089,14.6026,13.9296,14.1511,377252.0
2020-01-07,14.2107,14.2904,13.9381,14.0574,196032.0
2020-01-08,14.0318,14.1425,13.9381,14.0574,140935.0
2020-01-09,14.0148,14.3044,13.8103,13.8316,214585.0
2020-01-10,13.8614,13.921,13.7506,13.7975,195394.0
2020-01-11,13.8614,13.921,13.7506,13.7975,195394.0
2020-01-12,13.8614,13.921,13.7506,13.7975,195394.0
2020-01-13,13.8103,13.921,13.8103,13.887,146670.0
2020-01-14,13.8273,13.9466,13.8018,13.8444,126678.0
2020-01-15,13.8188,13.887,13.806,13.8571,94891.0
2020-01-16,13.7421,14.0914,13.7357,13.9338,183989.0
2020-01-17,13.9807,14.0062,13.8444,13.8699,105868.0
2020-01-18,13.9807,14.0062,13.8444,13.8699,105868.0
2020-01-19,13.9807,14.0062,13.8444,13.8699,105868.0
2020-01-20,13.9807,14.0062,13.8444,13.8699,105868.0
2020-01-21,13.8103,13.8103,13.5377,13.5419,188994.0
2020-01-22,13.6399,13.7805,13.6143,13.6825,167550.0
2020-01-23,13.6314,13.8188,13.5632,13.7421,204012.0
2020-01-24,13.7847,13.8103,13.5206,13.5547,105899.0
2020-01-25,13.7847,13.8103,13.5206,13.5547,105899.0
2020-01-26,13.7847,13.8103,13.5206,13.5547,105899.0
2020-01-27,13.3758,13.4525,12.8655,13.3417,152324.0
2020-01-28,13.4354,13.5036,13.3127,13.3758,125673.0
2020-01-29,13.3587,13.4269,13.3161,13.3843,136133.0
2020-01-30,13.3076,13.3587,13.1879,13.3332,90550.0
2020-01-31,13.2565,13.3417,12.9242,12.9711,205309.0
2020-02-01,13.2565,13.3417,12.9242,12.9711,205309.0
2020-02-02,13.2565,13.3417,12.9242,12.9711,205309.0
2020-02-03,12.9668,13.1713,12.9072,13.0094,201590.0
2020-02-04,13.1372,13.2054,13.0094,13.0265,147979.0
2020-02-05,13.1117,13.3587,13.0648,13.2565,154497.0
2020-02-06,13.2991,13.3843,12.9413,12.9924,145063.0
2020-02-07,12.9498,13.1287,12.6431,12.7027,147307.0
2020-02-08,12.9498,13.1287,12.6431,12.7027,147307.0
2020-02-09,12.9498,13.1287,12.6431,12.7027,147307.0
2020-02-10,12.6942,12.7453,12.4812,12.5153,111737.0
2020-02-11,12.5238,12.6857,12.4642,12.4897,128052.0
2020-02-12,12.5835,12.6857,12.4301,12.4812,140631.0
2020-02-13,12.4727,12.5238,12.3619,12.3875,97833.0
2020-02-14,12.379,12.4301,12.1575,12.2342,87246.0
2020-02-15,12.379,12.4301,12.1575,12.2342,87246.0
2020-02-16,12.379,12.4301,12.1575,12.2342,87246.0
2020-02-17,12.379,12.4301,12.1575,12.2342,87246.0
2020-02-18,12.2171,12.3108,12.1745,12.2256,77563.0
2020-02-19,12.26,12.2945,11.9073,11.9159,105453.0
2020-02-20,11.8987,12.0019,11.8127,11.9847,77104.0
2020-02-21,11.9159,11.9417,11.7008,11.8385,55527.0
2020-02-22,11.9159,11.9417,11.7008,11.8385,55527.0
2020-02-23,11.9159,11.9417,11.7008,11.8385,55527.0
2020-02-24,11.5804,11.7869,11.3997,11.6578,158589.0
2020-02-25,11.6406,11.6406,11.0297,11.133,235568.0
2020-02-26,11.1674,11.2534,10.9695,11.0297,144320.0
2020-02-27,10.8147,11.0039,10.6159,10.677,182446.0
2020-02-28,10.4619,10.8577,10.3501,10.7802,321972.0
2020-02-29,10.4619,10.8577,10.3501,10.7802,321972.0
2020-03-01,10.4619,10.8577,10.3501,10.7802,321972.0
2020-03-02,10.7802,10.9437,10.6856,10.9179,128360.0
2020-03-03,10.8835,10.991,10.2812,10.3587,174172.0
2020-03-04,10.4705,10.677,10.2898,10.6684,108065.0
2020-03-05,10.4017,10.4103,10.1737,10.2382,169552.0
2020-03-06,10.0231,10.4447,9.7478,10.4103,157294.0
2020-03-07,10.0231,10.4447,9.7478,10.4103,157294.0
2020-03-08,10.0231,10.4447,9.7478,10.4103,157294.0
2020-03-09,9.8511,9.9801,9.5155,9.5585,174856.0
2020-03-10,9.7392,9.808,9.3004,9.7478,139769.0
