,CRMT US Equity,CRMT US Equity,CRMT US Equity,CRMT US Equity,CRMT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,70.56,72.99,69.9,72.45,59273.0
2019-01-02,71.36,73.1399,70.65,72.16,51842.0
2019-01-03,71.57,71.89,69.38,70.89,56205.0
2019-01-04,71.63,71.63,70.02,70.96,38358.0
2019-01-05,71.63,71.63,70.02,70.96,38358.0
2019-01-06,71.63,71.63,70.02,70.96,38358.0
2019-01-07,71.36,73.47,70.77,72.27,133798.0
2019-01-08,72.93,74.14,70.96,72.59,112159.0
2019-01-09,72.99,73.51,70.92,71.26,67493.0
2019-01-10,70.77,71.61,68.07,70.55,78202.0
2019-01-11,70.56,71.21,68.906,70.04,55013.0
2019-01-12,70.56,71.21,68.906,70.04,55013.0
2019-01-13,70.56,71.21,68.906,70.04,55013.0
2019-01-14,69.86,71.12,69.005,69.02,53700.0
2019-01-15,68.92,69.75,67.8525,68.77,106270.0
2019-01-16,68.78,69.68,68.08,68.81,59507.0
2019-01-17,68.5,71.3,68.5,70.19,81618.0
2019-01-18,70.18,72.17,69.77,71.45,76974.0
2019-01-19,70.18,72.17,69.77,71.45,76974.0
2019-01-20,70.18,72.17,69.77,71.45,76974.0
2019-01-21,70.18,72.17,69.77,71.45,76974.0
2019-01-22,71.33,72.77,70.4223,71.61,89323.0
2019-01-23,71.94,72.88,71.21,71.43,58748.0
2019-01-24,71.35,74.48,71.27,71.51,71691.0
2019-01-25,72.01,72.5552,71.06,71.48,52610.0
2019-01-26,72.01,72.5552,71.06,71.48,52610.0
2019-01-27,72.01,72.5552,71.06,71.48,52610.0
2019-01-28,70.73,71.44,70.0,70.47,38819.0
2019-01-29,70.6,70.6,68.49,69.41,67992.0
2019-01-30,69.6,71.2,69.11,69.66,58025.0
2019-01-31,69.64,71.145,69.02,69.96,58858.0
2019-02-01,69.95,70.55,68.65,69.1,63488.0
2019-02-02,69.95,70.55,68.65,69.1,63488.0
2019-02-03,69.95,70.55,68.65,69.1,63488.0
2019-02-04,69.12,70.11,67.61,69.92,75932.0
2019-02-05,69.99,70.9,68.46,70.77,72662.0
2019-02-06,70.78,72.595,70.11,71.15,42472.0
2019-02-07,71.14,72.72,70.86,71.8,120040.0
2019-02-08,71.62,72.505,71.02,72.26,86292.0
2019-02-09,71.62,72.505,71.02,72.26,86292.0
2019-02-10,71.62,72.505,71.02,72.26,86292.0
2019-02-11,72.25,77.02,71.94,76.9,72962.0
2019-02-12,77.02,78.83,77.005,78.31,119216.0
2019-02-13,78.43,79.17,77.9331,79.17,61611.0
2019-02-14,79.56,80.86,79.4,80.01,80930.0
2019-02-15,80.02,83.72,79.95,82.14,138240.0
2019-02-16,80.02,83.72,79.95,82.14,138240.0
2019-02-17,80.02,83.72,79.95,82.14,138240.0
2019-02-18,80.02,83.72,79.95,82.14,138240.0
2019-02-19,82.4,83.0,80.02,82.2,239360.0
2019-02-20,84.0,88.41,82.24,84.91,218153.0
2019-02-21,85.4,85.92,84.36,84.55,158156.0
2019-02-22,84.56,86.34,84.56,85.93,94663.0
2019-02-23,84.56,86.34,84.56,85.93,94663.0
2019-02-24,84.56,86.34,84.56,85.93,94663.0
2019-02-25,86.0,86.4,83.1,83.26,104151.0
2019-02-26,83.61,85.11,81.37,82.2,194880.0
2019-02-27,82.38,83.84,82.18,82.45,141438.0
2019-02-28,82.5,83.12,80.81,81.6,170428.0
2019-03-01,81.85,83.26,81.28,83.04,87912.0
2019-03-02,81.85,83.26,81.28,83.04,87912.0
2019-03-03,81.85,83.26,81.28,83.04,87912.0
2019-03-04,83.6,83.95,81.75,83.43,148482.0
2019-03-05,83.83,84.03,82.99,83.18,85123.0
2019-03-06,83.08,83.4,81.19,82.15,101217.0
2019-03-07,81.8,82.73,80.75,81.32,76914.0
2019-03-08,80.88,81.95,80.45,80.67,75290.0
2019-03-09,80.88,81.95,80.45,80.67,75290.0
2019-03-10,80.88,81.95,80.45,80.67,75290.0
2019-03-11,80.97,82.945,80.4,82.1,125285.0
2019-03-12,82.11,82.57,81.43,81.85,55873.0
2019-03-13,82.2,83.3559,81.55,82.76,65627.0
2019-03-14,82.53,83.72,82.3,83.44,75762.0
2019-03-15,84.38,84.94,83.51,83.6,135153.0
2019-03-16,84.38,84.94,83.51,83.6,135153.0
2019-03-17,84.38,84.94,83.51,83.6,135153.0
2019-03-18,83.87,85.33,83.34,84.58,61992.0
2019-03-19,84.63,85.16,83.86,84.86,69520.0
2019-03-20,84.92,86.17,84.19,85.51,94457.0
2019-03-21,85.29,87.5,85.29,87.08,103940.0
2019-03-22,87.06,87.307,84.16,85.94,111948.0
2019-03-23,87.06,87.307,84.16,85.94,111948.0
2019-03-24,87.06,87.307,84.16,85.94,111948.0
2019-03-25,85.57,86.11,84.58,84.65,130525.0
2019-03-26,85.44,85.7,83.6,83.9,94761.0
2019-03-27,83.89,84.9,82.9,84.8,123717.0
2019-03-28,89.14,93.23,87.9,92.18,137812.0
2019-03-29,92.73,93.5049,91.34,91.34,142468.0
2019-03-30,92.73,93.5049,91.34,91.34,142468.0
2019-03-31,92.73,93.5049,91.34,91.34,142468.0
2019-04-01,91.34,92.06,89.11,89.89,108525.0
2019-04-02,89.66,90.645,87.91,88.66,76403.0
2019-04-03,89.26,89.695,87.86,88.84,91388.0
2019-04-04,88.84,89.62,88.23,89.0,88691.0
2019-04-05,88.91,92.785,88.79,90.92,148272.0
2019-04-06,88.91,92.785,88.79,90.92,148272.0
2019-04-07,88.91,92.785,88.79,90.92,148272.0
2019-04-08,90.74,92.67,90.092,90.56,85609.0
2019-04-09,90.29,92.23,90.02,90.48,147794.0
2019-04-10,90.87,93.36,90.87,92.67,125180.0
2019-04-11,92.59,94.46,92.13,94.42,94051.0
2019-04-12,94.94,96.78,94.13,95.34,83155.0
2019-04-13,94.94,96.78,94.13,95.34,83155.0
2019-04-14,94.94,96.78,94.13,95.34,83155.0
2019-04-15,95.52,96.85,95.0575,96.57,105848.0
2019-04-16,96.75,97.55,95.41,96.84,106542.0
2019-04-17,97.08,97.26,95.11,95.18,125468.0
2019-04-18,95.0,95.8,93.45,94.93,90006.0
2019-04-19,95.0,95.8,93.45,94.93,90006.0
2019-04-20,95.0,95.8,93.45,94.93,90006.0
2019-04-21,95.0,95.8,93.45,94.93,90006.0
2019-04-22,94.95,95.66,93.35,94.05,134801.0
2019-04-23,94.26,97.87,94.26,97.04,98279.0
2019-04-24,97.56,100.46,97.3673,99.36,192285.0
2019-04-25,99.48,100.19,98.69,99.78,84984.0
2019-04-26,100.06,101.96,99.45,101.89,73097.0
2019-04-27,100.06,101.96,99.45,101.89,73097.0
2019-04-28,100.06,101.96,99.45,101.89,73097.0
2019-04-29,102.49,104.05,100.09,100.13,110468.0
2019-04-30,100.09,100.64,98.5,99.05,108068.0
2019-05-01,99.46,101.31,98.0,100.18,99528.0
2019-05-02,100.6,100.83,98.45,98.88,88585.0
2019-05-03,99.2,99.34,98.4,98.64,48503.0
2019-05-04,99.2,99.34,98.4,98.64,48503.0
2019-05-05,99.2,99.34,98.4,98.64,48503.0
2019-05-06,97.5,99.13,96.01,97.9,133318.0
2019-05-07,97.09,97.31,94.05,95.72,104563.0
2019-05-08,95.42,97.2,94.66,96.4,112142.0
2019-05-09,95.76,96.55,94.59,94.95,123937.0
2019-05-10,94.56,95.22,93.5,95.07,136922.0
2019-05-11,94.56,95.22,93.5,95.07,136922.0
2019-05-12,94.56,95.22,93.5,95.07,136922.0
2019-05-13,93.6,95.31,92.14,94.81,190436.0
2019-05-14,95.0,95.25,94.47,94.94,189692.0
2019-05-15,94.57,97.48,94.5305,95.97,111625.0
2019-05-16,96.58,98.7,96.58,98.31,102873.0
2019-05-17,97.86,98.31,96.2401,96.89,101517.0
2019-05-18,97.86,98.31,96.2401,96.89,101517.0
2019-05-19,97.86,98.31,96.2401,96.89,101517.0
2019-05-20,96.27,100.17,96.27,100.0,149956.0
2019-05-21,100.65,102.48,100.13,101.89,184391.0
2019-05-22,94.12,99.18,85.01,91.34,759727.0
2019-05-23,90.42,90.54,86.6405,87.47,217450.0
2019-05-24,88.1,89.82,86.995,87.54,105433.0
2019-05-25,88.1,89.82,86.995,87.54,105433.0
2019-05-26,88.1,89.82,86.995,87.54,105433.0
2019-05-27,88.1,89.82,86.995,87.54,105433.0
2019-05-28,87.68,89.2,87.14,87.29,140829.0
2019-05-29,86.93,87.255,84.546,86.41,96583.0
2019-05-30,86.41,87.2,84.35,86.78,83195.0
2019-05-31,85.99,86.79,85.0,86.1,104183.0
2019-06-01,85.99,86.79,85.0,86.1,104183.0
2019-06-02,85.99,86.79,85.0,86.1,104183.0
2019-06-03,86.1,87.92,84.6405,87.61,126058.0
2019-06-04,88.3,90.57,88.18,89.76,179639.0
2019-06-05,90.11,90.945,88.15,88.52,97973.0
2019-06-06,88.38,88.38,85.0,85.83,130269.0
2019-06-07,85.9,87.2,85.1748,86.39,63680.0
2019-06-08,85.9,87.2,85.1748,86.39,63680.0
2019-06-09,85.9,87.2,85.1748,86.39,63680.0
2019-06-10,86.87,87.9,86.18,86.62,59732.0
2019-06-11,86.82,87.79,84.57,85.95,82085.0
2019-06-12,85.81,88.21,85.16,87.67,74871.0
2019-06-13,87.85,89.01,86.83,88.81,106872.0
2019-06-14,88.9,89.47,88.0,88.07,52918.0
2019-06-15,88.9,89.47,88.0,88.07,52918.0
2019-06-16,88.9,89.47,88.0,88.07,52918.0
2019-06-17,88.09,88.49,85.8,86.67,95859.0
2019-06-18,86.75,87.93,84.32,84.9,147484.0
2019-06-19,84.9,85.87,83.1,85.29,111698.0
2019-06-20,86.09,86.66,84.8,85.32,89498.0
2019-06-21,84.83,87.34,84.205,85.5,129699.0
2019-06-22,84.83,87.34,84.205,85.5,129699.0
2019-06-23,84.83,87.34,84.205,85.5,129699.0
2019-06-24,85.92,86.96,85.0,85.9,84240.0
2019-06-25,86.23,87.83,86.035,86.53,99819.0
2019-06-26,86.59,90.035,86.59,88.28,156282.0
2019-06-27,88.72,89.63,84.9,87.72,110428.0
2019-06-28,87.61,88.48,85.61,86.08,291330.0
2019-06-29,87.61,88.48,85.61,86.08,291330.0
2019-06-30,87.61,88.48,85.61,86.08,291330.0
2019-07-01,86.11,86.8943,85.13,85.84,145011.0
2019-07-02,86.0,86.97,84.99,86.77,63764.0
2019-07-03,86.7,87.8,85.0,85.59,62295.0
2019-07-04,86.7,87.8,85.0,85.59,62295.0
2019-07-05,85.22,85.65,84.5851,85.15,75870.0
2019-07-06,85.22,85.65,84.5851,85.15,75870.0
2019-07-07,85.22,85.65,84.5851,85.15,75870.0
2019-07-08,84.93,86.65,84.7,85.91,66529.0
2019-07-09,85.52,86.3,83.5531,84.86,80665.0
2019-07-10,85.44,86.8501,84.345,84.51,76237.0
2019-07-11,84.84,85.7669,83.97,84.61,87840.0
2019-07-12,84.92,87.41,84.81,86.21,78349.0
2019-07-13,84.92,87.41,84.81,86.21,78349.0
2019-07-14,84.92,87.41,84.81,86.21,78349.0
2019-07-15,86.59,87.5,84.93,85.38,93325.0
2019-07-16,85.6,86.83,85.22,86.05,54975.0
2019-07-17,85.88,87.15,84.935,84.99,110979.0
2019-07-18,85.48,87.1,84.59,86.84,111739.0
2019-07-19,86.55,88.0,85.195,85.8,114886.0
2019-07-20,86.55,88.0,85.195,85.8,114886.0
2019-07-21,86.55,88.0,85.195,85.8,114886.0
2019-07-22,85.86,86.965,85.41,86.02,71008.0
2019-07-23,86.4,87.18,83.92,84.14,130770.0
2019-07-24,83.76,88.645,83.53,88.13,111745.0
2019-07-25,88.11,90.5085,87.33,87.58,77475.0
2019-07-26,87.91,88.94,87.91,88.66,49652.0
2019-07-27,87.91,88.94,87.91,88.66,49652.0
2019-07-28,87.91,88.94,87.91,88.66,49652.0
2019-07-29,88.56,91.815,88.55,89.99,99619.0
2019-07-30,89.54,90.83,88.3329,89.94,77811.0
2019-07-31,89.86,92.28,89.63,90.16,70867.0
2019-08-01,89.78,91.0499,87.99,88.97,92253.0
2019-08-02,88.33,89.015,86.54,87.35,41238.0
2019-08-03,88.33,89.015,86.54,87.35,41238.0
2019-08-04,88.33,89.015,86.54,87.35,41238.0
2019-08-05,86.28,86.96,84.71,86.48,69860.0
2019-08-06,86.73,90.15,85.9,89.49,106957.0
2019-08-07,88.7,89.5,87.6159,88.95,116376.0
2019-08-08,89.51,91.84,89.51,91.32,75942.0
2019-08-09,90.94,93.34,88.95,91.91,116809.0
2019-08-10,90.94,93.34,88.95,91.91,116809.0
2019-08-11,90.94,93.34,88.95,91.91,116809.0
2019-08-12,91.25,93.15,86.98,87.85,164674.0
2019-08-13,87.92,91.7,87.1495,91.15,83779.0
2019-08-14,89.99,90.29,88.5,88.85,114780.0
2019-08-15,89.17,91.34,87.0,90.97,202978.0
2019-08-16,95.94,97.16,88.41,92.0,322439.0
2019-08-17,95.94,97.16,88.41,92.0,322439.0
2019-08-18,95.94,97.16,88.41,92.0,322439.0
2019-08-19,94.16,94.16,86.445,86.67,259306.0
2019-08-20,87.2,89.64,86.09,88.81,185277.0
2019-08-21,89.99,90.7499,88.04,88.19,181224.0
2019-08-22,88.02,88.731,86.3,87.55,97579.0
2019-08-23,86.73,88.71,84.865,85.05,118198.0
2019-08-24,86.73,88.71,84.865,85.05,118198.0
2019-08-25,86.73,88.71,84.865,85.05,118198.0
2019-08-26,85.89,87.53,84.36,87.16,85077.0
2019-08-27,87.18,87.77,84.36,85.38,149596.0
2019-08-28,85.3,89.375,84.83,88.35,141100.0
2019-08-29,89.32,90.6,87.04,87.23,136110.0
2019-08-30,87.14,87.88,85.04,85.78,112551.0
2019-08-31,87.14,87.88,85.04,85.78,112551.0
2019-09-01,87.14,87.88,85.04,85.78,112551.0
2019-09-02,87.14,87.88,85.04,85.78,112551.0
2019-09-03,84.88,85.5,83.23,85.08,201493.0
2019-09-04,85.96,87.97,85.1235,86.18,113731.0
2019-09-05,86.87,89.05,86.48,88.15,89846.0
2019-09-06,88.12,88.36,86.74,87.05,107344.0
2019-09-07,88.12,88.36,86.74,87.05,107344.0
2019-09-08,88.12,88.36,86.74,87.05,107344.0
2019-09-09,87.05,91.05,87.05,90.97,119494.0
2019-09-10,90.97,92.95,89.09,92.72,154660.0
2019-09-11,92.62,94.0,90.85,92.6,130113.0
2019-09-12,92.72,94.44,91.1401,92.68,127684.0
2019-09-13,92.98,94.86,92.82,94.37,123916.0
2019-09-14,92.98,94.86,92.82,94.37,123916.0
2019-09-15,92.98,94.86,92.82,94.37,123916.0
2019-09-16,93.84,94.33,92.28,92.96,107436.0
2019-09-17,92.21,93.1094,90.76,91.03,123274.0
2019-09-18,91.01,91.88,89.705,91.74,100957.0
2019-09-19,92.2,92.48,90.65,91.53,115497.0
2019-09-20,91.55,93.67,91.55,92.94,135769.0
2019-09-21,91.55,93.67,91.55,92.94,135769.0
2019-09-22,91.55,93.67,91.55,92.94,135769.0
2019-09-23,92.71,95.01,91.6,93.93,70987.0
2019-09-24,93.86,94.86,92.25,92.74,65277.0
2019-09-25,92.67,93.46,91.676,92.81,43726.0
2019-09-26,92.9,93.225,91.01,91.37,72756.0
2019-09-27,91.6,92.12,90.57,91.45,54672.0
2019-09-28,91.6,92.12,90.57,91.45,54672.0
2019-09-29,91.6,92.12,90.57,91.45,54672.0
2019-09-30,91.68,92.4,90.5462,91.7,64208.0
2019-10-01,91.94,93.61,89.81,89.98,83486.0
2019-10-02,89.23,89.6,86.6,87.12,62469.0
2019-10-03,86.94,86.94,84.1,85.5,53200.0
2019-10-04,85.6,86.21,84.26,86.18,37709.0
2019-10-05,85.6,86.21,84.26,86.18,37709.0
2019-10-06,85.6,86.21,84.26,86.18,37709.0
2019-10-07,85.82,87.22,84.6,85.13,61762.0
2019-10-08,84.38,85.0,83.41,83.95,47530.0
2019-10-09,84.79,85.4899,84.04,84.75,47795.0
2019-10-10,85.24,85.94,84.72,85.46,67445.0
2019-10-11,86.6,89.26,86.5,87.12,45630.0
2019-10-12,86.6,89.26,86.5,87.12,45630.0
2019-10-13,86.6,89.26,86.5,87.12,45630.0
2019-10-14,86.69,87.34,85.85,87.04,40661.0
2019-10-15,86.88,88.63,86.86,87.58,66412.0
2019-10-16,87.49,88.93,87.02,88.31,77775.0
2019-10-17,88.46,89.75,88.37,89.62,66057.0
