,LIN US Equity,LIN US Equity,LIN US Equity,LIN US Equity,LIN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,143.8887,144.5979,141.7796,143.7138,1853930.0
2019-01-02,141.402,145.6663,141.3928,144.7821,1716443.0
2019-01-03,141.8902,142.1573,139.9284,140.26,1775529.0
2019-01-04,141.6783,145.1689,141.2455,144.2572,1801275.0
2019-01-05,141.6783,145.1689,141.2455,144.2572,1801275.0
2019-01-06,141.6783,145.1689,141.2455,144.2572,1801275.0
2019-01-07,143.4743,145.5558,142.8941,144.1282,1830185.0
2019-01-08,143.7598,146.0347,142.9401,145.6571,2207298.0
2019-01-09,144.3493,146.9281,143.9809,145.9426,2099888.0
2019-01-10,146.1636,149.1845,145.8413,149.0648,2093890.0
2019-01-11,147.8767,148.0609,146.7807,147.5544,1380391.0
2019-01-12,147.8767,148.0609,146.7807,147.5544,1380391.0
2019-01-13,147.8767,148.0609,146.7807,147.5544,1380391.0
2019-01-14,145.8597,146.9004,145.2426,145.5374,2004827.0
2019-01-15,144.4506,145.3992,144.1743,144.8098,2110706.0
2019-01-16,145.0861,145.9058,144.6716,144.819,1382133.0
2019-01-17,144.0453,145.1966,143.8703,144.8374,2176501.0
2019-01-18,146.2189,148.6964,145.5281,148.0885,2494756.0
2019-01-19,146.2189,148.6964,145.5281,148.0885,2494756.0
2019-01-20,146.2189,148.6964,145.5281,148.0885,2494756.0
2019-01-21,146.2189,148.6964,145.5281,148.0885,2494756.0
2019-01-22,148.8438,149.0003,147.0754,148.1346,1699074.0
2019-01-23,147.8859,148.3648,145.0216,146.3755,1569547.0
2019-01-24,145.1597,145.436,144.073,144.9387,2528024.0
2019-01-25,146.1544,147.4623,146.1084,146.2926,1242664.0
2019-01-26,146.1544,147.4623,146.1084,146.2926,1242664.0
2019-01-27,146.1544,147.4623,146.1084,146.2926,1242664.0
2019-01-28,145.3163,145.8781,144.4874,145.7123,1422480.0
2019-01-29,146.9649,149.203,146.7623,148.4846,1558358.0
2019-01-30,149.0095,150.8147,148.4293,150.0503,1113641.0
2019-01-31,148.4477,150.5108,147.0202,150.1332,1645906.0
2019-02-01,150.9621,152.7949,150.5476,152.6659,1324345.0
2019-02-02,150.9621,152.7949,150.5476,152.6659,1324345.0
2019-02-03,150.9621,152.7949,150.5476,152.6659,1324345.0
2019-02-04,152.4081,152.6015,150.3266,150.5845,2106508.0
2019-02-05,152.2054,152.8778,150.8608,151.9568,2358571.0
2019-02-06,150.9989,151.616,150.1608,150.5108,1124785.0
2019-02-07,148.9727,149.424,146.8363,147.9964,1360964.0
2019-02-08,147.4254,148.8438,146.5145,148.4846,1557942.0
2019-02-09,147.4254,148.8438,146.5145,148.4846,1557942.0
2019-02-10,147.4254,148.8438,146.5145,148.4846,1557942.0
2019-02-11,148.3372,148.853,147.9412,148.6043,1128408.0
2019-02-12,151.1647,154.3145,150.9437,154.2961,1772008.0
2019-02-13,153.8909,155.1803,153.6146,154.158,1599349.0
2019-02-14,153.4856,154.3606,152.8225,153.3475,1104141.0
2019-02-15,157.0683,157.2249,154.5172,155.2263,2573604.0
2019-02-16,157.0683,157.2249,154.5172,155.2263,2573604.0
2019-02-17,157.0683,157.2249,154.5172,155.2263,2573604.0
2019-02-18,157.0683,157.2249,154.5172,155.2263,2573604.0
2019-02-19,154.729,155.4474,154.3237,154.6,2221223.0
2019-02-20,154.3514,157.4966,154.3514,156.8473,2574751.0
2019-02-21,157.4736,158.6893,157.0683,157.8604,1736555.0
2019-02-22,158.6341,160.0156,157.9986,159.7945,1075724.0
2019-02-23,158.6341,160.0156,157.9986,159.7945,1075724.0
2019-02-24,158.6341,160.0156,157.9986,159.7945,1075724.0
2019-02-25,160.1537,161.1852,159.6932,160.826,1526810.0
2019-02-26,160.0616,161.0747,159.7485,160.1721,1739158.0
2019-02-27,159.7024,161.2866,158.9932,160.7155,1451801.0
2019-02-28,161.001,161.1116,159.4261,159.5551,1698289.0
2019-03-01,162.4286,162.7694,154.6,155.079,3033462.0
2019-03-02,162.4286,162.7694,154.6,155.079,3033462.0
2019-03-03,162.4286,162.7694,154.6,155.079,3033462.0
2019-03-04,155.0513,155.5671,152.9514,155.3737,1738053.0
2019-03-05,155.0513,156.5157,155.0467,155.1342,1205906.0
2019-03-06,155.5026,156.2763,154.9224,155.7697,986917.0
2019-03-07,156.7928,156.7928,154.4413,155.043,1450135.0
2019-03-08,156.2281,156.9409,155.3115,156.8854,1558439.0
2019-03-09,156.2281,156.9409,155.3115,156.8854,1558439.0
2019-03-10,156.2281,156.9409,155.3115,156.8854,1558439.0
2019-03-11,156.9039,158.5981,156.8437,158.5703,1188763.0
2019-03-12,159.0332,160.0701,158.6723,159.5332,1309211.0
2019-03-13,161.0978,162.4864,160.7552,161.4496,1538460.0
2019-03-14,161.3199,161.4958,160.3201,161.2829,1033242.0
2019-03-15,163.1993,163.8289,161.4866,163.3382,3661441.0
2019-03-16,163.1993,163.8289,161.4866,163.3382,3661441.0
2019-03-17,163.1993,163.8289,161.4866,163.3382,3661441.0
2019-03-18,161.7828,161.968,160.5608,161.5977,1220440.0
2019-03-19,162.3383,162.7457,159.8109,160.6997,1251550.0
2019-03-20,162.3383,163.7455,161.4218,163.5233,1536410.0
2019-03-21,161.4033,162.7827,160.8108,162.1069,1146267.0
2019-03-22,159.3295,159.9405,156.6354,157.2557,1383973.0
2019-03-23,159.3295,159.9405,156.6354,157.2557,1383973.0
2019-03-24,159.3295,159.9405,156.6354,157.2557,1383973.0
2019-03-25,158.2833,159.1628,156.978,157.3853,1349670.0
2019-03-26,158.2093,158.5888,157.0983,158.2926,1408088.0
2019-03-27,156.8854,157.4316,156.1725,156.9039,1821420.0
2019-03-28,158.2741,160.9496,158.0611,160.8108,1892495.0
2019-03-29,162.3383,163.0327,160.9774,162.8753,2158060.0
2019-03-30,162.3383,163.0327,160.9774,162.8753,2158060.0
2019-03-31,162.3383,163.0327,160.9774,162.8753,2158060.0
2019-04-01,163.7178,164.9582,162.9401,163.477,1791905.0
2019-04-02,164.1714,164.9583,163.5789,164.8102,1179741.0
2019-04-03,167.7079,170.8371,167.2265,169.18,2379572.0
2019-04-04,169.9484,170.3835,168.8837,170.2539,1471382.0
2019-04-05,170.8927,171.6703,170.3279,170.9204,1403446.0
2019-04-06,170.8927,171.6703,170.3279,170.9204,1403446.0
2019-04-07,170.8927,171.6703,170.3279,170.9204,1403446.0
2019-04-08,172.1055,172.124,170.4853,171.1241,1138462.0
2019-04-09,171.3185,171.3185,169.1892,169.3281,1388180.0
2019-04-10,169.7817,169.9669,166.4766,167.5876,2443656.0
2019-04-11,168.1986,168.319,166.4303,166.5044,1916444.0
2019-04-12,167.3839,167.6894,166.7729,166.9673,1914482.0
2019-04-13,167.3839,167.6894,166.7729,166.9673,1914482.0
2019-04-14,167.3839,167.6894,166.7729,166.9673,1914482.0
2019-04-15,166.7729,167.0414,165.8471,166.7729,1448029.0
2019-04-16,166.7173,167.2728,165.5323,167.2173,1749653.0
2019-04-17,167.2358,168.3653,166.0878,166.56,1663290.0
2019-04-18,166.7544,167.37,166.3378,167.0136,1547307.0
2019-04-19,166.7544,167.37,166.3378,167.0136,1547307.0
2019-04-20,166.7544,167.37,166.3378,167.0136,1547307.0
2019-04-21,166.7544,167.37,166.3378,167.0136,1547307.0
2019-04-22,166.5044,167.3839,165.5601,165.6249,1002056.0
2019-04-23,165.3934,166.384,165.3009,166.023,1796474.0
2019-04-24,165.7267,166.1896,164.338,164.4399,1780230.0
2019-04-25,163.1438,163.6344,161.9402,163.1993,2229909.0
2019-04-26,162.4216,165.0324,162.3568,165.0324,1483885.0
2019-04-27,162.4216,165.0324,162.3568,165.0324,1483885.0
2019-04-28,162.4216,165.0324,162.3568,165.0324,1483885.0
2019-04-29,163.6715,165.0324,163.3937,163.9585,1195401.0
2019-04-30,164.6713,167.1617,164.2269,166.884,1404200.0
2019-05-01,166.5414,167.7496,164.8009,165.0602,1018290.0
2019-05-02,164.7269,167.0969,164.1158,167.0969,1690968.0
2019-05-03,166.347,168.0042,165.9397,167.532,1248855.0
2019-05-04,166.347,168.0042,165.9397,167.532,1248855.0
2019-05-05,166.347,168.0042,165.9397,167.532,1248855.0
2019-05-06,164.6343,166.023,164.6158,165.3749,1406991.0
2019-05-07,163.477,163.7455,160.0794,161.6162,2049602.0
2019-05-08,161.4866,164.3566,161.3107,163.44,1264624.0
2019-05-09,160.3479,161.7458,158.8666,160.4867,1999513.0
2019-05-10,161.6717,168.6985,161.3385,168.1153,2511834.0
2019-05-11,161.6717,168.6985,161.3385,168.1153,2511834.0
2019-05-12,161.6717,168.6985,161.3385,168.1153,2511834.0
2019-05-13,166.4026,167.5783,164.6281,167.2728,2328483.0
2019-05-14,166.9303,168.8282,166.4396,167.495,2029268.0
2019-05-15,165.3194,168.8374,165.0879,167.4395,1184242.0
2019-05-16,171.3556,174.9476,170.8094,173.7256,1866604.0
2019-05-17,174.2255,175.392,173.022,174.9754,1737946.0
2019-05-18,174.2255,175.392,173.022,174.9754,1737946.0
2019-05-19,174.2255,175.392,173.022,174.9754,1737946.0
2019-05-20,172.198,173.2812,170.9482,171.513,1383737.0
2019-05-21,172.9017,173.5312,172.3369,173.3738,1051501.0
2019-05-22,173.9293,175.642,173.2905,174.2718,1334825.0
2019-05-23,172.0962,173.1609,170.7816,171.3463,1318529.0
2019-05-24,173.4664,174.1885,172.0545,173.92,1025332.0
2019-05-25,173.4664,174.1885,172.0545,173.92,1025332.0
2019-05-26,173.4664,174.1885,172.0545,173.92,1025332.0
2019-05-27,173.4664,174.1885,172.0545,173.92,1025332.0
2019-05-28,173.0683,173.846,170.0965,170.6335,1483132.0
2019-05-29,167.9949,169.541,167.7635,169.4299,1405355.0
2019-05-30,169.3466,170.5409,169.2077,169.8002,1041985.0
2019-05-31,167.7212,168.7538,167.3212,167.9538,1757167.0
2019-06-01,167.7212,168.7538,167.3212,167.9538,1757167.0
2019-06-02,167.7212,168.7538,167.3212,167.9538,1757167.0
2019-06-03,168.8096,174.3352,168.5584,174.2142,2882627.0
2019-06-04,174.7073,178.0003,172.7259,178.0003,3115226.0
2019-06-05,178.0003,179.3491,177.2003,179.3026,3708880.0
2019-06-06,180.7538,184.2422,180.177,183.5817,3468187.0
2019-06-07,186.1864,187.0794,183.8422,186.0933,3613301.0
2019-06-08,186.1864,187.0794,183.8422,186.0933,3613301.0
2019-06-09,186.1864,187.0794,183.8422,186.0933,3613301.0
2019-06-10,186.1584,187.9073,184.4003,186.4375,1197433.0
2019-06-11,187.1631,187.7398,185.7864,186.7817,1719957.0
2019-06-12,187.5166,188.1678,186.9491,187.6189,1956258.0
2019-06-13,189.284,189.6654,187.5724,188.5957,2855124.0
2019-06-14,188.5212,189.0515,187.3771,188.5678,1524027.0
2019-06-15,188.5212,189.0515,187.3771,188.5678,1524027.0
2019-06-16,188.5212,189.0515,187.3771,188.5678,1524027.0
2019-06-17,188.7724,189.405,187.0143,187.2189,1757215.0
2019-06-18,189.9352,190.4747,188.5678,189.7864,2006919.0
2019-06-19,188.1305,188.3445,185.2468,186.5957,1944654.0
2019-06-20,189.4422,189.498,187.4422,188.2236,1703288.0
2019-06-21,188.5026,188.8282,187.9352,188.0282,3770274.0
2019-06-22,188.5026,188.8282,187.9352,188.0282,3770274.0
2019-06-23,188.5026,188.8282,187.9352,188.0282,3770274.0
2019-06-24,188.3631,189.6468,187.9305,189.191,1092531.0
2019-06-25,190.0654,190.0654,188.5678,188.6515,1118787.0
2019-06-26,187.9538,188.1957,186.5678,186.605,1369874.0
2019-06-27,184.8375,186.0003,184.6143,185.6096,1532079.0
2019-06-28,185.6747,187.6468,185.2282,186.791,6440582.0
2019-06-29,185.6747,187.6468,185.2282,186.791,6440582.0
2019-06-30,185.6747,187.6468,185.2282,186.791,6440582.0
2019-07-01,188.8561,189.0143,187.4515,188.8375,1114025.0
2019-07-02,187.9166,189.7399,187.4701,189.3398,1722409.0
2019-07-03,187.9073,189.405,187.6375,189.405,939491.0
2019-07-04,187.9073,189.405,187.6375,189.405,939491.0
2019-07-05,187.0701,188.991,186.1352,188.3073,1741333.0
2019-07-06,187.0701,188.991,186.1352,188.3073,1741333.0
2019-07-07,187.0701,188.991,186.1352,188.3073,1741333.0
2019-07-08,187.0236,189.4282,186.8654,187.6003,1277094.0
2019-07-09,188.298,188.4747,186.7073,186.9491,1160663.0
2019-07-10,187.9817,188.5119,187.405,187.6933,1062039.0
2019-07-11,187.3864,188.8933,187.005,188.6608,1225227.0
2019-07-12,189.5445,190.4375,188.8189,189.7492,1027566.0
2019-07-13,189.5445,190.4375,188.8189,189.7492,1027566.0
2019-07-14,189.5445,190.4375,188.8189,189.7492,1027566.0
2019-07-15,189.9445,190.791,189.498,189.8329,869036.0
2019-07-16,189.8887,191.2096,188.3259,188.4561,1073702.0
2019-07-17,189.3398,189.6282,187.684,187.7398,986683.0
2019-07-18,188.6515,189.4701,187.7398,189.4329,1067525.0
2019-07-19,188.8282,190.3352,188.4933,189.191,1228262.0
2019-07-20,188.8282,190.3352,188.4933,189.191,1228262.0
2019-07-21,188.8282,190.3352,188.4933,189.191,1228262.0
2019-07-22,190.3166,190.6887,188.9957,189.3771,653431.0
2019-07-23,190.5399,192.391,189.9445,192.391,1064783.0
2019-07-24,189.8236,189.9445,188.0933,188.605,1102806.0
2019-07-25,186.4096,186.6794,182.8189,185.9445,2084879.0
2019-07-26,185.5166,187.1166,185.4143,186.9398,1191197.0
2019-07-27,185.5166,187.1166,185.4143,186.9398,1191197.0
2019-07-28,185.5166,187.1166,185.4143,186.9398,1191197.0
2019-07-29,185.8329,186.2422,185.3491,185.8329,1468231.0
2019-07-30,182.1491,183.991,182.0933,182.791,2466350.0
2019-07-31,182.2422,182.5026,175.8049,177.9352,4160865.0
