,LIN US Equity,LIN US Equity,LIN US Equity,LIN US Equity,LIN US Equity
2019-08-01,176.3817,180.0003,175.9631,177.1352,3762847.0
2019-08-02,175.6096,175.8608,172.8654,174.6142,2556860.0
2019-08-03,175.6096,175.8608,172.8654,174.6142,2556860.0
2019-08-04,175.6096,175.8608,172.8654,174.6142,2556860.0
2019-08-05,176.7445,179.6189,176.0189,177.3305,3074765.0
2019-08-06,177.0235,177.0515,172.9305,175.591,2351990.0
2019-08-07,174.0003,178.0561,173.6003,177.4701,2078890.0
2019-08-08,177.191,179.9352,176.7445,179.1724,1927090.0
2019-08-09,176.6794,179.3491,176.4794,178.577,1600161.0
2019-08-10,176.6794,179.3491,176.4794,178.577,1600161.0
2019-08-11,176.6794,179.3491,176.4794,178.577,1600161.0
2019-08-12,179.5538,181.0608,178.6143,178.791,1891129.0
2019-08-13,178.7259,181.9631,178.1398,179.4422,1800922.0
2019-08-14,175.6282,177.0422,172.5491,172.6887,2441062.0
2019-08-15,172.7538,174.4096,172.1584,173.6189,1508294.0
2019-08-16,173.6561,175.9352,173.5445,175.6189,1198890.0
2019-08-17,173.6561,175.9352,173.5445,175.6189,1198890.0
2019-08-18,173.6561,175.9352,173.5445,175.6189,1198890.0
2019-08-19,176.0375,177.0515,175.1724,175.9166,1232072.0
2019-08-20,175.098,175.8142,173.3026,174.5956,1364179.0
2019-08-21,176.1026,176.698,175.4515,175.5724,1074679.0
2019-08-22,175.3956,175.8142,173.591,174.0747,1446715.0
2019-08-23,172.6887,174.2887,168.9305,171.4049,2207654.0
2019-08-24,172.6887,174.2887,168.9305,171.4049,2207654.0
2019-08-25,172.6887,174.2887,168.9305,171.4049,2207654.0
2019-08-26,172.3259,172.5026,171.0049,172.0189,1292966.0
2019-08-27,173.1166,173.3956,171.5073,171.8514,1477455.0
2019-08-28,171.8049,172.9584,171.0328,172.0654,1153140.0
2019-08-29,175.0142,175.2933,174.0189,174.5677,1458894.0
2019-08-30,176.1706,176.8622,175.1519,176.5538,1696721.0
2019-08-31,176.1706,176.8622,175.1519,176.5538,1696721.0
2019-09-01,176.1706,176.8622,175.1519,176.5538,1696721.0
2019-09-02,176.1706,176.8622,175.1519,176.5538,1696721.0
2019-09-03,175.0211,175.8295,174.0211,174.9837,1372419.0
2019-09-04,175.7407,176.5444,174.3108,175.2921,1212594.0
2019-09-05,176.3575,177.1052,174.8622,174.8622,1911246.0
2019-09-06,176.1893,177.8529,175.6753,177.1239,1066662.0
2019-09-07,176.1893,177.8529,175.6753,177.1239,1066662.0
2019-09-08,176.1893,177.8529,175.6753,177.1239,1066662.0
2019-09-09,175.7968,176.1145,172.9276,173.0958,2862297.0
2019-09-10,172.0678,173.5724,171.2733,173.5724,1788948.0
2019-09-11,173.5257,175.451,173.0023,175.3388,1292084.0
2019-09-12,178.18,180.0211,176.937,179.0398,1640155.0
2019-09-13,179.8996,181.0398,179.423,179.5912,1717117.0
2019-09-14,179.8996,181.0398,179.423,179.5912,1717117.0
2019-09-15,179.8996,181.0398,179.423,179.5912,1717117.0
2019-09-16,179.0678,179.2548,175.4697,176.1893,1263889.0
2019-09-17,177.8903,180.5632,177.3389,179.666,1190187.0
2019-09-18,180.7968,181.0025,178.5071,180.0585,1694917.0
2019-09-19,182.8903,183.2922,181.2361,181.5352,1603853.0
2019-09-20,182.7034,183.4137,180.4697,181.4137,2488382.0
2019-09-21,182.7034,183.4137,180.4697,181.4137,2488382.0
2019-09-22,182.7034,183.4137,180.4697,181.4137,2488382.0
2019-09-23,180.0492,181.3109,179.9557,180.8623,861299.0
2019-09-24,180.5352,181.1613,178.3669,178.9931,1541414.0
2019-09-25,178.1706,180.2548,177.8809,179.6753,852623.0
2019-09-26,180.4137,180.5725,178.9557,179.7221,1345746.0
2019-09-27,179.5912,180.1452,178.1146,179.0211,876389.0
2019-09-28,179.5912,180.1452,178.1146,179.0211,876389.0
2019-09-29,179.5912,180.1452,178.1146,179.0211,876389.0
2019-09-30,179.9277,181.5352,179.6099,181.0492,1030923.0
2019-10-01,181.2454,181.3296,176.1239,176.2173,1128265.0
2019-10-02,173.7687,173.8341,170.1518,172.0678,1997609.0
2019-10-03,171.8341,172.8808,170.3574,172.5631,970469.0
2019-10-04,173.5164,175.1239,172.1706,174.0024,1503017.0
2019-10-05,173.5164,175.1239,172.1706,174.0024,1503017.0
2019-10-06,173.5164,175.1239,172.1706,174.0024,1503017.0
2019-10-07,173.8341,177.8903,173.6753,176.2454,2744703.0
2019-10-08,175.1799,175.1893,171.6846,172.0678,1527730.0
2019-10-09,173.9369,175.7407,173.5351,175.1332,1267960.0
2019-10-10,177.7875,179.4978,176.2641,178.722,1505551.0
2019-10-11,180.0772,183.6847,179.7688,181.5445,1610302.0
2019-10-12,180.0772,183.6847,179.7688,181.5445,1610302.0
2019-10-13,180.0772,183.6847,179.7688,181.5445,1610302.0
2019-10-14,181.5912,182.5352,179.8716,179.937,1215606.0
2019-10-15,182.9838,185.0773,182.1427,182.4137,1520741.0
2019-10-16,184.8623,185.2175,183.3109,183.9745,1579875.0
2019-10-17,184.8249,185.9651,183.6941,183.7782,960666.0
2019-10-18,184.0025,184.3389,182.1894,182.9838,1030107.0
2019-10-19,184.0025,184.3389,182.1894,182.9838,1030107.0
2019-10-20,184.0025,184.3389,182.1894,182.9838,1030107.0
2019-10-21,183.124,183.2268,181.6193,182.2174,931156.0
2019-10-22,180.451,181.0118,178.8809,178.9464,1434090.0
2019-10-23,181.0866,182.124,180.5352,181.0305,1228378.0
2019-10-24,181.6006,181.9062,180.0866,180.3669,997825.0
2019-10-25,181.6754,182.666,181.3483,182.2455,1026369.0
2019-10-26,181.6754,182.666,181.3483,182.2455,1026369.0
2019-10-27,181.6754,182.666,181.3483,182.2455,1026369.0
2019-10-28,183.4698,184.0118,182.881,183.8997,1217181.0
2019-10-29,184.8343,188.1427,184.2175,186.0866,1083336.0
2019-10-30,184.9277,186.5072,183.4604,186.1614,1111100.0
2019-10-31,186.1521,186.2175,184.0679,185.3763,1306984.0
2019-11-01,185.8717,186.9652,185.4044,185.7969,816807.0
2019-11-02,185.8717,186.9652,185.4044,185.7969,816807.0
2019-11-03,185.8717,186.9652,185.4044,185.7969,816807.0
2019-11-04,188.0867,188.311,187.0306,187.6287,1101703.0
2019-11-05,187.7969,188.3016,185.9371,187.2081,1147409.0
2019-11-06,187.9558,188.4138,187.0212,187.9652,1084776.0
2019-11-07,188.4512,189.4605,187.8904,189.3484,1099122.0
2019-11-08,190.283,191.0774,189.0773,189.7222,966331.0
2019-11-09,190.283,191.0774,189.0773,189.7222,966331.0
2019-11-10,190.283,191.0774,189.0773,189.7222,966331.0
2019-11-11,189.5072,190.0213,188.3951,189.0586,881660.0
2019-11-12,191.8063,194.1241,190.825,192.3017,1684219.0
2019-11-13,193.6475,195.04,193.2269,194.2269,1389337.0
2019-11-14,193.5447,195.3017,193.2176,194.9933,1003439.0
2019-11-15,196.2643,196.5681,194.7036,195.9933,1805063.0
2019-11-16,196.2643,196.5681,194.7036,195.9933,1805063.0
2019-11-17,196.2643,196.5681,194.7036,195.9933,1805063.0
2019-11-18,194.7596,196.227,193.9092,195.4326,1116126.0
2019-11-19,196.4513,196.7316,193.8624,193.8624,1464421.0
2019-11-20,193.4793,194.1148,192.1148,192.6942,1238023.0
2019-11-21,193.6755,194.2176,192.5576,192.769,1378832.0
2019-11-22,191.9746,192.6101,191.2736,191.5073,941241.0
2019-11-23,191.9746,192.6101,191.2736,191.5073,941241.0
2019-11-24,191.9746,192.6101,191.2736,191.5073,941241.0
2019-11-25,191.3484,192.4886,190.8811,192.4699,1422734.0
2019-11-26,191.6942,192.5073,191.2549,191.7222,1550817.0
2019-11-27,190.6194,192.6288,190.4792,192.526,1074031.0
2019-11-28,190.6194,192.6288,190.4792,192.526,1074031.0
2019-11-29,191.9559,193.2923,191.7409,192.7222,847557.0
2019-11-30,191.9559,193.2923,191.7409,192.7222,847557.0
2019-12-01,191.9559,193.2923,191.7409,192.7222,847557.0
2019-12-02,190.3898,191.075,187.5553,188.3062,1732320.0
2019-12-03,188.2874,190.1176,187.3489,189.6296,1233000.0
2019-12-04,191.7508,192.4265,190.2209,190.296,1384524.0
2019-12-05,190.6902,191.5255,189.8267,191.2345,868705.0
2019-12-06,192.9709,193.337,192.0276,192.9052,921807.0
2019-12-07,192.9709,193.337,192.0276,192.9052,921807.0
2019-12-08,192.9709,193.337,192.0276,192.9052,921807.0
2019-12-09,194.1535,194.2849,192.2013,192.7175,1067442.0
2019-12-10,192.1262,193.1023,191.3096,191.4223,1135921.0
2019-12-11,192.8301,193.6842,192.3045,193.0085,1159209.0
2019-12-12,194.3694,197.3353,194.1629,197.0256,1333023.0
2019-12-13,198.1425,198.6399,195.5801,196.209,1527875.0
2019-12-14,198.1425,198.6399,195.5801,196.209,1527875.0
2019-12-15,198.1425,198.6399,195.5801,196.209,1527875.0
2019-12-16,198.1331,198.1988,196.9317,197.1194,1797239.0
2019-12-17,197.4573,197.5887,195.8899,196.7815,1432967.0
2019-12-18,196.4624,196.4718,194.2286,195.5332,1427284.0
2019-12-19,195.1672,196.5844,194.9044,196.5375,1205193.0
2019-12-20,200.0384,200.7986,198.058,199.081,3034144.0
2019-12-21,200.0384,200.7986,198.058,199.081,3034144.0
2019-12-22,200.0384,200.7986,198.058,199.081,3034144.0
2019-12-23,199.0529,199.2687,198.1331,198.7619,967356.0
2019-12-24,198.5742,199.3626,197.7295,198.6211,399895.0
2019-12-25,198.5742,199.3626,197.7295,198.6211,399895.0
2019-12-26,198.6962,199.6817,198.1331,199.6817,481035.0
2019-12-27,200.9957,201.0943,199.0623,199.2218,825467.0
2019-12-28,200.9957,201.0943,199.0623,199.2218,825467.0
2019-12-29,200.9957,201.0943,199.0623,199.2218,825467.0
2019-12-30,199.738,199.8225,198.2926,198.4991,807517.0
2019-12-31,198.7338,199.8413,198.2832,199.8225,1040102.0
2020-01-01,198.7338,199.8413,198.2832,199.8225,1040102.0
2020-01-02,200.4607,201.2734,197.5324,197.7952,2316757.0
2020-01-03,194.6603,196.209,192.5673,192.6518,2899274.0
2020-01-04,194.6603,196.209,192.5673,192.6518,2899274.0
2020-01-05,194.6603,196.209,192.5673,192.6518,2899274.0
2020-01-06,192.0323,193.6708,191.6475,191.8352,2397233.0
2020-01-07,192.2294,194.0503,191.7038,192.2482,2591055.0
2020-01-08,192.6612,195.3971,192.5016,194.651,1327341.0
2020-01-09,195.2986,196.8565,195.0452,196.0213,1086061.0
2020-01-10,197.7952,198.8135,196.0964,196.2372,1217575.0
2020-01-11,197.7952,198.8135,196.0964,196.2372,1217575.0
2020-01-12,197.7952,198.8135,196.0964,196.2372,1217575.0
2020-01-13,196.9035,198.9121,196.4718,198.7901,1225710.0
2020-01-14,198.2926,199.0904,196.2935,197.0631,2107343.0
2020-01-15,198.0298,199.0529,197.4291,198.4522,1078220.0
2020-01-16,199.8037,199.9821,198.7713,199.9727,1302600.0
2020-01-17,200.0947,201.2491,199.7662,200.9488,1903666.0
2020-01-18,200.0947,201.2491,199.7662,200.9488,1903666.0
2020-01-19,200.0947,201.2491,199.7662,200.9488,1903666.0
2020-01-20,200.0947,201.2491,199.7662,200.9488,1903666.0
2020-01-21,198.6962,199.6723,198.2082,198.7244,1384595.0
2020-01-22,198.2269,198.9309,197.523,198.1143,966943.0
2020-01-23,195.6177,196.7721,194.773,196.744,1400735.0
2020-01-24,197.1006,199.2594,195.9931,197.0913,1541574.0
2020-01-25,197.1006,199.2594,195.9931,197.0913,1541574.0
2020-01-26,197.1006,199.2594,195.9931,197.0913,1541574.0
2020-01-27,192.6143,193.6266,191.551,192.2951,1947799.0
2020-01-28,192.8114,196.0964,192.5767,195.1109,1229441.0
2020-01-29,195.3455,196.5747,194.9044,195.4394,982718.0
2020-01-30,193.7875,195.7585,192.8395,195.4394,1381321.0
2020-01-31,192.9991,193.6655,190.5025,190.6526,1909667.0
2020-02-01,192.9991,193.6655,190.5025,190.6526,1909667.0
2020-02-02,192.9991,193.6655,190.5025,190.6526,1909667.0
2020-02-03,191.2533,197.1476,191.075,196.575,2912331.0
2020-02-04,197.8609,201.6527,197.6826,200.3857,2369442.0
2020-02-05,203.7833,203.7833,200.1604,203.4266,2970403.0
2020-02-06,203.4736,204.0649,201.8592,203.436,2234219.0
2020-02-07,201.587,202.4411,199.6629,201.0051,995283.0
2020-02-08,201.587,202.4411,199.6629,201.0051,995283.0
2020-02-09,201.587,202.4411,199.6629,201.0051,995283.0
2020-02-10,201.6903,202.4787,200.9676,202.2065,1435573.0
2020-02-11,204.215,205.3976,202.7133,202.9386,1385718.0
2020-02-12,203.7833,204.0649,202.2722,203.8584,1237977.0
2020-02-13,208.6451,213.8542,207.5564,207.669,2231949.0
2020-02-14,208.0256,209.396,207.6314,208.9642,1280266.0
2020-02-15,208.0256,209.396,207.6314,208.9642,1280266.0
2020-02-16,208.0256,209.396,207.6314,208.9642,1280266.0
2020-02-17,208.0256,209.396,207.6314,208.9642,1280266.0
2020-02-18,210.2782,210.7944,209.1801,209.8183,1524665.0
2020-02-19,209.3209,209.8183,208.2415,208.814,1590105.0
2020-02-20,206.9087,208.7014,204.6374,207.6127,1534661.0
2020-02-21,206.477,206.768,204.8345,204.9284,1660085.0
2020-02-22,206.477,206.768,204.8345,204.9284,1660085.0
2020-02-23,206.477,206.768,204.8345,204.9284,1660085.0
2020-02-24,198.18,199.2744,196.7252,197.6169,2020406.0
2020-02-25,196.331,196.8191,188.5127,189.2635,2743145.0
2020-02-26,190.8122,194.2098,190.1364,190.9154,2711176.0
2020-02-27,187.5929,190.8732,182.9282,182.9751,3685484.0
2020-02-28,179.0894,180.9853,174.5279,179.2771,5555310.0
2020-02-29,179.0894,180.9853,174.5279,179.2771,5555310.0
2020-03-01,179.0894,180.9853,174.5279,179.2771,5555310.0
2020-03-02,179.5493,186.1193,177.7754,185.9785,3489615.0
