,DISH US Equity,DISH US Equity,DISH US Equity,DISH US Equity,DISH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,35.29,35.59,35.03,35.47,1946627.0
2020-01-02,35.87,36.13,35.295,35.735,1764025.0
2020-01-03,35.28,35.95,35.28,35.88,1277581.0
2020-01-04,35.28,35.95,35.28,35.88,1277581.0
2020-01-05,35.28,35.95,35.28,35.88,1277581.0
2020-01-06,35.57,35.78,35.43,35.64,1833868.0
2020-01-07,35.36,36.08,35.36,35.54,2110270.0
2020-01-08,35.44,35.63,34.97,35.49,1829134.0
2020-01-09,35.68,35.7,35.27,35.58,1341603.0
2020-01-10,35.68,35.745,35.205,35.36,1656787.0
2020-01-11,35.68,35.745,35.205,35.36,1656787.0
2020-01-12,35.68,35.745,35.205,35.36,1656787.0
2020-01-13,35.37,36.118,35.26,36.06,1305677.0
2020-01-14,35.89,36.85,35.815,36.59,2426505.0
2020-01-15,36.66,36.72,36.33,36.66,1547601.0
2020-01-16,36.68,37.0355,36.21,36.82,1326708.0
2020-01-17,36.75,36.9,36.22,36.79,3427537.0
2020-01-18,36.75,36.9,36.22,36.79,3427537.0
2020-01-19,36.75,36.9,36.22,36.79,3427537.0
2020-01-20,36.75,36.9,36.22,36.79,3427537.0
2020-01-21,36.75,36.94,36.33,36.75,3111391.0
2020-01-22,36.85,36.87,36.33,36.75,2177812.0
2020-01-23,36.6,36.94,36.26,36.89,1895351.0
2020-01-24,36.9,36.9,36.24,36.74,3801182.0
2020-01-25,36.9,36.9,36.24,36.74,3801182.0
2020-01-26,36.9,36.9,36.24,36.74,3801182.0
2020-01-27,36.27,36.84,36.21,36.75,3666780.0
2020-01-28,36.84,37.3517,36.63,36.75,2278259.0
2020-01-29,36.75,37.15,36.35,36.75,2437203.0
2020-01-30,36.64,37.16,36.35,37.1,2099040.0
2020-01-31,37.03,37.08,36.61,36.76,2880448.0
2020-02-01,37.03,37.08,36.61,36.76,2880448.0
2020-02-02,37.03,37.08,36.61,36.76,2880448.0
