,FL US Equity,FL US Equity,FL US Equity,FL US Equity,FL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,43.8738,44.4822,43.6738,44.3405,1790728.0
2019-01-02,43.6904,44.4906,43.4321,43.9738,3755557.0
2019-01-03,43.8988,44.8406,43.232,44.5239,3581874.0
2019-01-04,45.149,46.0818,45.049,45.7408,2223503.0
2019-01-05,45.149,46.0818,45.049,45.7408,2223503.0
2019-01-06,45.149,46.0818,45.049,45.7408,2223503.0
2019-01-07,45.8908,47.7161,45.8825,47.0076,3382137.0
2019-01-08,47.6911,48.1328,46.9243,47.3244,2608832.0
2019-01-09,47.8244,48.3579,46.8076,46.941,4120863.0
2019-01-10,45.6658,46.8576,45.0073,46.4409,2310158.0
2019-01-11,46.4659,47.8328,46.4659,47.091,2179271.0
2019-01-12,46.4659,47.8328,46.4659,47.091,2179271.0
2019-01-13,46.4659,47.8328,46.4659,47.091,2179271.0
2019-01-14,47.0577,47.8161,46.9368,47.3494,2452289.0
2019-01-15,47.5911,48.1578,47.0993,47.5244,2799626.0
2019-01-16,47.391,47.4661,46.5992,47.016,2798274.0
2019-01-17,46.6763,48.5884,46.3745,48.2948,3884995.0
2019-01-18,48.5464,49.2005,47.9929,48.9489,2852517.0
2019-01-19,48.5464,49.2005,47.9929,48.9489,2852517.0
2019-01-20,48.5464,49.2005,47.9929,48.9489,2852517.0
2019-01-21,48.5464,49.2005,47.9929,48.9489,2852517.0
2019-01-22,48.7561,48.7561,47.4395,47.842,2434027.0
2019-01-23,48.1523,48.1691,46.8944,47.5401,1934455.0
2019-01-24,47.7162,47.9342,47.2885,47.473,1729267.0
2019-01-25,48.0097,48.1271,47.0705,47.5904,1874477.0
2019-01-26,48.0097,48.1271,47.0705,47.5904,1874477.0
2019-01-27,48.0097,48.1271,47.0705,47.5904,1874477.0
2019-01-28,47.3388,47.6575,46.8273,47.5653,1545901.0
2019-01-29,47.5485,47.5653,46.8105,47.4227,1448335.0
2019-01-30,47.4646,47.842,46.9195,47.5317,2692212.0
2019-01-31,47.3808,47.6424,46.7686,46.8692,2238261.0
2019-02-01,46.886,47.2466,45.6868,46.1732,2597522.0
2019-02-02,46.886,47.2466,45.6868,46.1732,2597522.0
2019-02-03,46.886,47.2466,45.6868,46.1732,2597522.0
2019-02-04,46.039,46.9363,45.8545,46.8357,1547846.0
2019-02-05,47.4562,47.8001,47.1543,47.5233,1555595.0
2019-02-06,47.5233,47.8588,46.9447,47.5233,1094513.0
2019-02-07,47.2131,47.8085,46.7351,47.4395,1568650.0
2019-02-08,47.2298,47.8588,47.1795,47.3724,1445048.0
2019-02-09,47.2298,47.8588,47.1795,47.3724,1445048.0
2019-02-10,47.2298,47.8588,47.1795,47.3724,1445048.0
2019-02-11,47.5317,48.06,46.9866,47.7498,2229830.0
2019-02-12,48.0097,48.8148,47.5988,48.58,1961811.0
2019-02-13,49.0077,49.2928,48.2445,48.7645,2318110.0
2019-02-14,48.5884,49.6953,48.3284,49.4269,1904622.0
2019-02-15,49.7121,50.2068,49.3599,49.7205,1675776.0
2019-02-16,49.7121,50.2068,49.3599,49.7205,1675776.0
2019-02-17,49.7121,50.2068,49.3599,49.7205,1675776.0
2019-02-18,49.7121,50.2068,49.3599,49.7205,1675776.0
2019-02-19,49.7037,50.3368,49.2592,50.1733,1482753.0
2019-02-20,50.2068,50.5842,49.8714,50.3578,1913405.0
2019-02-21,51.2383,51.4564,50.014,50.3242,2473811.0
2019-02-22,50.4417,50.5423,49.2341,50.014,2434436.0
2019-02-23,50.4417,50.5423,49.2341,50.014,2434436.0
2019-02-24,50.4417,50.5423,49.2341,50.014,2434436.0
2019-02-25,50.5926,50.8274,49.7288,50.1481,2936390.0
2019-02-26,49.2425,50.1062,49.1502,49.385,2303904.0
2019-02-27,49.3766,49.9972,49.0831,49.7875,3991372.0
2019-02-28,49.5779,50.232,48.9822,49.9133,3293278.0
2019-03-01,56.8989,57.0246,52.0182,52.8904,12638306.0
2019-03-02,56.8989,57.0246,52.0182,52.8904,12638306.0
2019-03-03,56.8989,57.0246,52.0182,52.8904,12638306.0
2019-03-04,53.6703,53.947,52.7394,53.1252,5137485.0
2019-03-05,53.4187,53.5629,52.5968,52.6472,3143684.0
2019-03-06,52.8736,53.5277,52.5717,52.9574,2421563.0
2019-03-07,52.6556,52.7226,51.8337,52.0937,2834102.0
2019-03-08,51.6995,51.7666,49.6618,50.383,3311659.0
2019-03-09,51.6995,51.7666,49.6618,50.383,3311659.0
2019-03-10,51.6995,51.7666,49.6618,50.383,3311659.0
2019-03-11,50.5255,50.9029,50.0559,50.1901,3265401.0
2019-03-12,50.0391,50.4689,49.4102,50.3997,3395272.0
2019-03-13,50.6513,50.7687,50.0307,50.0643,2755449.0
2019-03-14,50.0475,50.1481,49.4815,49.7708,2303620.0
2019-03-15,49.7372,49.9469,48.9573,49.4605,3472416.0
2019-03-16,49.7372,49.9469,48.9573,49.4605,3472416.0
2019-03-17,49.7372,49.9469,48.9573,49.4605,3472416.0
2019-03-18,49.3599,50.4081,49.3599,50.1901,2817898.0
2019-03-19,50.2991,51.1964,49.9049,50.7771,2057183.0
2019-03-20,50.7184,50.9616,49.5611,49.8882,1598390.0
2019-03-21,49.8882,50.3997,49.8546,50.1649,2205545.0
2019-03-22,49.6198,50.0727,47.2215,47.7246,3025629.0
2019-03-23,49.6198,50.0727,47.2215,47.7246,3025629.0
2019-03-24,49.6198,50.0727,47.2215,47.7246,3025629.0
2019-03-25,47.5569,49.2425,47.255,48.8651,3417821.0
2019-03-26,49.2592,49.4412,48.5842,48.8315,1641490.0
2019-03-27,48.6806,49.4888,48.4122,49.4269,2815912.0
2019-03-28,50.1901,51.1209,49.2844,50.6345,3349704.0
