,MTG US Equity,MTG US Equity,MTG US Equity,MTG US Equity,MTG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,9.1288,9.2977,9.0755,9.2977,3852623.0
2019-01-02,9.1288,9.3955,9.0666,9.3422,3455715.0
2019-01-03,9.3155,9.4355,9.111,9.351,2604442.0
2019-01-04,9.4666,9.5999,9.3599,9.5999,3325405.0
2019-01-05,9.4666,9.5999,9.3599,9.5999,3325405.0
2019-01-06,9.4666,9.5999,9.3599,9.5999,3325405.0
2019-01-07,9.5555,9.5555,9.3333,9.4044,3778261.0
2019-01-08,9.5288,9.6088,9.3577,9.6088,2272526.0
2019-01-09,9.6622,9.8933,9.6266,9.831,2209753.0
2019-01-10,9.7422,9.9022,9.6977,9.8488,1392261.0
2019-01-11,9.7688,9.8666,9.6088,9.8577,1732604.0
2019-01-12,9.7688,9.8666,9.6088,9.8577,1732604.0
2019-01-13,9.7688,9.8666,9.6088,9.8577,1732604.0
2019-01-14,9.7688,9.9377,9.7333,9.8222,1902502.0
2019-01-15,9.831,10.0177,9.751,10.0088,2256392.0
2019-01-16,10.1244,10.3377,9.9733,10.2488,5286955.0
2019-01-17,10.0088,10.5421,10.0088,10.3555,4386160.0
2019-01-18,10.4088,10.6399,10.2133,10.4533,2826006.0
2019-01-19,10.4088,10.6399,10.2133,10.4533,2826006.0
2019-01-20,10.4088,10.6399,10.2133,10.4533,2826006.0
2019-01-21,10.4088,10.6399,10.2133,10.4533,2826006.0
2019-01-22,10.391,10.4444,10.2755,10.3466,3506249.0
2019-01-23,10.3733,10.5421,10.3288,10.391,2374341.0
2019-01-24,10.3821,10.6488,10.3821,10.6221,2859111.0
2019-01-25,10.7021,10.7599,10.631,10.711,1757126.0
2019-01-26,10.7021,10.7599,10.631,10.711,1757126.0
2019-01-27,10.7021,10.7599,10.631,10.711,1757126.0
2019-01-28,10.5777,10.8621,10.5777,10.7199,2396616.0
2019-01-29,10.7466,10.8977,10.7021,10.8088,3519650.0
2019-01-30,10.8444,11.0844,10.7688,10.9955,2618784.0
2019-01-31,10.951,11.111,10.8977,11.0933,1979719.0
2019-02-01,11.1199,11.2088,11.031,11.191,2751531.0
2019-02-02,11.1199,11.2088,11.031,11.191,2751531.0
2019-02-03,11.1199,11.2088,11.031,11.191,2751531.0
2019-02-04,11.191,11.2088,11.0755,11.1555,1361885.0
2019-02-05,11.1555,11.1777,11.0221,11.1466,1546239.0
2019-02-06,11.0933,11.2177,11.0844,11.1288,1430363.0
2019-02-07,11.1555,11.2355,11.0133,11.1466,1694793.0
2019-02-08,11.1377,11.2088,10.7377,10.9866,3559933.0
2019-02-09,11.1377,11.2088,10.7377,10.9866,3559933.0
2019-02-10,11.1377,11.2088,10.7377,10.9866,3559933.0
2019-02-11,11.0577,11.0844,10.9155,11.0399,1866656.0
2019-02-12,11.111,11.3421,11.0773,11.2799,2400156.0
2019-02-13,11.3155,11.351,11.191,11.271,1288956.0
2019-02-14,11.1733,11.2177,11.0666,11.1821,1799140.0
2019-02-15,11.3155,11.8266,11.3155,11.6444,5732390.0
2019-02-16,11.3155,11.8266,11.3155,11.6444,5732390.0
2019-02-17,11.3155,11.8266,11.3155,11.6444,5732390.0
2019-02-18,11.3155,11.8266,11.3155,11.6444,5732390.0
2019-02-19,11.5555,11.831,11.5199,11.8132,1665532.0
2019-02-20,11.831,11.8755,11.7333,11.8399,2080739.0
2019-02-21,11.831,11.8844,11.6444,11.671,1313919.0
2019-02-22,11.6977,11.8132,11.6977,11.8132,1296387.0
2019-02-23,11.6977,11.8132,11.6977,11.8132,1296387.0
2019-02-24,11.6977,11.8132,11.6977,11.8132,1296387.0
2019-02-25,11.8932,11.9144,11.5999,11.5999,1564561.0
2019-02-26,11.5555,11.7777,11.5199,11.6888,1995423.0
2019-02-27,11.7066,11.7688,11.5733,11.6977,1510047.0
2019-02-28,11.6533,11.6799,11.511,11.5377,2876696.0
2019-03-01,11.6533,11.751,11.5733,11.5999,2329578.0
2019-03-02,11.6533,11.751,11.5733,11.5999,2329578.0
2019-03-03,11.6533,11.751,11.5733,11.5999,2329578.0
2019-03-04,11.6088,11.8577,11.5555,11.7955,2640623.0
2019-03-05,11.7777,11.7779,11.6444,11.6621,1999175.0
2019-03-06,11.6533,11.7421,11.5066,11.511,1945094.0
2019-03-07,11.4844,11.511,11.3066,11.3599,1659227.0
2019-03-08,11.2621,11.4266,11.2444,11.3777,3649312.0
2019-03-09,11.2621,11.4266,11.2444,11.3777,3649312.0
