,1917130D US Equity,1917130D US Equity,1917130D US Equity,1917130D US Equity,1917130D US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,46.33,46.955,46.17,46.3,151569.0
2020-01-02,46.5,46.9,45.62,46.88,217900.0
2020-01-03,45.93,47.17,45.91,46.98,228185.0
2020-01-04,45.93,47.17,45.91,46.98,228185.0
2020-01-05,45.93,47.17,45.91,46.98,228185.0
2020-01-06,46.4,48.65,45.92,48.55,292579.0
2020-01-07,48.21,49.36,47.93,48.04,388255.0
2020-01-08,48.74,50.32,48.4803,49.69,413239.0
2020-01-09,50.05,50.6692,49.73,50.2,276357.0
2020-01-10,50.22,50.85,49.54,50.14,266306.0
2020-01-11,50.22,50.85,49.54,50.14,266306.0
2020-01-12,50.22,50.85,49.54,50.14,266306.0
2020-01-13,50.17,50.52,49.57,50.49,205664.0
2020-01-14,50.4,53.79,50.12,52.67,410887.0
2020-01-15,52.51,54.07,52.51,52.9,345778.0
2020-01-16,53.3,55.65,53.3,55.27,338414.0
2020-01-17,55.66,55.85,53.42,54.12,354301.0
2020-01-18,55.66,55.85,53.42,54.12,354301.0
2020-01-19,55.66,55.85,53.42,54.12,354301.0
2020-01-20,55.66,55.85,53.42,54.12,354301.0
2020-01-21,54.58,54.58,51.885,52.36,340604.0
2020-01-22,52.73,53.4501,52.33,52.75,153359.0
2020-01-23,52.76,53.27,52.0,53.205,260643.0
2020-01-24,53.43,53.43,51.52,52.02,214852.0
2020-01-25,53.43,53.43,51.52,52.02,214852.0
2020-01-26,53.43,53.43,51.52,52.02,214852.0
2020-01-27,49.16,51.91,48.69,51.24,250226.0
2020-01-28,51.64,51.92,51.14,51.64,119167.0
2020-01-29,51.76,52.99,51.13,51.88,140997.0
2020-01-30,51.49,51.93,49.52,50.63,129763.0
2020-01-31,50.62,50.74,48.66,48.92,183909.0
2020-02-01,50.62,50.74,48.66,48.92,183909.0
2020-02-02,50.62,50.74,48.66,48.92,183909.0
2020-02-03,50.11,50.48,49.265,49.42,228928.0
2020-02-04,50.51,51.39,50.49,51.25,261859.0
2020-02-05,51.88,53.87,51.71,53.79,322042.0
2020-02-06,53.74,53.755,52.41,53.43,168476.0
2020-02-07,53.33,53.4,51.16,51.31,156694.0
2020-02-08,53.33,53.4,51.16,51.31,156694.0
2020-02-09,53.33,53.4,51.16,51.31,156694.0
2020-02-10,51.2,52.1,50.531,52.1,99393.0
2020-02-11,52.49,53.31,51.96,52.3,136294.0
2020-02-12,52.82,53.27,52.07,53.07,134629.0
2020-02-13,52.84,54.245,52.2,53.81,137997.0
2020-02-14,53.79,54.27,53.04,53.52,128241.0
2020-02-15,53.79,54.27,53.04,53.52,128241.0
2020-02-16,53.79,54.27,53.04,53.52,128241.0
2020-02-17,53.79,54.27,53.04,53.52,128241.0
2020-02-18,53.55,54.21,52.62,53.22,227275.0
2020-02-19,53.72,53.91,53.06,53.78,152919.0
2020-02-20,53.9,55.62,53.4738,54.56,240729.0
2020-02-21,54.49,54.82,51.77,52.13,292503.0
2020-02-22,54.49,54.82,51.77,52.13,292503.0
2020-02-23,54.49,54.82,51.77,52.13,292503.0
2020-02-24,50.0,51.28,49.4557,50.99,276998.0
2020-02-25,51.01,51.485,49.0104,49.71,260018.0
2020-02-26,48.99,50.53,47.305,48.005,368406.0
2020-02-27,45.05,47.99,40.0,45.01,878763.0
2020-02-28,42.62,44.31,41.935,42.72,683465.0
2020-02-29,42.62,44.31,41.935,42.72,683465.0
2020-03-01,42.62,44.31,41.935,42.72,683465.0
2020-03-02,43.24,43.5,42.31,43.47,534770.0
2020-03-03,43.34,45.0,42.7001,43.63,329774.0
2020-03-04,44.73,45.01,42.13,44.39,454636.0
2020-03-05,43.24,43.58,42.2595,42.91,401088.0
2020-03-06,41.0,42.66,40.99,42.19,357861.0
2020-03-07,41.0,42.66,40.99,42.19,357861.0
2020-03-08,41.0,42.66,40.99,42.19,357861.0
2020-03-09,38.89,40.09,38.05,38.55,490670.0
2020-03-10,39.95,39.99,38.55,39.7,376610.0
2020-03-11,38.5,39.04,36.8,37.55,357554.0
2020-03-12,34.78,35.35,32.56,34.36,545550.0
2020-03-13,36.35,36.86,33.3,36.83,426795.0
2020-03-14,36.35,36.86,33.3,36.83,426795.0
2020-03-15,36.35,36.86,33.3,36.83,426795.0
2020-03-16,31.0,34.79,30.5,31.5,474867.0
2020-03-17,31.99,33.74,30.28,32.5,534505.0
2020-03-18,30.72,31.55,27.35,28.93,468146.0
2020-03-19,28.57,32.14,27.75,31.5,629071.0
2020-03-20,31.92,34.22,30.58,31.25,688259.0
2020-03-21,31.92,34.22,30.58,31.25,688259.0
2020-03-22,31.92,34.22,30.58,31.25,688259.0
2020-03-23,31.86,31.86,28.7,30.39,475803.0
2020-03-24,31.81,34.0,31.35,33.48,493401.0
2020-03-25,33.49,35.53,32.35,33.7,583727.0
2020-03-26,34.55,37.82,33.89,37.82,465776.0
2020-03-27,36.06,37.43,34.47,36.95,372343.0
2020-03-28,36.06,37.43,34.47,36.95,372343.0
2020-03-29,36.06,37.43,34.47,36.95,372343.0
2020-03-30,37.05,39.62,36.21,39.5,307776.0
2020-03-31,39.54,41.0,37.4686,38.51,538467.0
2020-04-01,36.61,37.68,31.24,35.15,462019.0
2020-04-02,35.01,39.35,35.01,37.46,374739.0
2020-04-03,37.78,38.03,34.86,35.88,320645.0
2020-04-04,37.78,38.03,34.86,35.88,320645.0
2020-04-05,37.78,38.03,34.86,35.88,320645.0
2020-04-06,38.0,39.92,37.76,39.73,277277.0
2020-04-07,42.08,42.68,39.82,40.47,340911.0
2020-04-08,41.01,42.645,39.3406,41.43,241259.0
2020-04-09,42.45,43.94,41.295,43.27,339690.0
2020-04-10,42.45,43.94,41.295,43.27,339690.0
2020-04-11,42.45,43.94,41.295,43.27,339690.0
2020-04-12,42.45,43.94,41.295,43.27,339690.0
2020-04-13,43.0,43.0,40.84,41.23,269489.0
2020-04-14,42.5,44.915,42.4,44.27,311069.0
2020-04-15,42.73,44.42,42.19,44.42,511348.0
2020-04-16,44.39,44.85,42.67,42.98,363535.0
2020-04-17,44.58,44.74,43.76,44.09,219242.0
2020-04-18,44.58,44.74,43.76,44.09,219242.0
2020-04-19,44.58,44.74,43.76,44.09,219242.0
2020-04-20,43.21,44.33,42.61,42.79,287897.0
2020-04-21,41.77,43.145,41.15,42.1,375182.0
2020-04-22,43.42,43.42,41.82,41.9,286538.0
2020-04-23,42.59,45.03,42.4229,44.54,334766.0
2020-04-24,46.87,46.87,43.115,44.08,215925.0
2020-04-25,46.87,46.87,43.115,44.08,215925.0
2020-04-26,46.87,46.87,43.115,44.08,215925.0
2020-04-27,44.1,47.32,44.1,46.54,358298.0
2020-04-28,47.99,47.99,44.87,46.03,240563.0
2020-04-29,45.69,48.82,45.6,47.89,342128.0
2020-04-30,47.11,48.74,46.5,46.71,315977.0
2020-05-01,45.6,45.75,44.37,45.51,215110.0
2020-05-02,45.6,45.75,44.37,45.51,215110.0
2020-05-03,45.6,45.75,44.37,45.51,215110.0
2020-05-04,45.17,45.57,43.35,43.74,341954.0
2020-05-05,44.62,45.9075,44.37,45.25,312856.0
2020-05-06,45.73,46.675,44.57,46.005,436403.0
2020-05-07,43.9,46.5,41.33,45.33,762796.0
2020-05-08,45.92,47.65,45.2,46.94,303893.0
2020-05-09,45.92,47.65,45.2,46.94,303893.0
2020-05-10,45.92,47.65,45.2,46.94,303893.0
2020-05-11,46.14,47.14,45.42,45.42,352649.0
2020-05-12,45.68,45.68,43.25,43.25,273343.0
2020-05-13,43.48,43.48,41.43,41.61,361641.0
2020-05-14,40.81,41.045,39.22,40.14,387925.0
2020-05-15,39.96,41.9,39.55,41.53,412982.0
2020-05-16,39.96,41.9,39.55,41.53,412982.0
2020-05-17,39.96,41.9,39.55,41.53,412982.0
2020-05-18,44.11,45.6,43.585,44.62,434031.0
2020-05-19,44.32,44.78,43.19,43.79,226696.0
2020-05-20,44.74,45.02,44.06,44.41,239213.0
2020-05-21,44.4,45.06,43.4603,44.82,215662.0
2020-05-22,45.11,45.48,44.45,45.43,124633.0
2020-05-23,45.11,45.48,44.45,45.43,124633.0
2020-05-24,45.11,45.48,44.45,45.43,124633.0
2020-05-25,45.11,45.48,44.45,45.43,124633.0
2020-05-26,46.29,47.3,46.29,46.8,241178.0
2020-05-27,47.53,48.13,46.87,47.98,359262.0
2020-05-28,48.52,49.425,46.995,47.21,264136.0
2020-05-29,46.91,47.29,44.855,47.18,350920.0
2020-05-30,46.91,47.29,44.855,47.18,350920.0
2020-05-31,46.91,47.29,44.855,47.18,350920.0
2020-06-01,47.18,47.77,46.58,47.28,290799.0
2020-06-02,47.35,48.29,46.62,47.62,210214.0
2020-06-03,48.23,49.63,48.01,48.93,227925.0
2020-06-04,48.79,49.94,48.55,48.78,234028.0
2020-06-05,49.86,51.4872,49.4371,50.2,275494.0
2020-06-06,49.86,51.4872,49.4371,50.2,275494.0
2020-06-07,49.86,51.4872,49.4371,50.2,275494.0
