,TOWN US Equity,TOWN US Equity,TOWN US Equity,TOWN US Equity,TOWN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,24.1949,24.2557,24.0214,24.1342,137337.0
2020-01-02,24.1863,24.2036,23.9087,24.1169,80561.0
2020-01-03,23.9347,24.0995,23.7872,23.952,84574.0
2020-01-04,23.9347,24.0995,23.7872,23.952,84574.0
2020-01-05,23.9347,24.0995,23.7872,23.952,84574.0
2020-01-06,23.7785,23.9867,23.5617,23.8913,110966.0
2020-01-07,23.7178,23.9781,23.6137,23.7265,120292.0
2020-01-08,23.7612,24.0908,23.7612,23.9867,122951.0
2020-01-09,24.1082,24.1776,24.0171,24.1212,105854.0
2020-01-10,24.2817,24.2817,23.9,24.0345,141222.0
2020-01-11,24.2817,24.2817,23.9,24.0345,141222.0
2020-01-12,24.2817,24.2817,23.9,24.0345,141222.0
2020-01-13,24.0128,24.2557,23.9173,24.2383,111122.0
2020-01-14,24.1602,24.2383,24.0475,24.0995,92384.0
2020-01-15,23.9607,24.0735,23.8219,23.9867,86775.0
2020-01-16,24.1082,24.4465,23.9173,24.247,106759.0
2020-01-17,24.4205,24.4726,24.2383,24.3164,108151.0
2020-01-18,24.4205,24.4726,24.2383,24.3164,108151.0
2020-01-19,24.4205,24.4726,24.2383,24.3164,108151.0
2020-01-20,24.4205,24.4726,24.2383,24.3164,108151.0
2020-01-21,24.0995,24.221,23.9954,24.0735,116976.0
2020-01-22,24.2123,24.2123,23.9173,24.1602,108218.0
2020-01-23,24.2817,24.2904,24.0084,24.1776,194293.0
2020-01-24,24.2817,24.2817,23.7612,23.9173,102165.0
2020-01-25,24.2817,24.2817,23.7612,23.9173,102165.0
2020-01-26,24.2817,24.2817,23.7612,23.9173,102165.0
2020-01-27,23.4923,23.9781,23.4923,23.7699,129360.0
2020-01-28,23.9607,23.9781,23.6918,23.7265,75353.0
2020-01-29,23.7178,23.7959,23.3621,23.4662,91634.0
2020-01-30,23.3188,23.6137,23.1626,23.6137,76033.0
2020-01-31,23.4836,23.4836,22.9718,23.0325,138326.0
2020-02-01,23.4836,23.4836,22.9718,23.0325,138326.0
2020-02-02,23.4836,23.4836,22.9718,23.0325,138326.0
2020-02-03,23.1886,23.4402,23.1886,23.3318,113056.0
2020-02-04,23.4749,23.7699,23.3535,23.6397,134234.0
2020-02-05,23.7525,24.3164,23.7525,24.2991,112008.0
2020-02-06,24.4639,24.4639,23.9954,24.0041,73503.0
2020-02-07,23.9347,23.9781,23.8046,23.8826,76840.0
2020-02-08,23.9347,23.9781,23.8046,23.8826,76840.0
2020-02-09,23.9347,23.9781,23.8046,23.8826,76840.0
2020-02-10,23.8132,23.9043,23.7525,23.8826,71031.0
2020-02-11,24.0995,24.0995,23.9173,23.9781,101724.0
2020-02-12,24.0735,24.1242,23.9304,24.0301,51761.0
2020-02-13,23.952,24.2123,23.8479,24.2036,67428.0
2020-02-14,24.2036,24.2123,23.8393,23.8653,54409.0
2020-02-15,24.2036,24.2123,23.8393,23.8653,54409.0
2020-02-16,24.2036,24.2123,23.8393,23.8653,54409.0
2020-02-17,24.2036,24.2123,23.8393,23.8653,54409.0
2020-02-18,23.7612,23.8826,23.6397,23.8566,81739.0
2020-02-19,23.8479,23.9781,23.8306,23.8566,67157.0
2020-02-20,23.8479,24.0475,23.8046,24.0214,87228.0
2020-02-21,24.0041,24.0128,23.7352,23.8479,53094.0
2020-02-22,24.0041,24.0128,23.7352,23.8479,53094.0
2020-02-23,24.0041,24.0128,23.7352,23.8479,53094.0
2020-02-24,23.2667,23.3274,23.0238,23.18,73814.0
2020-02-25,23.18,23.18,22.3558,22.3818,96943.0
2020-02-26,22.4859,22.7028,22.191,22.2257,75348.0
2020-02-27,21.8613,22.4903,21.3929,21.3929,157810.0
2020-02-28,20.8203,21.1153,19.9094,20.0049,382893.0
2020-02-29,20.8203,21.1153,19.9094,20.0049,382893.0
2020-03-01,20.8203,21.1153,19.9094,20.0049,382893.0
