,LYB US Equity,LYB US Equity,LYB US Equity,LYB US Equity,LYB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,60.6342,61.4045,60.2014,61.0084,1699867.0
2019-01-02,59.9446,62.0996,59.9079,61.5439,1557314.0
2019-01-03,61.3825,61.9071,60.084,60.3481,2205634.0
2019-01-04,63.2973,64.1079,61.72,63.6054,3721018.0
2019-01-05,63.2973,64.1079,61.72,63.6054,3721018.0
2019-01-06,63.2973,64.1079,61.72,63.6054,3721018.0
2019-01-07,63.4954,64.5591,62.6187,63.7815,2283532.0
2019-01-08,64.3464,65.3111,64.1996,65.0066,1962731.0
2019-01-09,65.2194,65.459,64.2583,64.6398,2299231.0
2019-01-10,64.0823,64.336,63.3927,64.1189,2400025.0
2019-01-11,63.9429,63.9429,62.9378,63.0919,2615306.0
2019-01-12,63.9429,63.9429,62.9378,63.0919,2615306.0
2019-01-13,63.9429,63.9429,62.9378,63.0919,2615306.0
2019-01-14,62.505,63.4293,62.2995,62.8791,2403718.0
2019-01-15,62.8351,63.0625,61.72,62.0501,2032131.0
2019-01-16,61.9034,62.7544,61.8447,62.1968,2671082.0
2019-01-17,61.7053,63.0625,61.7053,62.9818,3378389.0
2019-01-18,63.7008,64.7499,63.334,64.4564,2885362.0
2019-01-19,63.7008,64.7499,63.334,64.4564,2885362.0
2019-01-20,63.7008,64.7499,63.334,64.4564,2885362.0
2019-01-21,63.7008,64.7499,63.334,64.4564,2885362.0
2019-01-22,63.8182,64.163,62.505,62.9451,2512792.0
2019-01-23,62.9525,63.2826,61.5054,61.9401,2142053.0
2019-01-24,61.8814,62.2409,61.3092,61.5953,2487386.0
2019-01-25,62.4316,63.6347,62.4316,63.2459,2603275.0
2019-01-26,62.4316,63.6347,62.4316,63.2459,2603275.0
2019-01-27,62.4316,63.6347,62.4316,63.2459,2603275.0
2019-01-28,62.7397,63.3486,62.1675,63.1946,2383213.0
2019-01-29,63.2973,64.2657,62.8901,63.8915,1655207.0
2019-01-30,64.3757,65.102,63.4279,64.7205,2579427.0
2019-01-31,63.4587,63.8842,62.549,63.8035,4201076.0
2019-02-01,62.549,65.2854,62.4243,65.212,4596751.0
2019-02-02,62.549,65.2854,62.4243,65.212,4596751.0
2019-02-03,62.549,65.2854,62.4243,65.212,4596751.0
2019-02-04,64.7645,64.8159,63.312,64.3317,3331887.0
2019-02-05,64.1043,64.8159,63.7301,64.2437,2745321.0
2019-02-06,64.2803,64.6472,63.2606,63.9722,2003957.0
2019-02-07,63.7521,64.0749,61.786,62.0575,2329622.0
2019-02-08,61.786,62.6957,61.4485,62.0501,2293314.0
