,MOV US Equity,MOV US Equity,MOV US Equity,MOV US Equity,MOV US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,18.1037,18.5502,18.1037,18.3143,147363.0
2020-01-02,18.3312,18.4491,17.6488,17.792,252793.0
2020-01-03,17.4888,17.8173,17.4888,17.6825,212003.0
2020-01-04,17.4888,17.8173,17.4888,17.6825,212003.0
2020-01-05,17.4888,17.8173,17.4888,17.6825,212003.0
2020-01-06,17.5056,17.7331,17.3287,17.6404,159209.0
2020-01-07,17.573,17.8594,17.354,17.5309,222474.0
2020-01-08,17.5814,17.8173,17.4382,17.7078,111991.0
2020-01-09,17.7499,17.7499,17.1686,17.1686,125079.0
2020-01-10,17.1939,17.3793,16.8991,16.9159,164726.0
2020-01-11,17.1939,17.3793,16.8991,16.9159,164726.0
2020-01-12,17.1939,17.3793,16.8991,16.9159,164726.0
2020-01-13,16.9328,16.9328,16.2672,16.3431,474734.0
2020-01-14,16.3599,17.017,16.3599,16.9665,277971.0
2020-01-15,16.8906,17.1518,16.6379,16.9328,152357.0
2020-01-16,17.1097,17.5309,16.7643,16.8485,212162.0
2020-01-17,16.9243,17.0591,16.5537,16.7643,247170.0
2020-01-18,16.9243,17.0591,16.5537,16.7643,247170.0
2020-01-19,16.9243,17.0591,16.5537,16.7643,247170.0
2020-01-20,16.9243,17.0591,16.5537,16.7643,247170.0
2020-01-21,16.7222,17.076,16.3515,17.0086,198790.0
2020-01-22,17.0591,17.2445,16.8991,17.1097,92637.0
2020-01-23,17.0423,17.1181,16.7053,16.9917,135807.0
2020-01-24,17.0507,17.0507,16.1999,16.3009,109808.0
2020-01-25,17.0507,17.0507,16.1999,16.3009,109808.0
2020-01-26,17.0507,17.0507,16.1999,16.3009,109808.0
2020-01-27,16.0061,16.0903,15.3659,15.4164,249673.0
2020-01-28,15.5428,15.7534,15.3996,15.5175,124836.0
2020-01-29,15.4922,15.6481,15.1721,15.4164,104797.0
2020-01-30,15.1805,15.3827,14.9446,15.3574,148914.0
2020-01-31,15.3827,15.408,14.456,14.5066,166093.0
2020-02-01,15.3827,15.408,14.456,14.5066,166093.0
2020-02-02,15.3827,15.408,14.456,14.5066,166093.0
2020-02-03,14.6582,14.7509,14.0517,14.1275,304595.0
2020-02-04,14.4308,14.4729,13.8159,13.9927,199900.0
2020-02-05,14.1865,14.8688,14.178,14.7593,189402.0
2020-02-06,14.7846,14.9025,14.0769,14.1106,201346.0
2020-02-07,14.0264,14.0432,13.4704,13.8242,252501.0
2020-02-08,14.0264,14.0432,13.4704,13.8242,252501.0
2020-02-09,14.0264,14.0432,13.4704,13.8242,252501.0
2020-02-10,13.7821,13.7821,13.0745,13.1166,217348.0
2020-02-11,13.2008,13.4072,12.7459,13.2851,255888.0
2020-02-12,13.4198,13.9843,13.3862,13.9169,245124.0
2020-02-13,13.8495,14.3802,13.6557,14.3128,307066.0
2020-02-14,14.3128,14.3128,13.8832,14.2117,217505.0
2020-02-15,14.3128,14.3128,13.8832,14.2117,217505.0
2020-02-16,14.3128,14.3128,13.8832,14.2117,217505.0
2020-02-17,14.3128,14.3128,13.8832,14.2117,217505.0
2020-02-18,14.1528,14.3212,13.9,14.0432,136888.0
2020-02-19,14.0854,14.1417,13.6052,13.6305,138070.0
2020-02-20,13.6052,13.9,13.5041,13.6726,94577.0
2020-02-21,13.6557,13.6557,13.2682,13.3525,100820.0
2020-02-22,13.6557,13.6557,13.2682,13.3525,100820.0
2020-02-23,13.6557,13.6557,13.2682,13.3525,100820.0
2020-02-24,12.8217,12.8975,12.3837,12.8049,262814.0
2020-02-25,12.8891,12.9018,12.232,12.4426,210094.0
2020-02-26,12.4679,12.6532,12.2826,12.4426,252790.0
2020-02-27,12.0383,12.3247,11.8445,12.0214,578490.0
2020-02-28,11.794,12.8217,11.794,12.3837,264274.0
2020-02-29,11.794,12.8217,11.794,12.3837,264274.0
2020-03-01,11.794,12.8217,11.794,12.3837,264274.0
2020-03-02,12.4511,12.4511,11.8698,12.3415,172844.0
2020-03-03,12.3584,12.6364,11.8024,11.9625,293782.0
2020-03-04,12.0888,12.5858,11.9035,12.51,208164.0
2020-03-05,12.0467,12.2236,11.794,12.0383,201349.0
2020-03-06,11.6845,12.7206,11.6255,12.1731,263850.0
2020-03-07,11.6845,12.7206,11.6255,12.1731,263850.0
2020-03-08,11.6845,12.7206,11.6255,12.1731,263850.0
2020-03-09,11.4486,11.7493,10.9515,10.9515,298067.0
2020-03-10,11.2717,11.3896,10.4292,10.5977,298202.0
2020-03-11,10.286,10.6398,10.0333,10.5303,256494.0
2020-03-12,9.9154,10.2018,9.4352,9.8143,299954.0
2020-03-13,10.286,10.682,9.5615,10.682,302637.0
2020-03-14,10.286,10.682,9.5615,10.682,302637.0
2020-03-15,10.286,10.682,9.5615,10.682,302637.0
2020-03-16,9.5784,10.3197,8.7528,8.8202,294733.0
2020-03-17,9.014,9.5194,8.142,9.4015,370569.0
2020-03-18,8.7697,9.3846,8.0536,9.0561,223148.0
2020-03-19,9.0308,9.4941,7.624,7.8683,592521.0
2020-03-20,8.0115,8.8202,7.6155,7.7335,601063.0
2020-03-21,8.0115,8.8202,7.6155,7.7335,601063.0
2020-03-22,8.0115,8.8202,7.6155,7.7335,601063.0
2020-03-23,7.7924,7.9272,6.8405,7.3628,294105.0
2020-03-24,7.7756,8.0536,7.6745,7.8767,340151.0
2020-03-25,8.0873,9.3931,7.8851,8.4917,567556.0
2020-03-26,8.4917,9.4689,8.0536,9.3762,496336.0
2020-03-27,9.0055,9.9912,8.8455,9.4604,338801.0
2020-03-28,9.0055,9.9912,8.8455,9.4604,338801.0
2020-03-29,9.0055,9.9912,8.8455,9.4604,338801.0
2020-03-30,9.3509,9.6795,8.5591,9.4773,327932.0
2020-03-31,9.3257,10.2523,9.3257,9.9575,388152.0
2020-04-01,9.3341,9.4941,8.9129,8.9718,197194.0
2020-04-02,8.8876,9.8395,8.7107,9.3088,197947.0
2020-04-03,9.3088,9.3678,8.3021,8.3906,298020.0
2020-04-04,9.3088,9.3678,8.3021,8.3906,298020.0
2020-04-05,9.3088,9.3678,8.3021,8.3906,298020.0
2020-04-06,8.6517,9.3172,8.6517,9.014,165594.0
2020-04-07,9.4352,9.7637,8.816,8.955,229431.0
2020-04-08,9.1319,9.4183,8.8539,8.8792,196747.0
2020-04-09,9.0982,11.7561,9.0982,11.12,695327.0
2020-04-10,9.0982,11.7561,9.0982,11.12,695327.0
2020-04-11,9.0982,11.7561,9.0982,11.12,695327.0
2020-04-12,9.0982,11.7561,9.0982,11.12,695327.0
2020-04-13,11.12,11.12,9.0729,9.1909,324079.0
2020-04-14,9.6542,10.0249,8.9044,9.0898,394214.0
2020-04-15,8.6517,8.6938,7.4976,7.7503,829517.0
2020-04-16,7.7166,7.9694,7.4386,7.6914,370609.0
2020-04-17,7.9694,8.18,7.7672,7.9272,323304.0
2020-04-18,7.9694,8.18,7.7672,7.9272,323304.0
2020-04-19,7.9694,8.18,7.7672,7.9272,323304.0
2020-04-20,7.6914,8.1041,7.6324,7.9104,456157.0
2020-04-21,7.8346,8.0452,7.7166,7.8683,325180.0
2020-04-22,8.0283,8.0536,7.4049,7.4049,201261.0
2020-04-23,7.3712,7.6071,7.2617,7.4218,297929.0
2020-04-24,7.4218,7.8514,7.3123,7.7419,318806.0
2020-04-25,7.4218,7.8514,7.3123,7.7419,318806.0
2020-04-26,7.4218,7.8514,7.3123,7.7419,318806.0
2020-04-27,7.7503,8.4243,7.6577,8.2726,216744.0
2020-04-28,8.6012,8.9213,8.1874,8.7528,507193.0
2020-04-29,9.1151,9.4352,8.8118,9.2751,368959.0
2020-04-30,9.0982,9.1235,8.6601,8.6854,193852.0
2020-05-01,8.5254,8.6012,7.8893,8.3232,310336.0
2020-05-02,8.5254,8.6012,7.8893,8.3232,310336.0
2020-05-03,8.5254,8.6012,7.8893,8.3232,310336.0
2020-05-04,8.1294,8.3484,7.8555,8.2052,151692.0
2020-05-05,8.34,8.5843,7.9609,8.0115,135205.0
2020-05-06,7.9862,8.2726,7.6661,7.9104,118220.0
2020-05-07,8.0873,8.1547,7.7335,7.7756,221145.0
2020-05-08,7.9778,8.2642,7.7587,8.2389,413950.0
2020-05-09,7.9778,8.2642,7.7587,8.2389,413950.0
2020-05-10,7.9778,8.2642,7.7587,8.2389,413950.0
2020-05-11,8.18,8.7781,7.9188,8.736,307960.0
2020-05-12,8.8202,8.9213,8.3569,8.3906,252294.0
2020-05-13,8.2642,8.4495,8.0199,8.4411,314808.0
2020-05-14,8.1378,8.4453,7.9357,8.4411,338419.0
2020-05-15,8.3653,8.5254,8.1378,8.3906,197050.0
2020-05-16,8.3653,8.5254,8.1378,8.3906,197050.0
2020-05-17,8.3653,8.5254,8.1378,8.3906,197050.0
2020-05-18,8.7191,9.0392,8.7092,8.8623,280552.0
2020-05-19,8.8539,8.8539,8.3063,8.6012,256523.0
2020-05-20,8.6433,8.9213,8.6264,8.736,160149.0
2020-05-21,8.6938,9.0982,8.6096,8.9044,159424.0
2020-05-22,8.9297,9.1151,8.7781,9.014,193173.0
2020-05-23,8.9297,9.1151,8.7781,9.014,193173.0
2020-05-24,8.9297,9.1151,8.7781,9.014,193173.0
2020-05-25,8.9297,9.1151,8.7781,9.014,193173.0
2020-05-26,9.3088,9.3088,8.9803,9.0561,274838.0
2020-05-27,9.1993,9.2877,8.9718,9.1403,310420.0
2020-05-28,9.2498,9.3846,8.7781,9.1235,263247.0
2020-05-29,8.9381,9.0392,8.4495,8.8455,458852.0
2020-05-30,8.9381,9.0392,8.4495,8.8455,458852.0
2020-05-31,8.9381,9.0392,8.4495,8.8455,458852.0
2020-06-01,8.7528,9.452,8.6686,9.0898,277503.0
2020-06-02,9.2414,9.5615,9.0814,9.4015,167851.0
2020-06-03,9.5868,10.0417,9.5468,9.7047,279642.0
2020-06-04,9.5784,10.6651,9.4857,10.4292,252018.0
2020-06-05,10.8841,11.2632,10.623,10.9431,331626.0
2020-06-06,10.8841,11.2632,10.623,10.9431,331626.0
2020-06-07,10.8841,11.2632,10.623,10.9431,331626.0
2020-06-08,11.1116,12.2152,11.1116,12.1225,331607.0
2020-06-09,10.9094,12.6954,10.6398,12.013,561446.0
2020-06-10,12.0298,12.2656,10.8841,10.9515,281774.0
2020-06-11,10.3955,10.7999,10.0838,10.1849,510655.0
2020-06-12,10.4882,10.8757,10.0586,10.7915,471590.0
2020-06-13,10.4882,10.8757,10.0586,10.7915,471590.0
2020-06-14,10.4882,10.8757,10.0586,10.7915,471590.0
2020-06-15,10.3955,10.7999,9.9912,10.6904,296969.0
2020-06-16,11.2969,11.2969,10.3394,10.4629,209104.0
2020-06-17,10.3113,10.446,9.9575,10.0164,249729.0
2020-06-18,9.8985,10.265,9.73,9.8564,210188.0
2020-06-19,9.9575,10.2456,9.7133,9.848,481825.0
2020-06-20,9.9575,10.2456,9.7133,9.848,481825.0
2020-06-21,9.9575,10.2456,9.7133,9.848,481825.0
2020-06-22,9.7384,10.1849,9.5194,10.1007,267290.0
2020-06-23,10.2018,10.286,9.9659,10.1597,249611.0
2020-06-24,9.9743,9.9996,9.3931,9.4941,199870.0
2020-06-25,9.4183,9.4183,8.8371,9.0645,189272.0
2020-06-26,8.896,9.0519,8.3569,8.5085,398975.0
2020-06-27,8.896,9.0519,8.3569,8.5085,398975.0
2020-06-28,8.896,9.0519,8.3569,8.5085,398975.0
2020-06-29,8.6686,9.3256,8.5591,9.0392,258685.0
2020-06-30,8.9634,9.1909,8.8707,9.1319,125059.0
2020-07-01,9.1909,9.4004,8.6096,8.7275,171593.0
2020-07-02,8.9466,9.0645,8.6433,8.8539,135361.0
2020-07-03,8.9466,9.0645,8.6433,8.8539,135361.0
2020-07-04,8.9466,9.0645,8.6433,8.8539,135361.0
2020-07-05,8.9466,9.0645,8.6433,8.8539,135361.0
2020-07-06,8.9971,9.2667,8.5085,8.7612,182737.0
2020-07-07,8.6517,8.6606,8.281,8.4495,362808.0
2020-07-08,8.458,8.5506,8.2221,8.3232,201265.0
2020-07-09,8.3147,8.4411,7.9357,8.1968,278563.0
2020-07-10,8.3569,8.5169,8.1463,8.5085,262029.0
2020-07-11,8.3569,8.5169,8.1463,8.5085,262029.0
2020-07-12,8.3569,8.5169,8.1463,8.5085,262029.0
2020-07-13,8.7023,9.4604,8.5085,9.1656,373325.0
2020-07-14,9.174,9.174,8.5591,8.8455,262130.0
2020-07-15,9.1403,9.6626,8.9815,9.5278,249383.0
2020-07-16,9.511,9.6139,9.2583,9.3341,156350.0
2020-07-17,9.2246,9.3425,8.9044,8.9971,140518.0
2020-07-18,9.2246,9.3425,8.9044,8.9971,140518.0
2020-07-19,9.2246,9.3425,8.9044,8.9971,140518.0
2020-07-20,9.1909,9.1909,8.8118,8.8455,202054.0
2020-07-21,8.9803,9.6542,8.9803,9.2498,196867.0
2020-07-22,9.1487,9.1824,8.7865,8.9381,173001.0
2020-07-23,8.7023,9.1066,8.6601,8.9971,172151.0
2020-07-24,9.0729,9.1319,8.8539,8.8623,122444.0
2020-07-25,9.0729,9.1319,8.8539,8.8623,122444.0
2020-07-26,9.0729,9.1319,8.8539,8.8623,122444.0
2020-07-27,8.8623,8.9803,8.6433,8.736,147443.0
2020-07-28,8.6601,8.7107,8.2137,8.3569,302267.0
2020-07-29,8.3737,8.8371,8.3737,8.5759,157133.0
2020-07-30,8.4411,8.5169,8.137,8.1884,140956.0
2020-07-31,8.1884,8.2221,7.9104,8.121,229797.0
2020-08-01,8.1884,8.2221,7.9104,8.121,229797.0
2020-08-02,8.1884,8.2221,7.9104,8.121,229797.0
