,SBCF US Equity,SBCF US Equity,SBCF US Equity,SBCF US Equity,SBCF US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,28.4556,28.8009,28.4463,28.5303,164374.0
2020-01-02,28.5676,28.6609,28.3063,28.5116,164128.0
2020-01-03,28.2316,28.4836,27.6157,28.2596,192575.0
2020-01-04,28.2316,28.4836,27.6157,28.2596,192575.0
2020-01-05,28.2316,28.4836,27.6157,28.2596,192575.0
2020-01-06,28.0263,28.1943,27.5877,28.1383,166266.0
2020-01-07,27.9517,28.1756,27.4384,27.5037,206052.0
2020-01-08,27.6157,28.1943,27.4477,28.0636,343761.0
2020-01-09,28.6329,28.7449,28.1476,28.4183,284544.0
2020-01-10,28.3343,28.3716,27.709,27.8303,200946.0
2020-01-11,28.3343,28.3716,27.709,27.8303,200946.0
2020-01-12,28.3343,28.3716,27.709,27.8303,200946.0
2020-01-13,27.9703,27.9703,27.6623,27.8397,169245.0
2020-01-14,27.8303,28.2783,27.597,27.9143,211262.0
2020-01-15,27.737,27.905,27.6063,27.905,181901.0
2020-01-16,28.0636,28.2944,28.0263,28.129,195524.0
2020-01-17,28.409,28.465,28.0263,28.1383,161900.0
2020-01-18,28.409,28.465,28.0263,28.1383,161900.0
2020-01-19,28.409,28.465,28.0263,28.1383,161900.0
2020-01-20,28.409,28.465,28.0263,28.1383,161900.0
2020-01-21,27.989,27.989,27.4384,27.485,141606.0
2020-01-22,27.485,27.7463,27.373,27.429,121260.0
2020-01-23,27.429,27.6717,27.0277,27.5317,309211.0
2020-01-24,28.8103,28.8103,26.8317,27.009,266631.0
2020-01-25,28.8103,28.8103,26.8317,27.009,266631.0
2020-01-26,28.8103,28.8103,26.8317,27.009,266631.0
2020-01-27,26.4211,26.8877,26.3651,26.5984,188491.0
2020-01-28,26.6731,26.8597,26.4211,26.4491,184452.0
2020-01-29,26.4397,26.5611,25.8984,26.0571,344811.0
2020-01-30,25.8611,26.2251,25.7678,26.1971,166402.0
2020-01-31,25.9731,26.0384,25.2265,25.3385,191720.0
2020-02-01,25.9731,26.0384,25.2265,25.3385,191720.0
2020-02-02,25.9731,26.0384,25.2265,25.3385,191720.0
2020-02-03,25.5531,25.8704,25.5065,25.7585,182225.0
2020-02-04,26.2158,26.2344,25.8891,25.9078,162676.0
2020-02-05,26.1318,26.5331,26.0104,26.4304,158632.0
2020-02-06,26.6264,26.6264,26.2344,26.4304,130351.0
2020-02-07,26.2904,26.3091,25.7491,25.8331,105733.0
2020-02-08,26.2904,26.3091,25.7491,25.8331,105733.0
2020-02-09,26.2904,26.3091,25.7491,25.8331,105733.0
2020-02-10,25.6278,25.7398,25.5298,25.6558,173318.0
2020-02-11,25.7958,26.2344,25.7958,25.9264,87227.0
2020-02-12,26.0944,26.1318,25.7958,25.9358,94498.0
2020-02-13,25.7958,26.2344,25.7958,26.2064,87462.0
2020-02-14,26.1878,26.3651,25.8611,25.9078,91620.0
2020-02-15,26.1878,26.3651,25.8611,25.9078,91620.0
2020-02-16,26.1878,26.3651,25.8611,25.9078,91620.0
2020-02-17,26.1878,26.3651,25.8611,25.9078,91620.0
2020-02-18,25.8051,25.845,25.2172,25.2731,84068.0
2020-02-19,25.3478,25.4505,25.2358,25.2451,106126.0
2020-02-20,25.2078,25.4225,24.9698,25.2731,132779.0
2020-02-21,25.1892,25.1892,24.8252,24.9932,93367.0
2020-02-22,25.1892,25.1892,24.8252,24.9932,93367.0
2020-02-23,25.1892,25.1892,24.8252,24.9932,93367.0
2020-02-24,24.1532,24.4985,23.8079,24.3305,104337.0
2020-02-25,24.3305,24.4145,23.3133,23.5186,342075.0
2020-02-26,23.7052,23.9199,23.5466,23.8919,283966.0
2020-02-27,23.6119,24.2839,22.9773,23.5886,382851.0
2020-02-28,22.968,23.7799,22.6973,23.2386,585850.0
2020-02-29,22.968,23.7799,22.6973,23.2386,585850.0
2020-03-01,22.968,23.7799,22.6973,23.2386,585850.0
2020-03-02,23.3786,24.4612,23.0053,24.3959,219154.0
