,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,227.757,230.327,225.759,227.488,1185290.0
2019-01-02,224.464,230.494,223.1,229.999,1064888.0
2019-01-03,227.905,229.364,223.613,224.221,1165621.0
2019-01-04,227.557,230.659,226.184,230.268,1444084.0
2019-01-05,227.557,230.659,226.184,230.268,1444084.0
2019-01-06,227.557,230.659,226.184,230.268,1444084.0
2019-01-07,231.102,234.577,229.245,232.909,1465162.0
2019-01-08,235.559,236.098,232.674,234.464,1791533.0
2019-01-09,234.69,236.503,233.821,235.046,1235961.0
2019-01-10,234.247,241.25,234.143,241.093,1842543.0
2019-01-11,239.608,241.319,236.688,241.293,1157952.0
2019-01-12,239.608,241.319,236.688,241.293,1157952.0
2019-01-13,239.608,241.319,236.688,241.293,1157952.0
2019-01-14,240.372,242.848,238.426,241.102,1388645.0
2019-01-15,241.727,241.819,237.627,239.79,1193552.0
2019-01-16,239.269,239.521,235.124,236.654,1325176.0
2019-01-17,235.594,243.256,235.307,242.223,1241981.0
2019-01-18,244.29,247.931,243.022,245.759,2073526.0
2019-01-19,244.29,247.931,243.022,245.759,2073526.0
2019-01-20,244.29,247.931,243.022,245.759,2073526.0
2019-01-21,244.29,247.931,243.022,245.759,2073526.0
2019-01-22,244.473,247.279,241.528,242.909,1885239.0
2019-01-23,245.098,248.243,243.7,246.315,1631036.0
2019-01-24,247.253,250.424,245.515,247.826,1017571.0
2019-01-25,250.363,251.345,248.591,249.382,1050481.0
2019-01-26,250.363,251.345,248.591,249.382,1050481.0
2019-01-27,250.363,251.345,248.591,249.382,1050481.0
2019-01-28,247.609,250.572,245.772,250.103,1166359.0
2019-01-29,244.23,254.44,244.134,253.734,2037401.0
2019-01-30,255.385,255.42,249.147,253.404,1781754.0
2019-01-31,252.101,254.412,250.029,251.684,1311222.0
2019-02-01,252.692,254.195,251.254,252.457,1359001.0
2019-02-02,252.692,254.195,251.254,252.457,1359001.0
2019-02-03,252.692,254.195,251.254,252.457,1359001.0
2019-02-04,252.735,259.825,252.049,259.573,1328900.0
2019-02-05,260.641,263.23,258.235,260.172,1454764.0
2019-02-06,260.633,262.97,259.781,260.494,1114284.0
2019-02-07,259.59,260.954,257.288,260.754,1150543.0
2019-02-08,259.964,262.057,258.03,261.944,1021879.0
2019-02-09,259.964,262.057,258.03,261.944,1021879.0
2019-02-10,259.964,262.057,258.03,261.944,1021879.0
2019-02-11,262.188,263.03,259.599,260.676,1077932.0
2019-02-12,261.918,264.394,261.386,264.212,840639.0
2019-02-13,264.985,265.811,263.838,264.481,958590.0
2019-02-14,263.56,264.116,261.432,261.51,888353.0
2019-02-15,264.125,267.01,264.125,266.923,847704.0
2019-02-16,264.125,267.01,264.125,266.923,847704.0
2019-02-17,264.125,267.01,264.125,266.923,847704.0
2019-02-18,264.125,267.01,264.125,266.923,847704.0
2019-02-19,265.828,266.367,263.908,265.142,929463.0
2019-02-20,264.985,266.897,264.368,266.897,870598.0
2019-02-21,266.775,266.871,263.491,264.56,1044980.0
2019-02-22,265.776,267.036,264.03,266.836,581808.0
2019-02-23,265.776,267.036,264.03,266.836,581808.0
2019-02-24,265.776,267.036,264.03,266.836,581808.0
2019-02-25,268.365,268.81,265.463,265.828,1088026.0
2019-02-26,265.507,267.661,264.994,265.75,871562.0
2019-02-27,265.003,267.54,264.212,267.227,1121331.0
2019-02-28,269.03,272.801,267.874,270.753,1839228.0
2019-03-01,272.635,272.635,268.158,270.806,1424888.0
2019-03-02,272.635,272.635,268.158,270.806,1424888.0
2019-03-03,272.635,272.635,268.158,270.806,1424888.0
2019-03-04,272.827,272.827,265.564,266.623,1070877.0
2019-03-05,267.778,268.837,266.212,267.559,907702.0
2019-03-06,268.189,269.822,265.424,265.424,879164.0
2019-03-07,265.057,265.319,260.261,265.153,1255490.0
2019-03-08,263.018,263.998,261.443,263.35,1054175.0
2019-03-09,263.018,263.998,261.443,263.35,1054175.0
2019-03-10,263.018,263.998,261.443,263.35,1054175.0
2019-03-11,262.187,266.527,261.32,266.369,1294422.0
2019-03-12,266.544,267.161,263.21,264.199,1248945.0
2019-03-13,265.197,266.509,263.499,265.538,1133476.0
2019-03-14,265.512,266.422,261.049,261.215,1178428.0
2019-03-15,261.521,261.845,257.067,259.15,4516526.0
2019-03-16,261.521,261.845,257.067,259.15,4516526.0
2019-03-17,261.521,261.845,257.067,259.15,4516526.0
2019-03-18,258.905,261.084,256.63,260.454,1793659.0
2019-03-19,262.064,264.392,258.529,259.544,1504003.0
2019-03-20,259.815,261.39,258.199,259.001,1321836.0
2019-03-21,258.468,262.579,258.144,261.653,1145731.0
2019-03-22,260.463,261.122,257.164,257.277,942780.0
2019-03-23,260.463,261.122,257.164,257.277,942780.0
2019-03-24,260.463,261.122,257.164,257.277,942780.0
2019-03-25,257.627,258.861,255.982,257.374,779657.0
2019-03-26,259.098,260.419,256.122,258.074,882292.0
2019-03-27,258.686,260.676,256.262,257.225,835575.0
2019-03-28,258.17,258.966,256.962,258.669,567095.0
2019-03-29,260.331,263.035,259.666,262.659,1211953.0
2019-03-30,260.331,263.035,259.666,262.659,1211953.0
2019-03-31,260.331,263.035,259.666,262.659,1211953.0
2019-04-01,264.759,267.866,264.129,266.273,1153998.0
2019-04-02,266.781,268.452,265.03,265.232,872622.0
2019-04-03,265.678,266.369,259.141,260.13,1178337.0
2019-04-04,260.909,264.313,260.673,262.23,789451.0
2019-04-05,262.44,264.847,262.265,264.777,705239.0
2019-04-06,262.44,264.847,262.265,264.777,705239.0
2019-04-07,262.44,264.847,262.265,264.777,705239.0
2019-04-08,264.26,267.647,263.105,267.472,1121482.0
2019-04-09,266.334,266.522,263.56,264.864,867130.0
2019-04-10,264.47,264.575,260.183,261.749,1226188.0
2019-04-11,262.72,267.621,262.519,267.411,829474.0
2019-04-12,268.644,271.077,267.796,271.007,891932.0
2019-04-13,268.644,271.077,267.796,271.007,891932.0
2019-04-14,268.644,271.077,267.796,271.007,891932.0
2019-04-15,271.235,271.27,269.117,270.141,864790.0
2019-04-16,270.587,271.82,269.607,271.322,834088.0
2019-04-17,272.337,273.396,271.077,271.707,1041831.0
2019-04-18,272.171,275.269,270.806,274.997,1107163.0
2019-04-19,272.171,275.269,270.806,274.997,1107163.0
2019-04-20,272.171,275.269,270.806,274.997,1107163.0
