,TPB US Equity,TPB US Equity,TPB US Equity,TPB US Equity,TPB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,26.8922,27.3334,25.4248,26.1058,296231.0
2019-01-02,25.6838,26.5421,25.3097,26.3359,88934.0
2019-01-03,25.9331,26.71,25.5927,26.1729,55546.0
2019-01-04,26.5469,27.9855,26.1154,27.8705,111590.0
2019-01-05,26.5469,27.9855,26.1154,27.8705,111590.0
2019-01-06,26.5469,27.9855,26.1154,27.8705,111590.0
2019-01-07,27.8129,28.4267,27.156,27.2279,103425.0
2019-01-08,27.506,28.6857,26.8443,28.5226,180100.0
2019-01-09,28.4938,28.9542,28.1774,28.302,113129.0
2019-01-10,28.0143,28.35,27.8129,28.1486,178754.0
2019-01-11,28.0719,28.35,27.8609,28.091,69051.0
2019-01-12,28.0719,28.35,27.8609,28.091,69051.0
2019-01-13,28.0719,28.35,27.8609,28.091,69051.0
2019-01-14,27.8609,28.2637,27.554,27.765,98914.0
2019-01-15,27.7745,29.8461,27.7745,29.6735,156943.0
2019-01-16,29.8174,31.1984,29.7694,30.8148,246447.0
2019-01-17,30.7477,31.256,29.5968,30.3544,108610.0
2019-01-18,30.3736,31.9609,30.2298,31.6588,178548.0
2019-01-19,30.3736,31.9609,30.2298,31.6588,178548.0
2019-01-20,30.3736,31.9609,30.2298,31.6588,178548.0
2019-01-21,30.3736,31.9609,30.2298,31.6588,178548.0
2019-01-22,31.6779,31.8314,31.1313,31.63,179460.0
2019-01-23,31.7643,32.052,31.4286,31.7259,64327.0
2019-01-24,31.7451,31.793,30.8148,30.9491,130845.0
2019-01-25,30.9586,31.7355,30.8148,30.8915,58312.0
2019-01-26,30.9586,31.7355,30.8148,30.8915,58312.0
2019-01-27,30.9586,31.7355,30.8148,30.8915,58312.0
2019-01-28,30.6901,31.1217,30.4695,30.9107,60526.0
2019-01-29,30.9874,31.1505,30.3688,31.1313,49907.0
2019-01-30,31.419,32.6658,31.2751,32.5603,88564.0
2019-01-31,32.7233,34.0852,32.7041,33.9605,105243.0
2019-02-01,34.0756,35.2649,33.8797,35.0443,128531.0
2019-02-02,34.0756,35.2649,33.8797,35.0443,128531.0
2019-02-03,34.0756,35.2649,33.8797,35.0443,128531.0
2019-02-04,34.9867,35.2744,34.0181,34.9484,114777.0
2019-02-05,35.0826,35.6677,34.2003,34.3633,104231.0
2019-02-06,34.2387,34.8525,32.9727,33.4043,80258.0
2019-02-07,33.2988,33.2988,32.3397,32.9727,70867.0
2019-02-08,32.7425,35.5526,32.7425,35.5526,194961.0
2019-02-09,32.7425,35.5526,32.7425,35.5526,194961.0
2019-02-10,32.7425,35.5526,32.7425,35.5526,194961.0
2019-02-11,35.7732,36.0609,35.0059,35.9746,106732.0
2019-02-12,35.9362,36.8089,35.7923,36.6075,132463.0
2019-02-13,36.7514,37.3748,36.7035,37.0199,86052.0
2019-02-14,36.7514,37.135,36.7514,36.7994,105554.0
2019-02-15,37.135,37.3844,36.9816,37.1734,50942.0
2019-02-16,37.135,37.3844,36.9816,37.1734,50942.0
2019-02-17,37.135,37.3844,36.9816,37.1734,50942.0
2019-02-18,37.135,37.3844,36.9816,37.1734,50942.0
2019-02-19,37.1063,37.6146,36.9528,36.9816,79996.0
2019-02-20,37.0583,38.9093,36.9986,38.4873,95008.0
2019-02-21,38.449,39.2066,37.768,39.0244,78721.0
2019-02-22,39.0532,39.878,38.9956,39.3217,54877.0
2019-02-23,39.0532,39.878,38.9956,39.3217,54877.0
