,EME US Equity,EME US Equity,EME US Equity,EME US Equity,EME US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,85.0126,85.4736,84.5222,84.6399,197238.0
2020-01-02,85.4834,85.4834,83.973,84.8851,185309.0
2020-01-03,83.6493,85.3068,83.3747,84.9832,180940.0
2020-01-04,83.6493,85.3068,83.3747,84.9832,180940.0
2020-01-05,83.6493,85.3068,83.3747,84.9832,180940.0
2020-01-06,84.1888,84.5222,83.6689,84.2966,267760.0
2020-01-07,83.9926,84.228,82.8745,83.6101,199802.0
2020-01-08,83.4336,84.076,83.0805,83.159,214735.0
2020-01-09,83.5218,85.1205,83.2766,84.8361,214836.0
2020-01-10,84.7184,85.4441,83.8831,84.3457,224985.0
2020-01-11,84.7184,85.4441,83.8831,84.3457,224985.0
2020-01-12,84.7184,85.4441,83.8831,84.3457,224985.0
2020-01-13,84.3457,84.9537,84.2581,84.8557,138082.0
2020-01-14,84.5909,85.0126,83.8847,84.1005,190219.0
2020-01-15,83.8945,85.2284,83.7572,84.3359,211363.0
2020-01-16,84.9543,85.9752,84.7383,84.9739,373499.0
2020-01-17,85.2586,86.093,84.4733,85.5629,337355.0
2020-01-18,85.2586,86.093,84.4733,85.5629,337355.0
2020-01-19,85.2586,86.093,84.4733,85.5629,337355.0
2020-01-20,85.2586,86.093,84.4733,85.5629,337355.0
2020-01-21,85.2979,85.4157,84.6696,84.9936,534811.0
2020-01-22,85.1801,85.7985,84.9543,85.1703,202896.0
2020-01-23,84.8365,85.4648,83.5701,85.0623,256384.0
2020-01-24,85.023,85.4844,84.0708,84.6402,310385.0
2020-01-25,85.023,85.4844,84.0708,84.6402,310385.0
2020-01-26,85.023,85.4844,84.0708,84.6402,310385.0
2020-01-27,82.9713,84.5714,82.9517,83.7861,276260.0
2020-01-28,84.3457,84.917,83.7174,84.3358,271860.0
2020-01-29,84.542,84.7972,82.9713,83.04,316660.0
2020-01-30,82.4314,83.9039,81.6657,83.8057,178897.0
2020-01-31,83.1578,83.5358,80.3797,80.6644,298858.0
2020-02-01,83.1578,83.5358,80.3797,80.6644,298858.0
2020-02-02,83.1578,83.5358,80.3797,80.6644,298858.0
2020-02-03,81.2043,82.6277,80.9226,81.2141,345779.0
2020-02-04,82.3921,82.5885,81.1061,81.5871,171688.0
2020-02-05,82.6964,84.0315,82.3676,83.9726,356139.0
2020-02-06,84.6205,84.6647,83.2854,84.2573,207587.0
2020-02-07,83.953,83.953,82.7357,82.9026,204870.0
2020-02-08,83.953,83.953,82.7357,82.9026,204870.0
2020-02-09,83.953,83.953,82.7357,82.9026,204870.0
2020-02-10,82.8535,85.131,82.4786,84.8856,262791.0
2020-02-11,85.5728,86.5348,84.6991,84.9543,241439.0
2020-02-12,85.6513,86.3875,84.6598,85.8967,395194.0
2020-02-13,85.4059,86.3581,85.0917,86.1029,262605.0
2020-02-14,86.3483,86.3483,85.3224,85.8574,174298.0
2020-02-15,86.3483,86.3483,85.3224,85.8574,174298.0
2020-02-16,86.3483,86.3483,85.3224,85.8574,174298.0
2020-02-17,86.3483,86.3483,85.3224,85.8574,174298.0
2020-02-18,85.4451,85.8967,84.542,84.8365,260458.0
2020-02-19,85.3175,87.3889,85.2243,86.8097,273547.0
2020-02-20,86.3188,87.7913,85.7593,87.6637,434653.0
2020-02-21,87.4772,88.7654,87.1631,88.0662,500424.0
2020-02-22,87.4772,88.7654,87.1631,88.0662,500424.0
2020-02-23,87.4772,88.7654,87.1631,88.0662,500424.0
2020-02-24,85.7593,89.1755,82.6768,82.7848,426607.0
2020-02-25,83.1971,83.1971,79.0053,79.0446,323246.0
2020-02-26,79.7809,80.2128,77.6703,77.6703,492021.0
2020-02-27,73.2331,79.2213,70.4353,76.9536,810915.0
2020-02-28,73.9203,76.4039,72.5754,75.5106,792306.0
2020-02-29,73.9203,76.4039,72.5754,75.5106,792306.0
2020-03-01,73.9203,76.4039,72.5754,75.5106,792306.0
2020-03-02,75.6971,78.2102,74.1969,78.1022,527205.0
2020-03-03,78.9857,80.2521,76.0112,76.4824,520846.0
2020-03-04,77.6114,80.0557,77.1009,79.1133,472317.0
2020-03-05,76.8751,78.2494,75.8542,76.4039,332674.0
2020-03-06,73.9399,75.9327,73.6552,75.54,444846.0
2020-03-07,73.9399,75.9327,73.6552,75.54,444846.0
2020-03-08,73.9399,75.9327,73.6552,75.54,444846.0
2020-03-09,68.8941,71.5151,68.0547,68.5799,521927.0
2020-03-10,70.0623,70.6709,64.8741,67.7455,968247.0
2020-03-11,65.6349,67.235,64.8299,66.0276,609456.0
2020-03-12,61.2959,61.9438,53.8253,53.9333,919581.0
2020-03-13,56.8489,61.7033,54.5223,61.6984,797461.0
2020-03-14,56.8489,61.7033,54.5223,61.6984,797461.0
2020-03-15,56.8489,61.7033,54.5223,61.6984,797461.0
2020-03-16,59.735,59.735,51.2141,51.6067,649518.0
2020-03-17,52.7848,52.7848,44.3227,47.4542,1304175.0
2020-03-18,43.8908,54.8266,41.0832,47.8862,1124938.0
2020-03-19,47.6113,50.9294,46.6101,49.9477,891664.0
2020-03-20,49.7121,51.7194,48.5635,48.7108,1183764.0
2020-03-21,49.7121,51.7194,48.5635,48.7108,1183764.0
2020-03-22,49.7121,51.7194,48.5635,48.7108,1183764.0
2020-03-23,48.6421,50.6545,47.6653,50.1833,750655.0
2020-03-24,52.1467,53.4228,49.6287,51.9503,604763.0
2020-03-25,51.862,55.7298,51.754,53.4817,486001.0
2020-03-26,54.0413,61.021,54.0413,60.648,390592.0
2020-03-27,58.6454,59.7516,56.7066,56.7998,672262.0
2020-03-28,58.6454,59.7516,56.7066,56.7998,672262.0
2020-03-29,58.6454,59.7516,56.7066,56.7998,672262.0
2020-03-30,56.8194,58.5177,55.4058,58.0564,618826.0
2020-03-31,57.9091,61.1192,57.8698,60.1964,502061.0
2020-04-01,57.595,58.5963,54.7236,55.5629,529756.0
2020-04-02,55.4647,58.8417,55.4156,57.6244,309912.0
2020-04-03,57.1238,57.8208,53.6781,55.0426,457995.0
2020-04-04,57.1238,57.8208,53.6781,55.0426,457995.0
2020-04-05,57.1238,57.8208,53.6781,55.0426,457995.0
2020-04-06,57.3299,59.9479,57.0747,57.9386,700213.0
2020-04-07,60.6087,61.8996,58.1447,58.8221,501683.0
2020-04-08,59.8626,60.4958,58.3705,59.2344,516569.0
2020-04-09,60.5694,62.7586,59.4013,62.1892,378652.0
2020-04-10,60.5694,62.7586,59.4013,62.1892,378652.0
2020-04-11,60.5694,62.7586,59.4013,62.1892,378652.0
2020-04-12,60.5694,62.7586,59.4013,62.1892,378652.0
2020-04-13,61.7671,61.8653,58.9988,59.7743,266430.0
2020-04-14,61.1879,62.0518,59.8136,60.9719,234324.0
2020-04-15,58.5472,59.363,57.4379,57.8404,341808.0
2020-04-16,58.0665,58.7841,57.054,58.096,590791.0
2020-04-17,59.7474,62.3819,59.1429,62.2345,266819.0
2020-04-18,59.7474,62.3819,59.1429,62.2345,266819.0
2020-04-19,59.7474,62.3819,59.1429,62.2345,266819.0
2020-04-20,60.6322,61.4579,59.944,60.0325,321551.0
2020-04-21,58.2139,60.9762,57.8954,60.0423,683530.0
2020-04-22,61.5955,61.792,60.1112,60.3569,530103.0
2020-04-23,60.8582,63.0799,60.8582,61.5365,268135.0
2020-04-24,61.7823,62.8941,60.642,61.9101,218686.0
2020-04-25,61.7823,62.8941,60.642,61.9101,218686.0
2020-04-26,61.7823,62.8941,60.642,61.9101,218686.0
2020-04-27,61.9297,63.4387,61.9297,62.549,470147.0
2020-04-28,64.5839,66.7367,64.1415,66.0879,329912.0
2020-04-29,68.3586,70.6884,66.8448,68.6535,452807.0
2020-04-30,66.0879,67.0905,62.3524,62.4507,742040.0
2020-05-01,60.3078,60.9369,56.8377,58.617,657491.0
2020-05-02,60.3078,60.9369,56.8377,58.617,657491.0
2020-05-03,60.3078,60.9369,56.8377,58.617,657491.0
2020-05-04,57.398,59.02,56.9115,58.4695,487662.0
2020-05-05,59.5607,60.6027,58.8824,59.0298,422320.0
2020-05-06,59.0692,59.2854,57.113,57.172,301940.0
2020-05-07,58.1845,59.3444,57.7913,59.02,230297.0
2020-05-08,60.3864,61.625,59.8556,61.4677,240918.0
2020-05-09,60.3864,61.625,59.8556,61.4677,240918.0
2020-05-10,60.3864,61.625,59.8556,61.4677,240918.0
2020-05-11,60.5732,60.5732,58.2828,58.3319,559111.0
2020-05-12,58.5875,58.5973,55.2895,55.432,545908.0
2020-05-13,54.8127,55.0978,53.7314,54.97,668309.0
2020-05-14,53.6233,55.5156,52.0455,55.4517,505220.0
2020-05-15,55.1764,56.474,54.292,56.0317,1025970.0
2020-05-16,55.1764,56.474,54.292,56.0317,1025970.0
2020-05-17,55.1764,56.474,54.292,56.0317,1025970.0
2020-05-18,58.5383,61.5267,58.5383,60.9074,641684.0
2020-05-19,60.583,61.3989,60.465,60.5044,363733.0
2020-05-20,61.8609,63.3109,60.5732,60.9074,517508.0
2020-05-21,60.9074,63.1487,60.9074,62.5883,453567.0
2020-05-22,62.5195,62.7456,60.5142,61.0057,341531.0
2020-05-23,62.5195,62.7456,60.5142,61.0057,341531.0
2020-05-24,62.5195,62.7456,60.5142,61.0057,341531.0
2020-05-25,62.5195,62.7456,60.5142,61.0057,341531.0
2020-05-26,63.7876,64.4757,63.1585,64.1218,404334.0
2020-05-27,65.7536,68.1522,65.5276,67.6705,345961.0
2020-05-28,68.5454,68.6044,63.8073,64.23,479945.0
2020-05-29,62.9226,63.65,62.1214,62.4704,426159.0
2020-05-30,62.9226,63.65,62.1214,62.4704,426159.0
2020-05-31,62.9226,63.65,62.1214,62.4704,426159.0
2020-06-01,62.9422,64.4561,62.4311,63.6991,301894.0
2020-06-02,64.574,65.5177,64.1317,64.7117,255657.0
2020-06-03,66.2353,67.7393,65.6209,66.9529,317060.0
2020-06-04,66.3336,67.5329,65.8162,67.2085,302135.0
2020-06-05,70.187,71.7598,69.1155,69.4203,514575.0
2020-06-06,70.187,71.7598,69.1155,69.4203,514575.0
2020-06-07,70.187,71.7598,69.1155,69.4203,514575.0
2020-06-08,70.8653,71.8287,70.3443,70.5311,422690.0
2020-06-09,68.5945,69.9413,68.0047,68.8698,405744.0
2020-06-10,68.3586,68.8993,66.9922,67.3756,423848.0
2020-06-11,64.0137,64.5249,61.8118,61.8314,546410.0
2020-06-12,64.4561,64.4659,60.003,61.7233,419627.0
2020-06-13,64.4561,64.4659,60.003,61.7233,419627.0
2020-06-14,64.4561,64.4659,60.003,61.7233,419627.0
2020-06-15,59.5115,62.839,59.2953,62.0772,388422.0
2020-06-16,65.1638,66.0092,63.6697,64.0727,318660.0
2020-06-17,64.2496,64.5544,61.684,61.9101,299723.0
2020-06-18,61.163,62.1067,60.8288,61.4087,318428.0
2020-06-19,62.146,62.5785,60.5732,60.9565,759951.0
2020-06-20,62.146,62.5785,60.5732,60.9565,759951.0
2020-06-21,62.146,62.5785,60.5732,60.9565,759951.0
2020-06-22,60.7698,62.7358,59.5115,62.4999,460621.0
2020-06-23,63.3846,63.3846,61.2809,62.5883,391534.0
2020-06-24,61.6348,62.0674,59.718,60.0718,367341.0
2020-06-25,59.5312,61.9396,59.2559,61.9101,479067.0
2020-06-26,61.2023,63.3649,60.003,62.549,1424923.0
2020-06-27,61.2023,63.3649,60.003,62.549,1424923.0
2020-06-28,61.2023,63.3649,60.003,62.549,1424923.0
2020-06-29,63.65,64.23,62.608,64.1612,331265.0
2020-06-30,63.7286,65.3703,63.6697,65.0164,298263.0
2020-07-01,64.9869,65.2523,63.2666,63.5812,303762.0
2020-07-02,65.1737,65.7242,63.5517,63.7385,244058.0
2020-07-03,65.1737,65.7242,63.5517,63.7385,244058.0
2020-07-04,65.1737,65.7242,63.5517,63.7385,244058.0
2020-07-05,65.1737,65.7242,63.5517,63.7385,244058.0
