,RHP US Equity,RHP US Equity,RHP US Equity,RHP US Equity,RHP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,79.5307,80.11,79.2732,79.6962,243958.0
2020-01-02,80.0089,80.0144,78.5099,78.9789,279147.0
2020-01-03,78.1512,79.3113,77.7374,78.6662,209564.0
2020-01-04,78.1512,79.3113,77.7374,78.6662,209564.0
2020-01-05,78.1512,79.3113,77.7374,78.6662,209564.0
2020-01-06,78.0132,78.1788,77.4063,77.673,269676.0
2020-01-07,77.2407,77.6178,76.3119,76.7257,333356.0
2020-01-08,76.8729,78.1328,76.4866,77.8017,367500.0
2020-01-09,77.8477,78.188,77.3879,77.6362,350026.0
2020-01-10,77.6362,77.7925,76.7993,77.1396,203520.0
2020-01-11,77.6362,77.7925,76.7993,77.1396,203520.0
2020-01-12,77.6362,77.7925,76.7993,77.1396,203520.0
2020-01-13,77.2499,78.188,77.112,77.9397,198524.0
2020-01-14,77.9489,78.5558,77.4615,78.4271,270057.0
2020-01-15,78.5466,79.7376,77.9397,78.5007,249190.0
2020-01-16,78.8317,80.0365,78.7766,79.6686,152646.0
2020-01-17,80.1744,80.3537,79.6502,79.8066,162557.0
2020-01-18,80.1744,80.3537,79.6502,79.8066,162557.0
2020-01-19,80.1744,80.3537,79.6502,79.8066,162557.0
2020-01-20,80.1744,80.3537,79.6502,79.8066,162557.0
2020-01-21,79.7698,79.8525,78.5466,79.3743,199857.0
2020-01-22,79.9813,80.6526,79.1904,79.4755,192141.0
2020-01-23,79.3835,79.4755,78.2616,78.9421,193015.0
2020-01-24,79.0249,79.4571,78.4731,79.3283,398012.0
2020-01-25,79.0249,79.4571,78.4731,79.3283,398012.0
2020-01-26,79.0249,79.4571,78.4731,79.3283,398012.0
2020-01-27,77.9673,79.218,77.4707,79.0892,403019.0
2020-01-28,79.3099,80.6066,79.3099,80.3124,326757.0
2020-01-29,80.3859,80.717,79.3375,80.0273,201490.0
2020-01-30,79.4295,79.8525,79.1536,79.733,289728.0
2020-01-31,79.4939,79.687,77.4707,78.1972,362804.0
2020-02-01,79.4939,79.687,77.4707,78.1972,362804.0
2020-02-02,79.4939,79.687,77.4707,78.1972,362804.0
2020-02-03,78.3903,79.8709,78.2156,79.0432,292362.0
2020-02-04,79.4663,80.7906,79.4663,80.5974,211368.0
2020-02-05,80.9561,81.4803,80.7262,81.4343,195888.0
2020-02-06,81.6274,81.6918,80.2756,81.2504,279363.0
2020-02-07,81.1124,81.1124,79.5858,79.8709,229378.0
2020-02-08,81.1124,81.1124,79.5858,79.8709,229378.0
2020-02-09,81.1124,81.1124,79.5858,79.8709,229378.0
2020-02-10,79.8893,80.5515,79.7238,80.5423,103800.0
2020-02-11,80.9469,81.4251,80.6802,81.232,241604.0
2020-02-12,81.6182,82.6115,81.2136,82.1424,375562.0
2020-02-13,81.9401,83.292,81.4711,82.9609,170985.0
2020-02-14,83.2092,84.0369,82.891,83.9817,545280.0
2020-02-15,83.2092,84.0369,82.891,83.9817,545280.0
2020-02-16,83.2092,84.0369,82.891,83.9817,545280.0
2020-02-17,83.2092,84.0369,82.891,83.9817,545280.0
2020-02-18,83.8438,84.2024,83.0161,83.0437,178572.0
2020-02-19,83.2736,83.3564,82.216,82.3448,227215.0
2020-02-20,82.3264,83.0805,82.0137,82.3356,227889.0
2020-02-21,82.3907,82.5747,81.1768,81.8482,464962.0
2020-02-22,82.3907,82.5747,81.1768,81.8482,464962.0
2020-02-23,82.3907,82.5747,81.1768,81.8482,464962.0
2020-02-24,79.8985,80.3307,75.6176,77.1212,637212.0
2020-02-25,75.7509,77.673,71.6217,72.6885,1162058.0
2020-02-26,72.8633,72.8633,67.9708,67.9891,809196.0
2020-02-27,66.435,71.447,65.0702,67.796,858164.0
2020-02-28,65.9567,66.9959,63.0323,63.9243,1023524.0
2020-02-29,65.9567,66.9959,63.0323,63.9243,1023524.0
2020-03-01,65.9567,66.9959,63.0323,63.9243,1023524.0
2020-03-02,64.2094,65.6073,62.3288,65.1475,745262.0
2020-03-03,65.0831,66.5913,60.4573,60.8803,650839.0
2020-03-04,62.1218,63.1104,59.4917,60.5033,742752.0
2020-03-05,59.2158,59.2158,53.8083,55.0038,1014370.0
2020-03-06,52.6863,55.0866,51.5551,53.0174,1004919.0
2020-03-07,52.6863,55.0866,51.5551,53.0174,1004919.0
2020-03-08,52.6863,55.0866,51.5551,53.0174,1004919.0
2020-03-09,47.0121,48.741,44.2164,44.9521,1090813.0
2020-03-10,47.0305,48.1249,44.7222,45.3751,1197271.0
2020-03-11,43.7934,43.7934,38.6434,39.2595,1022488.0
2020-03-12,35.0384,35.0384,29.8609,30.4769,1549881.0
2020-03-13,33.0519,34.7165,29.732,34.7165,1633095.0
2020-03-14,33.0519,34.7165,29.732,34.7165,1633095.0
2020-03-15,33.0519,34.7165,29.732,34.7165,1633095.0
2020-03-16,30.1183,30.2654,22.1266,22.1542,1251036.0
2020-03-17,22.7244,22.7244,16.7936,18.6779,2183708.0
2020-03-18,16.6639,16.9858,12.1853,12.9486,2359765.0
2020-03-19,12.921,20.7195,12.1853,17.1881,2816183.0
2020-03-20,17.5284,21.8222,17.5284,19.7631,3020054.0
2020-03-21,17.5284,21.8222,17.5284,19.7631,3020054.0
2020-03-22,17.5284,21.8222,17.5284,19.7631,3020054.0
2020-03-23,18.5768,22.8347,18.4756,22.5772,1728135.0
2020-03-24,24.5085,30.4172,23.8371,30.0723,1897159.0
2020-03-25,30.808,32.1783,26.7984,29.5665,1632356.0
2020-03-26,29.8884,34.0544,29.7044,32.2427,1492198.0
2020-03-27,30.0999,33.1255,27.5893,32.1323,1143413.0
2020-03-28,30.0999,33.1255,27.5893,32.1323,1143413.0
2020-03-29,30.0999,33.1255,27.5893,32.1323,1143413.0
2020-03-30,31.6123,34.4389,28.4265,33.919,1395548.0
2020-03-31,33.5598,35.1479,32.3119,33.8906,1033793.0
2020-04-01,31.5178,32.449,30.5536,32.085,1023270.0
2020-04-02,31.3855,32.5104,29.1828,30.1943,918520.0
2020-04-03,29.9769,30.251,27.7742,28.9276,940176.0
2020-04-04,29.9769,30.251,27.7742,28.9276,940176.0
2020-04-05,29.9769,30.251,27.7742,28.9276,940176.0
2020-04-06,30.9601,32.8507,29.3152,32.3497,1634086.0
2020-04-07,34.5524,37.1048,30.563,31.6218,917325.0
2020-04-08,32.3781,33.4463,30.9714,32.7846,1340550.0
2020-04-09,34.2499,35.9657,30.6386,31.4422,2144484.0
2020-04-10,34.2499,35.9657,30.6386,31.4422,2144484.0
2020-04-11,34.2499,35.9657,30.6386,31.4422,2144484.0
2020-04-12,34.2499,35.9657,30.6386,31.4422,2144484.0
2020-04-13,31.5745,31.8109,28.6534,30.251,1146104.0
2020-04-14,31.2058,32.7373,28.9087,29.0694,1073692.0
2020-04-15,28.3604,28.4171,26.7958,27.2543,1274843.0
2020-04-16,26.9612,27.2165,24.872,26.2806,2009880.0
2020-04-17,27.8877,28.3604,25.9875,26.4224,2587391.0
2020-04-18,27.8877,28.3604,25.9875,26.4224,2587391.0
2020-04-19,27.8877,28.3604,25.9875,26.4224,2587391.0
2020-04-20,25.6567,27.5663,24.6073,26.4508,1856866.0
2020-04-21,25.6472,27.0652,25.0516,26.4697,1056334.0
2020-04-22,27.311,27.6419,26.3562,26.4319,778758.0
2020-04-23,26.602,27.9444,26.101,26.3279,712570.0
2020-04-24,26.4886,27.5001,25.8174,25.9403,1025841.0
2020-04-25,26.4886,27.5001,25.8174,25.9403,1025841.0
2020-04-26,26.4886,27.5001,25.8174,25.9403,1025841.0
2020-04-27,26.1861,29.249,26.1861,28.9276,1108257.0
2020-04-28,30.7237,32.2552,30.1612,30.771,1533062.0
2020-04-29,32.2079,36.3863,32.2079,35.7151,1454227.0
2020-04-30,35.6301,35.6301,32.189,33.4085,924434.0
2020-05-01,32.0377,32.397,30.166,31.0357,965465.0
2020-05-02,32.0377,32.397,30.166,31.0357,965465.0
2020-05-03,32.0377,32.397,30.166,31.0357,965465.0
2020-05-04,29.6933,31.3098,29.0694,30.251,715251.0
2020-05-05,31.3666,31.9149,28.3698,28.5589,913057.0
2020-05-06,28.54,29.1072,27.1881,27.5379,587954.0
2020-05-07,27.8877,29.7027,26.8478,28.1524,1170754.0
2020-05-08,29.1261,30.0525,28.228,29.6933,868114.0
2020-05-09,29.1261,30.0525,28.228,29.6933,868114.0
2020-05-10,29.1261,30.0525,28.228,29.6933,868114.0
2020-05-11,28.5022,28.9276,26.5443,26.8005,931932.0
2020-05-12,27.4245,27.8121,25.2691,25.2974,955051.0
2020-05-13,24.5884,25.1934,21.9982,22.0927,1408006.0
2020-05-14,21.0812,24.0307,20.807,23.6431,826340.0
2020-05-15,23.4257,24.1063,22.6079,23.5958,985480.0
2020-05-16,23.4257,24.1063,22.6079,23.5958,985480.0
2020-05-17,23.4257,24.1063,22.6079,23.5958,985480.0
2020-05-18,25.4865,29.8634,25.4865,29.1261,1510363.0
2020-05-19,28.5967,30.1093,27.1891,28.7101,757361.0
2020-05-20,29.5988,30.2239,29.3199,30.1282,710992.0
2020-05-21,29.542,31.4233,29.4948,30.2132,575678.0
2020-05-22,30.4496,30.6481,28.9559,30.27,456182.0
2020-05-23,30.4496,30.6481,28.9559,30.27,456182.0
2020-05-24,30.4496,30.6481,28.9559,30.27,456182.0
2020-05-25,30.4496,30.6481,28.9559,30.27,456182.0
2020-05-26,32.7846,33.2951,31.4422,31.7447,632083.0
