,ROST US Equity,ROST US Equity,ROST US Equity,ROST US Equity,ROST US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,78.0169,79.1387,77.7031,79.1007,2327683.0
2019-01-02,77.7697,79.8423,77.7697,79.6521,2471298.0
2019-01-03,78.8725,80.1655,77.8748,78.9866,2978743.0
2019-01-04,79.8993,81.7722,79.2623,81.1353,3146415.0
2019-01-05,79.8993,81.7722,79.2623,81.1353,3146415.0
2019-01-06,79.8993,81.7722,79.2623,81.1353,3146415.0
2019-01-07,80.5743,85.5752,80.1085,84.5484,3892056.0
2019-01-08,85.0047,87.2199,84.4818,87.0298,4593476.0
2019-01-09,87.3435,87.3749,85.4611,85.8889,3310417.0
2019-01-10,83.7593,86.3453,83.1033,86.2597,2830581.0
2019-01-11,86.1266,87.5289,85.927,86.716,2105050.0
2019-01-12,86.1266,87.5289,85.927,86.716,2105050.0
2019-01-13,86.1266,87.5289,85.927,86.716,2105050.0
2019-01-14,85.984,87.1629,85.6702,86.1646,2394667.0
2019-01-15,86.1456,86.8967,85.7748,86.3738,2818721.0
2019-01-16,86.5164,87.1819,85.5181,85.8033,2188964.0
2019-01-17,85.2519,86.4023,84.8526,86.3262,2408418.0
2019-01-18,87.1629,88.7649,86.4096,88.4273,2931486.0
2019-01-19,87.1629,88.7649,86.4096,88.4273,2931486.0
2019-01-20,87.1629,88.7649,86.4096,88.4273,2931486.0
2019-01-21,87.1629,88.7649,86.4096,88.4273,2931486.0
2019-01-22,87.6382,88.2087,86.4784,87.1153,2467837.0
2019-01-23,87.334,87.353,86.1931,87.0013,1665185.0
2019-01-24,87.315,87.315,85.8889,86.7065,2547089.0
2019-01-25,87.6858,88.1262,87.2009,87.952,1666543.0
2019-01-26,87.6858,88.1262,87.2009,87.952,1666543.0
2019-01-27,87.6858,88.1262,87.2009,87.952,1666543.0
2019-01-28,87.7048,87.7048,86.4593,87.0298,2362490.0
2019-01-29,87.0298,87.0868,86.1361,86.9632,1722196.0
2019-01-30,87.3055,88.2372,86.8111,87.7428,1603712.0
2019-01-31,87.7238,88.0661,87.1344,87.5812,2854219.0
2019-02-01,87.8949,87.9805,86.5734,87.2104,1815527.0
2019-02-02,87.8949,87.9805,86.5734,87.2104,1815527.0
2019-02-03,87.8949,87.9805,86.5734,87.2104,1815527.0
2019-02-04,87.2294,87.7904,86.5449,87.7904,1962585.0
2019-02-05,87.7523,88.7886,87.5812,88.5985,1533581.0
2019-02-06,88.3418,88.4226,87.1914,88.0946,1393177.0
2019-02-07,87.6192,88.1421,87.0583,88.028,1518109.0
2019-02-08,87.7809,88.5985,87.5337,88.3703,1656677.0
2019-02-09,87.7809,88.5985,87.5337,88.3703,1656677.0
2019-02-10,87.7809,88.5985,87.5337,88.3703,1656677.0
2019-02-11,88.6555,89.9865,88.3893,89.4922,1773182.0
2019-02-12,89.9675,90.4429,89.4018,90.0911,1541178.0
2019-02-13,90.4429,90.4524,89.283,89.977,2189260.0
2019-02-14,89.4922,89.5112,87.8094,88.6936,1996610.0
2019-02-15,89.6728,90.0246,88.9503,89.3781,2342623.0
2019-02-16,89.6728,90.0246,88.9503,89.3781,2342623.0
2019-02-17,89.6728,90.0246,88.9503,89.3781,2342623.0
2019-02-18,89.6728,90.0246,88.9503,89.3781,2342623.0
2019-02-19,89.3496,89.3496,88.2277,89.0548,2225336.0
2019-02-20,89.1309,89.7013,88.7506,89.34,2358111.0
2019-02-21,89.302,89.3781,88.5605,88.9217,1624639.0
2019-02-22,89.0168,89.7679,88.8837,89.7203,1602593.0
2019-02-23,89.0168,89.7679,88.8837,89.7203,1602593.0
2019-02-24,89.0168,89.7679,88.8837,89.7203,1602593.0
2019-02-25,90.0341,90.519,89.1024,89.2355,1826370.0
2019-02-26,89.283,90.1577,89.0173,89.6918,2022098.0
2019-02-27,89.1974,90.5285,88.9312,90.1101,2659602.0
2019-02-28,90.1862,90.7186,89.34,90.1577,2685888.0
2019-03-01,91.0609,91.4697,89.9066,90.1862,1997701.0
2019-03-02,91.0609,91.4697,89.9066,90.1862,1997701.0
2019-03-03,91.0609,91.4697,89.9066,90.1862,1997701.0
2019-03-04,90.7186,90.8565,88.5795,88.9883,1755218.0
2019-03-05,90.4239,90.7661,88.8362,89.5302,3723005.0
2019-03-06,89.3686,91.7454,88.8932,89.7774,4341612.0
2019-03-07,88.9693,89.182,86.6305,87.8569,3599841.0
2019-03-08,86.9727,87.1724,84.2774,84.672,3061940.0
2019-03-09,86.9727,87.1724,84.2774,84.672,3061940.0
2019-03-10,86.9727,87.1724,84.2774,84.672,3061940.0
2019-03-11,84.9192,86.4593,84.6149,86.2692,2375160.0
2019-03-12,86.3548,86.697,85.5942,86.6685,2115424.0
2019-03-13,86.7636,87.0669,86.1836,86.2217,2007536.0
2019-03-14,86.003,86.003,83.9542,84.8431,3705734.0
2019-03-15,84.9432,85.8108,84.4855,85.7155,5396215.0
2019-03-16,84.9432,85.8108,84.4855,85.7155,5396215.0
2019-03-17,84.9432,85.8108,84.4855,85.7155,5396215.0
2019-03-18,85.4771,87.0789,85.4771,86.8882,2869017.0
2019-03-19,86.955,88.08,86.6356,87.4508,2599431.0
2019-03-20,87.4317,87.7368,86.9073,87.2505,2181966.0
2019-03-21,87.098,87.6414,86.7929,87.241,1520230.0
2019-03-22,86.831,87.2029,85.296,85.3627,2318126.0
2019-03-23,86.831,87.2029,85.296,85.3627,2318126.0
2019-03-24,86.831,87.2029,85.296,85.3627,2318126.0
2019-03-25,85.0862,86.4399,84.886,85.6201,1610257.0
2019-03-26,86.0587,86.9264,85.8518,86.6689,1837797.0
2019-03-27,86.7643,88.0419,86.5259,87.3935,2328576.0
2019-03-28,87.8035,88.6712,87.2029,87.6319,1923180.0
2019-03-29,88.1563,89.1574,87.7845,88.7665,2146783.0
2019-03-30,88.1563,89.1574,87.7845,88.7665,2146783.0
2019-03-31,88.1563,89.1574,87.7845,88.7665,2146783.0
2019-04-01,89.4053,89.9488,88.614,89.8725,2556555.0
2019-04-02,89.739,89.8535,89.1002,89.3958,2011016.0
2019-04-03,89.9679,90.683,89.2242,90.559,1717532.0
2019-04-04,90.6353,93.0571,90.5495,92.9426,1970953.0
2019-04-05,93.2382,94.3252,92.9522,93.8294,2329524.0
2019-04-06,93.2382,94.3252,92.9522,93.8294,2329524.0
2019-04-07,93.2382,94.3252,92.9522,93.8294,2329524.0
2019-04-08,93.6291,94.3824,93.0761,94.0773,1427681.0
2019-04-09,93.4098,93.8484,92.8092,93.0094,1291077.0
2019-04-10,93.4957,94.1535,93.1333,93.7626,1570632.0
2019-04-11,94.0296,94.3442,92.5708,93.0857,1929556.0
2019-04-12,93.2668,93.8008,92.485,92.8378,1913217.0
2019-04-13,93.2668,93.8008,92.485,92.8378,1913217.0
2019-04-14,93.2668,93.8008,92.485,92.8378,1913217.0
2019-04-15,92.752,93.7722,92.485,93.448,1447888.0
2019-04-16,93.877,94.5444,93.4909,94.2775,1333778.0
2019-04-17,94.697,95.4598,94.5635,95.2691,1551493.0
2019-04-18,95.7744,96.0747,95.1737,95.3454,2393653.0
2019-04-19,95.7744,96.0747,95.1737,95.3454,2393653.0
2019-04-20,95.7744,96.0747,95.1737,95.3454,2393653.0
2019-04-21,95.7744,96.0747,95.1737,95.3454,2393653.0
2019-04-22,94.964,95.3549,92.6089,93.2287,1565669.0
2019-04-23,93.6577,93.7817,92.7043,93.305,2080147.0
2019-04-24,93.3812,94.8972,93.1619,93.9724,2416040.0
2019-04-25,93.0285,94.1297,92.6661,93.4575,1489871.0
2019-04-26,93.7435,94.0391,92.9617,93.9628,1450866.0
2019-04-27,93.7435,94.0391,92.9617,93.9628,1450866.0
2019-04-28,93.7435,94.0391,92.9617,93.9628,1450866.0
2019-04-29,93.8484,95.1658,93.5719,93.6959,1630500.0
2019-04-30,93.6959,93.8484,92.5708,93.1143,2314209.0
2019-05-01,92.9617,93.0952,91.3408,91.4171,1887140.0
2019-05-02,91.5411,92.3229,91.4362,91.8748,2135562.0
2019-05-03,92.4373,92.7138,91.8557,92.6089,1314069.0
2019-05-04,92.4373,92.7138,91.8557,92.6089,1314069.0
2019-05-05,92.4373,92.7138,91.8557,92.6089,1314069.0
2019-05-06,91.2741,93.1333,91.1049,92.8568,1163800.0
2019-05-07,92.2466,92.2562,90.6925,91.3027,1646341.0
2019-05-08,91.1216,92.9426,90.1967,92.3229,1881265.0
2019-05-09,91.4553,92.9808,91.1502,92.4945,1446411.0
2019-05-10,91.9987,93.5433,90.6258,92.9522,1928092.0
2019-05-11,91.9987,93.5433,90.6258,92.9522,1928092.0
2019-05-12,91.9987,93.5433,90.6258,92.9522,1928092.0
2019-05-13,91.3218,91.9844,88.4042,89.1002,2814804.0
2019-05-14,89.6246,90.6639,89.1193,90.0632,2501534.0
2019-05-15,89.3386,90.4637,88.8523,90.1014,1759901.0
2019-05-16,90.5113,92.485,90.5113,91.4171,1677364.0
2019-05-17,90.9595,92.8568,90.826,92.6757,2452709.0
2019-05-18,90.9595,92.8568,90.826,92.6757,2452709.0
2019-05-19,90.9595,92.8568,90.826,92.6757,2452709.0
2019-05-20,92.2657,92.9808,91.9511,92.1703,2575787.0
2019-05-21,91.9511,93.2478,90.8737,92.8664,2846894.0
2019-05-22,92.3229,92.3229,89.739,90.13,3002475.0
2019-05-23,89.5674,90.5209,88.4614,90.1109,3203484.0
2019-05-24,88.2707,89.6246,87.3268,88.4614,5842989.0
2019-05-25,88.2707,89.6246,87.3268,88.4614,5842989.0
2019-05-26,88.2707,89.6246,87.3268,88.4614,5842989.0
2019-05-27,88.2707,89.6246,87.3268,88.4614,5842989.0
2019-05-28,89.3291,91.1978,87.0312,87.0789,5083904.0
2019-05-29,86.545,87.4603,85.3818,86.0969,3095123.0
2019-05-30,86.4306,88.6235,86.3924,88.5758,2601554.0
2019-05-31,87.5652,88.9191,87.2029,88.6616,2525759.0
2019-06-01,87.5652,88.9191,87.2029,88.6616,2525759.0
2019-06-02,87.5652,88.9191,87.2029,88.6616,2525759.0
2019-06-03,88.6044,89.3863,87.2791,87.7559,2396538.0
2019-06-04,88.4805,90.3302,88.471,90.2348,2335385.0
2019-06-05,90.5113,91.1978,90.0441,90.5685,1755722.0
2019-06-06,90.8164,91.9701,90.3779,91.6841,2240105.0
2019-06-07,92.342,94.9163,92.2466,94.5444,3195088.0
2019-06-08,92.342,94.9163,92.2466,94.5444,3195088.0
2019-06-09,92.342,94.9163,92.2466,94.5444,3195088.0
2019-06-10,94.7309,95.9736,93.4978,93.6794,2606002.0
2019-06-11,94.2816,94.7882,93.5505,94.1287,2661604.0
2019-06-12,94.4346,95.1133,93.9088,93.9757,1910368.0
2019-06-13,94.6162,96.1361,93.2875,96.1074,2221468.0
2019-06-14,96.3273,97.2019,96.0023,96.5184,2562833.0
2019-06-15,96.3273,97.2019,96.0023,96.5184,2562833.0
2019-06-16,96.3273,97.2019,96.0023,96.5184,2562833.0
2019-06-17,96.528,97.6273,95.9831,96.9677,2363068.0
2019-06-18,97.8185,99.2715,97.5461,98.0861,2489454.0
2019-06-19,98.2964,99.0134,97.2258,98.8222,1785866.0
2019-06-20,99.4818,100.6671,99.0612,99.9597,1920749.0
2019-06-21,100.0362,100.5142,99.3193,99.3766,3068485.0
2019-06-22,100.0362,100.5142,99.3193,99.3766,3068485.0
2019-06-23,100.0362,100.5142,99.3193,99.3766,3068485.0
2019-06-24,98.4589,99.6634,97.4074,98.3156,2058670.0
2019-06-25,98.306,98.545,96.8243,97.0346,2349053.0
2019-06-26,97.5699,98.5641,96.9582,97.8854,1938709.0
2019-06-27,95.2088,96.1934,94.4824,96.1074,3678807.0
2019-06-28,96.2126,96.9868,94.6927,94.75,8249368.0
2019-06-29,96.2126,96.9868,94.6927,94.75,8249368.0
2019-06-30,96.2126,96.9868,94.6927,94.75,8249368.0
2019-07-01,96.0978,97.4266,94.2147,94.6162,2736000.0
2019-07-02,94.4346,95.0081,93.2301,93.8515,2174038.0
2019-07-03,94.0618,95.6294,94.0522,95.5912,1211912.0
2019-07-04,94.0618,95.6294,94.0522,95.5912,1211912.0
2019-07-05,94.5015,96.4611,94.5015,96.4324,1612295.0
2019-07-06,94.5015,96.4611,94.5015,96.4324,1612295.0
2019-07-07,94.5015,96.4611,94.5015,96.4324,1612295.0
2019-07-08,96.3368,97.2258,95.7824,97.1016,1638294.0
2019-07-09,97.0251,98.0383,96.7144,97.4839,1877490.0
2019-07-10,98.067,98.4207,96.9104,98.0861,1541185.0
2019-07-11,98.4589,98.6979,97.8567,98.3634,1722873.0
2019-07-12,98.9465,102.0723,98.5354,101.3458,3693738.0
2019-07-13,98.9465,102.0723,98.5354,101.3458,3693738.0
2019-07-14,98.9465,102.0723,98.5354,101.3458,3693738.0
2019-07-15,101.4892,102.512,100.3134,101.6613,2448498.0
2019-07-16,101.8524,102.7128,101.3267,102.101,2025198.0
2019-07-17,102.1966,103.1716,101.8716,102.5598,1774182.0
2019-07-18,102.6458,102.8848,101.6804,102.3208,2218805.0
2019-07-19,103.0186,103.4297,101.8142,101.9098,2738179.0
2019-07-20,103.0186,103.4297,101.8142,101.9098,2738179.0
2019-07-21,103.0186,103.4297,101.8142,101.9098,2738179.0
2019-07-22,102.34,102.7414,101.0017,101.2693,1905682.0
2019-07-23,101.4318,101.9289,100.6767,101.4318,1303553.0
2019-07-24,101.2693,101.9098,100.8511,101.2789,1578831.0
2019-07-25,99.6825,101.3171,99.6825,100.8678,1705186.0
2019-07-26,101.1833,102.3352,100.4568,102.1201,1261539.0
2019-07-27,101.1833,102.3352,100.4568,102.1201,1261539.0
2019-07-28,101.1833,102.3352,100.4568,102.1201,1261539.0
2019-07-29,101.8524,102.2061,101.3267,101.8142,1060922.0
2019-07-30,101.4701,101.7855,100.82,101.6517,1220464.0
2019-07-31,101.5083,102.3208,99.8163,101.3554,1485024.0
2019-08-01,101.9863,102.3591,97.9714,99.0038,1588947.0
2019-08-02,98.9656,99.845,98.4016,98.9273,1563820.0
2019-08-03,98.9656,99.845,98.4016,98.9273,1563820.0
2019-08-04,98.9656,99.845,98.4016,98.9273,1563820.0
2019-08-05,97.8089,98.5302,95.7442,96.7574,2184873.0
2019-08-06,97.0824,99.0421,96.6045,98.8222,1664445.0
2019-08-07,97.5699,99.6252,97.0729,99.3288,1767597.0
2019-08-08,100.0649,102.5056,99.8641,102.3208,1861781.0
2019-08-09,102.187,102.3973,100.3325,100.8487,1549755.0
2019-08-10,102.187,102.3973,100.3325,100.8487,1549755.0
2019-08-11,102.187,102.3973,100.3325,100.8487,1549755.0
2019-08-12,100.5428,100.8009,98.3825,98.7266,1743872.0
2019-08-13,98.6884,103.2767,97.7516,101.7473,1672776.0
2019-08-14,99.9311,99.9311,97.5699,97.6655,2413701.0
2019-08-15,98.6406,98.8891,96.2412,96.939,1983945.0
2019-08-16,98.0575,99.0803,97.7611,98.631,1946039.0
2019-08-17,98.0575,99.0803,97.7611,98.631,1946039.0
2019-08-18,98.0575,99.0803,97.7611,98.631,1946039.0
2019-08-19,100.2608,100.7531,98.7744,99.5009,1721823.0
2019-08-20,98.4781,100.4472,98.0766,99.5965,2308004.0
2019-08-21,101.0495,101.9193,99.6634,101.0399,1688028.0
2019-08-22,102.1583,103.1812,101.0399,102.665,3930841.0
2019-08-23,100.9826,101.6804,97.895,98.4112,3919595.0
2019-08-24,100.9826,101.6804,97.895,98.4112,3919595.0
2019-08-25,100.9826,101.6804,97.895,98.4112,3919595.0
2019-08-26,98.7935,100.1414,98.7457,99.9502,1787546.0
2019-08-27,100.4759,100.495,98.0192,98.0575,2355036.0
2019-08-28,97.7898,100.1987,97.503,99.9502,2095100.0
2019-08-29,101.3171,102.8179,101.3171,102.3877,1927082.0
2019-08-30,102.6936,103.6973,101.1164,101.3362,2290601.0
2019-08-31,102.6936,103.6973,101.1164,101.3362,2290601.0
2019-09-01,102.6936,103.6973,101.1164,101.3362,2290601.0
2019-09-02,102.6936,103.6973,101.1164,101.3362,2290601.0
2019-09-03,100.5333,101.4127,99.4818,100.3899,2095782.0
2019-09-04,100.8296,101.3267,100.1844,101.298,1612155.0
2019-09-05,102.2826,104.6533,102.0341,104.5385,2440947.0
2019-09-06,104.8158,105.7908,104.2327,104.3665,1436381.0
2019-09-07,104.8158,105.7908,104.2327,104.3665,1436381.0
2019-09-08,104.8158,105.7908,104.2327,104.3665,1436381.0
2019-09-09,104.4908,104.854,102.9326,103.7069,1443322.0
2019-09-10,103.7643,103.8981,101.7377,103.3915,2081548.0
2019-09-11,102.8885,104.0574,102.2082,103.7796,2020564.0
2019-09-12,104.6898,106.2421,104.4407,104.7856,2242131.0
2019-09-13,105.0252,105.6432,104.4599,104.5653,1576072.0
2019-09-14,105.0252,105.6432,104.4599,104.5653,1576072.0
2019-09-15,105.0252,105.6432,104.4599,104.5653,1576072.0
2019-09-16,104.0383,104.0383,103.0034,103.0897,1518598.0
2019-09-17,103.3005,104.4167,102.9028,103.6167,1859353.0
2019-09-18,103.5688,104.2586,102.831,104.1628,2008904.0
2019-09-19,104.2586,105.0539,103.8562,104.067,1209160.0
2019-09-20,104.0287,104.9581,100.196,100.3685,4640988.0
2019-09-21,104.0287,104.9581,100.196,100.3685,4640988.0
2019-09-22,104.0287,104.9581,100.196,100.3685,4640988.0
2019-09-23,100.9529,102.8214,100.8763,102.5531,2736596.0
2019-09-24,103.77,104.5557,102.304,103.1376,2184494.0
2019-09-25,103.1855,104.5653,103.1855,103.7125,1725492.0
2019-09-26,104.1628,104.4407,102.5148,103.3388,1397180.0
2019-09-27,104.067,104.8527,103.6138,104.4886,1944599.0
2019-09-28,104.067,104.8527,103.6138,104.4886,1944599.0
2019-09-29,104.067,104.8527,103.6138,104.4886,1944599.0
2019-09-30,104.5748,105.7725,104.5748,105.2551,1617716.0
2019-10-01,105.7534,106.7594,104.6707,104.7281,1975427.0
2019-10-02,104.3161,104.3353,102.4669,103.0322,1724630.0
2019-10-03,102.5723,102.7543,100.4355,102.4573,1361206.0
2019-10-04,102.831,104.6994,102.7735,104.3736,1593477.0
2019-10-05,102.831,104.6994,102.7735,104.3736,1593477.0
2019-10-06,102.831,104.6994,102.7735,104.3736,1593477.0
2019-10-07,103.6837,104.4119,103.243,103.6167,1638017.0
2019-10-08,102.9651,104.7377,102.3327,103.3675,1715622.0
2019-10-09,103.9616,104.8527,103.5113,104.6036,1471176.0
2019-10-10,104.3161,106.5391,103.9808,106.3666,2069221.0
2019-10-11,107.3152,108.762,106.9846,107.756,1972219.0
2019-10-12,107.3152,108.762,106.9846,107.756,1972219.0
2019-10-13,107.3152,108.762,106.9846,107.756,1972219.0
2019-10-14,107.7272,108.1201,106.6732,106.7403,1356546.0
2019-10-15,106.9798,107.7943,106.9703,107.2577,1629498.0
2019-10-16,107.2673,107.962,106.8361,107.5595,1862648.0
2019-10-17,108.2542,108.9345,107.8805,108.3021,1030356.0
2019-10-18,108.0913,110.022,107.7943,109.3561,1595657.0
2019-10-19,108.0913,110.022,107.7943,109.3561,1595657.0
2019-10-20,108.0913,110.022,107.7943,109.3561,1595657.0
2019-10-21,106.8265,108.4842,104.5078,106.3379,2864344.0
2019-10-22,106.6253,108.2542,106.3858,107.2194,1463941.0
2019-10-23,107.296,107.526,105.0827,105.2935,1553432.0
2019-10-24,105.6097,106.06,104.6132,105.8205,1367211.0
2019-10-25,105.4947,106.9415,105.0683,106.06,1116894.0
