,ROST US Equity,ROST US Equity,ROST US Equity,ROST US Equity,ROST US Equity
2019-10-26,105.4947,106.9415,105.0683,106.06,1116894.0
2019-10-27,105.4947,106.9415,105.0683,106.06,1116894.0
2019-10-28,105.9929,106.472,104.6898,104.8144,1547980.0
2019-10-29,104.8719,105.8779,104.1964,104.2682,1565693.0
2019-10-30,104.1437,105.7725,104.0478,105.7055,1579130.0
2019-10-31,105.8684,106.3283,104.6611,105.0827,1790926.0
2019-11-01,105.5809,106.9032,105.1497,106.3475,1294437.0
2019-11-02,105.5809,106.9032,105.1497,106.3475,1294437.0
2019-11-03,105.5809,106.9032,105.1497,106.3475,1294437.0
2019-11-04,106.9415,107.3344,106.3475,107.0948,1540419.0
2019-11-05,106.8265,108.0817,106.7499,107.3727,1704693.0
2019-11-06,107.7464,107.8135,106.6636,107.5643,1282153.0
2019-11-07,107.6506,108.9633,107.4877,108.3404,1389706.0
2019-11-08,108.053,108.3309,106.7403,107.1427,1432041.0
2019-11-09,108.053,108.3309,106.7403,107.1427,1432041.0
2019-11-10,108.053,108.3309,106.7403,107.1427,1432041.0
2019-11-11,106.9894,107.6793,106.4624,107.4877,1126286.0
2019-11-12,107.4589,107.7081,106.2037,106.3283,1327068.0
2019-11-13,106.3666,107.2577,104.7569,106.7307,1718706.0
2019-11-14,107.0852,108.2734,106.357,108.1201,1291427.0
2019-11-15,108.9058,108.9187,107.5452,108.6231,1151812.0
2019-11-16,108.9058,108.9187,107.5452,108.6231,1151812.0
2019-11-17,108.9058,108.9187,107.5452,108.6231,1151812.0
2019-11-18,108.2159,108.5992,107.1571,107.4973,1801107.0
2019-11-19,108.0051,109.1932,107.1379,107.7176,1993510.0
2019-11-20,107.6985,108.1854,105.3845,105.8205,2269722.0
2019-11-21,106.5199,107.1715,105.9738,107.114,2495621.0
2019-11-22,108.35,109.1261,103.8754,106.8553,3955545.0
2019-11-23,108.35,109.1261,103.8754,106.8553,3955545.0
2019-11-24,108.35,109.1261,103.8754,106.8553,3955545.0
2019-11-25,107.344,109.222,106.884,108.5896,2210059.0
2019-11-26,108.6375,111.1766,108.2638,110.5059,5066586.0
2019-11-27,111.2629,111.6174,110.3814,111.4641,1589988.0
2019-11-28,111.2629,111.6174,110.3814,111.4641,1589988.0
2019-11-29,111.7036,112.336,111.1958,111.2916,1411533.0
2019-11-30,111.7036,112.336,111.1958,111.2916,1411533.0
2019-12-01,111.7036,112.336,111.1958,111.2916,1411533.0
2019-12-02,111.7707,112.6618,111.0425,111.1479,2535229.0
2019-12-03,110.1993,111.0042,108.8291,109.4903,1907782.0
2019-12-04,109.7298,110.2981,108.8387,109.3753,1964624.0
2019-12-05,109.7066,109.7642,108.7164,108.9864,1359281.0
2019-12-06,110.2828,110.5661,109.188,109.3897,1243518.0
2019-12-07,110.2828,110.5661,109.188,109.3897,1243518.0
2019-12-08,110.2828,110.5661,109.188,109.3897,1243518.0
2019-12-09,109.2456,110.8014,109.1784,110.4941,1955421.0
2019-12-10,110.4172,110.7918,109.6682,110.3884,1264294.0
2019-12-11,110.7245,110.7245,109.601,110.2924,1403582.0
2019-12-12,110.3212,112.1554,110.0235,111.8289,2041831.0
2019-12-13,111.6848,111.7713,110.6669,110.907,1319210.0
2019-12-14,111.6848,111.7713,110.6669,110.907,1319210.0
2019-12-15,111.6848,111.7713,110.6669,110.907,1319210.0
2019-12-16,111.4256,111.9057,109.649,109.8506,1937501.0
2019-12-17,110.1579,110.1579,108.996,109.2937,1746014.0
2019-12-18,109.2937,109.6202,108.1125,108.9864,1863830.0
2019-12-19,109.2264,110.6285,109.2264,110.5901,1427893.0
2019-12-20,111.5216,111.5216,109.9707,110.6573,3701798.0
2019-12-21,111.5216,111.5216,109.9707,110.6573,3701798.0
2019-12-22,111.5216,111.5216,109.9707,110.6573,3701798.0
2019-12-23,110.7821,110.9454,109.5721,109.6682,1470753.0
2019-12-24,110.0043,110.8206,109.7402,110.5517,535707.0
2019-12-25,110.0043,110.8206,109.7402,110.5517,535707.0
2019-12-26,110.4845,111.0126,109.7354,110.7341,1032987.0
2019-12-27,111.4928,111.4928,109.9851,110.398,895613.0
2019-12-28,111.4928,111.4928,109.9851,110.398,895613.0
2019-12-29,111.4928,111.4928,109.9851,110.398,895613.0
2019-12-30,110.1195,112.3667,109.6298,111.8769,1415423.0
2019-12-31,111.9633,112.3955,111.0606,111.8001,1576068.0
2020-01-01,111.9633,112.3955,111.0606,111.8001,1576068.0
2020-01-02,111.8577,112.2034,110.8878,112.1938,1722533.0
2020-01-03,110.8494,112.3571,110.6285,112.2226,1486507.0
2020-01-04,110.8494,112.3571,110.6285,112.2226,1486507.0
2020-01-05,110.8494,112.3571,110.6285,112.2226,1486507.0
2020-01-06,111.6368,112.818,111.0517,112.77,1573578.0
2020-01-07,112.3667,114.1625,111.9153,114.0856,1962432.0
2020-01-08,114.3833,115.3244,114.2297,114.4217,1565172.0
2020-01-09,115.8814,117.754,114.7963,117.2835,2185800.0
2020-01-10,117.2547,117.5188,115.7182,115.9294,1271757.0
2020-01-11,117.2547,117.5188,115.7182,115.9294,1271757.0
2020-01-12,117.2547,117.5188,115.7182,115.9294,1271757.0
2020-01-13,115.891,115.9871,114.5072,115.2092,1392134.0
2020-01-14,115.2764,115.3629,114.0952,114.2393,1828055.0
2020-01-15,113.8071,114.633,112.7892,113.0965,1409128.0
2020-01-16,113.6919,114.2009,112.7892,113.3654,1853653.0
2020-01-17,113.5191,114.0088,112.7892,113.0101,2094840.0
2020-01-18,113.5191,114.0088,112.7892,113.0101,2094840.0
2020-01-19,113.5191,114.0088,112.7892,113.0101,2094840.0
2020-01-20,113.5191,114.0088,112.7892,113.0101,2094840.0
2020-01-21,112.5971,113.5287,112.5203,113.1253,1853268.0
2020-01-22,113.4422,113.7975,112.7412,112.7508,1770607.0
2020-01-23,112.6836,113.9128,111.4352,113.5191,1989100.0
2020-01-24,113.3366,113.7015,110.6957,111.1663,1548109.0
2020-01-25,113.3366,113.7015,110.6957,111.1663,1548109.0
2020-01-26,113.3366,113.7015,110.6957,111.1663,1548109.0
2020-01-27,109.5433,110.9166,108.996,110.2924,2678141.0
2020-01-28,110.5421,110.8878,109.8218,109.9371,1558417.0
2020-01-29,110.1771,110.8398,109.4377,109.7354,1365941.0
2020-01-30,108.9768,110.1099,108.5734,109.649,1627082.0
2020-01-31,109.3225,109.5145,107.0561,107.7379,5115003.0
2020-02-01,109.3225,109.5145,107.0561,107.7379,5115003.0
2020-02-02,109.3225,109.5145,107.0561,107.7379,5115003.0
2020-02-03,108.0933,110.1675,108.0741,109.3129,1662683.0
2020-02-04,111.1855,112.165,110.6765,111.7329,1510178.0
2020-02-05,112.4243,114.3545,112.4243,114.028,1715669.0
2020-02-06,114.6042,114.9019,113.4518,113.4998,1266983.0
2020-02-07,113.3366,113.3462,111.9105,112.77,1059037.0
2020-02-08,113.3366,113.3462,111.9105,112.77,1059037.0
2020-02-09,113.3366,113.3462,111.9105,112.77,1059037.0
2020-02-10,112.2514,113.7015,112.0786,113.5671,1373643.0
2020-02-11,114.3161,115.1708,113.9608,114.9499,1260875.0
2020-02-12,115.699,115.8142,114.9211,115.2956,1388782.0
2020-02-13,115.0075,115.9583,114.7387,115.8142,1290253.0
2020-02-14,116.1119,117.1298,115.891,116.9474,1307722.0
2020-02-15,116.1119,117.1298,115.891,116.9474,1307722.0
2020-02-16,116.1119,117.1298,115.891,116.9474,1307722.0
2020-02-17,116.1119,117.1298,115.891,116.9474,1307722.0
2020-02-18,116.7553,118.1268,116.2175,117.6292,1497159.0
2020-02-19,118.0806,118.724,117.7012,118.0614,1061151.0
2020-02-20,117.9653,119.2329,117.101,118.8968,1065417.0
2020-02-21,118.3687,118.9544,117.2739,118.3494,1316430.0
2020-02-22,118.3687,118.9544,117.2739,118.3494,1316430.0
2020-02-23,118.3687,118.9544,117.2739,118.3494,1316430.0
2020-02-24,117.1587,118.2918,116.2464,116.7937,1816419.0
2020-02-25,117.149,117.3603,111.9345,112.117,2295761.0
2020-02-26,113.7015,116.5921,113.279,114.4698,2432274.0
2020-02-27,113.1253,114.2969,107.4114,107.4979,2738935.0
2020-02-28,104.3096,106.2622,102.5234,104.4633,4151995.0
2020-02-29,104.3096,106.2622,102.5234,104.4633,4151995.0
