,ALB US Equity,ALB US Equity,ALB US Equity,ALB US Equity,ALB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,68.5813,70.2573,68.4759,69.9508,1016013.0
2020-01-02,70.3914,70.7553,69.1368,69.539,1620838.0
2020-01-03,68.3898,69.3283,68.2078,68.543,1337602.0
2020-01-04,68.3898,69.3283,68.2078,68.543,1337602.0
2020-01-05,68.3898,69.3283,68.2078,68.543,1337602.0
2020-01-06,67.9971,69.1176,67.2201,68.4664,1330518.0
2020-01-07,68.6196,70.3818,68.1226,69.3666,1576372.0
2020-01-08,67.614,68.4759,66.6659,68.1695,2029494.0
2020-01-09,68.3036,69.9795,67.7385,69.6635,1301126.0
2020-01-10,69.9221,70.7026,68.8064,69.0506,1493309.0
2020-01-11,69.9221,70.7026,68.8064,69.0506,1493309.0
2020-01-12,69.9221,70.7026,68.8064,69.0506,1493309.0
2020-01-13,69.8646,72.7856,69.8072,72.6515,2668075.0
2020-01-14,72.9963,75.5342,72.4025,74.8734,3835783.0
2020-01-15,75.563,77.5071,74.701,76.7314,3101763.0
2020-01-16,76.9612,78.053,75.1895,77.0187,2178729.0
2020-01-17,77.555,77.8615,76.4012,77.4784,2151394.0
2020-01-18,77.555,77.8615,76.4012,77.4784,2151394.0
2020-01-19,77.555,77.8615,76.4012,77.4784,2151394.0
2020-01-20,77.555,77.8615,76.4012,77.4784,2151394.0
2020-01-21,77.373,77.9764,77.1719,77.8806,2312720.0
2020-01-22,77.7465,78.4888,77.3539,77.9381,2138379.0
2020-01-23,76.9325,78.6276,76.1472,78.4361,1654935.0
2020-01-24,78.5319,78.6557,76.9804,77.7465,1409564.0
2020-01-25,78.5319,78.6557,76.9804,77.7465,1409564.0
2020-01-26,78.5319,78.6557,76.9804,77.7465,1409564.0
2020-01-27,75.3044,76.2908,74.7106,75.6013,2060836.0
2020-01-28,76.3291,77.7848,76.1472,76.808,1130911.0
2020-01-29,77.4113,78.1584,76.3674,77.3156,1086129.0
2020-01-30,76.7026,77.555,76.0227,77.3635,1261406.0
2020-01-31,76.4249,76.9612,75.3906,76.8846,5675980.0
2020-02-01,76.4249,76.9612,75.3906,76.8846,5675980.0
2020-02-02,76.4249,76.9612,75.3906,76.8846,5675980.0
2020-02-03,77.373,77.8423,76.3483,77.373,2287252.0
2020-02-04,79.0107,88.0419,78.9341,86.6053,4739821.0
2020-02-05,85.0059,85.2358,81.9317,83.8759,3418667.0
2020-02-06,83.8663,84.2685,81.9221,83.2725,1849579.0
2020-02-07,81.903,82.0907,78.6276,79.049,2337772.0
2020-02-08,81.903,82.0907,78.6276,79.049,2337772.0
2020-02-09,81.903,82.0907,78.6276,79.049,2337772.0
2020-02-10,79.5949,81.1177,79.5949,79.729,1553820.0
2020-02-11,80.227,81.7785,79.7386,81.1272,1311071.0
2020-02-12,83.3395,84.3643,82.4584,83.1576,1311807.0
2020-02-13,82.3052,84.9198,81.5007,84.211,1725472.0
2020-02-14,84.7952,86.7107,84.7474,85.8487,2105605.0
2020-02-15,84.7952,86.7107,84.7474,85.8487,2105605.0
2020-02-16,84.7952,86.7107,84.7474,85.8487,2105605.0
2020-02-17,84.7952,86.7107,84.7474,85.8487,2105605.0
2020-02-18,85.0347,85.7912,83.0235,84.9485,1449140.0
2020-02-19,85.2358,86.8639,84.9389,85.5614,2041284.0
2020-02-20,85.2358,95.1959,84.6133,90.3212,4973615.0
2020-02-21,88.2526,89.3731,86.634,88.5207,2263619.0
2020-02-22,88.2526,89.3731,86.634,88.5207,2263619.0
2020-02-23,88.2526,89.3731,86.634,88.5207,2263619.0
2020-02-24,84.1536,86.7011,83.5215,85.82,1682221.0
2020-02-25,86.567,87.314,82.0562,82.1999,2195608.0
2020-02-26,81.5869,84.0674,80.7442,82.0275,1583916.0
2020-02-27,79.5949,81.3475,77.3251,77.3826,2530266.0
2020-02-28,74.8064,78.5319,73.4273,78.3882,2580248.0
2020-02-29,74.8064,78.5319,73.4273,78.3882,2580248.0
2020-03-01,74.8064,78.5319,73.4273,78.3882,2580248.0
2020-03-02,79.0011,80.7346,76.7601,80.7346,1661390.0
2020-03-03,80.1695,81.6348,77.4592,79.2884,1932306.0
2020-03-04,81.4624,82.717,79.7481,82.6213,1198018.0
2020-03-05,80.2845,83.1097,79.978,81.1847,1490247.0
2020-03-06,78.8766,80.409,77.2294,79.1065,1490928.0
2020-03-07,78.8766,80.409,77.2294,79.1065,1490928.0
2020-03-08,78.8766,80.409,77.2294,79.1065,1490928.0
2020-03-09,72.3068,73.1208,66.6467,69.8742,2627494.0
2020-03-10,73.8487,74.3467,69.1655,72.0099,2771420.0
2020-03-11,70.2764,70.2764,66.1391,67.1064,2059329.0
2020-03-12,61.6029,66.023,58.3249,62.3925,2619611.0
2020-03-13,66.8897,67.1979,59.8213,65.4934,2067848.0
2020-03-14,66.8897,67.1979,59.8213,65.4934,2067848.0
2020-03-15,66.8897,67.1979,59.8213,65.4934,2067848.0
2020-03-16,59.0702,60.6895,56.7494,56.7783,2388272.0
2020-03-17,58.059,65.7341,55.1896,64.5785,3062418.0
2020-03-18,60.1006,66.5527,56.4508,66.1001,2762401.0
2020-03-19,64.0874,65.32,58.0205,59.648,2016208.0
2020-03-20,60.3606,61.0636,51.0581,51.4721,2963641.0
2020-03-21,60.3606,61.0636,51.0581,51.4721,2963641.0
2020-03-22,60.3606,61.0636,51.0581,51.4721,2963641.0
2020-03-23,50.4417,52.3677,47.081,49.0165,2507501.0
2020-03-24,51.8959,55.7286,51.087,53.9567,1839895.0
2020-03-25,54.3034,61.4969,53.3307,57.799,2295584.0
2020-03-26,57.7798,58.4731,55.0843,58.2228,2245139.0
2020-03-27,55.8538,55.8538,52.724,52.9841,2439630.0
2020-03-28,55.8538,55.8538,52.724,52.9841,2439630.0
2020-03-29,55.8538,55.8538,52.724,52.9841,2439630.0
2020-03-30,53.5522,54.3997,52.4929,53.5426,2045810.0
2020-03-31,53.4656,55.5938,53.0707,54.2841,2585897.0
2020-04-01,52.2522,54.929,51.6359,52.8107,2253925.0
2020-04-02,52.8492,56.8264,50.9907,51.6744,1911448.0
2020-04-03,51.6455,53.3307,50.7403,50.7499,1749720.0
2020-04-04,51.6455,53.3307,50.7403,50.7499,1749720.0
2020-04-05,51.6455,53.3307,50.7403,50.7499,1749720.0
2020-04-06,53.09,55.5456,52.464,54.8234,1725868.0
2020-04-07,56.1523,58.1168,54.3997,54.8908,1952049.0
2020-04-08,55.4782,60.1199,55.1989,59.5324,1705992.0
2020-04-09,60.0428,64.7471,59.8695,64.54,1775485.0
2020-04-10,60.0428,64.7471,59.8695,64.54,1775485.0
2020-04-11,60.0428,64.7471,59.8695,64.54,1775485.0
2020-04-12,60.0428,64.7471,59.8695,64.54,1775485.0
2020-04-13,64.3089,64.8578,59.388,60.9673,1678629.0
2020-04-14,62.354,63.4037,60.9095,61.3236,1068431.0
2020-04-15,59.1665,59.4323,55.719,56.0945,1336089.0
2020-04-16,56.1042,56.7397,54.602,56.4027,1618137.0
2020-04-17,58.3383,60.4665,58.2613,59.1954,1011020.0
2020-04-18,58.3383,60.4665,58.2613,59.1954,1011020.0
2020-04-19,58.3383,60.4665,58.2613,59.1954,1011020.0
2020-04-20,57.7798,59.3928,57.2983,57.7798,1270971.0
2020-04-21,56.3353,57.0479,55.5745,55.719,1381621.0
2020-04-22,56.7783,57.8568,56.4316,57.2501,684848.0
2020-04-23,58.425,59.9417,58.0302,58.4154,816498.0
2020-04-24,58.8487,59.6672,57.4716,59.2532,1027095.0
2020-04-25,58.8487,59.6672,57.4716,59.2532,1027095.0
2020-04-26,58.8487,59.6672,57.4716,59.2532,1027095.0
2020-04-27,59.5324,60.5051,59.3687,59.9465,736814.0
2020-04-28,61.6318,63.2689,60.9095,61.9303,1087681.0
