,FFIV US Equity,FFIV US Equity,FFIV US Equity,FFIV US Equity,FFIV US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,162.04,163.38,160.5,162.03,330634.0
2019-01-02,158.19,162.91,158.19,161.18,758741.0
2019-01-03,159.61,160.17,153.91,154.31,1227796.0
2019-01-04,156.7,160.13,156.3,159.79,805073.0
2019-01-05,156.7,160.13,156.3,159.79,805073.0
2019-01-06,156.7,160.13,156.3,159.79,805073.0
2019-01-07,159.95,165.47,159.64,163.82,913329.0
2019-01-08,165.17,166.37,161.95,164.82,634169.0
2019-01-09,165.91,167.32,164.82,166.04,415155.0
2019-01-10,163.94,166.9,163.94,165.6,554602.0
2019-01-11,163.75,164.625,161.35,163.73,885698.0
2019-01-12,163.75,164.625,161.35,163.73,885698.0
2019-01-13,163.75,164.625,161.35,163.73,885698.0
2019-01-14,161.92,163.84,161.03,162.85,729474.0
2019-01-15,163.42,164.25,162.22,163.18,546332.0
2019-01-16,163.18,165.015,161.06,161.86,757662.0
2019-01-17,156.9,158.305,153.55,156.42,1223450.0
2019-01-18,157.54,159.34,156.7,158.64,1306513.0
2019-01-19,157.54,159.34,156.7,158.64,1306513.0
2019-01-20,157.54,159.34,156.7,158.64,1306513.0
2019-01-21,157.54,159.34,156.7,158.64,1306513.0
2019-01-22,155.94,159.16,153.69,157.3,921570.0
2019-01-23,158.34,160.76,155.85,159.64,1162655.0
2019-01-24,151.86,159.55,151.001,156.09,2096380.0
2019-01-25,157.93,159.84,156.79,158.5,746647.0
2019-01-26,157.93,159.84,156.79,158.5,746647.0
2019-01-27,157.93,159.84,156.79,158.5,746647.0
2019-01-28,157.15,158.81,155.52,158.75,603412.0
2019-01-29,159.26,159.34,157.43,157.63,462984.0
2019-01-30,158.03,160.4,156.525,159.64,556701.0
2019-01-31,159.31,161.66,159.31,160.95,843795.0
2019-02-01,160.79,161.9,160.0,160.72,667314.0
2019-02-02,160.79,161.9,160.0,160.72,667314.0
2019-02-03,160.79,161.9,160.0,160.72,667314.0
2019-02-04,159.5,163.12,159.5,162.84,531970.0
2019-02-05,162.96,163.91,162.25,162.41,371114.0
2019-02-06,162.24,164.46,162.17,163.96,389712.0
2019-02-07,162.67,163.214,158.7,159.71,416614.0
2019-02-08,158.83,161.19,157.88,160.92,700603.0
2019-02-09,158.83,161.19,157.88,160.92,700603.0
2019-02-10,158.83,161.19,157.88,160.92,700603.0
2019-02-11,161.31,163.24,161.1,163.1,384639.0
2019-02-12,163.63,166.52,163.6,165.1,430231.0
2019-02-13,165.93,166.97,165.23,166.75,532833.0
2019-02-14,166.38,169.89,165.51,168.74,715407.0
2019-02-15,169.18,171.71,168.5,171.28,660545.0
2019-02-16,169.18,171.71,168.5,171.28,660545.0
2019-02-17,169.18,171.71,168.5,171.28,660545.0
2019-02-18,169.18,171.71,168.5,171.28,660545.0
2019-02-19,170.68,171.27,169.34,169.81,704078.0
2019-02-20,169.94,170.45,167.58,168.18,573981.0
2019-02-21,168.27,170.04,167.19,169.82,438653.0
2019-02-22,170.64,172.14,170.26,172.08,349846.0
2019-02-23,170.64,172.14,170.26,172.08,349846.0
2019-02-24,170.64,172.14,170.26,172.08,349846.0
2019-02-25,173.19,173.44,171.42,171.59,684717.0
2019-02-26,171.6,172.67,171.06,171.82,453112.0
2019-02-27,171.46,171.78,169.89,171.38,272872.0
2019-02-28,171.25,171.45,167.92,168.14,706662.0
2019-03-01,167.6,168.33,165.42,166.53,756740.0
2019-03-02,167.6,168.33,165.42,166.53,756740.0
2019-03-03,167.6,168.33,165.42,166.53,756740.0
2019-03-04,166.97,167.29,161.71,163.29,553662.0
2019-03-05,163.24,163.4,161.97,162.15,511265.0
2019-03-06,161.92,162.14,159.95,161.08,526989.0
2019-03-07,160.63,161.245,157.91,158.99,783179.0
2019-03-08,157.59,158.08,155.66,157.99,610530.0
2019-03-09,157.59,158.08,155.66,157.99,610530.0
2019-03-10,157.59,158.08,155.66,157.99,610530.0
