,TGNA US Equity,TGNA US Equity,TGNA US Equity,TGNA US Equity,TGNA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,9.6967,9.7325,9.2848,9.7325,2118186.0
2019-01-02,9.5445,10.0056,9.5176,9.8757,2642544.0
2019-01-03,9.831,10.0548,9.6609,9.7862,1731433.0
2019-01-04,9.9295,10.2384,9.8578,9.8847,2465383.0
2019-01-05,9.9295,10.2384,9.8578,9.8847,2465383.0
2019-01-06,9.9295,10.2384,9.8578,9.8847,2465383.0
2019-01-07,9.8131,10.0548,9.7146,9.8399,3166051.0
2019-01-08,9.9026,10.3055,9.8489,10.2518,2414819.0
2019-01-09,10.2428,10.4129,10.216,10.2966,1599066.0
2019-01-10,10.2607,10.5293,10.1712,10.4488,1260520.0
2019-01-11,10.3771,10.5831,10.3324,10.4219,1145426.0
2019-01-12,10.3771,10.5831,10.3324,10.4219,1145426.0
2019-01-13,10.3771,10.5831,10.3324,10.4219,1145426.0
2019-01-14,10.3324,10.5204,10.2786,10.4398,1161167.0
2019-01-15,10.4667,10.5226,10.3055,10.3324,1035070.0
2019-01-16,10.3145,10.5428,10.3055,10.3861,1280268.0
2019-01-17,10.2607,10.5652,10.2607,10.4488,1168771.0
2019-01-18,10.5383,10.6726,10.4667,10.5472,1367254.0
2019-01-19,10.5383,10.6726,10.4667,10.5472,1367254.0
2019-01-20,10.5383,10.6726,10.4667,10.5472,1367254.0
2019-01-21,10.5383,10.6726,10.4667,10.5472,1367254.0
2019-01-22,10.4935,10.5204,10.1981,10.2607,1165722.0
2019-01-23,10.3234,10.5025,10.2966,10.4219,1210964.0
2019-01-24,10.4309,10.5195,10.3547,10.4846,1070959.0
2019-01-25,10.5562,10.7532,10.5562,10.6636,1596473.0
2019-01-26,10.5562,10.7532,10.5562,10.6636,1596473.0
2019-01-27,10.5562,10.7532,10.5562,10.6636,1596473.0
2019-01-28,10.5652,10.7621,10.5472,10.6457,1063144.0
2019-01-29,10.6368,10.7935,10.601,10.7353,1109856.0
2019-01-30,10.7711,10.7711,10.0817,10.4488,2235639.0
2019-01-31,10.4667,10.6457,10.4309,10.5114,1510983.0
2019-02-01,10.601,10.601,10.0727,10.0996,2483030.0
2019-02-02,10.601,10.601,10.0727,10.0996,2483030.0
2019-02-03,10.601,10.601,10.0727,10.0996,2483030.0
2019-02-04,10.0996,10.2518,10.0817,10.0996,2414252.0
2019-02-05,10.1712,10.4577,10.1354,10.3234,1983643.0
2019-02-06,10.3503,10.5831,10.3413,10.5562,2439297.0
2019-02-07,10.5383,10.6189,10.2786,10.3503,2023455.0
2019-02-08,10.2966,10.5293,10.2966,10.4488,1747584.0
2019-02-09,10.2966,10.5293,10.2966,10.4488,1747584.0
2019-02-10,10.2966,10.5293,10.2966,10.4488,1747584.0
2019-02-11,10.4756,10.7891,10.4756,10.601,2866523.0
2019-02-12,10.6636,10.7532,10.507,10.6636,1268051.0
2019-02-13,10.6905,10.8785,10.6905,10.8248,1710506.0
2019-02-14,10.789,11.0397,10.6726,10.9591,2040905.0
2019-02-15,11.0307,11.1203,10.9412,10.986,1496948.0
2019-02-16,11.0307,11.1203,10.9412,10.986,1496948.0
2019-02-17,11.0307,11.1203,10.9412,10.986,1496948.0
2019-02-18,11.0307,11.1203,10.9412,10.986,1496948.0
2019-02-19,10.9681,10.9949,10.7979,10.9143,2075129.0
2019-02-20,10.9323,11.1337,10.9323,11.0934,1610676.0
2019-02-21,11.0576,11.1695,10.9949,11.0576,1518471.0
2019-02-22,11.0576,11.165,10.977,11.1471,1244048.0
2019-02-23,11.0576,11.165,10.977,11.1471,1244048.0
2019-02-24,11.0576,11.165,10.977,11.1471,1244048.0
2019-02-25,11.1919,11.2456,11.0755,11.1113,2551438.0
2019-02-26,11.0934,11.3262,11.0666,11.2098,1452624.0
2019-02-27,11.174,11.362,11.1382,11.3531,1550615.0
2019-02-28,11.362,11.8231,11.2993,11.7918,4061221.0
2019-03-01,12.7319,13.9496,12.705,13.3855,8375532.0
2019-03-02,12.7319,13.9496,12.705,13.3855,8375532.0
2019-03-03,12.7319,13.9496,12.705,13.3855,8375532.0
2019-03-04,13.4661,13.4661,12.8304,13.0184,5422060.0
2019-03-05,13.108,13.4124,12.9737,13.1527,3220398.0
2019-03-06,13.1706,13.3542,13.108,13.2064,2159042.0
2019-03-07,13.1975,13.2334,12.9141,12.9815,1549654.0
2019-03-08,12.9096,13.0445,12.7656,12.8196,1776077.0
2019-03-09,12.9096,13.0445,12.7656,12.8196,1776077.0
2019-03-10,12.9096,13.0445,12.7656,12.8196,1776077.0
2019-03-11,12.9186,13.2064,12.7701,13.1975,5528609.0
2019-03-12,13.2154,13.5168,13.2154,13.4763,2710765.0
2019-03-13,13.5303,13.5393,13.1795,13.1975,1373634.0
2019-03-14,13.1255,13.2379,12.9366,12.9636,1991923.0
2019-03-15,12.9636,13.058,12.8286,12.9546,3941779.0
2019-03-16,12.9636,13.058,12.8286,12.9546,3941779.0
2019-03-17,12.9636,13.058,12.8286,12.9546,3941779.0
2019-03-18,12.9546,13.1705,12.9006,13.1435,2100862.0
2019-03-19,13.2334,13.2604,12.9456,12.9815,1809216.0
2019-03-20,12.4418,12.9995,12.4418,12.6037,3516894.0
2019-03-21,12.5947,12.8016,12.5407,12.7027,2960827.0
2019-03-22,12.5947,12.7162,12.3698,12.3788,2470719.0
2019-03-23,12.5947,12.7162,12.3698,12.3788,2470719.0
2019-03-24,12.5947,12.7162,12.3698,12.3788,2470719.0
2019-03-25,12.7027,12.8736,12.5746,12.6847,3728417.0
2019-03-26,12.8016,12.8826,12.6037,12.6937,1509694.0
2019-03-27,12.6847,12.8106,12.5767,12.6037,1957415.0
2019-03-28,12.6307,12.8106,12.5767,12.6937,1572616.0
2019-03-29,12.7926,12.7926,12.5317,12.6847,4396516.0
2019-03-30,12.7926,12.7926,12.5317,12.6847,4396516.0
2019-03-31,12.7926,12.7926,12.5317,12.6847,4396516.0
2019-04-01,12.7566,12.9366,12.6037,12.6937,3509479.0
2019-04-02,12.6487,12.7296,12.4957,12.7117,2054092.0
2019-04-03,12.8286,12.9366,12.6217,12.6667,2447423.0
2019-04-04,12.6667,13.022,12.6667,12.8916,1458878.0
2019-04-05,12.9456,13.2064,12.9276,13.1615,3090488.0
2019-04-06,12.9456,13.2064,12.9276,13.1615,3090488.0
2019-04-07,12.9456,13.2064,12.9276,13.1615,3090488.0
2019-04-08,13.1795,13.3594,13.1525,13.3414,1649026.0
2019-04-09,13.3234,13.3594,13.2244,13.2604,1915206.0
2019-04-10,13.3324,13.8722,13.1795,13.8722,3752870.0
2019-04-11,13.8812,14.4299,13.8272,14.4299,6662222.0
2019-04-12,14.4749,14.5559,14.1331,14.3939,4167351.0
2019-04-13,14.4749,14.5559,14.1331,14.3939,4167351.0
2019-04-14,14.4749,14.5559,14.1331,14.3939,4167351.0
2019-04-15,14.3939,14.6279,14.331,14.6009,2896816.0
2019-04-16,14.7448,14.9067,14.7268,14.7898,2100624.0
2019-04-17,14.8528,14.8618,14.6953,14.7448,1535664.0
2019-04-18,14.6818,14.7178,14.3738,14.5919,2490270.0
2019-04-19,14.6818,14.7178,14.3738,14.5919,2490270.0
2019-04-20,14.6818,14.7178,14.3738,14.5919,2490270.0
2019-04-21,14.6818,14.7178,14.3738,14.5919,2490270.0
2019-04-22,14.5649,14.6279,14.1061,14.205,1843009.0
2019-04-23,14.205,14.214,13.9351,14.0521,3535297.0
2019-04-24,14.0521,14.3625,14.0296,14.223,1875236.0
2019-04-25,14.205,14.286,13.8812,14.187,2139407.0
2019-04-26,14.268,14.331,14.205,14.304,1725293.0
2019-04-27,14.268,14.331,14.205,14.304,1725293.0
2019-04-28,14.268,14.331,14.205,14.304,1725293.0
2019-04-29,14.304,14.349,14.1825,14.286,1184198.0
2019-04-30,14.286,14.34,13.9981,14.322,2054614.0
2019-05-01,14.34,14.385,14.16,14.241,1868943.0
2019-05-02,14.205,14.286,13.5393,13.8092,2105693.0
2019-05-03,13.8452,14.0341,13.7597,13.8452,2070446.0
2019-05-04,13.8452,14.0341,13.7597,13.8452,2070446.0
2019-05-05,13.8452,14.0341,13.7597,13.8452,2070446.0
2019-05-06,13.8002,14.5199,13.7642,14.349,3201240.0
2019-05-07,14.205,14.4749,13.7282,13.9441,2958981.0
2019-05-08,13.9171,14.178,13.7822,13.9171,3273626.0
2019-05-09,13.5573,14.4389,13.5213,14.4389,3283466.0
2019-05-10,14.4389,14.4884,13.9711,14.4569,3746721.0
2019-05-11,14.4389,14.4884,13.9711,14.4569,3746721.0
2019-05-12,14.4389,14.4884,13.9711,14.4569,3746721.0
2019-05-13,14.205,14.34,13.3549,13.8272,6117314.0
2019-05-14,13.8452,14.2905,13.7822,14.223,5371543.0
2019-05-15,14.205,14.295,13.9531,14.241,3336954.0
2019-05-16,14.277,14.6548,14.241,14.4569,2618725.0
2019-05-17,14.322,14.4749,14.286,14.331,1603685.0
2019-05-18,14.322,14.4749,14.286,14.331,1603685.0
2019-05-19,14.322,14.4749,14.286,14.331,1603685.0
2019-05-20,14.214,14.286,14.0701,14.232,1939119.0
2019-05-21,14.277,14.385,14.196,14.331,1482223.0
2019-05-22,14.304,14.304,14.0341,14.0971,1937143.0
2019-05-23,13.9171,14.241,13.8722,14.1241,2651668.0
2019-05-24,14.223,14.304,14.0251,14.0341,2399554.0
2019-05-25,14.223,14.304,14.0251,14.0341,2399554.0
2019-05-26,14.223,14.304,14.0251,14.0341,2399554.0
