,UPS US Equity,UPS US Equity,UPS US Equity,UPS US Equity,UPS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,80.72,81.304,80.37,81.279,2656670.0
2019-01-02,80.104,81.137,79.82,81.012,3297520.0
2019-01-03,80.395,80.543,78.495,78.712,2705032.0
2019-01-04,80.162,81.612,79.862,81.454,3347302.0
2019-01-05,80.162,81.612,79.862,81.454,3347302.0
2019-01-06,80.162,81.612,79.862,81.454,3347302.0
2019-01-07,81.237,81.798,80.154,81.179,3795650.0
2019-01-08,82.054,82.595,80.445,81.187,3034282.0
2019-01-09,81.329,81.945,80.97,81.604,3678230.0
2019-01-10,81.17,82.62,80.712,82.429,2432217.0
2019-01-11,81.912,82.47,81.095,81.595,5282804.0
2019-01-12,81.912,82.47,81.095,81.595,5282804.0
2019-01-13,81.912,82.47,81.095,81.595,5282804.0
2019-01-14,81.112,83.045,80.529,82.62,4731266.0
2019-01-15,82.62,82.62,80.683,81.304,4777103.0
2019-01-16,81.587,82.462,80.724,80.829,4463447.0
2019-01-17,80.795,83.045,80.67,82.987,4004283.0
2019-01-18,83.695,84.895,83.429,84.67,4249091.0
2019-01-19,83.695,84.895,83.429,84.67,4249091.0
2019-01-20,83.695,84.895,83.429,84.67,4249091.0
2019-01-21,83.695,84.895,83.429,84.67,4249091.0
2019-01-22,84.587,85.837,84.295,85.57,5594315.0
2019-01-23,85.87,85.945,82.704,84.104,4573263.0
2019-01-24,83.637,83.87,82.362,83.087,2807393.0
2019-01-25,83.92,84.787,83.337,84.029,3445551.0
2019-01-26,83.92,84.787,83.337,84.029,3445551.0
2019-01-27,83.92,84.787,83.337,84.029,3445551.0
2019-01-28,83.229,83.854,82.429,83.612,3126239.0
2019-01-29,83.645,84.445,83.154,84.42,2209103.0
2019-01-30,84.912,85.045,83.545,84.329,4013005.0
2019-01-31,87.921,90.004,85.629,87.837,7327400.0
2019-02-01,88.104,88.754,87.721,88.412,3526127.0
2019-02-02,88.104,88.754,87.721,88.412,3526127.0
2019-02-03,88.104,88.754,87.721,88.412,3526127.0
2019-02-04,88.337,88.829,87.854,88.821,3184663.0
2019-02-05,89.012,89.762,88.371,89.721,3690385.0
2019-02-06,89.546,90.704,89.312,90.687,4490558.0
2019-02-07,90.296,90.792,89.496,89.954,3395683.0
2019-02-08,89.496,90.104,88.954,90.087,2951012.0
2019-02-09,89.496,90.104,88.954,90.087,2951012.0
2019-02-10,89.496,90.104,88.954,90.087,2951012.0
2019-02-11,90.179,90.854,89.912,90.779,2765281.0
2019-02-12,91.304,92.329,91.304,92.221,2881875.0
2019-02-13,92.504,93.387,92.071,93.346,2731606.0
2019-02-14,92.846,93.479,92.177,93.171,2359424.0
2019-02-15,92.446,93.296,91.35,92.396,4273403.0
2019-02-16,92.446,93.296,91.35,92.396,4273403.0
2019-02-17,92.446,93.296,91.35,92.396,4273403.0
2019-02-18,92.446,93.296,91.35,92.396,4273403.0
2019-02-19,92.421,93.129,91.808,92.312,2658706.0
2019-02-20,92.446,92.637,92.004,92.562,3346687.0
2019-02-21,92.312,93.571,92.262,93.137,2260051.0
2019-02-22,93.246,93.246,89.879,91.971,4084975.0
2019-02-23,93.246,93.246,89.879,91.971,4084975.0
2019-02-24,93.246,93.246,89.879,91.971,4084975.0
2019-02-25,92.391,93.509,92.181,93.198,3112674.0
2019-02-26,93.08,94.072,93.038,93.349,2927654.0
2019-02-27,93.257,93.484,92.828,93.425,2620930.0
2019-02-28,93.097,93.392,92.467,92.643,2843575.0
2019-03-01,93.265,94.468,92.769,94.266,3904160.0
2019-03-02,93.265,94.468,92.769,94.266,3904160.0
2019-03-03,93.265,94.468,92.769,94.266,3904160.0
2019-03-04,94.762,94.913,92.315,92.879,2731050.0
2019-03-05,92.383,93.19,91.643,92.45,3150966.0
2019-03-06,92.332,92.484,91.071,91.508,2679533.0
2019-03-07,91.34,91.66,89.297,89.835,3979948.0
2019-03-08,89.272,89.726,88.221,89.684,2648883.0
2019-03-09,89.272,89.726,88.221,89.684,2648883.0
2019-03-10,89.272,89.726,88.221,89.684,2648883.0
2019-03-11,89.844,91.567,89.777,91.492,2963374.0
2019-03-12,91.702,92.341,91.315,91.643,2549594.0
2019-03-13,92.24,93.93,92.122,93.198,3323786.0
2019-03-14,93.45,93.467,92.542,93.215,2539575.0
2019-03-15,93.19,93.526,91.988,92.072,4874437.0
2019-03-16,93.19,93.526,91.988,92.072,4874437.0
2019-03-17,93.19,93.526,91.988,92.072,4874437.0
2019-03-18,92.097,93.207,92.055,93.055,2394675.0
2019-03-19,93.148,93.333,92.568,92.769,2940813.0
2019-03-20,91.071,91.635,89.533,90.727,4199058.0
2019-03-21,90.18,92.45,89.894,92.307,1820318.0
2019-03-22,91.861,92.126,90.205,90.247,2727867.0
2019-03-23,91.861,92.126,90.205,90.247,2727867.0
2019-03-24,91.861,92.126,90.205,90.247,2727867.0
2019-03-25,90.012,90.34,89.398,89.869,2088191.0
2019-03-26,90.533,91.458,90.189,91.138,2204468.0
2019-03-27,91.214,91.751,90.928,91.618,1911333.0
2019-03-28,91.895,92.82,91.651,92.727,1621022.0
2019-03-29,93.316,94.183,93.257,93.938,3428646.0
2019-03-30,93.316,94.183,93.257,93.938,3428646.0
2019-03-31,93.316,94.183,93.257,93.938,3428646.0
2019-04-01,95.157,96.494,94.913,96.199,3721746.0
2019-04-02,96.157,96.3,95.09,95.569,2456380.0
2019-04-03,96.258,96.704,95.737,96.132,2556646.0
2019-04-04,96.09,96.317,95.409,95.813,2889431.0
2019-04-05,95.972,96.603,95.872,96.115,2487410.0
2019-04-06,95.972,96.603,95.872,96.115,2487410.0
2019-04-07,95.972,96.603,95.872,96.115,2487410.0
2019-04-08,95.611,95.888,95.266,95.813,1854580.0
2019-04-09,95.056,95.224,94.5,94.922,2230051.0
2019-04-10,95.14,95.224,94.417,95.064,1767657.0
2019-04-11,95.165,95.611,94.896,95.409,2384755.0
2019-04-12,95.787,96.581,95.38,96.225,2853767.0
2019-04-13,95.787,96.581,95.38,96.225,2853767.0
2019-04-14,95.787,96.581,95.38,96.225,2853767.0
2019-04-15,96.443,96.603,95.182,95.535,1768302.0
2019-04-16,95.577,95.964,95.325,95.787,2072514.0
2019-04-17,96.191,96.439,95.678,96.25,2108367.0
2019-04-18,96.283,96.439,95.897,95.964,1859667.0
2019-04-19,96.283,96.439,95.897,95.964,1859667.0
2019-04-20,96.283,96.439,95.897,95.964,1859667.0
2019-04-21,96.283,96.439,95.897,95.964,1859667.0
2019-04-22,95.485,95.72,94.88,95.518,2585493.0
2019-04-23,95.283,95.88,94.846,95.502,2851332.0
2019-04-24,95.502,96.662,95.376,96.199,3570644.0
2019-04-25,92.131,92.378,87.599,88.381,10116646.0
2019-04-26,88.196,88.289,86.759,87.389,5421764.0
2019-04-27,88.196,88.289,86.759,87.389,5421764.0
2019-04-28,88.196,88.289,86.759,87.389,5421764.0
2019-04-29,87.439,88.247,86.607,88.137,4551027.0
2019-04-30,88.003,89.466,86.851,89.297,5101373.0
2019-05-01,89.163,89.533,87.65,87.952,2615332.0
2019-05-02,87.952,89.138,87.515,88.701,2589777.0
2019-05-03,89.23,89.911,88.541,89.659,3107551.0
2019-05-04,89.23,89.911,88.541,89.659,3107551.0
2019-05-05,89.23,89.911,88.541,89.659,3107551.0
2019-05-06,87.893,89.02,87.439,87.952,2704933.0
2019-05-07,87.33,87.498,84.993,85.825,4221600.0
2019-05-08,85.951,86.708,85.54,85.624,2497818.0
2019-05-09,84.976,84.976,83.875,84.699,3998831.0
2019-05-10,84.245,84.909,82.748,84.598,3071318.0
2019-05-11,84.245,84.909,82.748,84.598,3071318.0
2019-05-12,84.245,84.909,82.748,84.598,3071318.0
2019-05-13,82.908,83.631,82.278,83.522,3766439.0
2019-05-14,83.774,84.85,83.698,83.867,2889252.0
2019-05-15,83.572,85.758,83.118,85.363,3818537.0
