,DAL US Equity,DAL US Equity,DAL US Equity,DAL US Equity,DAL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,48.1815,48.536,47.4821,47.8079,6231664.0
2019-01-02,47.1851,48.057,46.8307,47.9899,5270790.0
2019-01-03,46.4762,46.8881,43.19,43.6978,18694053.0
2019-01-04,44.4259,46.7828,44.3013,45.7864,11037038.0
2019-01-05,44.4259,46.7828,44.3013,45.7864,11037038.0
2019-01-06,44.4259,46.7828,44.3013,45.7864,11037038.0
2019-01-07,45.9875,46.4058,45.154,45.8438,9375509.0
2019-01-08,46.4474,46.6295,44.9816,45.4798,8231426.0
2019-01-09,45.1253,46.6774,44.9528,46.4378,8095347.0
2019-01-10,44.7229,46.8594,43.8989,46.6869,11880218.0
2019-01-11,46.1983,46.6295,45.5947,46.5241,6577866.0
2019-01-12,46.1983,46.6295,45.5947,46.5241,6577866.0
2019-01-13,46.1983,46.6295,45.5947,46.5241,6577866.0
2019-01-14,45.5756,45.8917,44.4546,45.748,10095073.0
2019-01-15,45.9588,47.2235,44.8858,45.8247,11569501.0
2019-01-16,46.8402,47.1181,45.4223,45.5085,9822970.0
2019-01-17,45.451,46.5337,45.3361,46.1983,7312959.0
2019-01-18,46.6007,46.6582,45.9301,46.0929,7850242.0
2019-01-19,46.6007,46.6582,45.9301,46.0929,7850242.0
2019-01-20,46.6007,46.6582,45.9301,46.0929,7850242.0
2019-01-21,46.6007,46.6582,45.9301,46.0929,7850242.0
2019-01-22,46.0355,46.0355,44.8762,45.1253,8144355.0
2019-01-23,45.3073,45.7959,44.972,45.3169,8099873.0
2019-01-24,46.2366,46.5131,45.1923,45.5277,9057239.0
2019-01-25,45.6522,46.1313,44.9337,45.6905,11840154.0
2019-01-26,45.6522,46.1313,44.9337,45.6905,11840154.0
2019-01-27,45.6522,46.1313,44.9337,45.6905,11840154.0
2019-01-28,45.4414,46.4091,45.3456,45.9971,8212134.0
2019-01-29,46.3804,46.457,45.863,46.1983,7476882.0
2019-01-30,46.3516,48.3348,46.3325,48.1624,13005191.0
2019-01-31,47.9708,48.2965,47.0271,47.3576,8287062.0
2019-02-01,47.5492,48.3732,47.4917,47.8271,6173025.0
2019-02-02,47.5492,48.3732,47.4917,47.8271,6173025.0
2019-02-03,47.5492,48.3732,47.4917,47.8271,6173025.0
2019-02-04,47.8941,48.2869,47.4821,48.2294,5356243.0
2019-02-05,48.2582,48.9193,47.9181,48.4211,8727575.0
2019-02-06,48.0666,48.651,47.7696,48.4019,6228139.0
2019-02-07,48.2294,48.5445,47.875,48.2965,5674061.0
2019-02-08,47.9708,48.4114,47.8271,48.354,4456551.0
2019-02-09,47.9708,48.4114,47.8271,48.354,4456551.0
2019-02-10,47.9708,48.4114,47.8271,48.354,4456551.0
2019-02-11,48.4881,48.8905,48.4785,48.4881,6963934.0
2019-02-12,48.7276,48.9288,47.7887,47.7983,8301715.0
2019-02-13,47.9516,48.6031,47.7935,48.2965,5754932.0
2019-02-14,47.9708,48.6031,47.8606,48.3636,5779993.0
2019-02-15,48.7564,49.3121,48.445,48.9384,6492019.0
2019-02-16,48.7564,49.3121,48.445,48.9384,6492019.0
2019-02-17,48.7564,49.3121,48.445,48.9384,6492019.0
2019-02-18,48.7564,49.3121,48.445,48.9384,6492019.0
2019-02-19,48.8618,50.0306,48.8618,49.6474,7904847.0
2019-02-20,49.0342,49.4708,48.4498,49.0917,7497306.0
2019-02-21,49.0534,49.6857,48.9576,49.3216,6615008.0
2019-02-22,49.4366,49.7815,49.0917,49.36,5413254.0
2019-02-23,49.4366,49.7815,49.0917,49.36,5413254.0
2019-02-24,49.4366,49.7815,49.0917,49.36,5413254.0
2019-02-25,49.6378,49.6953,49.1205,49.2546,6180420.0
2019-02-26,49.245,49.7815,48.9384,48.9767,6826836.0
2019-02-27,48.833,48.8905,47.8558,48.3157,9041570.0
2019-02-28,48.3253,48.4025,47.7947,47.8333,9483825.0
2019-03-01,47.6307,47.978,46.5164,47.2351,11393908.0
2019-03-02,47.6307,47.978,46.5164,47.2351,11393908.0
2019-03-03,47.6307,47.978,46.5164,47.2351,11393908.0
2019-03-04,47.3123,47.8236,46.7275,47.0711,10194061.0
2019-03-05,48.2674,48.7112,47.6693,47.9683,9800737.0
2019-03-06,48.0552,48.5085,47.6982,47.9587,8702801.0
2019-03-07,47.7657,48.0455,47.0422,47.8429,8183589.0
2019-03-08,47.5149,47.8526,47.1965,47.8429,8570143.0
2019-03-09,47.5149,47.8526,47.1965,47.8429,8570143.0
2019-03-10,47.5149,47.8526,47.1965,47.8429,8570143.0
2019-03-11,48.0455,49.4782,48.0166,49.319,8868118.0
2019-03-12,49.3865,49.512,48.2578,48.8849,8073913.0
2019-03-13,49.1839,49.2901,48.3157,49.2225,10536252.0
2019-03-14,49.5699,50.2452,49.0489,49.1454,8048841.0
2019-03-15,49.483,49.6567,49.1839,49.3865,8192379.0
2019-03-16,49.483,49.6567,49.1839,49.3865,8192379.0
2019-03-17,49.483,49.6567,49.1839,49.3865,8192379.0
2019-03-18,49.2708,49.4444,48.7498,48.9524,6415231.0
2019-03-19,49.1936,49.5795,49.0296,49.1647,5606647.0
2019-03-20,49.0971,49.0971,48.0166,48.1131,7752992.0
2019-03-21,47.9587,48.827,47.949,48.5279,5128735.0
2019-03-22,48.2771,48.47,47.772,48.0069,5896204.0
2019-03-23,48.2771,48.47,47.772,48.0069,5896204.0
2019-03-24,48.2771,48.47,47.772,48.0069,5896204.0
2019-03-25,47.8526,48.2771,47.2448,47.3026,6454023.0
2019-03-26,47.621,47.8767,46.965,47.3605,5321887.0
2019-03-27,47.3219,48.7498,47.2544,48.2095,7907210.0
2019-03-28,48.3446,48.8656,48.1372,48.5472,6600107.0
2019-03-29,48.9428,49.9268,48.6051,49.8303,9162368.0
2019-03-30,48.9428,49.9268,48.6051,49.8303,9162368.0
2019-03-31,48.9428,49.9268,48.6051,49.8303,9162368.0
2019-04-01,49.9944,50.4864,49.7091,50.3417,8501651.0
2019-04-02,52.6089,53.9644,52.0204,53.3807,15920661.0
2019-04-03,53.9885,55.5418,53.8438,54.9919,13299464.0
2019-04-04,55.4357,55.6383,54.3841,55.2041,8998034.0
2019-04-05,55.4164,56.1496,55.3102,55.6961,6918335.0
2019-04-06,55.4164,56.1496,55.3102,55.6961,6918335.0
2019-04-07,55.4164,56.1496,55.3102,55.6961,6918335.0
2019-04-08,55.4742,55.8602,54.905,55.6768,7921611.0
2019-04-09,55.1848,55.4164,54.7796,54.9436,9581566.0
2019-04-10,56.8925,56.8925,54.77,55.8216,14398234.0
2019-04-11,55.9084,56.767,55.783,56.3329,8452446.0
2019-04-12,56.7574,56.767,55.5225,56.0049,7693901.0
2019-04-13,56.7574,56.767,55.5225,56.0049,7693901.0
2019-04-14,56.7574,56.767,55.5225,56.0049,7693901.0
2019-04-15,55.9566,56.0628,55.3488,55.426,5326976.0
2019-04-16,55.6286,56.0724,55.619,56.0628,3970234.0
2019-04-17,56.7767,56.9117,56.0435,56.3715,4987645.0
2019-04-18,56.439,56.5162,55.9759,56.1206,4108117.0
2019-04-19,56.439,56.5162,55.9759,56.1206,4108117.0
2019-04-20,56.439,56.5162,55.9759,56.1206,4108117.0
2019-04-21,56.439,56.5162,55.9759,56.1206,4108117.0
2019-04-22,55.754,55.9277,55.262,55.7154,4043864.0
2019-04-23,55.6286,56.3522,55.6286,56.1882,4593000.0
2019-04-24,56.1882,56.468,55.7637,55.8119,3275218.0
2019-04-25,55.8023,56.4197,54.3937,54.7121,5557601.0
2019-04-26,54.5674,55.4453,54.4902,55.098,3714139.0
2019-04-27,54.5674,55.4453,54.4902,55.098,3714139.0
2019-04-28,54.5674,55.4453,54.4902,55.098,3714139.0
2019-04-29,55.2234,55.8602,55.0402,55.6961,3215624.0
2019-04-30,55.783,56.5065,55.7203,56.2364,4030410.0
2019-05-01,56.4887,56.7896,55.4259,55.4987,5629966.0
2019-05-02,55.6346,56.3723,55.5667,55.9646,3426141.0
2019-05-03,56.0326,56.4257,55.8287,56.1005,4673027.0
2019-05-04,56.0326,56.4257,55.8287,56.1005,4673027.0
2019-05-05,56.0326,56.4257,55.8287,56.1005,4673027.0
2019-05-06,55.3046,56.2606,55.0717,56.0326,4105758.0
2019-05-07,55.5667,55.8093,54.6737,55.489,4784825.0
2019-05-08,55.1008,55.4017,54.5281,54.7902,3641444.0
2019-05-09,54.4893,55.062,54.0525,54.9261,5003568.0
2019-05-10,54.5961,55.193,53.4411,54.9552,3737816.0
2019-05-11,54.5961,55.193,53.4411,54.9552,3737816.0
2019-05-12,54.5961,55.193,53.4411,54.9552,3737816.0
2019-05-13,53.8099,53.8875,52.4802,53.1887,5223811.0
2019-05-14,53.2858,53.9943,53.1353,53.6255,2463425.0
2019-05-15,52.9752,53.7371,52.4996,53.4314,2999135.0
2019-05-16,53.5187,54.3146,53.5187,53.7517,2731370.0
