,MSEX US Equity,MSEX US Equity,MSEX US Equity,MSEX US Equity,MSEX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,59.5995,60.0407,59.4118,59.6746,70465.0
2020-01-02,60.1534,60.1534,58.06,58.4074,55908.0
2020-01-03,58.1539,58.8767,58.1539,58.4355,63049.0
2020-01-04,58.1539,58.8767,58.1539,58.4355,63049.0
2020-01-05,58.1539,58.8767,58.1539,58.4355,63049.0
2020-01-06,58.0506,58.398,57.2246,57.5813,72575.0
2020-01-07,57.3466,57.5437,56.7927,57.2152,61950.0
2020-01-08,57.2152,57.5719,56.8491,57.5437,123662.0
2020-01-09,57.6751,58.1774,57.4452,57.6658,58219.0
2020-01-10,57.5437,57.9192,56.9336,57.5813,55426.0
2020-01-11,57.5437,57.9192,56.9336,57.5813,55426.0
2020-01-12,57.5437,57.9192,56.9336,57.5813,55426.0
2020-01-13,57.6751,58.8861,57.6751,58.8204,49491.0
2020-01-14,58.5763,58.9518,58.1163,58.398,41312.0
2020-01-15,58.5106,59.4587,58.229,59.4024,35165.0
2020-01-16,59.5432,60.8386,59.5432,60.8011,51130.0
2020-01-17,60.9231,62.1341,60.3317,62.0778,78989.0
2020-01-18,60.9231,62.1341,60.3317,62.0778,78989.0
2020-01-19,60.9231,62.1341,60.3317,62.0778,78989.0
2020-01-20,60.9231,62.1341,60.3317,62.0778,78989.0
2020-01-21,62.0027,62.5941,61.508,62.4626,83194.0
2020-01-22,62.763,62.81,62.2373,62.6504,68167.0
2020-01-23,62.6222,62.7255,62.012,62.6128,68107.0
2020-01-24,62.7536,62.9132,61.721,61.8525,54977.0
2020-01-25,62.7536,62.9132,61.721,61.8525,54977.0
2020-01-26,62.7536,62.9132,61.721,61.8525,54977.0
2020-01-27,61.8149,62.3969,61.7539,61.9276,65673.0
2020-01-28,62.0965,63.0743,61.8149,62.2373,45937.0
2020-01-29,62.2937,62.9508,61.6929,62.7724,57152.0
2020-01-30,62.7443,62.8663,61.7398,62.81,43204.0
2020-01-31,62.8193,62.9977,61.1203,61.2611,48244.0
2020-02-01,62.8193,62.9977,61.1203,61.2611,48244.0
2020-02-02,62.8193,62.9977,61.1203,61.2611,48244.0
2020-02-03,61.2047,62.4814,61.2047,62.3688,46225.0
2020-02-04,62.8569,63.2605,62.4345,62.4908,54895.0
2020-02-05,62.8944,63.5284,62.4626,63.3263,56469.0
2020-02-06,63.636,63.8332,63.223,63.805,30996.0
2020-02-07,63.927,64.3354,63.6548,63.974,33866.0
2020-02-08,63.927,64.3354,63.6548,63.974,33866.0
2020-02-09,63.927,64.3354,63.6548,63.974,33866.0
2020-02-10,64.1054,64.617,64.0021,64.5091,28335.0
2020-02-11,64.678,65.2558,63.4765,63.5609,40197.0
2020-02-12,63.6642,63.9834,62.9273,63.9646,43546.0
2020-02-13,63.9234,65.4404,63.9234,65.431,51394.0
2020-02-14,65.4122,65.7891,65.0494,65.2614,33125.0
2020-02-15,65.4122,65.7891,65.0494,65.2614,33125.0
2020-02-16,65.4122,65.7891,65.0494,65.2614,33125.0
2020-02-17,65.4122,65.7891,65.0494,65.2614,33125.0
2020-02-18,65.2897,65.8833,65.1766,65.4404,33187.0
2020-02-19,65.5158,65.5158,63.8951,63.9611,41030.0
2020-02-20,63.9893,64.5453,62.4158,63.7067,43837.0
2020-02-21,63.9422,64.9316,63.0942,64.3191,39710.0
2020-02-22,63.9422,64.9316,63.0942,64.3191,39710.0
2020-02-23,63.9422,64.9316,63.0942,64.3191,39710.0
2020-02-24,63.5936,64.2815,62.6702,62.9811,41672.0
2020-02-25,63.1413,63.2261,60.9458,61.0966,51751.0
2020-02-26,61.3039,62.1078,61.0495,61.7468,44015.0
2020-02-27,61.3133,61.8457,58.3075,58.3263,67933.0
2020-02-28,55.9518,56.847,52.7669,56.0366,162989.0
2020-02-29,55.9518,56.847,52.7669,56.0366,162989.0
2020-03-01,55.9518,56.847,52.7669,56.0366,162989.0
2020-03-02,56.5077,60.7197,56.1874,60.7103,80595.0
2020-03-03,60.5312,61.1154,58.4818,59.6078,82921.0
2020-03-04,60.6255,62.8115,60.0789,62.6325,64683.0
2020-03-05,61.5112,62.02,60.4982,61.8787,70674.0
2020-03-06,60.5501,63.8951,59.0613,63.7067,75608.0
2020-03-07,60.5501,63.8951,59.0613,63.7067,75608.0
2020-03-08,60.5501,63.8951,59.0613,63.7067,75608.0
2020-03-09,60.8799,63.2308,59.1273,60.3805,70626.0
2020-03-10,61.4923,62.331,59.1084,61.3227,85198.0
2020-03-11,60.4653,60.9552,54.9907,55.1415,77730.0
2020-03-12,52.7669,54.1709,49.6857,50.5149,121594.0
2020-03-13,52.0508,53.5113,49.1675,52.3335,169248.0
2020-03-14,52.0508,53.5113,49.1675,52.3335,169248.0
2020-03-15,52.0508,53.5113,49.1675,52.3335,169248.0
2020-03-16,49.4973,50.5055,45.9732,46.5951,108765.0
2020-03-17,47.2735,58.1379,45.9732,57.8081,121928.0
2020-03-18,54.1144,57.9683,51.8247,53.0591,108100.0
2020-03-19,52.3524,55.9424,50.2511,54.0767,119855.0
2020-03-20,53.8694,56.5172,51.2829,53.5773,173728.0
2020-03-21,53.8694,56.5172,51.2829,53.5773,173728.0
2020-03-22,53.8694,56.5172,51.2829,53.5773,173728.0
2020-03-23,53.1533,55.5937,48.0675,51.7116,114318.0
2020-03-24,53.9448,56.3664,49.5067,53.1344,98403.0
2020-03-25,53.1344,55.4081,50.1286,50.7128,71464.0
2020-03-26,51.118,54.6045,49.29,52.4372,138645.0
2020-03-27,50.7788,56.3758,50.2605,53.9259,70851.0
2020-03-28,50.7788,56.3758,50.2605,53.9259,70851.0
2020-03-29,50.7788,56.3758,50.2605,53.9259,70851.0
2020-03-30,54.529,58.7409,52.5502,57.9211,93350.0
2020-03-31,57.5066,57.5066,54.6044,56.6491,76490.0
2020-04-01,55.5278,55.5278,50.6845,51.1086,64202.0
2020-04-02,50.5997,54.6421,50.5997,54.3123,70447.0
2020-04-03,53.6715,54.5761,51.1652,53.3888,47011.0
2020-04-04,53.6715,54.5761,51.1652,53.3888,47011.0
2020-04-05,53.6715,54.5761,51.1652,53.3888,47011.0
2020-04-06,56.0083,58.3452,55.3676,57.3652,78710.0
2020-04-07,58.2604,59.0048,54.0767,54.9153,92354.0
2020-04-08,56.2439,57.7347,55.4336,57.0637,68372.0
2020-04-09,58.6184,60.192,57.3652,59.3063,77533.0
2020-04-10,58.6184,60.192,57.3652,59.3063,77533.0
2020-04-11,58.6184,60.192,57.3652,59.3063,77533.0
2020-04-12,58.6184,60.192,57.3652,59.3063,77533.0
2020-04-13,58.6467,58.9953,57.3621,58.7692,39774.0
2020-04-14,59.8245,60.3051,57.4312,59.6455,75423.0
2020-04-15,57.7421,57.7515,55.3488,55.5937,65123.0
2020-04-16,56.112,57.1202,54.6515,56.8093,60621.0
2020-04-17,57.874,58.4017,56.8187,57.8175,53658.0
2020-04-18,57.874,58.4017,56.8187,57.8175,53658.0
2020-04-19,57.874,58.4017,56.8187,57.8175,53658.0
2020-04-20,56.3664,56.6868,54.3688,55.1415,32950.0
2020-04-21,53.4642,54.3164,53.1815,53.7092,42374.0
2020-04-22,54.9624,55.6409,54.3688,55.377,47987.0
2020-04-23,55.8953,56.0555,54.5573,55.2734,56616.0
2020-04-24,55.2263,56.1874,54.7551,55.688,51128.0
2020-04-25,55.2263,56.1874,54.7551,55.688,51128.0
2020-04-26,55.2263,56.1874,54.7551,55.688,51128.0
2020-04-27,55.8293,56.2533,55.4995,55.7822,44643.0
2020-04-28,56.9789,57.4594,56.4889,57.0072,67585.0
2020-04-29,58.1756,59.523,57.1579,59.1273,191752.0
2020-04-30,58.1944,58.6655,56.0272,56.8187,117050.0
2020-05-01,56.0178,57.0637,56.0178,56.5454,83491.0
2020-05-02,56.0178,57.0637,56.0178,56.5454,83491.0
2020-05-03,56.0178,57.0637,56.0178,56.5454,83491.0
2020-05-04,56.6585,57.6338,55.8859,57.516,113847.0
2020-05-05,57.7327,58.7032,57.5066,58.2415,71895.0
2020-05-06,58.7409,60.013,57.5819,57.5819,69422.0
2020-05-07,58.6844,59.5795,57.3793,58.3075,56208.0
2020-05-08,58.9388,59.0801,58.1756,58.5148,48195.0
2020-05-09,58.9388,59.0801,58.1756,58.5148,48195.0
2020-05-10,58.9388,59.0801,58.1756,58.5148,48195.0
2020-05-11,57.761,58.788,56.3381,58.2038,47293.0
2020-05-12,58.3546,58.3546,57.1014,57.6196,60937.0
2020-05-13,57.4217,58.0436,56.0083,57.7139,51136.0
2020-05-14,56.906,57.1994,55.4753,56.414,105824.0
2020-05-15,56.3004,56.9817,55.2407,56.9817,100000.0
2020-05-16,56.3004,56.9817,55.2407,56.9817,100000.0
2020-05-17,56.3004,56.9817,55.2407,56.9817,100000.0
2020-05-18,57.9469,60.5585,57.9469,60.1327,112328.0
2020-05-19,59.7163,60.2359,57.9185,57.9847,55917.0
2020-05-20,58.8553,59.8015,58.0037,59.0067,52082.0
2020-05-21,59.0256,60.0475,58.6471,59.158,44044.0
2020-05-22,59.5555,60.4355,59.1108,60.3692,38757.0
2020-05-23,59.5555,60.4355,59.1108,60.3692,38757.0
2020-05-24,59.5555,60.4355,59.1108,60.3692,38757.0
2020-05-25,59.5555,60.4355,59.1108,60.3692,38757.0
2020-05-26,62.1576,62.8199,61.2303,61.8359,76141.0
2020-05-27,62.9335,63.2174,61.552,62.943,62030.0
