,AL US Equity,AL US Equity,AL US Equity,AL US Equity,AL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,26.931,27.3925,26.5265,27.3382,1076809.0
2019-01-02,27.0215,28.2703,26.6414,27.8449,1468588.0
2019-01-03,27.7273,28.035,26.7952,26.8314,1016614.0
2019-01-04,27.3291,29.2521,27.207,28.9399,1577606.0
2019-01-05,27.3291,29.2521,27.207,28.9399,1577606.0
2019-01-06,27.3291,29.2521,27.207,28.9399,1577606.0
2019-01-07,29.6277,31.3923,29.501,31.2113,2224771.0
2019-01-08,31.5461,31.9262,31.0303,31.7995,1772771.0
2019-01-09,32.1434,32.4918,31.9081,32.3515,1349607.0
2019-01-10,32.1253,33.2565,31.8719,33.0121,1673106.0
2019-01-11,32.5416,33.4103,32.3063,33.2746,688504.0
2019-01-12,32.5416,33.4103,32.3063,33.2746,688504.0
2019-01-13,32.5416,33.4103,32.3063,33.2746,688504.0
2019-01-14,32.7045,32.9397,32.2972,32.6502,1104622.0
2019-01-15,32.8312,32.9986,32.3787,32.9126,630074.0
2019-01-16,33.1388,33.6818,33.0393,33.166,899120.0
2019-01-17,33.0483,33.718,32.9035,33.4827,769175.0
2019-01-18,33.7451,34.3514,33.7451,33.9442,726389.0
2019-01-19,33.7451,34.3514,33.7451,33.9442,726389.0
2019-01-20,33.7451,34.3514,33.7451,33.9442,726389.0
2019-01-21,33.7451,34.3514,33.7451,33.9442,726389.0
2019-01-22,33.7994,33.9171,32.5054,32.8854,943941.0
2019-01-23,32.9397,33.2655,32.252,32.3968,895644.0
2019-01-24,32.5687,33.0936,32.5557,32.8764,503112.0
2019-01-25,33.2927,33.7089,32.8764,33.5913,693714.0
2019-01-26,33.2927,33.7089,32.8764,33.5913,693714.0
2019-01-27,33.2927,33.7089,32.8764,33.5913,693714.0
2019-01-28,33.0302,33.7542,32.8693,33.6003,1148023.0
2019-01-29,33.727,33.9895,33.3289,33.7361,454676.0
2019-01-30,34.08,34.813,33.6818,34.641,967667.0
2019-01-31,34.641,34.7949,34.261,34.3333,571420.0
2019-02-01,34.2338,34.5732,34.1614,34.3243,484337.0
2019-02-02,34.2338,34.5732,34.1614,34.3243,484337.0
2019-02-03,34.2338,34.5732,34.1614,34.3243,484337.0
2019-02-04,34.1795,34.5777,34.089,34.4691,678656.0
2019-02-05,34.5053,35.2473,34.4781,35.2021,564310.0
2019-02-06,35.1206,35.2247,34.2881,34.2972,581456.0
2019-02-07,34.1252,34.3062,33.451,33.7813,597386.0
2019-02-08,33.3741,33.6184,32.994,33.3289,681770.0
2019-02-09,33.3741,33.6184,32.994,33.3289,681770.0
2019-02-10,33.3741,33.6184,32.994,33.3289,681770.0
2019-02-11,33.3741,33.9533,33.2881,33.727,906371.0
2019-02-12,34.0981,34.6229,33.9533,34.5686,779532.0
2019-02-13,34.8673,35.1025,34.3967,34.5505,603982.0
2019-02-14,34.2338,34.5913,33.7632,34.4148,471833.0
2019-02-15,34.8039,35.0211,34.4601,34.6591,674375.0
2019-02-16,34.8039,35.0211,34.4601,34.6591,674375.0
2019-02-17,34.8039,35.0211,34.4601,34.6591,674375.0
2019-02-18,34.8039,35.0211,34.4601,34.6591,674375.0
2019-02-19,34.5867,35.1116,34.4872,34.9306,507307.0
2019-02-20,35.003,35.2202,34.6229,34.6772,1423347.0
2019-02-21,35.0392,35.1297,34.0709,34.2157,1238604.0
2019-02-22,34.451,35.2383,34.0619,34.5958,1049909.0
2019-02-23,34.451,35.2383,34.0619,34.5958,1049909.0
2019-02-24,34.451,35.2383,34.0619,34.5958,1049909.0
2019-02-25,34.7044,35.2292,34.6863,34.8854,676990.0
2019-02-26,34.8311,34.9894,34.5053,34.5143,605203.0
2019-02-27,34.4691,34.5686,34.0721,34.27,585740.0
2019-02-28,34.2067,34.2067,33.7542,33.8085,482704.0
2019-03-01,34.1705,34.5505,33.8537,34.4419,756385.0
2019-03-02,34.1705,34.5505,33.8537,34.4419,756385.0
2019-03-03,34.1705,34.5505,33.8537,34.4419,756385.0
2019-03-04,34.6048,34.8763,33.4375,33.6727,591947.0
2019-03-05,33.7089,33.908,33.1207,33.5008,738649.0
2019-03-06,33.4737,33.4737,32.1615,32.1796,745068.0
2019-03-07,32.1253,32.2158,31.1118,31.5914,710208.0
2019-03-08,30.9036,32.1072,30.795,32.0167,752002.0
2019-03-09,30.9036,32.1072,30.795,32.0167,752002.0
2019-03-10,30.9036,32.1072,30.795,32.0167,752002.0
2019-03-11,31.4556,31.5099,30.3697,31.4828,2332606.0
2019-03-12,31.5371,31.7905,31.1389,31.6819,1500987.0
2019-03-13,31.8538,32.3515,31.6728,31.8991,1505454.0
2019-03-14,31.9443,32.2158,31.3199,31.4375,1040074.0
2019-03-15,31.3833,31.3833,30.6095,30.6231,1927019.0
