,CCK US Equity,CCK US Equity,CCK US Equity,CCK US Equity,CCK US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,39.6881,40.376,39.6881,40.2791,1056910.0
2019-01-02,39.7074,40.1435,39.2423,39.9497,941803.0
2019-01-03,40.0853,40.8799,38.9613,40.531,1461713.0
2019-01-04,41.1318,42.4689,41.0252,41.7325,1345389.0
2019-01-05,41.1318,42.4689,41.0252,41.7325,1345389.0
2019-01-06,41.1318,42.4689,41.0252,41.7325,1345389.0
2019-01-07,41.7325,44.4359,41.5,43.4379,1840213.0
2019-01-08,43.9805,44.6345,43.7673,44.0386,1180577.0
2019-01-09,44.058,44.1549,43.186,43.7092,892998.0
2019-01-10,43.5735,44.8816,43.2344,44.2712,989278.0
2019-01-11,44.1646,45.2886,43.9224,45.1045,1013152.0
2019-01-12,44.1646,45.2886,43.9224,45.1045,1013152.0
2019-01-13,44.1646,45.2886,43.9224,45.1045,1013152.0
2019-01-14,44.8622,45.9539,44.5037,45.5502,1413087.0
2019-01-15,45.463,46.2672,45.2304,46.0831,916124.0
2019-01-16,46.1219,46.5482,45.9668,46.3738,1294231.0
2019-01-17,46.4029,46.5579,45.6277,46.1219,1926267.0
2019-01-18,46.3641,47.5171,46.1606,46.7711,1229731.0
2019-01-19,46.3641,47.5171,46.1606,46.7711,1229731.0
2019-01-20,46.3641,47.5171,46.1606,46.7711,1229731.0
2019-01-21,46.3641,47.5171,46.1606,46.7711,1229731.0
2019-01-22,46.616,47.1877,46.1412,46.3447,1351401.0
2019-01-23,46.616,46.868,45.3661,46.1412,882313.0
2019-01-24,46.1412,47.4493,46.0056,47.2943,1651732.0
2019-01-25,47.866,48.1954,47.178,47.8853,1811189.0
2019-01-26,47.866,48.1954,47.178,47.8853,1811189.0
2019-01-27,47.866,48.1954,47.178,47.8853,1811189.0
2019-01-28,47.6044,48.2148,47.3137,47.4881,1171382.0
2019-01-29,47.585,47.9822,47.4687,47.6334,1145939.0
2019-01-30,48.1567,48.4086,47.5462,47.9919,1239046.0
2019-01-31,47.4687,49.4841,46.897,49.4163,2225516.0
2019-02-01,49.4647,50.5209,49.3969,49.5519,1786429.0
2019-02-02,49.4647,50.5209,49.3969,49.5519,1786429.0
2019-02-03,49.4647,50.5209,49.3969,49.5519,1786429.0
2019-02-04,49.455,50.0945,49.2613,49.3485,1299943.0
2019-02-05,49.5519,49.862,49.1547,49.8426,3168016.0
2019-02-06,49.4744,50.7244,49.4647,50.2205,3032099.0
2019-02-07,49.0481,51.4608,47.6044,50.8697,3313411.0
2019-02-08,50.6275,51.2088,50.0752,51.141,2792116.0
2019-02-09,50.6275,51.2088,50.0752,51.141,2792116.0
2019-02-10,50.6275,51.2088,50.0752,51.141,2792116.0
2019-02-11,51.3445,52.7495,51.3106,51.6545,3928124.0
2019-02-12,51.829,52.42,51.6642,51.7514,2583615.0
2019-02-13,51.9743,52.9239,51.8193,52.6623,1928629.0
2019-02-14,52.4685,52.5072,51.4995,51.4995,2729626.0
2019-02-15,51.9452,52.0131,51.422,51.6255,1199156.0
2019-02-16,51.9452,52.0131,51.422,51.6255,1199156.0
2019-02-17,51.9452,52.0131,51.422,51.6255,1199156.0
2019-02-18,51.9452,52.0131,51.422,51.6255,1199156.0
2019-02-19,51.7611,52.3037,51.4317,52.0906,1101701.0
2019-02-20,52.0809,52.8076,52.0131,52.575,1031226.0
2019-02-21,52.6041,53.0014,52.2941,52.6041,642046.0
