,FDS US Equity,FDS US Equity,FDS US Equity,FDS US Equity,FDS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-02-20,215.313,217.18,212.885,217.122,186634.0
2019-02-21,217.18,218.198,215.649,217.094,164093.0
2019-02-22,217.513,220.541,216.389,220.474,218600.0
2019-02-23,217.513,220.541,216.389,220.474,218600.0
2019-02-24,217.513,220.541,216.389,220.474,218600.0
2019-02-25,221.56,223.074,219.513,220.56,199391.0
2019-02-26,219.836,221.512,219.151,220.531,174681.0
2019-02-27,220.168,224.036,220.168,223.873,428852.0
2019-02-28,223.978,225.687,223.052,224.551,219192.0
2019-03-01,225.945,228.127,225.067,226.404,202202.0
2019-03-02,225.945,228.127,225.067,226.404,202202.0
2019-03-03,225.945,228.127,225.067,226.404,202202.0
2019-03-04,226.757,227.12,222.403,224.742,157230.0
2019-03-05,224.656,227.425,224.145,226.184,252625.0
2019-03-06,226.041,227.32,223.52,224.122,153368.0
2019-03-07,223.797,223.797,220.608,220.799,229123.0
2019-03-08,219.28,220.751,218.116,220.665,207653.0
2019-03-09,219.28,220.751,218.116,220.665,207653.0
2019-03-10,219.28,220.751,218.116,220.665,207653.0
2019-03-11,221.362,223.568,220.55,222.852,183943.0
2019-03-12,223.1,223.663,221.605,222.832,203948.0
2019-03-13,223.558,224.838,222.995,223.568,204079.0
2019-03-14,222.794,225.859,222.766,225.449,246479.0
2019-03-15,225.458,228.189,224.542,226.642,380493.0
2019-03-16,225.458,228.189,224.542,226.642,380493.0
2019-03-17,225.458,228.189,224.542,226.642,380493.0
2019-03-18,226.9,228.581,226.318,227.826,179459.0
2019-03-19,227.95,229.115,227.75,228.428,203551.0
2019-03-20,227.473,227.95,225.363,226.108,211254.0
2019-03-21,225.439,232.018,224.456,231.378,207538.0
2019-03-22,228.724,230.266,223.845,223.95,352062.0
2019-03-23,228.724,230.266,223.845,223.95,352062.0
2019-03-24,228.724,230.266,223.845,223.95,352062.0
2019-03-25,223.482,224.799,222.193,223.023,312741.0
2019-03-26,225.344,235.618,220.455,235.179,751381.0
2019-03-27,231.588,233.794,228.103,232.066,534552.0
2019-03-28,232.028,234.816,231.846,233.87,288498.0
2019-03-29,234.816,237.556,233.699,237.06,275401.0
2019-03-30,234.816,237.556,233.699,237.06,275401.0
2019-03-31,234.816,237.556,233.699,237.06,275401.0
2019-04-01,237.986,238.635,235.723,238.015,256120.0
2019-04-02,237.89,239.132,235.799,238.759,249007.0
2019-04-03,239.485,241.156,238.291,241.003,182287.0
2019-04-04,241.481,241.848,239.027,241.519,194569.0
2019-04-05,241.538,243.505,240.029,241.433,233312.0
2019-04-06,241.538,243.505,240.029,241.433,233312.0
2019-04-07,241.538,243.505,240.029,241.433,233312.0
2019-04-08,240.679,244.317,239.514,244.288,280475.0
2019-04-09,242.531,244.173,241.433,243.438,189361.0
2019-04-10,243.486,245.539,243.486,244.784,141381.0
2019-04-11,245.615,245.806,242.636,244.708,190419.0
2019-04-12,247.286,248.384,245.816,248.384,178710.0
2019-04-13,247.286,248.384,245.816,248.384,178710.0
2019-04-14,247.286,248.384,245.816,248.384,178710.0
2019-04-15,252.566,252.566,248.327,249.95,195406.0
2019-04-16,250.733,253.769,250.456,251.621,283274.0
2019-04-17,252.691,252.691,246.541,246.713,313263.0
2019-04-18,247.563,251.158,245.481,250.284,262116.0
2019-04-19,247.563,251.158,245.481,250.284,262116.0
2019-04-20,247.563,251.158,245.481,250.284,262116.0
2019-04-21,247.563,251.158,245.481,250.284,262116.0
2019-04-22,249.921,250.513,247.78,249.272,245750.0
2019-04-23,249.568,255.67,249.568,254.763,285340.0
2019-04-24,254.409,256.481,253.626,253.731,261856.0
2019-04-25,253.693,255.393,251.346,255.03,174742.0
2019-04-26,255.211,259.183,255.116,258.878,222342.0
2019-04-27,255.211,259.183,255.116,258.878,222342.0
2019-04-28,255.211,259.183,255.116,258.878,222342.0
2019-04-29,258.62,261.513,258.62,260.282,212295.0
2019-04-30,260.291,263.843,260.291,263.413,266054.0
2019-05-01,263.194,263.194,259.288,259.737,259515.0
2019-05-02,259.04,262.42,257.35,262.143,200053.0
2019-05-03,262.564,266.965,262.564,266.249,216357.0
2019-05-04,262.564,266.965,262.564,266.249,216357.0
2019-05-05,262.564,266.965,262.564,266.249,216357.0
2019-05-06,260.434,271.482,260.434,271.014,372686.0
2019-05-07,268.445,269.348,264.292,265.676,347711.0
2019-05-08,265.008,266.077,263.967,264.082,266185.0
2019-05-09,260.902,266.106,260.291,265.848,164888.0
2019-05-10,265.065,268.694,261.523,268.111,249493.0
2019-05-11,265.065,268.694,261.523,268.111,249493.0
2019-05-12,265.065,268.694,261.523,268.111,249493.0
2019-05-13,263.795,264.788,258.257,259.947,317639.0
2019-05-14,261.074,269.209,260.597,264.321,492718.0
2019-05-15,261.628,265.624,260.196,262.583,389888.0
2019-05-16,263.919,269.257,262.888,266.011,299576.0
2019-05-17,264.091,268.288,263.872,265.848,332191.0
2019-05-18,264.091,268.288,263.872,265.848,332191.0
2019-05-19,264.091,268.288,263.872,265.848,332191.0
2019-05-20,264.512,265.7,263.103,264.311,330019.0
2019-05-21,265.39,269.668,265.39,268.894,426578.0
2019-05-22,269.19,271.109,267.873,267.873,320994.0
2019-05-23,265.925,266.908,262.669,265.543,419672.0
2019-05-24,267.109,268.99,265.791,267.519,350047.0
2019-05-25,267.109,268.99,265.791,267.519,350047.0
2019-05-26,267.109,268.99,265.791,267.519,350047.0
2019-05-27,267.109,268.99,265.791,267.519,350047.0
2019-05-28,267.691,270.828,263.017,263.967,2260148.0
2019-05-29,263.461,266.545,261.685,265.476,419728.0
2019-05-30,265.39,267.228,263.312,266.376,578837.0
2019-05-31,263.695,268.013,263.336,266.328,533350.0
2019-06-01,263.695,268.013,263.336,266.328,533350.0
2019-06-02,263.695,268.013,263.336,266.328,533350.0
2019-06-03,266.529,267.113,262.125,265.074,358683.0
2019-06-04,267.553,272.953,265.514,272.819,436634.0
2019-06-05,273.795,275.667,271.048,274.705,474253.0
2019-06-06,274.705,279.041,273.623,277.347,328597.0
2019-06-07,278.113,282.631,278.113,279.692,225309.0
2019-06-08,278.113,282.631,278.113,279.692,225309.0
2019-06-09,278.113,282.631,278.113,279.692,225309.0
2019-06-10,282.066,285.771,282.066,284.402,351509.0
2019-06-11,286.164,287.073,281.377,282.411,307228.0
2019-06-12,283.254,288.672,283.129,288.624,427867.0
2019-06-13,290.204,291.075,281.856,284.211,364960.0
2019-06-14,284.086,285.159,282.009,283.684,345496.0
2019-06-15,284.086,285.159,282.009,283.684,345496.0
2019-06-16,284.086,285.159,282.009,283.684,345496.0
2019-06-17,284.364,286.939,281.959,283.024,227667.0
2019-06-18,284.757,288.471,284.757,287.581,264529.0
2019-06-19,287.226,290.031,286.374,289.16,512725.0
2019-06-20,291.439,292.348,286.02,288.404,534620.0
2019-06-21,285.752,286.748,283.55,285.36,669973.0
2019-06-22,285.752,286.748,283.55,285.36,669973.0
2019-06-23,285.752,286.748,283.55,285.36,669973.0
2019-06-24,285.264,286.394,280.506,280.812,791765.0
2019-06-25,285.379,289.112,271.143,273.077,1469807.0
2019-06-26,272.838,277.995,272.235,276.983,929685.0
2019-06-27,268.712,273.776,268.271,273.23,989778.0
2019-06-28,274.437,275.734,269.698,274.331,722499.0
2019-06-29,274.437,275.734,269.698,274.331,722499.0
