,PHM US Equity,PHM US Equity,PHM US Equity,PHM US Equity,PHM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,24.568,24.7184,23.6845,24.427,2945454.0
2019-01-02,24.0605,24.9016,23.9101,24.662,6894429.0
2019-01-03,24.5022,24.8875,24.0981,24.38,5915211.0
2019-01-04,24.6526,25.5736,24.5586,25.5642,6277591.0
2019-01-05,24.6526,25.5736,24.5586,25.5642,6277591.0
2019-01-06,24.6526,25.5736,24.5586,25.5642,6277591.0
2019-01-07,26.1094,26.8801,25.865,26.5135,9644454.0
2019-01-08,26.7861,26.8143,26.1188,26.6357,7284211.0
2019-01-09,26.7673,27.4346,26.3255,27.209,9501776.0
2019-01-10,27.0962,27.2278,26.6028,26.8895,5577047.0
2019-01-11,26.3819,27.1808,26.3443,26.8613,4897564.0
2019-01-12,26.3819,27.1808,26.3443,26.8613,4897564.0
2019-01-13,26.3819,27.1808,26.3443,26.8613,4897564.0
2019-01-14,26.7297,26.9176,26.1188,26.1846,5493204.0
2019-01-15,26.1658,26.6451,26.0342,26.3819,3352528.0
2019-01-16,26.3443,26.3819,25.6958,25.724,4964489.0
2019-01-17,25.1037,25.7052,24.9909,25.2353,6142085.0
2019-01-18,25.3387,25.3481,24.756,24.9909,8546880.0
2019-01-19,25.3387,25.3481,24.756,24.9909,8546880.0
2019-01-20,25.3387,25.3481,24.756,24.9909,8546880.0
2019-01-21,25.3387,25.3481,24.756,24.9909,8546880.0
2019-01-22,24.9345,25.099,24.5586,24.7466,5804331.0
2019-01-23,24.709,25.1272,24.5868,25.1037,3796117.0
2019-01-24,25.1319,25.4703,24.9721,25.0943,7951434.0
2019-01-25,25.3011,25.7381,25.0849,25.3387,7316188.0
2019-01-26,25.3011,25.7381,25.0849,25.3387,7316188.0
2019-01-27,25.3011,25.7381,25.0849,25.3387,7316188.0
2019-01-28,25.1319,25.7663,25.0567,25.4045,5413186.0
2019-01-29,24.1075,25.8274,23.5905,25.6112,9250860.0
2019-01-30,25.583,25.7052,24.615,25.6018,8192305.0
2019-01-31,25.6864,26.4947,25.3763,26.1376,8829119.0
2019-02-01,26.1658,26.5652,25.6817,25.7052,5121652.0
2019-02-02,26.1658,26.5652,25.6817,25.7052,5121652.0
2019-02-03,26.1658,26.5652,25.6817,25.7052,5121652.0
2019-02-04,25.677,25.7804,24.9815,25.1789,5082579.0
2019-02-05,25.1695,25.724,25.1319,25.7052,4187821.0
2019-02-06,25.5361,25.6488,24.8265,24.8781,5393025.0
2019-02-07,24.709,25.3293,24.6996,25.2729,3995245.0
2019-02-08,24.7936,25.2165,24.709,25.0097,3460167.0
2019-02-09,24.7936,25.2165,24.709,25.0097,3460167.0
2019-02-10,24.7936,25.2165,24.709,25.0097,3460167.0
2019-02-11,25.0943,25.1883,24.8312,24.9063,3892667.0
