,ESNT US Equity,ESNT US Equity,ESNT US Equity,ESNT US Equity,ESNT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,30.6061,31.3953,30.6061,31.3678,816043.0
2019-01-02,30.7713,31.5789,30.6978,31.2576,528637.0
2019-01-03,31.1567,31.5146,30.6244,30.9732,507991.0
2019-01-04,31.3127,32.2304,31.1842,32.2121,558197.0
2019-01-05,31.3127,32.2304,31.1842,32.2121,558197.0
2019-01-06,31.3127,32.2304,31.1842,32.2121,558197.0
2019-01-07,31.9551,32.5975,31.7395,32.157,606686.0
2019-01-08,32.5333,33.2399,32.2121,33.2308,730987.0
2019-01-09,33.3225,34.0741,33.1573,33.5244,535303.0
2019-01-10,33.295,34.0842,33.1757,34.0108,495671.0
2019-01-11,33.9925,33.9925,32.9646,33.6254,472600.0
2019-01-12,33.9925,33.9925,32.9646,33.6254,472600.0
2019-01-13,33.9925,33.9925,32.9646,33.6254,472600.0
2019-01-14,33.4143,34.1393,33.3123,33.607,487090.0
2019-01-15,33.6437,34.1577,33.2675,34.1118,507961.0
2019-01-16,34.3871,34.6349,33.9558,34.5431,459576.0
2019-01-17,34.2219,34.7909,34.0292,34.2402,406345.0
2019-01-18,34.4513,34.9928,34.1621,34.6716,451880.0
2019-01-19,34.4513,34.9928,34.1621,34.6716,451880.0
2019-01-20,34.4513,34.9928,34.1621,34.6716,451880.0
2019-01-21,34.4513,34.9928,34.1621,34.6716,451880.0
2019-01-22,34.4054,34.6257,34.0292,34.2402,331470.0
2019-01-23,34.2861,34.9652,34.1393,34.2311,300119.0
2019-01-24,34.2402,34.8184,33.8732,34.7909,206688.0
2019-01-25,34.9928,35.5526,34.745,35.2222,379143.0
2019-01-26,34.9928,35.5526,34.745,35.2222,379143.0
2019-01-27,34.9928,35.5526,34.745,35.2222,379143.0
2019-01-28,34.8918,35.4333,34.8918,35.3048,289527.0
2019-01-29,35.3048,35.8004,35.2176,35.4058,282747.0
2019-01-30,35.5251,35.9105,35.1167,35.6902,390870.0
2019-01-31,35.6352,36.5621,35.5727,36.4795,644397.0
2019-02-01,36.5254,37.232,36.3694,37.177,750362.0
2019-02-02,36.5254,37.232,36.3694,37.177,750362.0
2019-02-03,36.5254,37.232,36.3694,37.177,750362.0
2019-02-04,37.1403,37.5899,36.9659,37.5624,649550.0
2019-02-05,37.5808,37.7735,37.1678,37.5349,478621.0
2019-02-06,37.544,37.8102,37.388,37.6083,332092.0
2019-02-07,37.6634,37.9662,37.2963,37.5716,557222.0
2019-02-08,37.8928,38.5306,36.7823,38.0488,806493.0
2019-02-09,37.8928,38.5306,36.7823,38.0488,806493.0
2019-02-10,37.8928,38.5306,36.7823,38.0488,806493.0
2019-02-11,38.3608,38.4159,37.4156,37.8744,528221.0
2019-02-12,38.0855,39.0124,38.0855,38.9482,558813.0
2019-02-13,38.9482,39.5355,38.8472,39.3428,692117.0
2019-02-14,39.0308,39.4804,38.7646,39.4254,641566.0
2019-02-15,39.7833,41.1966,39.7833,40.7377,1176427.0
2019-02-16,39.7833,41.1966,39.7833,40.7377,1176427.0
2019-02-17,39.7833,41.1966,39.7833,40.7377,1176427.0
2019-02-18,39.7833,41.1966,39.7833,40.7377,1176427.0
2019-02-19,40.6827,41.3526,40.3982,41.1507,541042.0
2019-02-20,41.114,41.1828,40.6368,40.9029,496752.0
2019-02-21,40.8662,40.9488,40.3706,40.5817,376266.0
2019-02-22,40.7561,41.0406,40.5083,40.6643,702866.0
2019-02-23,40.7561,41.0406,40.5083,40.6643,702866.0
2019-02-24,40.7561,41.0406,40.5083,40.6643,702866.0
2019-02-25,40.857,41.2517,39.976,40.0127,670648.0
2019-02-26,39.8751,40.2697,39.5447,39.8567,475843.0
2019-02-27,39.8659,40.077,39.4346,39.7466,285958.0
2019-02-28,39.6548,39.8475,39.3795,39.5906,402657.0
2019-03-01,39.9668,40.4716,39.8292,40.0953,562047.0
2019-03-02,39.9668,40.4716,39.8292,40.0953,562047.0
2019-03-03,39.9668,40.4716,39.8292,40.0953,562047.0
2019-03-04,40.1045,40.6276,39.9026,40.1871,587894.0
2019-03-05,40.1229,40.6368,39.9577,40.3064,456271.0
2019-03-06,40.3523,40.6505,39.9577,40.0311,443217.0
2019-03-07,39.921,39.921,38.6178,39.0583,530508.0
2019-03-08,38.7096,39.1868,38.6637,38.9941,230580.0
2019-03-09,38.7096,39.1868,38.6637,38.9941,230580.0
2019-03-10,38.7096,39.1868,38.6637,38.9941,230580.0
2019-03-11,39.0308,40.0403,38.8931,40.0403,855193.0
2019-03-12,40.0953,40.2238,39.4437,39.7649,329233.0
2019-03-13,39.9668,40.1412,39.7374,40.0678,297696.0
2019-03-14,40.077,40.3339,39.8384,40.2054,276890.0
2019-03-15,40.1871,40.6918,40.0311,40.5817,1207969.0
2019-03-16,40.1871,40.6918,40.0311,40.5817,1207969.0
2019-03-17,40.1871,40.6918,40.0311,40.5817,1207969.0
2019-03-18,40.7194,43.2798,40.7194,42.7934,2349695.0
2019-03-19,43.6928,43.9956,42.5089,42.564,1216802.0
2019-03-20,42.564,42.8301,41.3501,41.5912,858694.0
2019-03-21,41.4352,42.1877,41.2975,42.0684,1096568.0
2019-03-22,41.7564,41.7564,39.7833,40.2238,1268655.0
2019-03-23,41.7564,41.7564,39.7833,40.2238,1268655.0
2019-03-24,41.7564,41.7564,39.7833,40.2238,1268655.0
2019-03-25,40.1137,40.3156,38.7096,39.1684,1637172.0
2019-03-26,39.3887,40.0035,39.1684,39.7007,570615.0
2019-03-27,39.6456,39.9118,38.8105,39.7191,439248.0
2019-03-28,39.7558,40.2789,39.5355,40.2513,404642.0
2019-03-29,40.6001,40.8088,39.3611,39.8751,616004.0
2019-03-30,40.6001,40.8088,39.3611,39.8751,616004.0
2019-03-31,40.6001,40.8088,39.3611,39.8751,616004.0
2019-04-01,40.2972,41.3526,40.2697,41.27,493477.0
2019-04-02,41.1966,41.5819,40.9947,41.3801,341154.0
2019-04-03,41.7564,42.0317,41.5178,41.5453,300960.0
2019-04-04,41.527,41.9399,41.4088,41.8573,356154.0
2019-04-05,41.8849,42.0317,41.5361,42.0317,282732.0
2019-04-06,41.8849,42.0317,41.5361,42.0317,282732.0
2019-04-07,41.8849,42.0317,41.5361,42.0317,282732.0
2019-04-08,41.7748,42.7659,41.7564,42.6833,379298.0
2019-04-09,42.6558,42.6741,40.6827,40.7469,595009.0
2019-04-10,40.7102,41.4444,40.6184,41.2975,461594.0
2019-04-11,41.4719,42.0592,41.4564,41.7472,664126.0
2019-04-12,42.2336,42.7017,41.6474,42.1235,492020.0
2019-04-13,42.2336,42.7017,41.6474,42.1235,492020.0
2019-04-14,42.2336,42.7017,41.6474,42.1235,492020.0
2019-04-15,42.1235,42.5647,41.4354,41.8757,450546.0
2019-04-16,41.9675,42.2244,41.7197,41.9491,525068.0
2019-04-17,42.1602,42.1602,41.3985,41.527,582908.0
2019-04-18,41.371,41.7564,40.8111,41.3801,961178.0
2019-04-19,41.371,41.7564,40.8111,41.3801,961178.0
2019-04-20,41.371,41.7564,40.8111,41.3801,961178.0
2019-04-21,41.371,41.7564,40.8111,41.3801,961178.0
2019-04-22,41.2608,41.8206,40.8295,41.7839,418663.0
2019-04-23,41.9491,43.0045,41.9216,42.463,443462.0
2019-04-24,42.307,42.9403,41.9216,42.5548,520335.0
2019-04-25,42.2887,42.7842,41.8206,42.6191,401371.0
2019-04-26,42.7384,42.9403,42.2979,42.7842,381384.0
2019-04-27,42.7384,42.9403,42.2979,42.7842,381384.0
2019-04-28,42.7384,42.9403,42.2979,42.7842,381384.0
2019-04-29,42.8393,43.8763,42.7017,43.5276,506570.0
2019-04-30,43.6928,43.9314,43.0963,43.546,489099.0
2019-05-01,43.5643,44.17,43.1146,43.3991,558786.0
2019-05-02,43.546,44.1435,43.443,43.9498,577516.0
2019-05-03,44.5096,44.6197,42.8119,43.9589,759428.0
