,SRCE US Equity,SRCE US Equity,SRCE US Equity,SRCE US Equity,SRCE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,46.0907,46.3304,45.9752,46.0729,45777.0
2020-01-02,46.3216,46.3216,45.6973,46.0107,36049.0
2020-01-03,45.5134,45.8896,45.1316,45.7088,36118.0
2020-01-04,45.5134,45.8896,45.1316,45.7088,36118.0
2020-01-05,45.5134,45.8896,45.1316,45.7088,36118.0
2020-01-06,45.4246,45.5312,45.0228,45.4601,51853.0
2020-01-07,45.2115,45.3092,44.8607,44.9362,27882.0
2020-01-08,44.9184,45.3713,44.8243,45.1049,32074.0
2020-01-09,45.3891,45.3891,44.9184,45.0339,32153.0
2020-01-10,44.9451,44.9983,44.6254,44.7142,38775.0
2020-01-11,44.9451,44.9983,44.6254,44.7142,38775.0
2020-01-12,44.9451,44.9983,44.6254,44.7142,38775.0
2020-01-13,44.6875,45.2292,44.5188,45.2292,36996.0
2020-01-14,45.096,45.3802,44.7941,45.3003,45118.0
2020-01-15,45.2292,45.3092,44.9717,45.2825,75009.0
2020-01-16,45.5134,45.7798,45.1227,45.691,31110.0
2020-01-17,46.0374,46.0463,45.2559,45.4069,37289.0
2020-01-18,46.0374,46.0463,45.2559,45.4069,37289.0
2020-01-19,46.0374,46.0463,45.2559,45.4069,37289.0
2020-01-20,46.0374,46.0463,45.2559,45.4069,37289.0
2020-01-21,45.318,45.318,44.6298,44.6698,34573.0
2020-01-22,44.6964,45.1227,44.4477,44.6076,31100.0
2020-01-23,44.4122,44.803,43.835,43.9593,56674.0
2020-01-24,43.5153,44.5099,42.6894,44.0215,106772.0
2020-01-25,43.5153,44.5099,42.6894,44.0215,106772.0
2020-01-26,43.5153,44.5099,42.6894,44.0215,106772.0
2020-01-27,43.2933,44.0748,41.8723,43.7728,65743.0
2020-01-28,43.9327,44.0037,43.2666,43.3288,43098.0
2020-01-29,43.2755,43.5952,42.716,42.7338,28837.0
2020-01-30,42.4851,43.4797,42.3697,43.1956,36295.0
2020-01-31,42.8936,43.0357,41.8812,41.9079,53974.0
2020-02-01,42.8936,43.0357,41.8812,41.9079,53974.0
2020-02-02,42.8936,43.0357,41.8812,41.9079,53974.0
2020-02-03,42.1849,42.7299,42.1849,42.31,37614.0
2020-02-04,42.7121,42.998,42.587,42.6763,41963.0
2020-02-05,43.141,43.7307,43.141,43.6145,49251.0
2020-02-06,43.7039,43.7665,43.0695,43.141,42898.0
2020-02-07,42.864,43.0069,42.4351,42.587,71121.0
2020-02-08,42.864,43.0069,42.4351,42.587,71121.0
2020-02-09,42.864,43.0069,42.4351,42.587,71121.0
2020-02-10,42.4619,42.721,42.3189,42.5155,21443.0
2020-02-11,42.6674,43.0248,42.6138,42.6763,17844.0
2020-02-12,42.8997,43.5552,42.4797,42.578,36841.0
2020-02-13,42.4887,42.9623,42.4887,42.9623,29392.0
2020-02-14,42.998,42.998,42.6227,42.6763,38675.0
2020-02-15,42.998,42.998,42.6227,42.6763,38675.0
2020-02-16,42.998,42.998,42.6227,42.6763,38675.0
2020-02-17,42.998,42.998,42.6227,42.6763,38675.0
2020-02-18,42.587,43.0142,42.0687,42.2117,21389.0
2020-02-19,42.3189,42.578,42.2117,42.3278,36198.0
2020-02-20,42.2474,42.7121,42.1402,42.6406,32351.0
2020-02-21,42.578,42.6316,42.167,42.2027,25019.0
2020-02-22,42.578,42.6316,42.167,42.2027,25019.0
2020-02-23,42.578,42.6316,42.167,42.2027,25019.0
2020-02-24,41.1751,41.5862,41.1081,41.3092,30024.0
2020-02-25,41.4968,41.5772,40.2726,40.4335,57303.0
2020-02-26,40.6926,41.1573,40.0895,40.3084,43728.0
2020-02-27,39.6918,40.3888,38.691,38.8519,69100.0
2020-02-28,37.7975,38.9752,36.761,37.5741,79329.0
2020-02-29,37.7975,38.9752,36.761,37.5741,79329.0
2020-03-01,37.7975,38.9752,36.761,37.5741,79329.0
2020-03-02,37.4356,38.968,37.0052,38.9055,46619.0
2020-03-03,38.5928,39.4104,37.5294,37.7171,45871.0
2020-03-04,38.0387,38.6017,37.096,38.2621,29466.0
2020-03-05,37.4579,37.528,36.0014,36.4929,42262.0
2020-03-06,35.4206,36.6269,35.1704,35.7602,48061.0
2020-03-07,35.4206,36.6269,35.1704,35.7602,48061.0
2020-03-08,35.4206,36.6269,35.1704,35.7602,48061.0
2020-03-09,33.2314,35.0453,30.8903,31.2835,69163.0
2020-03-10,32.3647,32.7936,30.1576,30.3273,129690.0
2020-03-11,30.0772,30.4435,28.6385,28.7726,102838.0
2020-03-12,27.459,28.4441,25.0732,26.0025,148345.0
2020-03-13,27.4322,29.4963,27.1642,29.4874,117784.0
2020-03-14,27.4322,29.4963,27.1642,29.4874,117784.0
2020-03-15,27.4322,29.4963,27.1642,29.4874,117784.0
2020-03-16,26.2527,29.3132,25.9937,26.6995,89225.0
2020-03-17,27.3875,28.5224,26.2259,28.5134,111758.0
2020-03-18,27.2356,27.2356,24.3405,24.9392,99829.0
2020-03-19,24.5728,28.5224,24.2512,27.2714,93218.0
2020-03-20,27.1642,28.7475,24.7962,24.832,172859.0
2020-03-21,27.1642,28.7475,24.7962,24.832,172859.0
2020-03-22,27.1642,28.7475,24.7962,24.832,172859.0
2020-03-23,25.0375,25.4396,23.296,24.3494,80472.0
2020-03-24,25.3681,27.2803,25.1983,27.0212,82559.0
2020-03-25,26.9854,28.4151,26.0293,27.1016,92673.0
2020-03-26,27.2535,29.4963,27.2535,29.2551,66298.0
2020-03-27,28.1828,29.2193,27.4233,27.5663,87821.0
2020-03-28,28.1828,29.2193,27.4233,27.5663,87821.0
2020-03-29,28.1828,29.2193,27.4233,27.5663,87821.0
2020-03-30,27.6288,28.6653,27.2982,28.5938,78600.0
2020-03-31,28.3615,29.1568,28.0392,28.9781,129803.0
2020-04-01,28.8172,28.8172,26.8693,27.1999,81878.0
2020-04-02,26.8782,28.4687,26.8782,28.0309,60276.0
2020-04-03,27.7539,28.0398,26.0204,26.494,55774.0
2020-04-04,27.7539,28.0398,26.0204,26.494,55774.0
2020-04-05,27.7539,28.0398,26.0204,26.494,55774.0
2020-04-06,27.6467,28.844,27.513,28.3615,83532.0
2020-04-07,29.2819,29.8887,28.0398,28.6207,89190.0
2020-04-08,29.1657,29.6125,28.6564,29.3087,57801.0
2020-04-09,29.9521,31.48,29.7019,31.3371,66264.0
2020-04-10,29.9521,31.48,29.7019,31.3371,66264.0
2020-04-11,29.9521,31.48,29.7019,31.3371,66264.0
2020-04-12,29.9521,31.48,29.7019,31.3371,66264.0
2020-04-13,31.1405,31.1405,29.5768,29.9431,50030.0
2020-04-14,30.5597,30.7026,28.6385,29.3444,64362.0
2020-04-15,28.1024,28.7011,27.6311,28.1292,70751.0
2020-04-16,27.8611,28.2186,25.9132,27.2803,88395.0
2020-04-17,28.3794,29.2774,27.9952,29.1747,57728.0
2020-04-18,28.3794,29.2774,27.9952,29.1747,57728.0
2020-04-19,28.3794,29.2774,27.9952,29.1747,57728.0
2020-04-20,28.1203,29.2998,27.7182,28.3168,55510.0
2020-04-21,27.2982,28.2007,27.1463,27.879,39348.0
2020-04-22,28.5134,28.6028,27.6824,27.8254,41505.0
2020-04-23,27.2803,28.7636,27.2803,28.1917,55655.0
2020-04-24,28.0666,28.853,27.6459,28.4598,50884.0
2020-04-25,28.0666,28.853,27.6459,28.4598,50884.0
2020-04-26,28.0666,28.853,27.6459,28.4598,50884.0
2020-04-27,28.6743,30.5686,28.5402,30.1933,56854.0
2020-04-28,30.9082,31.2209,30.0146,30.7294,69276.0
2020-04-29,31.2745,33.2895,31.1584,32.3379,76180.0
2020-04-30,31.4532,31.5694,30.6669,31.0333,53038.0
2020-05-01,30.2112,30.9975,29.4115,30.1933,70519.0
2020-05-02,30.2112,30.9975,29.4115,30.1933,70519.0
2020-05-03,30.2112,30.9975,29.4115,30.1933,70519.0
2020-05-04,30.2203,30.2203,29.2202,29.7698,53350.0
2020-05-05,30.1843,30.7609,28.9319,28.9319,61918.0
2020-05-06,29.049,29.049,27.8056,27.9497,50358.0
2020-05-07,28.4543,28.6255,27.7335,27.9047,60344.0
2020-05-08,28.5895,29.7428,28.4228,29.6166,57574.0
2020-05-09,28.5895,29.7428,28.4228,29.6166,57574.0
2020-05-10,28.5895,29.7428,28.4228,29.6166,57574.0
2020-05-11,29.013,29.1121,28.1119,28.3102,74759.0
2020-05-12,28.4453,28.4453,26.5442,26.6973,65417.0
2020-05-13,26.4991,27.1352,25.089,25.6161,76084.0
2020-05-14,25.1295,25.5891,24.0753,25.544,108729.0
2020-05-15,25.3908,26.1297,24.9944,25.9405,146285.0
2020-05-16,25.3908,26.1297,24.9944,25.9405,146285.0
2020-05-17,25.3908,26.1297,24.9944,25.9405,146285.0
2020-05-18,27.1839,28.5444,27.1839,28.4723,87298.0
2020-05-19,28.2291,28.2291,26.8055,26.8595,58103.0
2020-05-20,27.5443,28.7787,27.5443,28.5534,58147.0
2020-05-21,28.4994,28.9319,28.358,28.6706,62790.0
2020-05-22,28.7517,28.9048,27.9227,28.4183,44182.0
2020-05-23,28.7517,28.9048,27.9227,28.4183,44182.0
2020-05-24,28.7517,28.9048,27.9227,28.4183,44182.0
2020-05-25,28.7517,28.9048,27.9227,28.4183,44182.0
2020-05-26,29.7608,30.851,29.058,30.6348,61672.0
2020-05-27,31.6079,33.1216,31.1844,32.9414,76403.0
2020-05-28,33.3379,33.3379,31.5538,31.707,81305.0
2020-05-29,31.2655,32.0674,30.6438,31.1664,61701.0
2020-05-30,31.2655,32.0674,30.6438,31.1664,61701.0
2020-05-31,31.2655,32.0674,30.6438,31.1664,61701.0
2020-06-01,31.3106,31.4908,30.4005,30.4095,71782.0
2020-06-02,30.806,31.3556,30.1077,30.5087,47761.0
2020-06-03,31.1664,32.554,31.1664,31.7431,56716.0
2020-06-04,31.6349,32.3558,31.6349,32.2206,61766.0
2020-06-05,32.7702,34.4101,32.7702,33.8785,120041.0
2020-06-06,32.7702,34.4101,32.7702,33.8785,120041.0
2020-06-07,32.7702,34.4101,32.7702,33.8785,120041.0
2020-06-08,34.8696,34.8696,33.928,34.1578,98258.0
2020-06-09,33.3199,34.2029,32.6441,33.6622,57745.0
2020-06-10,33.6532,33.6532,31.5448,31.5448,46946.0
2020-06-11,29.968,30.414,28.9949,29.058,68580.0
2020-06-12,30.4996,30.4996,29.094,29.905,71892.0
2020-06-13,30.4996,30.4996,29.094,29.905,71892.0
2020-06-14,30.4996,30.4996,29.094,29.905,71892.0
2020-06-15,28.2561,31.0538,28.2561,30.5357,95029.0
2020-06-16,31.7611,32.3738,31.0313,31.9863,69851.0
2020-06-17,31.9773,31.9773,30.833,30.833,63181.0
2020-06-18,30.5897,31.5629,30.5897,31.2835,53109.0
2020-06-19,31.7431,32.4008,30.851,32.1756,497278.0
2020-06-20,31.7431,32.4008,30.851,32.1756,497278.0
2020-06-21,31.7431,32.4008,30.851,32.1756,497278.0
2020-06-22,31.68,32.4909,31.1033,32.1756,60990.0
2020-06-23,32.7882,32.7882,31.3917,31.5809,69883.0
2020-06-24,31.0943,31.3475,30.2113,30.2293,74278.0
2020-06-25,30.0041,31.2925,30.0041,31.2925,80987.0
2020-06-26,30.779,30.779,29.504,29.6166,326780.0
