,TTC US Equity,TTC US Equity,TTC US Equity,TTC US Equity,TTC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,51.84,52.3077,51.4388,52.1386,373370.0
2019-01-02,51.4948,52.0826,51.0096,51.5601,544349.0
2019-01-03,51.2895,52.0173,50.907,50.9723,566827.0
2019-01-04,51.7467,52.8897,51.6347,52.7451,529350.0
2019-01-05,51.7467,52.8897,51.6347,52.7451,529350.0
2019-01-06,51.7467,52.8897,51.6347,52.7451,529350.0
2019-01-07,52.7451,53.9487,52.7451,53.4448,369731.0
2019-01-08,53.846,54.3779,53.6968,54.2659,233975.0
2019-01-09,54.4152,54.7978,53.6688,54.1166,586482.0
2019-01-10,53.9673,54.6765,53.8927,54.3965,607181.0
2019-01-11,54.2379,55.0683,53.8367,55.0217,317434.0
2019-01-12,54.2379,55.0683,53.8367,55.0217,317434.0
2019-01-13,54.2379,55.0683,53.8367,55.0217,317434.0
2019-01-14,54.7791,55.2923,54.4898,55.0403,407902.0
2019-01-15,55.0963,55.3669,54.6298,54.9004,496054.0
2019-01-16,55.0403,55.4882,54.7558,54.8257,443792.0
2019-01-17,54.6205,55.8334,54.6205,55.5255,681876.0
2019-01-18,55.7961,56.4236,55.7542,56.1973,469008.0
2019-01-19,55.7961,56.4236,55.7542,56.1973,469008.0
2019-01-20,55.7961,56.4236,55.7542,56.1973,469008.0
2019-01-21,55.7961,56.4236,55.7542,56.1973,469008.0
2019-01-22,55.9827,56.1133,55.017,55.4602,545726.0
2019-01-23,55.6375,56.1787,54.947,55.5628,268414.0
2019-01-24,55.4975,56.1413,55.4057,55.6841,268055.0
2019-01-25,56.076,56.6079,55.1057,55.2363,634878.0
2019-01-26,56.076,56.6079,55.1057,55.2363,634878.0
2019-01-27,56.076,56.6079,55.1057,55.2363,634878.0
2019-01-28,54.5272,55.1896,54.2286,54.8351,350681.0
2019-01-29,54.9284,55.6841,54.7791,55.4229,235961.0
2019-01-30,55.7961,56.1227,55.1057,55.5722,279386.0
2019-01-31,55.5908,55.8987,55.0683,55.5162,480773.0
2019-02-01,55.4416,55.6142,54.8911,55.5349,445774.0
2019-02-02,55.4416,55.6142,54.8911,55.5349,445774.0
2019-02-03,55.4416,55.6142,54.8911,55.5349,445774.0
2019-02-04,55.5535,55.9064,55.2456,55.8708,202134.0
2019-02-05,55.9361,56.1479,55.6282,55.992,248765.0
2019-02-06,55.8428,56.3466,55.7121,56.2813,205519.0
2019-02-07,55.9734,56.7198,55.9734,56.7105,427038.0
2019-02-08,56.3746,57.0744,56.0714,57.0557,400749.0
2019-02-09,56.3746,57.0744,56.0714,57.0557,400749.0
2019-02-10,56.3746,57.0744,56.0714,57.0557,400749.0
2019-02-11,57.0557,57.2423,56.7385,56.8598,397476.0
2019-02-12,57.2237,57.6902,57.0511,57.6622,796685.0
2019-02-13,57.8488,58.0821,57.5876,57.7555,414386.0
2019-02-14,57.5689,58.0821,57.5316,57.9794,439540.0
2019-02-15,58.25,59.6869,58.0541,59.6869,704391.0
2019-02-16,58.25,59.6869,58.0541,59.6869,704391.0
2019-02-17,58.25,59.6869,58.0541,59.6869,704391.0
2019-02-18,58.25,59.6869,58.0541,59.6869,704391.0
2019-02-19,59.7149,60.0041,59.1924,59.267,555862.0
2019-02-20,59.2764,60.0508,59.2297,59.8175,507591.0
2019-02-21,59.9482,64.7066,59.6496,63.9789,1206377.0
2019-02-22,63.811,63.9136,62.8406,63.9043,547602.0
2019-02-23,63.811,63.9136,62.8406,63.9043,547602.0
2019-02-24,63.811,63.9136,62.8406,63.9043,547602.0
2019-02-25,63.9136,64.3521,63.5217,64.0069,525564.0
2019-02-26,63.7363,64.3801,63.6524,64.1282,463209.0
2019-02-27,63.9789,64.7627,63.7923,64.2962,449096.0
2019-02-28,64.1469,64.4268,63.9229,63.9882,358247.0
2019-03-01,64.4081,64.4081,63.5217,63.9789,369115.0
2019-03-02,64.4081,64.4081,63.5217,63.9789,369115.0
2019-03-03,64.4081,64.4081,63.5217,63.9789,369115.0
2019-03-04,64.1095,64.2495,63.5777,64.1189,296508.0
2019-03-05,63.9882,64.66,63.9229,64.1189,268452.0
2019-03-06,63.867,64.0722,63.1019,63.1298,294255.0
2019-03-07,63.0645,63.0645,62.3554,62.8219,259521.0
2019-03-08,62.1035,62.8219,61.7396,62.6447,379530.0
2019-03-09,62.1035,62.8219,61.7396,62.6447,379530.0
2019-03-10,62.1035,62.8219,61.7396,62.6447,379530.0
2019-03-11,62.5607,63.0739,62.3088,63.0552,572820.0
2019-03-12,62.8313,63.4564,62.682,63.1485,353983.0
2019-03-13,63.2605,63.4471,62.7193,63.0085,575590.0
2019-03-14,62.9339,63.0272,62.3554,62.8779,440481.0
2019-03-15,63.1672,63.5684,62.7286,63.2138,1293817.0
2019-03-16,63.1672,63.5684,62.7286,63.2138,1293817.0
2019-03-17,63.1672,63.5684,62.7286,63.2138,1293817.0
2019-03-18,63.1578,63.7923,62.9899,63.7643,440876.0
2019-03-19,63.867,64.1562,63.3864,63.5684,597025.0
2019-03-20,63.4471,64.2028,63.1812,63.6897,524821.0
