,WHR US Equity,WHR US Equity,WHR US Equity,WHR US Equity,WHR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-10-12,130.101,132.154,129.798,129.872,614136.0
2019-10-13,130.101,132.154,129.798,129.872,614136.0
2019-10-14,129.371,131.111,129.063,130.077,596467.0
2019-10-15,130.372,131.333,129.346,130.2,713236.0
2019-10-16,129.56,131.932,129.116,130.955,602080.0
2019-10-17,131.226,131.85,130.028,131.472,323219.0
2019-10-18,130.972,132.868,130.775,132.203,693952.0
2019-10-19,130.972,132.868,130.775,132.203,693952.0
2019-10-20,130.972,132.868,130.775,132.203,693952.0
2019-10-21,133.294,134.321,131.48,131.874,875538.0
2019-10-22,132.843,133.229,130.405,131.842,1334942.0
2019-10-23,126.908,134.082,126.088,133.106,1984497.0
2019-10-24,133.18,133.762,130.848,131.768,779226.0
2019-10-25,131.333,132.843,130.742,130.807,706005.0
2019-10-26,131.333,132.843,130.742,130.807,706005.0
2019-10-27,131.333,132.843,130.742,130.807,706005.0
2019-10-28,131.439,132.539,126.629,126.851,894879.0
2019-10-29,126.629,128.788,126.531,127.623,796525.0
2019-10-30,127.508,127.795,124.528,127.023,581792.0
2019-10-31,126.908,127.023,123.165,124.865,567606.0
2019-11-01,125.923,126.235,122.55,123.182,1853874.0
2019-11-02,125.923,126.235,122.55,123.182,1853874.0
2019-11-03,125.923,126.235,122.55,123.182,1853874.0
2019-11-04,124.413,127.327,123.855,126.769,892537.0
2019-11-05,127.229,130.114,127.015,129.502,928894.0
2019-11-06,129.707,129.707,126.419,128.427,563115.0
2019-11-07,129.084,130.159,128.066,128.304,451800.0
2019-11-08,128.369,128.928,126.679,127.04,551776.0
2019-11-09,128.369,128.928,126.679,127.04,551776.0
2019-11-10,128.369,128.928,126.679,127.04,551776.0
2019-11-11,125.825,128.008,125.423,128.0,500320.0
2019-11-12,127.893,128.46,126.498,127.483,864186.0
2019-11-13,126.621,127.655,122.315,123.354,1175490.0
2019-11-14,123.685,125.667,123.652,124.091,957829.0
2019-11-15,123.288,123.445,118.038,119.449,2743302.0
2019-11-16,123.288,123.445,118.038,119.449,2743302.0
2019-11-17,123.288,123.445,118.038,119.449,2743302.0
2019-11-18,119.614,120.061,117.579,118.456,1773282.0
2019-11-19,118.82,118.82,115.936,116.652,1696539.0
2019-11-20,116.743,118.464,116.313,118.042,1528323.0
2019-11-21,117.786,119.755,117.397,117.835,875951.0
2019-11-22,118.208,119.457,117.935,119.209,522739.0
2019-11-23,118.208,119.457,117.935,119.209,522739.0
2019-11-24,118.208,119.457,117.935,119.209,522739.0
2019-11-25,119.73,121.368,119.035,120.814,669684.0
2019-11-26,120.946,122.303,120.094,122.212,1113507.0
2019-11-27,122.792,123.023,119.606,120.516,832237.0
2019-11-28,122.792,123.023,119.606,120.516,832237.0
2019-11-29,119.68,120.574,118.133,118.406,335144.0
2019-11-30,119.68,120.574,118.133,118.406,335144.0
2019-12-01,119.68,120.574,118.133,118.406,335144.0
2019-12-02,118.514,119.184,116.363,118.265,878737.0
2019-12-03,117.488,117.488,114.641,116.611,705823.0
2019-12-04,117.645,119.151,117.463,117.529,607235.0
2019-12-05,117.984,120.069,117.984,119.904,463712.0
2019-12-06,121.219,123.089,121.095,122.105,661656.0
2019-12-07,121.219,123.089,121.095,122.105,661656.0
2019-12-08,121.219,123.089,121.095,122.105,661656.0
2019-12-09,121.964,122.461,120.723,120.988,482214.0
2019-12-10,120.624,121.666,119.068,119.54,724690.0
2019-12-11,119.242,120.979,119.242,120.971,472698.0
2019-12-12,121.526,126.589,120.781,125.39,1799956.0
2019-12-13,124.115,124.926,119.598,122.808,1760947.0
2019-12-14,124.115,124.926,119.598,122.808,1760947.0
2019-12-15,124.115,124.926,119.598,122.808,1760947.0
2019-12-16,123.065,123.842,120.516,123.371,975372.0
2019-12-17,123.205,123.205,120.814,121.344,823071.0
2019-12-18,121.84,122.171,120.599,121.294,422639.0
2019-12-19,121.062,121.137,118.845,119.068,712756.0
2019-12-20,119.391,122.138,118.679,121.972,1450993.0
2019-12-21,119.391,122.138,118.679,121.972,1450993.0
2019-12-22,119.391,122.138,118.679,121.972,1450993.0
2019-12-23,122.874,123.222,119.904,120.375,444598.0
2019-12-24,120.318,120.69,119.416,120.127,190935.0
2019-12-25,120.318,120.69,119.416,120.127,190935.0
2019-12-26,120.185,120.603,119.242,120.135,233234.0
2019-12-27,120.061,120.888,119.722,120.74,353735.0
2019-12-28,120.061,120.888,119.722,120.74,353735.0
2019-12-29,120.061,120.888,119.722,120.74,353735.0
2019-12-30,121.029,121.749,120.028,120.988,451200.0
2019-12-31,121.17,122.593,120.433,122.072,415712.0
2020-01-01,121.17,122.593,120.433,122.072,415712.0
2020-01-02,123.238,123.66,120.665,122.833,806208.0
2020-01-03,121.344,121.344,119.978,120.74,521111.0
2020-01-04,121.344,121.344,119.978,120.74,521111.0
2020-01-05,121.344,121.344,119.978,120.74,521111.0
2020-01-06,119.697,122.254,118.663,121.873,560305.0
2020-01-07,121.84,123.271,121.306,121.914,786627.0
2020-01-08,121.774,124.314,121.774,123.619,540095.0
2020-01-09,124.695,124.744,122.593,124.413,721361.0
2020-01-10,124.355,124.794,122.262,123.851,839655.0
2020-01-11,124.355,124.794,122.262,123.851,839655.0
2020-01-12,124.355,124.794,122.262,123.851,839655.0
2020-01-13,124.273,126.449,123.859,126.416,1087084.0
2020-01-14,126.416,127.731,125.77,126.788,726903.0
2020-01-15,126.242,129.61,125.969,127.367,1012419.0
2020-01-16,128.443,129.088,126.374,127.558,833733.0
2020-01-17,127.946,128.625,125.82,126.292,784462.0
2020-01-18,127.946,128.625,125.82,126.292,784462.0
2020-01-19,127.946,128.625,125.82,126.292,784462.0
