,RDN US Equity,RDN US Equity,RDN US Equity,RDN US Equity,RDN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,13.9691,14.2745,13.8426,14.2745,1187636.0
2019-01-02,14.0302,14.4315,13.9342,14.3094,1174162.0
2019-01-03,14.2308,14.4141,13.9516,14.1436,1071953.0
2019-01-04,14.353,14.5755,14.2396,14.4751,1380358.0
2019-01-05,14.353,14.5755,14.2396,14.4751,1380358.0
2019-01-06,14.353,14.5755,14.2396,14.4751,1380358.0
2019-01-07,14.4228,14.4577,14.1349,14.2483,1805343.0
2019-01-08,14.4402,14.6497,14.1959,14.6235,1402378.0
2019-01-09,14.7369,15.0641,14.6846,14.955,1320471.0
2019-01-10,14.8591,15.0074,14.7107,14.955,838537.0
2019-01-11,14.9114,14.9812,14.6497,14.9376,1136774.0
2019-01-12,14.9114,14.9812,14.6497,14.9376,1136774.0
2019-01-13,14.9114,14.9812,14.6497,14.9376,1136774.0
2019-01-14,14.8678,15.147,14.798,14.9725,911980.0
2019-01-15,14.9812,15.243,14.8416,15.2255,904921.0
2019-01-16,15.4873,15.6269,15.1906,15.5832,1117232.0
2019-01-17,15.5571,15.7534,15.4524,15.6181,1227704.0
2019-01-18,15.7054,15.9672,15.5571,15.7403,1020830.0
2019-01-19,15.7054,15.9672,15.5571,15.7403,1020830.0
2019-01-20,15.7054,15.9672,15.5571,15.7403,1020830.0
2019-01-21,15.7054,15.9672,15.5571,15.7403,1020830.0
2019-01-22,15.688,15.8886,15.6356,15.7752,1346849.0
2019-01-23,15.8276,16.0806,15.7665,15.8974,1089372.0
2019-01-24,15.8886,16.0457,15.8363,15.9497,1218959.0
2019-01-25,16.0544,16.194,15.9584,16.0893,746705.0
2019-01-26,16.0544,16.194,15.9584,16.0893,746705.0
2019-01-27,16.0544,16.194,15.9584,16.0893,746705.0
2019-01-28,15.9497,16.3816,15.9497,16.3162,1375613.0
2019-01-29,16.3336,16.5648,16.2725,16.4209,1144986.0
2019-01-30,16.4994,16.6739,16.3511,16.5605,1018417.0
2019-01-31,16.4732,16.7873,16.4732,16.7873,1170467.0
2019-02-01,16.8484,16.9793,16.7263,16.9531,1005565.0
2019-02-02,16.8484,16.9793,16.7263,16.9531,1005565.0
2019-02-03,16.8484,16.9793,16.7263,16.9531,1005565.0
2019-02-04,16.9531,17.0055,16.8048,16.9008,806560.0
2019-02-05,16.9008,16.9531,16.7481,16.9095,1005577.0
2019-02-06,16.8833,17.1102,16.8746,17.0578,991304.0
2019-02-07,17.1712,17.1887,16.831,17.0665,1310817.0
2019-02-08,17.0927,17.2585,16.5081,17.0665,2052063.0
2019-02-09,17.0927,17.2585,16.5081,17.0665,2052063.0
2019-02-10,17.0927,17.2585,16.5081,17.0665,2052063.0
2019-02-11,17.1712,17.1712,16.7088,16.8659,1225365.0
2019-02-12,16.9095,17.4679,16.892,17.3981,1525900.0
2019-02-13,17.3981,17.5813,17.2061,17.2934,1056128.0
2019-02-14,17.1472,17.1952,16.9509,17.0774,1802075.0
2019-02-15,17.4963,18.6656,17.4963,18.3515,4754902.0
2019-02-16,17.4963,18.6656,17.4963,18.3515,4754902.0
2019-02-17,17.4963,18.6656,17.4963,18.3515,4754902.0
2019-02-18,17.4963,18.6656,17.4963,18.3515,4754902.0
2019-02-19,18.238,18.6089,18.0897,18.4736,1551673.0
2019-02-20,18.4213,18.4911,18.2031,18.334,2124382.0
2019-02-21,18.3776,18.4125,18.0722,18.1682,959201.0
2019-02-22,18.2206,18.4562,18.1944,18.4213,1168902.0
2019-02-23,18.2206,18.4562,18.1944,18.4213,1168902.0
2019-02-24,18.2206,18.4562,18.1944,18.4213,1168902.0
2019-02-25,18.5085,18.5783,17.9937,18.0199,1684251.0
2019-02-26,18.0111,18.2337,17.9326,18.0199,1036430.0
2019-02-27,18.0635,18.0635,17.8279,17.9064,1114842.0
2019-02-28,17.8977,17.9239,17.6795,17.7668,1597576.0
2019-03-01,17.889,18.1246,17.7886,17.9326,1431060.0
2019-03-02,17.889,18.1246,17.7886,17.9326,1431060.0
2019-03-03,17.889,18.1246,17.7886,17.9326,1431060.0
2019-03-04,17.9326,18.2467,17.9064,18.0024,1073147.0
2019-03-05,17.9762,18.0722,17.8977,17.9239,836607.0
2019-03-06,17.889,18.0199,17.7319,17.7319,915253.0
2019-03-07,17.6883,17.7406,17.4177,17.5574,1079275.0
2019-03-08,17.409,17.6446,17.3479,17.5574,940675.0
2019-03-09,17.409,17.6446,17.3479,17.5574,940675.0
2019-03-10,17.409,17.6446,17.3479,17.5574,940675.0
2019-03-11,17.5661,17.8977,17.5225,17.8977,1151170.0
2019-03-12,17.8977,17.9762,17.6752,17.8802,747694.0
2019-03-13,17.9326,18.0548,17.8541,17.9151,1005715.0
2019-03-14,17.8453,17.9413,17.7581,17.8017,631678.0
2019-03-15,17.793,17.9588,17.7144,17.8715,1937400.0
2019-03-16,17.793,17.9588,17.7144,17.8715,1937400.0
2019-03-17,17.793,17.9588,17.7144,17.8715,1937400.0
2019-03-18,17.8977,18.3471,17.8977,18.2729,1032888.0
2019-03-19,18.3864,18.43,17.8933,17.9762,997300.0
2019-03-20,18.1333,18.1333,17.7232,17.7493,1859274.0
2019-03-21,17.6883,18.3602,17.6708,18.2293,1772744.0
2019-03-22,18.0809,18.2031,17.6359,17.7144,2268451.0
2019-03-23,18.0809,18.2031,17.6359,17.7144,2268451.0
2019-03-24,18.0809,18.2031,17.6359,17.7144,2268451.0
2019-03-25,17.6446,17.9588,17.4177,17.5835,2202101.0
2019-03-26,17.697,18.0548,17.697,17.889,1447982.0
2019-03-27,17.8453,18.094,17.6446,17.9588,1357287.0
2019-03-28,17.9675,18.2293,17.8366,18.2031,1291249.0
2019-03-29,18.3253,18.4038,17.9675,18.0984,1663269.0
2019-03-30,18.3253,18.4038,17.9675,18.0984,1663269.0
2019-03-31,18.3253,18.4038,17.9675,18.0984,1663269.0
2019-04-01,18.2293,18.5958,18.2031,18.5958,1415549.0
2019-04-02,18.5609,18.7529,18.4518,18.6394,1644580.0
2019-04-03,18.8489,19.0408,18.7441,18.8925,1715556.0
2019-04-04,18.8489,19.3375,18.8489,19.2852,1476930.0
2019-04-05,19.2415,19.5513,19.1892,19.5121,1320570.0
2019-04-06,19.2415,19.5513,19.1892,19.5121,1320570.0
2019-04-07,19.2415,19.5513,19.1892,19.5121,1320570.0
2019-04-08,19.3724,19.8393,19.3724,19.8175,1070156.0
2019-04-09,19.7826,19.7826,19.3724,19.4248,1857288.0
2019-04-10,19.4161,19.7738,19.4073,19.6342,2011307.0
2019-04-11,19.6604,19.944,19.643,19.8437,1224392.0
2019-04-12,20.0269,20.1927,19.7913,20.0618,1386330.0
2019-04-13,20.0269,20.1927,19.7913,20.0618,1386330.0
2019-04-14,20.0269,20.1927,19.7913,20.0618,1386330.0
2019-04-15,20.0705,20.1491,19.7477,19.8437,976094.0
2019-04-16,19.8349,19.9571,19.704,19.8873,1532919.0
2019-04-17,19.9833,20.0182,19.7477,19.7826,897081.0
2019-04-18,19.6953,19.8088,19.5819,19.6517,1181274.0
2019-04-19,19.6953,19.8088,19.5819,19.6517,1181274.0
2019-04-20,19.6953,19.8088,19.5819,19.6517,1181274.0
2019-04-21,19.6953,19.8088,19.5819,19.6517,1181274.0
2019-04-22,19.5906,19.8,19.5295,19.7913,1387669.0
2019-04-23,19.8262,20.3062,19.8,20.0007,941719.0
2019-04-24,20.0095,20.1796,19.9658,20.0618,1173094.0
2019-04-25,19.9222,20.2189,19.8175,20.1054,863819.0
2019-04-26,20.088,20.3236,20.0138,20.2189,746727.0
2019-04-27,20.088,20.3236,20.0138,20.2189,746727.0
2019-04-28,20.088,20.3236,20.0138,20.2189,746727.0
2019-04-29,20.2276,20.5156,20.2276,20.3498,819800.0
2019-04-30,20.4458,20.5505,20.2363,20.437,1930978.0
2019-05-01,20.6988,21.4842,20.472,20.6814,1870486.0
2019-05-02,21.0217,21.0479,20.5941,20.8385,1404153.0
2019-05-03,20.8559,20.9344,20.6465,20.8385,1080948.0
2019-05-04,20.8559,20.9344,20.6465,20.8385,1080948.0
2019-05-05,20.8559,20.9344,20.6465,20.8385,1080948.0
2019-05-06,20.533,20.9083,20.4807,20.7774,1418594.0
2019-05-07,20.6814,20.7076,20.2102,20.3672,1063624.0
2019-05-08,20.2887,20.3236,19.8698,19.896,1339121.0
2019-05-09,19.704,19.8524,19.4335,19.7913,1438889.0
2019-05-10,19.7302,20.0356,19.6255,19.9746,1450010.0
2019-05-11,19.7302,20.0356,19.6255,19.9746,1450010.0
2019-05-12,19.7302,20.0356,19.6255,19.9746,1450010.0
2019-05-13,19.5906,19.6168,19.0845,19.1019,1603545.0
2019-05-14,19.1805,19.6168,19.1679,19.5121,1171431.0
2019-05-15,19.2677,19.7826,19.2415,19.6779,1545464.0
2019-05-16,19.6953,19.9746,19.6953,19.8088,705382.0
2019-05-17,19.608,19.8786,19.5557,19.704,1098113.0
2019-05-18,19.608,19.8786,19.5557,19.704,1098113.0
2019-05-19,19.608,19.8786,19.5557,19.704,1098113.0
2019-05-20,19.5731,20.0269,19.5731,19.8873,1303902.0
2019-05-21,19.9658,20.1404,19.8306,19.8611,793002.0
2019-05-22,19.8175,20.0269,19.7302,19.9222,747089.0
2019-05-23,19.6975,19.8022,19.4793,19.5491,1008170.0
2019-05-24,19.6102,19.8371,19.6102,19.7411,1040188.0
2019-05-25,19.6102,19.8371,19.6102,19.7411,1040188.0
2019-05-26,19.6102,19.8371,19.6102,19.7411,1040188.0
2019-05-27,19.6102,19.8371,19.6102,19.7411,1040188.0
2019-05-28,19.6887,19.9767,19.6887,19.8284,917073.0
2019-05-29,19.7236,19.9855,19.6975,19.9505,1261202.0
2019-05-30,20.0465,20.1164,19.5491,19.6015,1669665.0
2019-05-31,19.3396,19.6975,19.1738,19.5927,1994994.0
2019-06-01,19.3396,19.6975,19.1738,19.5927,1994994.0
2019-06-02,19.3396,19.6975,19.1738,19.5927,1994994.0
2019-06-03,19.5927,19.9069,19.488,19.5229,2135603.0
2019-06-04,19.7673,20.1076,19.7105,20.0553,1275147.0
2019-06-05,20.0815,20.2822,19.9505,20.2036,1772340.0
2019-06-06,20.2909,20.544,20.2036,20.4044,1763153.0
2019-06-07,20.3869,20.496,20.256,20.2996,1772477.0
2019-06-08,20.3869,20.496,20.256,20.2996,1772477.0
2019-06-09,20.3869,20.496,20.256,20.2996,1772477.0
2019-06-10,20.3782,20.7453,20.3345,20.4131,1000748.0
2019-06-11,20.5353,20.6313,20.0989,20.2385,1160594.0
2019-06-12,20.16,20.2909,19.968,20.0116,727426.0
2019-06-13,20.1687,20.2822,19.9331,19.968,1243409.0
2019-06-14,20.0204,20.352,19.8545,20.3258,1648030.0
2019-06-15,20.0204,20.352,19.8545,20.3258,1648030.0
2019-06-16,20.0204,20.352,19.8545,20.3258,1648030.0
2019-06-17,20.3607,20.4567,19.9767,20.0029,1054038.0
2019-06-18,20.0815,20.4087,19.9855,20.256,1168398.0
2019-06-19,20.3084,20.4175,20.1862,20.3607,1471973.0
2019-06-20,20.544,20.5615,20.3127,20.3433,1342239.0
2019-06-21,20.2473,20.4393,19.9331,19.9767,2137007.0
2019-06-22,20.2473,20.4393,19.9331,19.9767,2137007.0
2019-06-23,20.2473,20.4393,19.9331,19.9767,2137007.0
2019-06-24,20.0553,20.2473,19.9942,20.0815,1298394.0
2019-06-25,20.0815,20.0815,19.4444,19.488,2357410.0
2019-06-26,19.6102,19.8371,19.5316,19.6451,1787797.0
2019-06-27,19.6887,19.8458,19.5404,19.8371,1867753.0
2019-06-28,19.9244,20.0378,19.7498,19.9418,2447461.0
