,DG US Equity,DG US Equity,DG US Equity,DG US Equity,DG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,101.7256,102.3402,101.1394,102.1889,1767564.0
2019-01-02,100.6856,102.066,100.2465,101.8391,2505945.0
2019-01-03,101.1678,103.0682,100.9739,101.962,2459441.0
2019-01-04,103.3518,104.9593,102.2551,102.8413,2868975.0
2019-01-05,103.3518,104.9593,102.2551,102.8413,2868975.0
2019-01-06,103.3518,104.9593,102.2551,102.8413,2868975.0
2019-01-07,105.0786,107.97,104.7563,107.0694,2795780.0
2019-01-08,108.0743,108.5199,105.3346,107.5814,3094424.0
2019-01-09,108.2355,110.1173,107.1453,109.4964,3050675.0
2019-01-10,107.5908,110.5487,107.0315,110.4633,2181501.0
2019-01-11,110.4444,111.1459,109.6291,110.0273,2060852.0
2019-01-12,110.4444,111.1459,109.6291,110.0273,2060852.0
2019-01-13,110.4444,111.1459,109.6291,110.0273,2060852.0
2019-01-14,109.7997,109.9514,107.1642,107.2211,3304104.0
2019-01-15,107.0789,108.3113,106.0835,106.3395,2798977.0
2019-01-16,105.7517,106.7945,105.5099,106.3774,3296419.0
2019-01-17,105.6758,106.9083,105.5621,106.4343,1699880.0
2019-01-18,107.2116,107.8752,106.5575,107.6288,2910047.0
2019-01-19,107.2116,107.8752,106.5575,107.6288,2910047.0
2019-01-20,107.2116,107.8752,106.5575,107.6288,2910047.0
2019-01-21,107.2116,107.8752,106.5575,107.6288,2910047.0
2019-01-22,107.1263,108.4156,106.5101,107.0315,2235538.0
2019-01-23,107.496,109.1077,106.7376,107.6856,2233310.0
2019-01-24,108.0554,109.2214,107.4012,107.8373,2309725.0
2019-01-25,108.7948,108.7948,107.8278,108.2639,1423786.0
2019-01-26,108.7948,108.7948,107.8278,108.2639,1423786.0
2019-01-27,108.7948,108.7948,107.8278,108.2639,1423786.0
2019-01-28,107.2211,108.2165,107.1737,108.1881,1268616.0
2019-01-29,108.6905,108.8991,107.4202,108.8327,1466372.0
2019-01-30,109.5627,109.885,108.5768,109.2878,1947985.0
2019-01-31,109.0887,110.2643,108.7635,109.43,1691611.0
2019-02-01,109.43,109.5248,107.559,109.0603,1743456.0
2019-02-02,109.43,109.5248,107.559,109.0603,1743456.0
2019-02-03,109.43,109.5248,107.559,109.0603,1743456.0
2019-02-04,109.2025,110.5771,108.764,110.5771,1028744.0
2019-02-05,110.8994,111.089,109.6006,110.0083,1554538.0
2019-02-06,109.904,110.7477,109.0887,110.3022,1297452.0
2019-02-07,109.923,111.2881,109.6006,111.2692,1396150.0
2019-02-08,110.6529,111.0606,109.7049,110.2737,1416590.0
2019-02-09,110.6529,111.0606,109.7049,110.2737,1416590.0
2019-02-10,110.6529,111.0606,109.7049,110.2737,1416590.0
2019-02-11,110.397,111.4351,110.0604,111.1554,1175808.0
2019-02-12,111.819,112.3215,111.4019,111.8759,1381817.0
2019-02-13,112.1034,113.1462,111.0985,112.7196,2088728.0
2019-02-14,112.1413,113.2268,111.4967,112.3594,1695496.0
2019-02-15,113.26,114.0753,112.5916,112.8144,2372646.0
2019-02-16,113.26,114.0753,112.5916,112.8144,2372646.0
2019-02-17,113.26,114.0753,112.5916,112.8144,2372646.0
2019-02-18,113.26,114.0753,112.5916,112.8144,2372646.0
2019-02-19,113.5065,113.6676,112.2741,112.9566,3067535.0
2019-02-20,113.2221,113.6297,112.293,112.805,2014384.0
2019-02-21,112.7101,112.9092,111.7711,112.3025,1371717.0
2019-02-22,112.2361,112.786,112.0371,112.2267,1311784.0
2019-02-23,112.2361,112.786,112.0371,112.2267,1311784.0
2019-02-24,112.2361,112.786,112.0371,112.2267,1311784.0
2019-02-25,113.2031,113.6961,112.1887,112.5869,1621184.0
2019-02-26,112.805,113.0799,111.2123,112.2267,1598414.0
2019-02-27,111.9328,112.9092,111.0227,112.0276,1298223.0
2019-02-28,110.6814,112.8334,110.3117,112.3025,2259833.0
2019-03-01,113.3548,113.9521,112.4068,113.2884,1648169.0
2019-03-02,113.3548,113.9521,112.4068,113.2884,1648169.0
2019-03-03,113.3548,113.9521,112.4068,113.2884,1648169.0
2019-03-04,114.0563,114.0848,112.293,112.6912,1683986.0
2019-03-05,113.6202,113.7625,112.7481,113.3927,1926048.0
2019-03-06,113.753,113.9615,111.9612,113.0704,2106319.0
2019-03-07,112.5679,113.4401,111.9612,112.7007,2678885.0
2019-03-08,112.5205,113.5634,111.7307,112.5395,2560473.0
2019-03-09,112.5205,113.5634,111.7307,112.5395,2560473.0
2019-03-10,112.5205,113.5634,111.7307,112.5395,2560473.0
2019-03-11,112.7101,113.7151,112.4068,113.4875,2139424.0
2019-03-12,113.7625,113.9047,112.5111,113.3927,2039718.0
2019-03-13,113.7625,114.9664,113.478,114.4071,3155806.0
2019-03-14,105.8356,106.6144,103.0877,105.837,11271015.0
2019-03-15,105.9982,108.6147,105.2682,107.97,6255867.0
2019-03-16,105.9982,108.6147,105.2682,107.97,6255867.0
2019-03-17,105.9982,108.6147,105.2682,107.97,6255867.0
2019-03-18,109.6101,110.5487,108.245,110.4728,4232885.0
2019-03-19,111.2597,111.5441,110.0367,111.1459,2203074.0
2019-03-20,110.852,111.9707,110.1126,111.0416,2229996.0
2019-03-21,111.0322,112.1887,110.8994,111.6958,2087563.0
2019-03-22,111.2407,112.3404,111.1933,111.364,1766662.0
2019-03-23,111.2407,112.3404,111.1933,111.364,1766662.0
2019-03-24,111.2407,112.3404,111.1933,111.364,1766662.0
2019-03-25,111.3166,113.4354,111.127,112.5774,1403906.0
2019-03-26,113.1557,113.9047,112.2646,112.5964,1491297.0
2019-03-27,112.5869,114.4545,112.3404,112.5395,2230154.0
2019-03-28,113.241,113.4774,112.3783,113.1557,1514917.0
2019-03-29,113.2695,113.6676,112.3404,113.0988,1962077.0
2019-03-30,113.2695,113.6676,112.3404,113.0988,1962077.0
2019-03-31,113.2695,113.6676,112.3404,113.0988,1962077.0
2019-04-01,113.279,113.516,111.9517,112.1793,2244898.0
2019-04-02,112.0845,112.1793,110.6909,111.7621,1733520.0
2019-04-03,112.3404,112.8713,111.6863,112.0276,1136873.0
2019-04-04,111.8664,114.118,111.4635,113.9141,1667431.0
