,CODI US Equity,CODI US Equity,CODI US Equity,CODI US Equity,CODI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,8.8342,8.9386,8.5766,8.6671,406875.0
2019-01-02,8.6184,8.9595,8.4861,8.9386,211807.0
2019-01-03,8.8899,9.3911,8.883,9.1475,266216.0
2019-01-04,9.3146,9.6557,9.3146,9.6,294699.0
2019-01-05,9.3146,9.6557,9.3146,9.6,294699.0
2019-01-06,9.3146,9.6557,9.3146,9.6,294699.0
2019-01-07,9.6487,10.0803,9.5721,10.0455,458668.0
2019-01-08,10.2405,10.5902,10.2196,10.331,561773.0
2019-01-09,10.3727,10.4354,10.2335,10.331,311142.0
2019-01-10,10.2335,10.505,10.2335,10.317,392087.0
2019-01-11,10.2057,10.4632,10.2057,10.3727,276952.0
2019-01-12,10.2057,10.4632,10.2057,10.3727,276952.0
2019-01-13,10.2057,10.4632,10.2057,10.3727,276952.0
2019-01-14,10.4423,10.4911,10.3031,10.3936,198351.0
2019-01-15,10.4423,10.4632,10.3379,10.4354,472281.0
2019-01-16,10.4282,10.4625,10.1358,10.1786,331677.0
2019-01-17,10.1643,10.2571,10.1215,10.2428,341102.0
2019-01-18,10.2143,10.4211,10.2071,10.2143,192432.0
2019-01-19,10.2143,10.4211,10.2071,10.2143,192432.0
2019-01-20,10.2143,10.4211,10.2071,10.2143,192432.0
2019-01-21,10.2143,10.4211,10.2071,10.2143,192432.0
2019-01-22,10.2,10.2856,9.8077,9.9646,439124.0
2019-01-23,10.0217,10.2285,9.9789,10.0217,135750.0
2019-01-24,10.0859,10.3355,10.0716,10.1287,212450.0
2019-01-25,10.2927,10.471,10.1839,10.4282,207928.0
2019-01-26,10.2927,10.471,10.1839,10.4282,207928.0
2019-01-27,10.2927,10.471,10.1839,10.4282,207928.0
2019-01-28,10.3997,10.4996,10.2785,10.4496,123155.0
2019-01-29,10.471,10.5138,10.4156,10.4425,92147.0
2019-01-30,10.414,10.5709,10.3498,10.5638,106262.0
2019-01-31,10.6208,10.792,10.5638,10.792,238471.0
2019-02-01,10.792,10.899,10.7207,10.7849,146572.0
2019-02-02,10.792,10.899,10.7207,10.7849,146572.0
2019-02-03,10.792,10.899,10.7207,10.7849,146572.0
2019-02-04,10.7278,10.8063,10.7136,10.7706,161475.0
2019-02-05,10.792,10.9062,10.7692,10.9062,81656.0
2019-02-06,11.0131,11.0417,10.9133,11.0131,182178.0
2019-02-07,11.006,11.0488,10.9489,10.9917,122170.0
2019-02-08,10.9846,11.0345,10.9489,11.0131,105105.0
2019-02-09,10.9846,11.0345,10.9489,11.0131,105105.0
2019-02-10,10.9846,11.0345,10.9489,11.0131,105105.0
2019-02-11,11.0345,11.0345,10.9347,10.9775,178366.0
2019-02-12,11.0488,11.2878,11.006,11.1059,281000.0
2019-02-13,11.3341,11.3341,11.1986,11.2628,285398.0
2019-02-14,11.2771,11.327,11.2343,11.2771,142050.0
2019-02-15,11.3341,11.3341,11.2343,11.2913,123555.0
2019-02-16,11.3341,11.3341,11.2343,11.2913,123555.0
2019-02-17,11.3341,11.3341,11.2343,11.2913,123555.0
2019-02-18,11.3341,11.3341,11.2343,11.2913,123555.0
2019-02-19,11.2771,11.2771,11.1201,11.1843,185936.0
2019-02-20,11.7336,11.7407,11.2343,11.491,461295.0
2019-02-21,11.5552,11.6266,11.4197,11.5838,140913.0
2019-02-22,11.5909,11.6551,11.5445,11.6266,187053.0
2019-02-23,11.5909,11.6551,11.5445,11.6266,187053.0
2019-02-24,11.5909,11.6551,11.5445,11.6266,187053.0
2019-02-25,11.6194,11.6765,11.491,11.491,165289.0
2019-02-26,11.4839,11.5124,11.2699,11.3627,156951.0
2019-02-27,11.4055,11.4683,11.2343,11.3912,130675.0
2019-02-28,11.0559,11.3697,10.8776,11.2271,248777.0
2019-03-01,11.2913,11.4482,11.2771,11.434,186880.0
2019-03-02,11.2913,11.4482,11.2771,11.434,186880.0
2019-03-03,11.2913,11.4482,11.2771,11.434,186880.0
2019-03-04,11.4696,11.4839,11.3477,11.4625,259746.0
2019-03-05,11.4055,11.4411,11.3141,11.3983,126521.0
2019-03-06,11.3698,11.4126,11.2057,11.2985,154383.0
2019-03-07,11.2129,11.2842,11.1273,11.1986,113082.0
2019-03-08,11.0631,11.2771,11.0559,11.2485,77922.0
2019-03-09,11.0631,11.2771,11.0559,11.2485,77922.0
2019-03-10,11.0631,11.2771,11.0559,11.2485,77922.0
2019-03-11,11.3127,11.4411,11.2771,11.3769,144003.0
2019-03-12,11.3912,11.4482,11.3199,11.3627,89289.0
2019-03-13,11.3484,11.3592,11.2521,11.2557,91835.0
2019-03-14,11.3127,11.4123,11.2358,11.3627,60259.0
2019-03-15,11.3769,11.6408,11.3413,11.6266,303411.0
2019-03-16,11.3769,11.6408,11.3413,11.6266,303411.0
2019-03-17,11.3769,11.6408,11.3413,11.6266,303411.0
2019-03-18,11.6194,11.6979,11.5695,11.6266,124428.0
2019-03-19,11.5766,11.6979,11.541,11.5909,88111.0
2019-03-20,11.5196,11.534,11.3769,11.3983,114593.0
2019-03-21,11.4126,11.6194,11.4126,11.5695,77058.0
2019-03-22,11.4411,11.4739,11.1915,11.2985,151387.0
2019-03-23,11.4411,11.4739,11.1915,11.2985,151387.0
2019-03-24,11.4411,11.4739,11.1915,11.2985,151387.0
2019-03-25,11.3341,11.3341,11.1629,11.2628,113584.0
2019-03-26,11.3056,11.3056,11.1487,11.1772,159142.0
2019-03-27,11.1986,11.3413,11.1429,11.2343,220526.0
2019-03-28,11.2414,11.2913,11.1487,11.1558,112683.0
2019-03-29,11.2271,11.2607,11.1701,11.1915,131429.0
2019-03-30,11.2271,11.2607,11.1701,11.1915,131429.0
2019-03-31,11.2271,11.2607,11.1701,11.1915,131429.0
