,BR US Equity,BR US Equity,BR US Equity,BR US Equity,BR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,87.3055,88.3109,86.8673,87.8715,585961.0
2019-01-02,86.5112,87.6433,86.178,86.8034,574524.0
2019-01-03,85.6713,86.7577,84.3918,85.4979,1204744.0
2019-01-04,86.3104,88.9306,86.3104,88.4467,727766.0
2019-01-05,86.3104,88.9306,86.3104,88.4467,727766.0
2019-01-06,86.3104,88.9306,86.3104,88.4467,727766.0
2019-01-07,88.3006,89.0584,87.7529,88.6932,1300560.0
2019-01-08,89.8618,90.2178,88.9214,89.7979,704348.0
2019-01-09,89.8344,90.4187,89.3688,89.9439,541935.0
2019-01-10,89.734,90.6378,89.1314,90.4917,590993.0
2019-01-11,89.7705,90.1996,89.2044,90.1813,384364.0
2019-01-12,89.7705,90.1996,89.2044,90.1813,384364.0
2019-01-13,89.7705,90.1996,89.2044,90.1813,384364.0
2019-01-14,89.2318,90.7747,89.1405,90.2909,896617.0
2019-01-15,90.5191,91.642,90.3182,91.3316,499057.0
2019-01-16,91.4047,91.5233,90.0977,90.7199,619102.0
2019-01-17,90.6286,91.8885,90.5282,91.3955,438323.0
2019-01-18,92.2172,92.9202,91.6512,92.4911,662480.0
2019-01-19,92.2172,92.9202,91.6512,92.4911,662480.0
2019-01-20,92.2172,92.9202,91.6512,92.4911,662480.0
2019-01-21,92.2172,92.9202,91.6512,92.4911,662480.0
2019-01-22,92.1624,92.2902,90.3822,90.9664,853291.0
2019-01-23,91.3681,91.7059,90.4369,91.1216,719244.0
2019-01-24,91.4686,92.0985,91.1125,92.0255,401838.0
2019-01-25,92.7558,93.2671,92.3085,92.9749,423944.0
2019-01-26,92.7558,93.2671,92.3085,92.9749,423944.0
2019-01-27,92.7558,93.2671,92.3085,92.9749,423944.0
2019-01-28,92.0346,92.5084,91.3499,91.7972,320896.0
2019-01-29,91.6603,91.6877,90.1904,91.2038,460341.0
2019-01-30,91.6785,92.0346,90.4917,92.0255,501649.0
2019-01-31,91.7698,92.0985,90.7017,92.0529,1382597.0
2019-02-01,92.0894,94.7095,91.9433,94.0157,1038130.0
2019-02-02,92.0894,94.7095,91.9433,94.0157,1038130.0
2019-02-03,92.0894,94.7095,91.9433,94.0157,1038130.0
2019-02-04,94.1709,94.4813,93.3173,94.4174,778341.0
2019-02-05,94.4813,95.2664,94.0796,95.2664,968003.0
2019-02-06,94.956,95.2664,94.1344,94.5269,907594.0
2019-02-07,91.1582,92.2081,85.6074,88.4558,2857467.0
2019-02-08,89.1771,90.373,88.6567,89.0401,1396467.0
2019-02-09,89.1771,90.373,88.6567,89.0401,1396467.0
2019-02-10,89.1771,90.373,88.6567,89.0401,1396467.0
2019-02-11,89.2684,91.8429,89.241,89.7522,1504887.0
2019-02-12,90.1722,90.8204,89.104,90.7291,1088164.0
2019-02-13,91.2768,91.5051,90.4004,91.0577,1300103.0
2019-02-14,90.6926,91.1582,90.0535,90.8021,645404.0
2019-02-15,91.4868,92.2537,90.9847,91.6146,1051189.0
2019-02-16,91.4868,92.2537,90.9847,91.6146,1051189.0
2019-02-17,91.4868,92.2537,90.9847,91.6146,1051189.0
2019-02-18,91.4868,92.2537,90.9847,91.6146,1051189.0
2019-02-19,91.3134,91.569,90.4369,91.1399,1130866.0
2019-02-20,91.2586,92.1076,90.9482,91.4412,1266496.0
2019-02-21,91.5872,91.8429,90.7975,90.9299,1103118.0
2019-02-22,91.2951,92.2537,90.656,92.062,615194.0
2019-02-23,91.2951,92.2537,90.656,92.062,615194.0
2019-02-24,91.2951,92.2537,90.656,92.062,615194.0
2019-02-25,92.5915,92.5915,90.7747,90.8934,643735.0
