,SFBS US Equity,SFBS US Equity,SFBS US Equity,SFBS US Equity,SFBS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,35.0722,35.2678,34.9698,35.0908,105941.0
2020-01-02,35.184,35.184,34.672,34.9977,108648.0
2020-01-03,34.5321,34.8766,34.2247,34.709,186154.0
2020-01-04,34.5321,34.8766,34.2247,34.709,186154.0
2020-01-05,34.5321,34.8766,34.2247,34.709,186154.0
2020-01-06,34.3365,34.5507,34.0012,34.4482,83329.0
2020-01-07,34.1968,34.234,33.7032,33.8522,80281.0
2020-01-08,33.9081,34.4017,33.9081,34.2992,115044.0
2020-01-09,34.5414,34.5786,34.0571,34.1409,85655.0
2020-01-10,34.3458,34.4389,33.8522,33.9454,83436.0
2020-01-11,34.3458,34.4389,33.8522,33.9454,83436.0
2020-01-12,34.3458,34.4389,33.8522,33.9454,83436.0
2020-01-13,33.964,34.3551,33.7125,34.3179,98343.0
2020-01-14,34.2061,34.4296,33.95,34.3737,134837.0
2020-01-15,34.1875,34.4576,34.085,34.3272,167043.0
2020-01-16,34.56,34.8673,34.1875,34.5786,154731.0
2020-01-17,34.8953,34.9232,34.3272,34.411,111690.0
2020-01-18,34.8953,34.9232,34.3272,34.411,111690.0
2020-01-19,34.8953,34.9232,34.3272,34.411,111690.0
2020-01-20,34.8953,34.9232,34.3272,34.411,111690.0
2020-01-21,34.2992,34.2992,33.7218,33.7684,102148.0
2020-01-22,34.8859,37.7171,34.8208,37.447,691187.0
2020-01-23,36.4226,37.298,36.0501,36.1525,498812.0
2020-01-24,36.3946,36.6461,35.2492,35.4633,243762.0
2020-01-25,36.3946,36.6461,35.2492,35.4633,243762.0
2020-01-26,36.3946,36.6461,35.2492,35.4633,243762.0
2020-01-27,34.7369,35.319,34.5879,34.8394,176690.0
2020-01-28,35.0536,35.2492,34.8301,35.0629,162726.0
2020-01-29,35.1933,35.1933,34.3924,34.4017,194489.0
2020-01-30,34.1595,34.8953,34.113,34.8766,127372.0
2020-01-31,34.6252,34.6252,34.1037,34.2247,197279.0
2020-02-01,34.6252,34.6252,34.1037,34.2247,197279.0
2020-02-02,34.6252,34.6252,34.1037,34.2247,197279.0
2020-02-03,34.5134,34.9698,34.3784,34.9605,190170.0
2020-02-04,35.3888,35.8917,35.2538,35.8824,202444.0
