,CBU US Equity,CBU US Equity,CBU US Equity,CBU US Equity,CBU US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,62.7118,63.0648,62.5794,62.6147,272498.0
2020-01-02,62.6147,62.7073,62.138,62.6411,242495.0
2020-01-03,61.7938,62.4249,61.4761,62.2881,200678.0
2020-01-04,61.7938,62.4249,61.4761,62.2881,200678.0
2020-01-05,61.7938,62.4249,61.4761,62.2881,200678.0
2020-01-06,61.6438,62.0233,61.2731,61.9439,155373.0
2020-01-07,61.6261,61.9968,61.2289,61.4761,124158.0
2020-01-08,61.5996,62.65,61.5996,62.4117,304611.0
2020-01-09,62.6323,63.2149,62.3499,62.853,339091.0
2020-01-10,62.7647,62.7647,62.1027,62.341,193034.0
2020-01-11,62.7647,62.7647,62.1027,62.341,193034.0
2020-01-12,62.7647,62.7647,62.1027,62.341,193034.0
2020-01-13,62.5176,62.9324,62.2881,62.8971,192710.0
2020-01-14,62.8,63.0295,62.5176,62.9854,247379.0
2020-01-15,62.5882,62.7735,62.0586,62.4117,232746.0
2020-01-16,62.8177,63.2899,62.778,63.1266,190716.0
2020-01-17,63.5238,64.1063,62.7824,62.9501,233172.0
2020-01-18,63.5238,64.1063,62.7824,62.9501,233172.0
2020-01-19,63.5238,64.1063,62.7824,62.9501,233172.0
2020-01-20,63.5238,64.1063,62.7824,62.9501,233172.0
2020-01-21,62.5882,62.8177,61.8468,61.8997,246455.0
2020-01-22,62.394,62.394,61.3084,61.9174,207958.0
2020-01-23,61.529,62.1204,61.1186,61.8291,329569.0
2020-01-24,61.7762,62.0145,60.6817,61.3613,255627.0
2020-01-25,61.7762,62.0145,60.6817,61.3613,255627.0
2020-01-26,61.7762,62.0145,60.6817,61.3613,255627.0
2020-01-27,60.3551,61.0347,60.0991,60.2051,252852.0
2020-01-28,60.5846,60.7346,59.7373,59.905,276982.0
2020-01-29,60.0374,60.1874,59.1282,59.1459,245158.0
2020-01-30,58.8458,59.6137,58.7928,59.5784,215307.0
2020-01-31,59.0311,59.2695,58.0602,58.4927,812809.0
2020-02-01,59.0311,59.2695,58.0602,58.4927,812809.0
2020-02-02,59.0311,59.2695,58.0602,58.4927,812809.0
2020-02-03,58.9164,59.596,58.837,59.4636,274621.0
2020-02-04,60.3198,60.5758,59.8608,59.8608,210232.0
2020-02-05,60.6022,61.176,60.3728,61.123,187134.0
2020-02-06,61.3966,61.6173,60.4698,60.5493,121908.0
2020-02-07,60.2139,60.461,59.8785,59.9932,113755.0
2020-02-08,60.2139,60.461,59.8785,59.9932,113755.0
2020-02-09,60.2139,60.461,59.8785,59.9932,113755.0
2020-02-10,59.6578,60.1344,59.4857,60.0462,143296.0
2020-02-11,60.3021,60.973,60.3021,60.6905,213378.0
2020-02-12,61.1053,61.1671,60.5669,60.8582,167341.0
2020-02-13,60.514,61.4054,60.514,61.3966,110446.0
2020-02-14,61.2201,61.6085,61.0171,61.176,175704.0
2020-02-15,61.2201,61.6085,61.0171,61.176,175704.0
2020-02-16,61.2201,61.6085,61.0171,61.176,175704.0
2020-02-17,61.2201,61.6085,61.0171,61.176,175704.0
2020-02-18,60.92,61.1053,60.1344,60.311,109070.0
2020-02-19,60.5934,60.7082,60.2845,60.4434,121050.0
2020-02-20,60.1697,61.1583,60.1697,60.9023,105108.0
2020-02-21,60.7082,60.7082,60.0462,60.3639,172674.0
2020-02-22,60.7082,60.7082,60.0462,60.3639,172674.0
2020-02-23,60.7082,60.7082,60.0462,60.3639,172674.0
2020-02-24,58.7487,59.6402,58.634,59.2871,160132.0
2020-02-25,59.2253,59.3842,57.5704,57.663,223307.0
2020-02-26,58.0602,58.7399,57.4159,57.7425,171805.0
2020-02-27,56.6127,58.4398,56.3303,56.3479,280431.0
2020-02-28,54.7768,55.4741,52.5878,53.6735,368547.0
2020-02-29,54.7768,55.4741,52.5878,53.6735,368547.0
2020-03-01,54.7768,55.4741,52.5878,53.6735,368547.0
2020-03-02,53.8324,57.7337,53.6205,57.6542,288841.0
2020-03-03,57.3894,58.3515,56.0037,56.6833,312295.0
2020-03-04,57.2305,58.2015,55.8183,58.1838,215789.0
2020-03-05,56.7804,57.3063,55.4211,56.5862,272805.0
2020-03-06,54.5473,55.8271,54.2472,55.5535,260794.0
2020-03-07,54.5473,55.8271,54.2472,55.5535,260794.0
2020-03-08,54.5473,55.8271,54.2472,55.5535,260794.0
2020-03-09,51.9435,52.8438,49.9664,50.2665,293308.0
2020-03-10,52.1907,52.8918,48.8057,50.5048,410151.0
2020-03-11,49.1191,49.7016,47.5744,48.2099,371037.0
2020-03-12,44.6882,49.5516,42.3668,45.9504,458981.0
2020-03-13,48.6905,51.0036,47.7297,50.9769,407187.0
2020-03-14,48.6905,51.0036,47.7297,50.9769,407187.0
2020-03-15,48.6905,51.0036,47.7297,50.9769,407187.0
2020-03-16,45.3009,47.5339,44.2066,45.9415,415716.0
2020-03-17,46.8756,52.2313,46.0304,52.1779,668254.0
2020-03-18,49.3577,53.7348,48.6994,53.6458,579485.0
2020-03-19,53.1476,56.3859,50.9947,53.2455,506850.0
2020-03-20,53.6903,53.717,45.1941,45.5322,615692.0
2020-03-21,53.6903,53.717,45.1941,45.5322,615692.0
2020-03-22,53.6903,53.717,45.1941,45.5322,615692.0
2020-03-23,45.2564,45.461,41.8225,43.059,382164.0
2020-03-24,45.2653,48.5481,44.3935,48.4414,380988.0
2020-03-25,48.7616,49.7936,46.6415,47.8809,480688.0
2020-03-26,48.1478,52.1334,47.2048,51.911,316748.0
2020-03-27,50.4609,52.685,49.4912,51.1548,333122.0
2020-03-28,50.4609,52.685,49.4912,51.1548,333122.0
2020-03-29,50.4609,52.685,49.4912,51.1548,333122.0
2020-03-30,50.7011,52.3202,49.8781,52.1957,224928.0
