,OGS US Equity,OGS US Equity,OGS US Equity,OGS US Equity,OGS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,80.9963,81.9473,80.9963,81.642,222028.0
2020-01-02,81.799,81.799,79.8009,80.6473,180192.0
2020-01-03,80.2459,81.3366,80.2459,80.7607,278475.0
2020-01-04,80.2459,81.3366,80.2459,80.7607,278475.0
2020-01-05,80.2459,81.3366,80.2459,80.7607,278475.0
2020-01-06,80.4553,81.005,80.2896,80.3506,316331.0
2020-01-07,80.1761,80.4815,79.2425,79.3909,181007.0
2020-01-08,79.0855,79.3909,78.7714,78.9982,273752.0
2020-01-09,79.0244,79.3734,78.623,79.1553,229431.0
2020-01-10,79.3298,79.9318,79.1116,79.8707,196509.0
2020-01-11,79.3298,79.9318,79.1116,79.8707,196509.0
2020-01-12,79.3298,79.9318,79.1116,79.8707,196509.0
2020-01-13,79.8184,81.0835,79.787,81.005,267356.0
2020-01-14,80.9003,81.1054,80.3768,81.0399,228852.0
2020-01-15,81.1446,82.436,81.1446,82.1655,279395.0
2020-01-16,82.2353,82.7152,82.2266,82.6105,251703.0
2020-01-17,82.7413,82.7501,81.7903,82.4796,279638.0
2020-01-18,82.7413,82.7501,81.7903,82.4796,279638.0
2020-01-19,82.7413,82.7501,81.7903,82.4796,279638.0
2020-01-20,82.7413,82.7501,81.7903,82.4796,279638.0
2020-01-21,82.497,83.0991,81.9822,82.9682,256851.0
2020-01-22,83.2823,83.7186,82.5668,82.9333,294384.0
2020-01-23,83.0467,83.6924,82.6977,83.5528,209136.0
2020-01-24,83.4655,83.8494,82.833,83.2561,357575.0
2020-01-25,83.4655,83.8494,82.833,83.2561,357575.0
2020-01-26,83.4655,83.8494,82.833,83.2561,357575.0
2020-01-27,83.0991,83.8931,82.5319,82.8984,349780.0
2020-01-28,82.9944,84.0065,82.9682,83.6662,269722.0
2020-01-29,83.5877,84.0152,83.0904,83.7535,261242.0
2020-01-30,83.1776,84.3206,83.0467,84.2508,189044.0
2020-01-31,84.0152,84.277,82.2266,82.4534,382771.0
2020-02-01,84.0152,84.277,82.2266,82.4534,382771.0
2020-02-02,84.0152,84.277,82.2266,82.4534,382771.0
2020-02-03,82.4621,83.6575,82.2789,83.3172,386433.0
2020-02-04,83.5353,83.8582,82.7588,82.9507,382932.0
2020-02-05,83.0555,83.9716,83.038,83.6924,229410.0
2020-02-06,83.8756,83.9018,82.9246,83.1514,180026.0
2020-02-07,83.3085,83.3957,82.4011,82.4534,188746.0
2020-02-08,83.3085,83.3957,82.4011,82.4534,188746.0
2020-02-09,83.3085,83.3957,82.4011,82.4534,188746.0
2020-02-10,82.6977,82.6977,81.9735,82.2353,169881.0
2020-02-11,82.3749,82.8635,81.8208,82.0433,211625.0
2020-02-12,82.2091,82.2091,80.8131,81.9212,330536.0
2020-02-13,81.8601,82.9333,81.5329,82.9246,225947.0
2020-02-14,83.1951,84.0501,82.8548,83.9454,210288.0
2020-02-15,83.1951,84.0501,82.8548,83.9454,210288.0
2020-02-16,83.1951,84.0501,82.8548,83.9454,210288.0
2020-02-17,83.1951,84.0501,82.8548,83.9454,210288.0
2020-02-18,84.3206,84.6085,83.7796,84.3642,335632.0
2020-02-19,84.1199,84.4689,83.387,83.5092,174910.0
2020-02-20,83.3688,83.4565,81.7542,83.4126,236687.0
2020-02-21,83.5794,83.9216,82.5439,82.6229,326591.0
2020-02-22,83.5794,83.9216,82.5439,82.6229,326591.0
2020-02-23,83.5794,83.9216,82.5439,82.6229,326591.0
2020-02-24,81.6401,82.7677,81.3155,82.2544,249226.0
2020-02-25,82.1929,82.386,79.3236,79.3938,342167.0
2020-02-26,79.6395,80.6618,78.8498,78.8761,280600.0
