,NBTB US Equity,NBTB US Equity,NBTB US Equity,NBTB US Equity,NBTB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,35.4723,35.8216,35.4112,35.4199,151725.0
2020-01-02,35.5422,35.6208,35.3239,35.5422,134962.0
2020-01-03,35.0881,35.6033,35.027,35.5247,174476.0
2020-01-04,35.0881,35.6033,35.027,35.5247,174476.0
2020-01-05,35.0881,35.6033,35.027,35.5247,174476.0
2020-01-06,35.1667,35.4898,35.0008,35.3501,127561.0
2020-01-07,35.2802,35.3588,34.7737,34.861,97849.0
2020-01-08,34.7737,35.2889,34.7737,35.1492,95423.0
2020-01-09,35.3675,35.4549,35.0444,35.2016,91636.0
2020-01-10,35.1492,35.1492,34.73,34.861,74647.0
2020-01-11,35.1492,35.1492,34.73,34.861,74647.0
2020-01-12,35.1492,35.1492,34.73,34.861,74647.0
2020-01-13,34.8523,35.0968,34.6864,35.0881,58732.0
2020-01-14,34.9396,35.3501,34.8348,35.2191,108209.0
2020-01-15,35.0357,35.3588,34.9746,35.3108,141961.0
2020-01-16,35.516,35.8391,35.4112,35.7518,105501.0
2020-01-17,36.0399,36.0399,35.6382,35.7343,100686.0
2020-01-18,36.0399,36.0399,35.6382,35.7343,100686.0
2020-01-19,36.0399,36.0399,35.6382,35.7343,100686.0
2020-01-20,36.0399,36.0399,35.6382,35.7343,100686.0
2020-01-21,35.4723,35.6994,35.0881,35.1405,132417.0
2020-01-22,35.3064,35.3064,34.9178,34.9396,85040.0
2020-01-23,34.8872,34.9877,34.5641,34.9047,160505.0
2020-01-24,34.7737,34.9309,34.1711,34.4506,80308.0
2020-01-25,34.7737,34.9309,34.1711,34.4506,80308.0
2020-01-26,34.7737,34.9309,34.1711,34.4506,80308.0
2020-01-27,33.9528,34.2934,33.5773,34.0052,99793.0
2020-01-28,34.0402,35.3588,33.3328,33.5861,156044.0
2020-01-29,33.5511,33.7563,33.1931,33.4551,114619.0
2020-01-30,33.1843,33.7607,33.1843,33.7476,127408.0
2020-01-31,33.5511,33.8306,32.9311,33.001,131587.0
2020-02-01,33.5511,33.8306,32.9311,33.001,131587.0
2020-02-02,33.5511,33.8306,32.9311,33.001,131587.0
2020-02-03,33.097,33.6673,33.0184,33.5468,180202.0
2020-02-04,34.0402,34.2759,33.8742,33.9441,81724.0
2020-02-05,34.3283,34.5467,34.1187,34.4943,87912.0
